;perturbation;group;grit;compound;conc
0;5-Fluo_136;0.333;0.22846427572393146;5-Fluo;0.333
1;5-Fluo_147;0.1;0.4985414252258763;5-Fluo;0.1
2;5-Fluo_165;1.0;0.5187595422782787;5-Fluo;1.0
3;5-Fluo_214;0.0333;0.43922456679003186;5-Fluo;0.0333
4;5-Fluo_220;1.0;0.13276624736301354;5-Fluo;1.0
5;5-Fluo_235;0.0333;0.0352996962858498;5-Fluo;0.0333
6;5-Fluo_240;0.333;0.6049022221510024;5-Fluo;0.333
7;5-Fluo_246;10.0;0.6742095750131408;5-Fluo;10.0
8;5-Fluo_321;0.1;0.28689460973045594;5-Fluo;0.1
9;5-Fluo_326;0.333;0.5218720296057658;5-Fluo;0.333
10;5-Fluo_38;0.00833;-0.13369662637862065;5-Fluo;0.00833
11;5-Fluo_425;0.00833;0.4017715003611618;5-Fluo;0.00833
12;5-Fluo_428;10.0;0.420688942618708;5-Fluo;10.0
13;5-Fluo_443;10.0;0.43487834920886004;5-Fluo;10.0
14;5-Fluo_456;0.1;0.5576471607787413;5-Fluo;0.1
15;5-Fluo_466;0.00833;0.213153076484766;5-Fluo;0.00833
16;5-Fluo_562;0.0333;0.46127691508390956;5-Fluo;0.0333
17;5-Fluo_574;1.0;0.8145030351644243;5-Fluo;1.0
18;5-Fluo_578;0.333;0.522864664064442;5-Fluo;0.333
19;5-Fluo_59;0.00833;0.405736749695343;5-Fluo;0.00833
20;5-Fluo_591;1.0;0.8768077038790155;5-Fluo;1.0
21;5-Fluo_593;0.0333;-0.3771466370935847;5-Fluo;0.0333
22;5-Fluo_94;0.1;0.5861722099220517;5-Fluo;0.1
23;5-Fluo_95;10.0;0.6338208715315362;5-Fluo;10.0
24;5Z-7-O_114;1.0;0.8506014120336757;5Z-7-O;1.0
25;5Z-7-O_12;0.00833;-0.06965479547702146;5Z-7-O;0.00833
26;5Z-7-O_146;10.0;1.8970293615328513;5Z-7-O;10.0
27;5Z-7-O_152;0.0333;-0.10577028216032221;5Z-7-O;0.0333
28;5Z-7-O_174;10.0;1.869872859874704;5Z-7-O;10.0
29;5Z-7-O_203;1.0;0.9262427392115948;5Z-7-O;1.0
30;5Z-7-O_237;0.333;0.6331381543191098;5Z-7-O;0.333
31;5Z-7-O_24;0.1;0.09565207466161435;5Z-7-O;0.1
32;5Z-7-O_257;0.0333;-0.5003916178509832;5Z-7-O;0.0333
33;5Z-7-O_275;0.1;-0.12062894751085951;5Z-7-O;0.1
34;5Z-7-O_307;0.00833;-0.06090212316956542;5Z-7-O;0.00833
35;5Z-7-O_374;0.00833;0.08926317786323773;5Z-7-O;0.00833
36;5Z-7-O_382;10.0;2.3101906595354182;5Z-7-O;10.0
37;5Z-7-O_400;0.333;0.7899100078782898;5Z-7-O;0.333
38;5Z-7-O_402;0.1;0.747453942574826;5Z-7-O;0.1
39;5Z-7-O_442;1.0;0.9059787668821266;5Z-7-O;1.0
40;5Z-7-O_46;0.333;0.615841872916572;5Z-7-O;0.333
41;5Z-7-O_492;0.333;0.7070616343840372;5Z-7-O;0.333
42;5Z-7-O_537;0.0333;0.28035489620818405;5Z-7-O;0.0333
43;5Z-7-O_554;1.0;1.1089274125733386;5Z-7-O;1.0
44;5Z-7-O_566;0.0333;0.369815736591528;5Z-7-O;0.0333
45;5Z-7-O_579;0.1;0.49138192180847695;5Z-7-O;0.1
46;5Z-7-O_609;10.0;2.0257797709914103;5Z-7-O;10.0
47;5Z-7-O_81;0.00833;0.23451526929029323;5Z-7-O;0.00833
48;ABT-73_1001;0.00833;0.08869415925436853;ABT-73;0.00833
49;ABT-73_1036;0.0333;0.47521673042425827;ABT-73;0.0333
50;ABT-73_1063;0.00833;-0.1428442126428347;ABT-73;0.00833
51;ABT-73_1070;0.1;0.2537556740771934;ABT-73;0.1
52;ABT-73_1151;0.333;-0.5074427356576061;ABT-73;0.333
53;ABT-73_1164;1.0;0.9689104977547541;ABT-73;1.0
54;ABT-73_1175;0.1;-0.48323620133717066;ABT-73;0.1
55;ABT-73_1188;1.0;0.5924023073855814;ABT-73;1.0
56;ABT-73_1192;10.0;0.37666250804026175;ABT-73;10.0
57;ABT-73_1205;0.0333;0.4324651757629467;ABT-73;0.0333
58;ABT-73_647;1.0;-0.7292750049252738;ABT-73;1.0
59;ABT-73_694;0.00833;0.3298658462135437;ABT-73;0.00833
60;ABT-73_706;10.0;-0.40493367498964555;ABT-73;10.0
61;ABT-73_739;1.0;0.757884476194089;ABT-73;1.0
62;ABT-73_752;0.333;-0.3278838079286001;ABT-73;0.333
63;ABT-73_754;10.0;-0.3889189937759739;ABT-73;10.0
64;ABT-73_782;0.0333;0.15372115154031069;ABT-73;0.0333
65;ABT-73_793;0.1;-0.12036665393195957;ABT-73;0.1
66;ABT-73_811;0.0333;0.46083379986142325;ABT-73;0.0333
67;ABT-73_879;0.333;-0.6291380775416392;ABT-73;0.333
68;ABT-73_904;0.1;0.43020454601262226;ABT-73;0.1
69;ABT-73_908;0.00833;-0.5958693447106729;ABT-73;0.00833
70;ABT-73_984;0.333;0.7794530673380375;ABT-73;0.333
71;ABT-73_992;10.0;1.8507529527323283;ABT-73;10.0
72;AMG 23_1068;0.1;-0.015291577266001383;AMG 23;0.1
73;AMG 23_1069;0.0333;-0.09455836289629223;AMG 23;0.0333
74;AMG 23_1102;0.00833;-0.049939803238230135;AMG 23;0.00833
75;AMG 23_1142;0.0333;-0.5679763401671551;AMG 23;0.0333
76;AMG 23_1145;0.333;0.47207045438825623;AMG 23;0.333
77;AMG 23_1170;0.00833;0.05320323349008746;AMG 23;0.00833
78;AMG 23_1195;1.0;0.7173780910429546;AMG 23;1.0
79;AMG 23_1206;10.0;0.9152035400291012;AMG 23;10.0
80;AMG 23_640;0.333;0.8884535163013166;AMG 23;0.333
81;AMG 23_657;0.1;0.3212430532411172;AMG 23;0.1
82;AMG 23_664;10.0;-1.3575716791660584;AMG 23;10.0
83;AMG 23_729;0.00833;0.2495561624888724;AMG 23;0.00833
84;AMG 23_732;1.0;-0.7348439170934953;AMG 23;1.0
85;AMG 23_759;0.0333;-0.23019183899713092;AMG 23;0.0333
86;AMG 23_785;0.333;0.7096827499068983;AMG 23;0.333
87;AMG 23_810;10.0;0.7489024440727454;AMG 23;10.0
88;AMG 23_848;1.0;-0.17608198290773308;AMG 23;1.0
89;AMG 23_868;0.0333;-0.27440462938229937;AMG 23;0.0333
90;AMG 23_894;0.00833;0.4144223415879075;AMG 23;0.00833
91;AMG 23_903;0.1;0.5419032857004804;AMG 23;0.1
92;AMG 23_955;10.0;-0.38344953541082427;AMG 23;10.0
93;AMG 23_962;1.0;0.7608285894971509;AMG 23;1.0
94;AMG 23_967;0.1;0.5832216269270724;AMG 23;0.1
95;AMG 23_981;0.333;0.4664824905687677;AMG 23;0.333
96;AZD454_1007;0.1;0.3776305361316509;AZD454;0.1
97;AZD454_1029;0.00833;0.2882763274752991;AZD454;0.00833
98;AZD454_1078;0.1;0.4574056030217066;AZD454;0.1
99;AZD454_1126;0.333;-0.0982923190774167;AZD454;0.333
100;AZD454_1127;1.0;-0.2475108252711778;AZD454;1.0
101;AZD454_1167;1.0;0.9138561589692811;AZD454;1.0
102;AZD454_1217;10.0;1.687089127805416;AZD454;10.0
103;AZD454_1225;0.0333;0.5044021281957364;AZD454;0.0333
104;AZD454_612;0.00833;0.33967794047404326;AZD454;0.00833
105;AZD454_687;0.333;0.6884075011000304;AZD454;0.333
106;AZD454_717;0.1;0.3733627171308597;AZD454;0.1
107;AZD454_737;1.0;0.06260183946804881;AZD454;1.0
108;AZD454_748;0.00833;-0.023952383090361337;AZD454;0.00833
109;AZD454_762;0.1;-0.25393228410624563;AZD454;0.1
110;AZD454_777;10.0;1.3002548649577776;AZD454;10.0
111;AZD454_779;1.0;-0.07543783155989374;AZD454;1.0
112;AZD454_818;0.0333;-0.4084352775193119;AZD454;0.0333
113;AZD454_851;0.0333;-0.31415082899476654;AZD454;0.0333
114;AZD454_857;0.333;0.449977990773787;AZD454;0.333
115;AZD454_883;10.0;1.3517745106912997;AZD454;10.0
116;AZD454_932;0.0333;-0.6356951485196747;AZD454;0.0333
117;AZD454_958;0.333;0.02400409021554478;AZD454;0.333
118;AZD454_959;10.0;2.3039045418808293;AZD454;10.0
119;AZD454_996;0.00833;0.3148088859786974;AZD454;0.00833
120;AZD776_1027;0.333;0.8574153247091139;AZD776;0.333
121;AZD776_1049;10.0;2.847016294110216;AZD776;10.0
122;AZD776_1075;0.333;0.8019325209055398;AZD776;0.333
123;AZD776_1112;0.1;0.48318110602424275;AZD776;0.1
124;AZD776_1135;0.0333;0.4722561822980175;AZD776;0.0333
125;AZD776_1168;0.00833;0.20531127277840452;AZD776;0.00833
126;AZD776_1198;0.0333;0.5123356560777119;AZD776;0.0333
127;AZD776_1211;0.00833;0.18510113295775055;AZD776;0.00833
128;AZD776_628;0.0333;0.11640629078173947;AZD776;0.0333
129;AZD776_635;0.333;0.7887868957710632;AZD776;0.333
130;AZD776_643;0.00833;0.30198305675203346;AZD776;0.00833
131;AZD776_703;0.1;0.14345683218106348;AZD776;0.1
132;AZD776_718;1.0;0.9255531546941177;AZD776;1.0
133;AZD776_733;10.0;2.9455152813773715;AZD776;10.0
134;AZD776_771;1.0;0.9681496239164902;AZD776;1.0
135;AZD776_824;0.0333;0.462137980985836;AZD776;0.0333
136;AZD776_835;0.00833;0.05988323892059681;AZD776;0.00833
137;AZD776_866;0.333;0.4641601435101132;AZD776;0.333
138;AZD776_882;0.1;0.32008708907850203;AZD776;0.1
139;AZD776_917;10.0;2.928854911321268;AZD776;10.0
