;conc;compound;cbkid;site;plateWell;Count_nuclei;ObjectNumber_cells
0;2.5;[tetr];[tetr];1;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B02;74.0;24.5
1;2.5;[tetr];[tetr];2;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B02;123.0;40.0
2;2.5;[tetr];[tetr];3;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B02;148.0;61.0
3;2.5;[tetr];[tetr];4;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B02;67.0;28.0
4;2.5;[tetr];[tetr];5;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B02;130.0;45.0
5;2.5;[tetr];[tetr];6;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B02;99.0;26.5
6;2.5;[tetr];[tetr];7;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B02;116.0;47.0
7;2.5;[tetr];[tetr];8;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B02;104.0;38.5
8;2.5;[tetr];[tetr];9;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B02;155.0;59.0
9;0.00833;regora;regorafenib;1;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B04;153.0;52.0
10;0.00833;regora;regorafenib;2;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B04;168.0;52.0
11;0.00833;regora;regorafenib;3;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B04;207.0;77.0
12;0.00833;regora;regorafenib;4;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B04;212.0;81.0
13;0.00833;regora;regorafenib;5;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B04;183.0;67.0
14;0.00833;regora;regorafenib;6;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B04;203.0;73.0
15;0.00833;regora;regorafenib;7;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B04;265.0;96.5
16;0.00833;regora;regorafenib;8;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B04;172.0;70.0
17;0.00833;regora;regorafenib;9;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B04;159.0;60.0
18;0.1;[dmso];[dmso];1;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B05;193.0;78.0
19;0.1;[dmso];[dmso];2;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B05;183.0;85.5
20;0.1;[dmso];[dmso];3;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B05;194.0;74.5
21;0.1;[dmso];[dmso];4;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B05;141.0;48.0
22;0.1;[dmso];[dmso];5;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B05;189.0;83.0
23;0.1;[dmso];[dmso];6;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B05;200.0;74.0
24;0.1;[dmso];[dmso];7;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B05;199.0;71.0
25;0.1;cobime;cobimetinib;1;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B06;120.0;45.0
26;0.1;cobime;cobimetinib;2;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B06;94.0;27.0
27;0.1;cobime;cobimetinib;3;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B06;68.0;22.0
28;0.1;cobime;cobimetinib;4;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B06;168.0;69.0
29;0.1;cobime;cobimetinib;5;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B06;114.0;36.5
30;0.1;cobime;cobimetinib;6;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B06;128.0;53.0
31;0.1;cobime;cobimetinib;7;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B06;188.0;66.0
32;0.1;cobime;cobimetinib;8;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B06;134.0;60.0
33;0.1;cobime;cobimetinib;9;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B06;164.0;55.0
34;0.1;Encora;Encorafenib;1;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B07;192.0;76.0
35;0.1;Encora;Encorafenib;2;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B07;135.0;53.0
36;0.1;Encora;Encorafenib;4;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B07;222.0;89.0
37;0.1;Encora;Encorafenib;5;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B07;199.0;76.5
38;0.1;Encora;Encorafenib;6;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B07;198.0;76.5
39;0.1;Encora;Encorafenib;7;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B07;144.0;48.0
40;0.1;Encora;Encorafenib;8;colo44-v1-FA-P017365-CACO2-48h-P1-L1_B07;156.0;60.0
