;Count_nuclei;ObjectNumber_nuclei;ObjectNumber_cells;compound;conc;cmpd_conc
0;116.0;89.0;40.0;[tetr];2.5;2.5
1;183.0;155.5;70.0;regora;0.00833;0.00833
2;193.0;172.5;74.5;[dmso];0.1;0.1
3;128.0;115.0;53.0;cobime;0.1;0.1
4;192.5;164.0;75.0;Encora;0.1;0.1
5;158.0;132.5;55.5;Temozo;1.0;1.0
6;174.5;132.25;55.25;PI-103;0.0333;0.0333
7;124.0;110.0;45.0;PD0325;1.0;1.0
8;143.0;123.0;49.75;SN-38;0.1;0.1
9;158.0;124.5;56.0;triflu;0.333;0.333
10;114.0;95.5;48.0;Sapiti;0.1;0.1
11;161.0;116.0;61.0;cobime;0.0333;0.0333
12;210.0;160.0;80.0;5Z-7-O;0.00833;0.00833
13;155.0;127.75;65.75;Encora;1.0;1.0
14;137.0;150.0;47.5;Paclit;0.00833;0.00833
15;132.0;88.0;47.25;regora;10.0;10.0
16;185.0;141.0;63.0;Olapar;0.00833;0.00833
17;110.0;97.0;48.5;Oxalip;1.0;1.0
18;107.0;92.5;42.0;PD0325;0.1;0.1
19;114.0;91.0;43.0;Palboc;0.333;0.333
20;159.0;123.0;66.0;[dmso];0.1;0.1
21;72.5;56.0;26.5;Afatin;0.333;0.333
22;75.0;111.25;27.5;Paclit;0.333;0.333
23;102.0;85.0;29.0;cobime;10.0;10.0
24;145.0;115.0;63.0;5Z-7-O;0.1;0.1
25;144.0;143.0;57.0;alpeli;0.0333;0.0333
26;156.0;128.5;58.0;[dmso];0.1;0.1
27;150.0;126.0;53.5;Crizot;0.0333;0.0333
28;94.0;104.5;48.0;SN-38;0.1;0.1
29;105.0;99.0;35.0;[etop];2.5;2.5
30;193.0;146.0;73.5;vemura;0.1;0.1
31;151.0;121.0;49.75;Gefiti;0.0333;0.0333
32;123.0;96.0;45.25;[dmso];0.1;0.1
33;108.0;93.5;52.0;Palboc;1.0;1.0
34;151.0;136.5;62.0;regora;1.0;1.0
35;133.0;115.0;45.0;binime;0.1;0.1
36;171.0;129.5;63.0;alpeli;0.1;0.1
37;66.0;92.5;30.5;[fenb];2.5;2.5
38;185.0;143.5;72.5;5-Fluo;0.00833;0.00833
39;139.0;122.0;48.0;PD0325;0.00833;0.00833
40;156.5;135.0;61.0;Olapar;1.0;1.0
41;187.5;159.5;63.75;PI-103;0.00833;0.00833
42;140.0;105.5;48.5;vemura;0.00833;0.00833
43;139.0;93.0;49.5;regora;0.333;0.333
44;57.0;65.0;19.0;Paclit;1.0;1.0
45;148.0;110.5;48.0;triflu;0.1;0.1
46;153.0;144.0;59.0;5Z-7-O;0.333;0.333
47;84.0;92.25;30.0;Paclit;0.0333;0.0333
48;107.0;82.5;37.0;Sapiti;0.333;0.333
49;61.0;59.5;30.0;SN-38;10.0;10.0
50;175.0;157.5;68.0;Encora;0.00833;0.00833
51;82.0;70.0;30.5;Tramet;10.0;10.0
52;206.0;147.5;67.5;Olapar;0.333;0.333
53;154.0;123.5;57.0;[berb];2.5;2.5
54;137.0;110.0;54.0;Gefiti;0.1;0.1
55;170.0;124.5;68.0;binime;0.0333;0.0333
56;187.0;162.5;73.0;[dmso];0.1;0.1
57;84.0;63.25;30.75;Palboc;1.0;1.0
58;74.0;69.5;26.5;Gefiti;10.0;10.0
59;138.0;93.0;53.0;5-Fluo;0.00833;0.00833
60;132.0;117.0;53.0;[tetr];2.5;2.5
61;173.0;134.25;66.5;triflu;0.0333;0.0333
62;137.0;101.0;48.0;alpeli;0.1;0.1
63;155.0;117.5;49.0;Afatin;0.1;0.1
64;162.0;138.25;63.5;Temozo;0.00833;0.00833
65;130.0;112.5;45.0;Afatin;0.1;0.1
66;179.0;158.5;69.0;Crizot;0.333;0.333
67;196.5;151.0;63.5;binime;0.00833;0.00833
68;81.0;62.5;33.5;cobime;1.0;1.0
69;130.0;114.0;49.0;alpeli;1.0;1.0
70;142.0;118.5;55.0;[dmso];0.1;0.1
71;190.0;171.0;72.0;Gefiti;0.0333;0.0333
72;109.5;93.0;37.5;Palboc;0.333;0.333
73;140.0;113.25;45.5;triflu;0.1;0.1
74;151.0;124.0;52.5;Sapiti;0.333;0.333
75;140.0;126.5;72.0;Oxalip;0.1;0.1
76;78.0;82.5;27.5;SN-38;1.0;1.0
77;173.0;154.0;68.0;regora;0.1;0.1
78;130.0;105.5;47.0;[berb];2.5;2.5
79;157.0;119.0;58.0;Temozo;0.0333;0.0333
80;161.0;141.0;63.5;alpeli;0.00833;0.00833
81;192.0;138.5;71.0;5Z-7-O;0.00833;0.00833
82;74.5;58.5;27.0;PI-103;10.0;10.0
83;80.0;71.0;30.0;[etop];2.5;2.5
84;153.0;125.5;61.0;Tramet;0.1;0.1
85;143.0;106.0;60.0;Sapiti;0.00833;0.00833
86;80.0;65.5;28.5;cobime;1.0;1.0
87;164.0;120.0;55.0;Tramet;0.00833;0.00833
88;167.0;132.0;63.0;[flup];2.5;2.5
89;58.0;52.0;22.0;SN-38;10.0;10.0
90;176.0;152.0;69.0;Crizot;1.0;1.0
91;175.5;147.5;62.0;vemura;10.0;10.0
92;161.0;159.5;72.5;triflu;0.00833;0.00833
93;200.0;155.0;78.0;Afatin;0.00833;0.00833
94;151.0;113.5;61.5;5-Fluo;0.1;0.1
95;86.0;74.0;34.0;5-Fluo;10.0;10.0
96;166.0;138.0;63.0;Encora;0.00833;0.00833
97;126.0;104.5;45.5;regora;10.0;10.0
98;219.0;168.0;75.0;[dmso];0.1;0.1
99;181.5;139.0;66.5;Temozo;10.0;10.0
100;72.0;58.0;30.0;Oxalip;10.0;10.0
101;113.0;96.0;33.5;Sapiti;1.0;1.0
102;102.0;81.0;36.0;Tramet;1.0;1.0
103;59.5;51.75;20.75;Palboc;10.0;10.0
104;178.0;155.25;71.0;[dmso];0.1;0.1
105;66.0;101.0;27.0;Paclit;0.333;0.333
106;142.0;122.0;50.0;Olapar;0.0333;0.0333
107;153.0;124.0;61.0;Crizot;0.1;0.1
108;108.0;96.5;38.0;Olapar;10.0;10.0
109;170.0;146.0;63.0;[dmso];0.1;0.1
110;69.5;104.0;26.0;Paclit;10.0;10.0
111;199.0;167.5;73.0;vemura;1.0;1.0
112;126.0;101.5;45.0;Palboc;0.1;0.1
113;156.0;126.5;64.0;PD0325;0.00833;0.00833
114;133.0;104.5;40.5;5Z-7-O;1.0;1.0
115;178.5;132.5;57.0;[dmso];0.1;0.1
116;106.0;98.0;41.0;Oxalip;0.333;0.333
117;146.5;127.0;55.0;Temozo;0.0333;0.0333
118;94.0;74.0;38.0;PI-103;10.0;10.0
119;122.0;91.5;40.5;binime;0.333;0.333
120;88.5;84.0;29.0;binime;1.0;1.0
121;154.0;112.5;57.0;PD0325;0.0333;0.0333
122;131.0;109.0;41.5;Gefiti;0.333;0.333
123;68.0;58.0;26.0;Oxalip;10.0;10.0
124;198.0;149.0;67.5;Encora;0.333;0.333
125;197.0;150.5;80.5;vemura;10.0;10.0
126;158.0;108.5;59.0;alpeli;0.0333;0.0333
127;125.0;82.5;37.0;cobime;0.333;0.333
128;172.0;153.0;56.0;[flup];2.5;2.5
129;106.0;113.5;52.0;triflu;1.0;1.0
130;139.0;101.5;54.0;PI-103;0.1;0.1
131;99.0;83.0;36.0;PD0325;10.0;10.0
132;88.0;72.0;36.0;Tramet;10.0;10.0
133;141.0;115.0;64.0;vemura;0.333;0.333
134;166.0;128.0;71.0;[dmso];0.1;0.1
135;98.5;77.0;33.5;binime;1.0;1.0
136;162.5;159.5;61.0;5-Fluo;0.333;0.333
137;173.0;142.5;59.0;Olapar;0.1;0.1
138;139.0;113.5;49.0;PI-103;1.0;1.0
139;64.0;65.0;22.0;[fenb];2.5;2.5
140;101.0;99.5;41.5;Tramet;0.333;0.333
141;152.0;130.0;54.0;Sapiti;0.0333;0.0333
142;35.0;26.0;13.0;Afatin;10.0;10.0
143;179.0;129.0;68.0;Encora;0.0333;0.0333
144;112.5;94.0;40.75;Afatin;1.0;1.0
145;168.0;142.0;69.0;[dmso];0.1;0.1
146;60.0;52.0;24.5;5Z-7-O;10.0;10.0
147;173.0;131.5;72.0;5-Fluo;0.1;0.1
148;196.0;156.5;76.0;Gefiti;0.00833;0.00833
149;135.0;107.0;49.5;Temozo;0.333;0.333
150;85.0;73.0;27.0;Oxalip;1.0;1.0
151;184.0;156.0;65.0;[dmso];0.1;0.1
152;163.0;133.0;63.0;5Z-7-O;0.0333;0.0333
153;129.0;120.0;49.0;Temozo;0.1;0.1
154;185.0;145.5;70.0;regora;0.00833;0.00833
155;223.0;179.5;77.0;Olapar;0.00833;0.00833
156;83.0;75.25;32.5;PD0325;10.0;10.0
157;113.0;118.0;50.5;Olapar;10.0;10.0
158;90.0;78.0;42.0;alpeli;10.0;10.0
159;93.0;135.0;35.0;Paclit;0.1;0.1
