layout_id,well_id,image_id,cp_id,barcode,plate_well,cmpd_code,cmpdname,solvent,cmpd_conc,cmpd_conc_unit,stock_conc,stock_conc_unit,cmpd_vol,cmpd_vol_unit,well_vol,well_vol_unit,pert_type,article_id,target,pathway,pubchemID,smiles,inkey,target_type,clinical_status,cell_line,target_class
spher-colo52-v1-ULA-PB000137-HCT116-48h-P1-L1,B02,4185,5532,PB000137,PB000137_B02,colo-006,PD0325901,dmso,3.0,µM,10.0,mM,30.0,nl,40.0,µl,trt,S1036,MEK,MAPK,9826528.0,OCC(O)CONC(=O)C1=C(NC2=CC=C(I)C=C2F)C(=C(F)C=C1)F,SUDAHWBOROXANE-SECBINFHSA-N,Targeted,Phase 2,HCT116,
spher-colo52-v1-ULA-PB000137-HCT116-48h-P1-L1,B03,4185,5532,PB000137,PB000137_B03,colo-018,Paclitaxel,dmso,0.1,µM,0.1,mM,100.0,nl,40.0,µl,trt,S1150,"Autophagy,Microtubule Associated",Cytoskeletal Signaling,441276.0,CC(=O)OC1C(=O)C2(C)C(O)CC3OCC3(OC(C)=O)C2C(OC(=O)C4=CC=CC=C4)C5(O)CC(OC(=O)C(O)C(NC(=O)C6=CC=CC=C6)C7=CC=CC=C7)C(=C1C5(C)C)C,RCINICONZNJXQF-VAZQATRQSA-N,Cytotoxic,Preclinical,HCT116,
spher-colo52-v1-ULA-PB000137-HCT116-48h-P1-L1,B04,4185,5532,PB000137,PB000137_B04,colo-009,"Olaparib (AZD2281, Ku-0059436)",dmso,3.0,µM,10.0,mM,30.0,nl,40.0,µl,trt,S1060,PARP,DNA Damage,23725625.0,FC1=C(C=C(CC2=NNC(=O)C3=C2C=CC=C3)C=C1)C(=O)N4CCN(CC4)C(=O)C5CC5,FDLYAMZZIXQODN-UHFFFAOYSA-N,Targeted,Launched,HCT116,PARPi
spher-colo52-v1-ULA-PB000137-HCT116-48h-P1-L1,B05,4185,5532,PB000137,PB000137_B05,colo-012,SB216763,dmso,10.0,µM,10.0,mM,100.0,nl,40.0,µl,trt,S1075,GSK-3,PI3K/Akt/mTOR,176158.0,C[N]1C=C(C2=C1C=CC=C2)C3=C(C(=O)NC3=O)C4=CC=C(Cl)C=C4Cl,JCSGFHVFHSKIJH-UHFFFAOYSA-N,Targeted,Preclinical,HCT116,
spher-colo52-v1-ULA-PB000137-HCT116-48h-P1-L1,B06,4185,5532,PB000137,PB000137_B06,colo-008,"Vorinostat (SAHA, MK0683)",dmso,3.0,µM,10.0,mM,30.0,nl,40.0,µl,trt,S1047,"Autophagy,HDAC",Epigenetics,5311.0,ONC(=O)CCCCCCC(=O)NC1=CC=CC=C1,WAEXFXRVDQXREF-UHFFFAOYSA-N,Targeted,Launched,HCT116,
spher-colo52-v1-ULA-PB000137-HCT116-48h-P1-L1,B07,4185,5532,PB000137,PB000137_B07,colo-025,AZD7762,dmso,10.0,µM,10.0,mM,100.0,nl,40.0,µl,trt,S1532,Chk,Cell Cycle,11152667.0,NC(=O)NC1=C(SC(=C1)C2=CC(=CC=C2)F)C(=O)NC3CCCNC3,IAYGCINLNONXHY-LBPRGKRZSA-N,Targeted,Phase 1,HCT116,
spher-colo52-v1-ULA-PB000137-HCT116-48h-P1-L1,B08,4185,5532,PB000137,PB000137_B08,sorb,sorb,dmso,10.0,µM,10.0,mM,100.0,nl,40.0,µl,pos_con,S1876,inert,,5780.0,C(C(C(C(C(CO)O)O)O)O)O,FBPFZTCFMRRESA-JGWLITMVSA-N,,,HCT116,
spher-colo52-v1-ULA-PB000137-HCT116-48h-P1-L1,B09,4185,5532,PB000137,PB000137_B09,colo-015,Triciribine,dmso,0.3,µM,1.0,mM,30.0,nl,40.0,µl,trt,S1117,Akt,PI3K/Akt/mTOR,65399.0,CN1N=C(N)C2=C[N](C3OC(CO)C(O)C3O)C4=C2C1=NC=N4,HOGVTUZUJGHKPL-HTVVRFAVSA-N,Targeted,Phase 1/Phase 2,HCT116,
spher-colo52-v1-ULA-PB000137-HCT116-48h-P1-L1,B10,4185,5532,PB000137,PB000137_B10,colo-027,Doramapimod (BIRB 796),dmso,10.0,µM,10.0,mM,100.0,nl,40.0,µl,trt,S1574,p38 MAPK,MAPK,156422.0,CC1=CC=C(C=C1)[N]2N=C(C=C2NC(=O)NC3=CC=C(OCCN4CCOCC4)C5=C3C=CC=C5)C(C)(C)C,MVCOAUNKQVWQHZ-UHFFFAOYSA-N,Targeted,Phase 2,HCT116,
spher-colo52-v1-ULA-PB000137-HCT116-48h-P1-L1,B11,4185,5532,PB000137,PB000137_B11,colo-032,Phenformin HCl,dmso,10.0,µM,10.0,mM,100.0,nl,40.0,µl,trt,S2542,AMPK,PI3K/Akt/mTOR,13266.0,Cl.NC(=N)NC(=N)NCCC1=CC=CC=C1,YSUCWSWKRIOILX-UHFFFAOYSA-N,,Launched,HCT116,
