layout_id,well_id,image_id,cp_id,barcode,plate_well,cmpd_code,cmpdname,solvent,cmpd_conc,cmpd_conc_unit,stock_conc,stock_conc_unit,cmpd_vol,cmpd_vol_unit,well_vol,well_vol_unit,pert_type,article_id,target,pathway,pubchemID,smiles,inkey,target_type,clinical_status,cell_line
pilot3_withoutWGA_01BSA_run2,A01,7548,12142,pilot3_withoutWGA_01BSA_run2,pilot3_withoutWGA_01BSA_run2_A01,colo-044,abemaciclib,dmso,10.0,µM,10.0,mM,60.0,nl,40.0,µl,trt,,,Cell Cycle,,,,,,HCT116
pilot3_withoutWGA_01BSA_run2,A02,7548,12142,pilot3_withoutWGA_01BSA_run2,pilot3_withoutWGA_01BSA_run2_A02,ref-002,fenbendazole,dmso,2.5,µM,10.0,mM,15.0,nl,40.0,µl,pos_con,,,,,,,,,HCT116
pilot3_withoutWGA_01BSA_run2,A03,7548,12142,pilot3_withoutWGA_01BSA_run2,pilot3_withoutWGA_01BSA_run2_A03,colo-044,abemaciclib,dmso,3.0,µM,10.0,mM,17.5,nl,40.0,µl,trt,,,Cell Cycle,,,,,,HCT116
pilot3_withoutWGA_01BSA_run2,A04,7548,12142,pilot3_withoutWGA_01BSA_run2,pilot3_withoutWGA_01BSA_run2_A04,colo-020,fluorouracil,dmso,10.0,µM,10.0,mM,60.0,nl,40.0,µl,trt,,,DNA Damage,,,,,,HCT116
pilot3_withoutWGA_01BSA_run2,A05,7548,12142,pilot3_withoutWGA_01BSA_run2,pilot3_withoutWGA_01BSA_run2_A05,colo-041,binimetinib,dmso,3.0,µM,10.0,mM,17.5,nl,40.0,µl,trt,,,MAPK,,,,,,HCT116
pilot3_withoutWGA_01BSA_run2,A06,7548,12142,pilot3_withoutWGA_01BSA_run2,pilot3_withoutWGA_01BSA_run2_A06,colo-020,fluorouracil,dmso,3.0,µM,10.0,mM,17.5,nl,40.0,µl,trt,,,DNA Damage,,,,,,HCT116
pilot3_withoutWGA_01BSA_run2,A07,7548,12142,pilot3_withoutWGA_01BSA_run2,pilot3_withoutWGA_01BSA_run2_A07,dmso,dmso,dmso,0.1,µM,100.0,mM,60.0,nl,40.0,µl,neg_con,,,,,,,,,HCT116
pilot3_withoutWGA_01BSA_run2,A08,7548,12142,pilot3_withoutWGA_01BSA_run2,pilot3_withoutWGA_01BSA_run2_A08,colo-009,olaparib,dmso,10.0,µM,10.0,mM,60.0,nl,40.0,µl,trt,,,DNA Damage,,,,,,HCT116
pilot3_withoutWGA_01BSA_run2,B01,7548,12142,pilot3_withoutWGA_01BSA_run2,pilot3_withoutWGA_01BSA_run2_B01,dmso,dmso,dmso,0.1,µM,100.0,mM,60.0,nl,40.0,µl,neg_con,,,,,,,,,HCT116
pilot3_withoutWGA_01BSA_run2,B02,7548,12142,pilot3_withoutWGA_01BSA_run2,pilot3_withoutWGA_01BSA_run2_B02,colo-041,binimetinib,dmso,10.0,µM,10.0,mM,60.0,nl,40.0,µl,trt,,,MAPK,,,,,,HCT116
pilot3_withoutWGA_01BSA_run2,B03,7548,12142,pilot3_withoutWGA_01BSA_run2,pilot3_withoutWGA_01BSA_run2_B03,colo-040,sn-38,dmso,3.0,µM,10.0,mM,17.5,nl,40.0,µl,trt,,,DNA Damage,,,,,,HCT116
