layout_id,well_id,barcode,plate_well,cmpd_code,cmpdname,solvent,cmpd_conc,cmpd_conc_unit,stock_conc,stock_conc_unit,cmpd_vol,cmpd_vol_unit,well_vol,well_vol_unit,pert_type,article_id,target,pathway,pubchemID,smiles,inkey,target_type,clinical_status,cell_line
colo8-v1-L1-P1,A01,PB100082,PB100082_A01,colo-028,gemcitabine,dmso,1.0,µM,10.0,mM,10.0,nl,40.0,µl,trt,,,DNA Damage,,,,,,HCT116
colo8-v1-L1-P1,A02,PB100082,PB100082_A02,dmso,dmso,dmso,0.1,µM,100.0,mM,100.0,nl,40.0,µl,neg_con,,,,,,,,,HCT116
colo8-v1-L1-P1,A03,PB100082,PB100082_A03,colo-040,sn-38,dmso,10.0,µM,10.0,mM,100.0,nl,40.0,µl,trt,,,DNA Damage,,,,,,HCT116
colo8-v1-L1-P1,A04,PB100082,PB100082_A04,ref-003,staurosporine,dmso,0.2,µM,1.0,mM,20.0,nl,40.0,µl,pos_con,,,,,,,,,HCT116
colo8-v1-L1-P1,A05,PB100082,PB100082_A05,colo-041,binimetinib,dmso,10.0,µM,10.0,mM,100.0,nl,40.0,µl,trt,,,MAPK,,,,,,HCT116
colo8-v1-L1-P1,A06,PB100082,PB100082_A06,ref-001,etoposide,dmso,2.5,µM,10.0,mM,25.0,nl,40.0,µl,pos_con,,,,,,,,,HCT116
colo8-v1-L1-P1,A07,PB100082,PB100082_A07,colo-020,fluorouracil,dmso,10.0,µM,10.0,mM,100.0,nl,40.0,µl,trt,,,DNA Damage,,,,,,HCT116
colo8-v1-L1-P1,A08,PB100082,PB100082_A08,dmso,dmso,dmso,0.1,µM,100.0,mM,100.0,nl,40.0,µl,neg_con,,,,,,,,,HCT116
colo8-v1-L1-P1,B01,PB100082,PB100082_B01,ref-003,staurosporine,dmso,0.2,µM,1.0,mM,20.0,nl,40.0,µl,pos_con,,,,,,,,,HCT116
colo8-v1-L1-P1,B02,PB100082,PB100082_B02,colo-020,fluorouracil,dmso,10.0,µM,10.0,mM,100.0,nl,40.0,µl,trt,,,DNA Damage,,,,,,HCT116
colo8-v1-L1-P1,B03,PB100082,PB100082_B03,ref-001,etoposide,dmso,2.5,µM,10.0,mM,25.0,nl,40.0,µl,pos_con,,,,,,,,,HCT116
colo8-v1-L1-P1,B04,PB100082,PB100082_B04,colo-028,gemcitabine,dmso,1.0,µM,10.0,mM,10.0,nl,40.0,µl,trt,,,DNA Damage,,,,,,HCT116
colo8-v1-L1-P1,B05,PB100082,PB100082_B05,dmso,dmso,dmso,0.1,µM,100.0,mM,100.0,nl,40.0,µl,neg_con,,,,,,,,,HCT116
colo8-v1-L1-P1,B06,PB100082,PB100082_B06,colo-040,sn-38,dmso,10.0,µM,10.0,mM,100.0,nl,40.0,µl,trt,,,DNA Damage,,,,,,HCT116
colo8-v1-L1-P1,B07,PB100082,PB100082_B07,ref-002,fenbendazole,dmso,10.0,µM,10.0,mM,100.0,nl,40.0,µl,pos_con,,,,,,,,,HCT116
colo8-v1-L1-P1,B08,PB100082,PB100082_B08,colo-044,abemaciclib,dmso,10.0,µM,10.0,mM,100.0,nl,40.0,µl,trt,,,Cell Cycle,,,,,,HCT116
colo8-v1-L1-P1,C01,PB100082,PB100082_C01,colo-040,sn-38,dmso,10.0,µM,10.0,mM,100.0,nl,40.0,µl,trt,,,DNA Damage,,,,,,HCT116
colo8-v1-L1-P1,C02,PB100082,PB100082_C02,colo-041,binimetinib,dmso,10.0,µM,10.0,mM,100.0,nl,40.0,µl,trt,,,MAPK,,,,,,HCT116
colo8-v1-L1-P1,C03,PB100082,PB100082_C03,colo-029,trifluridine,dmso,10.0,µM,10.0,mM,100.0,nl,40.0,µl,trt,,,DNA Damage,,,,,,HCT116
colo8-v1-L1-P1,C04,PB100082,PB100082_C04,ref-002,fenbendazole,dmso,10.0,µM,10.0,mM,100.0,nl,40.0,µl,pos_con,,,,,,,,,HCT116
colo8-v1-L1-P1,C05,PB100082,PB100082_C05,colo-044,abemaciclib,dmso,10.0,µM,10.0,mM,100.0,nl,40.0,µl,trt,,,Cell Cycle,,,,,,HCT116
colo8-v1-L1-P1,C06,PB100082,PB100082_C06,ref-003,staurosporine,dmso,0.2,µM,1.0,mM,20.0,nl,40.0,µl,pos_con,,,,,,,,,HCT116
colo8-v1-L1-P1,C07,PB100082,PB100082_C07,colo-028,gemcitabine,dmso,1.0,µM,10.0,mM,10.0,nl,40.0,µl,trt,,,DNA Damage,,,,,,HCT116
colo8-v1-L1-P1,C08,PB100082,PB100082_C08,dmso,dmso,dmso,0.1,µM,100.0,mM,100.0,nl,40.0,µl,neg_con,,,,,,,,,HCT116
colo8-v1-L1-P1,D01,PB100082,PB100082_D01,ref-002,fenbendazole,dmso,10.0,µM,10.0,mM,100.0,nl,40.0,µl,pos_con,,,,,,,,,HCT116
colo8-v1-L1-P1,D02,PB100082,PB100082_D02,colo-044,abemaciclib,dmso,10.0,µM,10.0,mM,100.0,nl,40.0,µl,trt,,,Cell Cycle,,,,,,HCT116
colo8-v1-L1-P1,D03,PB100082,PB100082_D03,dmso,dmso,dmso,0.1,µM,100.0,mM,100.0,nl,40.0,µl,neg_con,,,,,,,,,HCT116
