,barcode,image_id,cp_id,well_id,plate_type,cell_line,cmpdname,solvent,cmpd_conc,cmpd_conc_unit,pert_type
0,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,5514,8905,B03,AssayPlate_Corning_3830,HT29,water,water,0.0,%,neg_con
1,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,5514,8905,B04,AssayPlate_Corning_3830,HT29,water,water,0.0,%,neg_con
2,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,5514,8905,B05,AssayPlate_Corning_3830,HT29,water,water,0.0,%,neg_con
3,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,5514,8905,B06,AssayPlate_Corning_3830,HT29,water,water,0.0,%,neg_con
4,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,5514,8905,B07,AssayPlate_Corning_3830,HT29,water,water,0.0,%,neg_con
5,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,5514,8905,B08,AssayPlate_Corning_3830,HT29,water,water,0.0,%,neg_con
6,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,5514,8905,B09,AssayPlate_Corning_3830,HT29,water,water,0.0,%,neg_con
7,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,5514,8905,B10,AssayPlate_Corning_3830,HT29,water,water,0.0,%,neg_con
8,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,5514,8905,B11,AssayPlate_Corning_3830,HT29,water,water,0.0,%,neg_con
9,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,5514,8905,B12,AssayPlate_Corning_3830,HT29,water,water,0.0,%,neg_con
10,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,5514,8905,B13,AssayPlate_Corning_3830,HT29,water,water,0.0,%,neg_con
11,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,5514,8905,B14,AssayPlate_Corning_3830,HT29,water,water,0.0,%,neg_con
12,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,5514,8905,B15,AssayPlate_Corning_3830,HT29,water,water,0.0,%,neg_con
13,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,5514,8905,B16,AssayPlate_Corning_3830,HT29,water,water,0.0,%,neg_con
14,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,5514,8905,B17,AssayPlate_Corning_3830,HT29,water,water,0.0,%,neg_con
15,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,5514,8905,B18,AssayPlate_Corning_3830,HT29,water,water,0.0,%,neg_con
16,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,5514,8905,B19,AssayPlate_Corning_3830,HT29,water,water,0.0,%,neg_con
17,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,5514,8905,B20,AssayPlate_Corning_3830,HT29,water,water,0.0,%,neg_con
18,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,5514,8905,B21,AssayPlate_Corning_3830,HT29,water,water,0.0,%,neg_con
19,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,5514,8905,B22,AssayPlate_Corning_3830,HT29,water,water,0.0,%,neg_con
20,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,5514,8905,C03,AssayPlate_Corning_3830,HT29,nocodazole,DMSO,10.0,mM,pos_con
21,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,5514,8905,C04,AssayPlate_Corning_3830,HT29,nocodazole,DMSO,3.1642857,mM,pos_con
22,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,5514,8905,C05,AssayPlate_Corning_3830,HT29,nocodazole,DMSO,1.0,mM,pos_con
23,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,5514,8905,C06,AssayPlate_Corning_3830,HT29,nocodazole,DMSO,0.31428571,mM,pos_con
24,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,5514,8905,C07,AssayPlate_Corning_3830,HT29,nocodazole,DMSO,0.1,mM,pos_con
25,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,5514,8905,C08,AssayPlate_Corning_3830,HT29,nocodazole,DMSO,0.0316473,mM,pos_con
26,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,5514,8905,C09,AssayPlate_Corning_3830,HT29,nocodazole,DMSO,0.010002279,mM,pos_con
27,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,5514,8905,C10,AssayPlate_Corning_3830,HT29,nocodazole,DMSO,0.003167009,mM,pos_con
28,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,5514,8905,C11,AssayPlate_Corning_3830,HT29,nocodazole,DMSO,0.001002506,mM,pos_con
29,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,5514,8905,C12,AssayPlate_Corning_3830,HT29,nocodazole,DMSO,0.000316388,mM,pos_con
