EnsemblID,gene_name,logFC,PValue,FDR,F,gene_biotype,GroupA_NormCPM,GroupB_NormCPM,GroupA_stdv,GroupB_stdv,log10FDR,alias,mygene_name,summary
ENSG00000124762,CDKN1A,-2.13992,1.54278e-12,2.15125e-8,449.541,protein_coding,954.766,216.424,89.5281,30.0472,7.66731,CAP20;CDKN1;CIP1;MDA-6;P21;SDI1;WAF1;p21CIP1,cyclin dependent kinase inhibitor 1A,"This gene encodes a potent cyclin-dependent kinase inhibitor. The encoded protein binds to and inhibits the activity of cyclin-cyclin-dependent kinase2 or -cyclin-dependent kinase4 complexes, and thus functions as a regulator of cell cycle progression at G1. The expression of this gene is tightly controlled by the tumor suppressor protein p53, through which this protein mediates the p53-dependent cell cycle G1 phase arrest in response to a variety of stress stimuli. This protein can interact with proliferating cell nuclear antigen, a DNA polymerase accessory factor, and plays a regulatory role in S phase DNA replication and DNA damage repair. This protein was reported to be specifically cleaved by CASP3-like caspases, which thus leads to a dramatic activation of cyclin-dependent kinase2, and may be instrumental in the execution of apoptosis following caspase activation. Mice that lack this gene have the ability to regenerate damaged or missing tissue. Multiple alternatively spliced variants have been found for this gene. [provided by RefSeq, Sep 2015]."
ENSG00000115641,FHL2,-1.52733,5.28676e-12,3.68593e-8,378.892,protein_coding,134.329,46.5624,9.39997,3.50033,7.43345,AAG11;DRAL;FHL-2;SLIM-3;SLIM3,four and a half LIM domains 2,"This gene encodes a member of the four-and-a-half-LIM-only protein family. Family members contain two highly conserved, tandemly arranged, zinc finger domains with four highly conserved cysteines binding a zinc atom in each zinc finger. This protein is thought to have a role in the assembly of extracellular membranes. Also, this gene is down-regulated during transformation of normal myoblasts to rhabdomyosarcoma cells and the encoded protein may function as a link between presenilin-2 and an intracellular signaling pathway. Multiple alternatively spliced variants encoding different isoforms have been identified. [provided by RefSeq, Jan 2016]."
ENSG00000212724,KRTAP2-3,-2.22577,8.1498e-12,3.78803e-8,356.744,protein_coding,34.5292,7.29408,4.52802,0.458583,7.42159,KAP2.3;KAP2.4;KRTAP2-4;KRTAP2.3;KRTAP2.4,keratin associated protein 2-3,"Predicted to be located in cytosol. [provided by Alliance of Genome Resources, Apr 2022]"
ENSG00000135679,MDM2,-1.88146,1.56674e-11,5.46165e-8,325.568,protein_coding,413.37,111.946,65.2472,8.68077,7.26268,ACTFS;HDMX;LSKB;hdm2,MDM2 proto-oncogene,"This gene encodes a nuclear-localized E3 ubiquitin ligase. The encoded protein can promote tumor formation by targeting tumor suppressor proteins, such as p53, for proteasomal degradation. This gene is itself transcriptionally-regulated by p53. Overexpression or amplification of this locus is detected in a variety of different cancers. There is a pseudogene for this gene on chromosome 2. Alternative splicing results in a multitude of transcript variants, many of which may be expressed only in tumor cells. [provided by RefSeq, Jun 2013]."
ENSG00000152229,PSTPIP2,-1.30165,2.42612e-11,6.76598e-8,306.209,protein_coding,72.3931,29.3093,4.47302,0.325152,7.16967,MAYP,proline-serine-threonine phosphatase interacting protein 2,"Predicted to enable actin filament binding activity. Predicted to be involved in actin filament polymerization. Predicted to be located in cytoskeleton and membrane. Predicted to be active in actin filament; cytoplasm; and plasma membrane. [provided by Alliance of Genome Resources, Apr 2022]"
ENSG00000172927,MYEOV,-1.48989,4.14541e-11,9.63393e-8,283.986,protein_coding,101.271,35.8803,9.74566,3.22568,7.0162,OCIM,myeloma overexpressed,
ENSG00000138271,GPR87,-2.34127,4.92524e-11,9.81107e-8,277.223,protein_coding,22.4318,4.4682,2.53593,0.976483,7.00828,FKSG78;GPR95;KPG_002,G protein-coupled receptor 87,"This gene encodes a G protein-coupled receptor and is located in a cluster of G protein-couple receptor genes on chromosome 3. The encoded protein has been shown to be overexpressed in lung squamous cell carcinoma (PMID:18057535) and regulated by p53 (PMID:19602589). [provided by RefSeq, Nov 2011]."
ENSG00000174307,PHLDA3,-1.32318,6.4849e-11,1.03624e-7,266.613,protein_coding,77.375,30.8826,4.10927,2.72986,6.98454,TIH1,pleckstrin homology like domain family A member 3,"Enables phosphatidylinositol phosphate binding activity and phosphatidylinositol-3,4-bisphosphate binding activity. Involved in intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator; negative regulation of protein kinase B signaling; and positive regulation of apoptotic process. Located in plasma membrane. [provided by Alliance of Genome Resources, Apr 2022]"
ENSG00000136542,GALNT5,-1.58227,7.41842e-11,1.03624e-7,261.589,protein_coding,139.742,46.4902,12.2996,6.24677,6.98454,GALNAC-T5;GALNACT5,polypeptide N-acetylgalactosaminyltransferase 5,"The protein encoded by this gene is a membrane-bound polypeptide N-acetylgalactosaminyltransferase that is found in the Golgi. The encoded protein catalyzes the first step in the mucin-type O-glycosylation of Golgi proteins, transfering an N-acetyl-D-galactosamine residue to a serine or threonine residue on the protein receptor. [provided by RefSeq, Aug 2016]."
ENSG00000164938,TP53INP1,-1.5516,7.43143e-11,1.03624e-7,261.527,protein_coding,83.5004,28.3495,10.1438,2.07187,6.98454,SIP;TP53DINP1;TP53INP1A;TP53INP1B;Teap;p53DINP1,tumor protein p53 inducible nuclear protein 1,"Predicted to enable antioxidant activity. Involved in autophagic cell death; positive regulation of autophagy; and positive regulation of transcription, DNA-templated. Located in autophagosome; cytosol; and nucleus. [provided by Alliance of Genome Resources, Apr 2022]"
