EnsemblID,gene_name,logFC,PValue,FDR,F,gene_biotype,GroupA_NormCPM,GroupB_NormCPM,GroupA_stdv,GroupB_stdv,log10FDR,alias,mygene_name,summary
ENSG00000124762,CDKN1A,3.49436,5.88313e-11,8.34875e-7,474.732,protein_coding,86.7333,983.626,12.8371,90.4609,6.07838,CAP20;CDKN1;CIP1;MDA-6;P21;SDI1;WAF1;p21CIP1,cyclin dependent kinase inhibitor 1A,"This gene encodes a potent cyclin-dependent kinase inhibitor. The encoded protein binds to and inhibits the activity of cyclin-cyclin-dependent kinase2 or -cyclin-dependent kinase4 complexes, and thus functions as a regulator of cell cycle progression at G1. The expression of this gene is tightly controlled by the tumor suppressor protein p53, through which this protein mediates the p53-dependent cell cycle G1 phase arrest in response to a variety of stress stimuli. This protein can interact with proliferating cell nuclear antigen, a DNA polymerase accessory factor, and plays a regulatory role in S phase DNA replication and DNA damage repair. This protein was reported to be specifically cleaved by CASP3-like caspases, which thus leads to a dramatic activation of cyclin-dependent kinase2, and may be instrumental in the execution of apoptosis following caspase activation. Mice that lack this gene have the ability to regenerate damaged or missing tissue. Multiple alternatively spliced variants have been found for this gene. [provided by RefSeq, Sep 2015]."
ENSG00000136542,GALNT5,2.50832,1.21355e-9,0.00000607372,281.098,protein_coding,25.0334,144.001,3.48807,12.9139,5.21655,GALNAC-T5;GALNACT5,polypeptide N-acetylgalactosaminyltransferase 5,"The protein encoded by this gene is a membrane-bound polypeptide N-acetylgalactosaminyltransferase that is found in the Golgi. The encoded protein catalyzes the first step in the mucin-type O-glycosylation of Golgi proteins, transfering an N-acetyl-D-galactosamine residue to a serine or threonine residue on the protein receptor. [provided by RefSeq, Aug 2016]."
ENSG00000138271,GPR87,3.12647,1.68554e-9,0.00000607372,267.377,protein_coding,2.47252,23.1211,0.642463,2.69886,5.21655,FKSG78;GPR95;KPG_002,G protein-coupled receptor 87,"This gene encodes a G protein-coupled receptor and is located in a cluster of G protein-couple receptor genes on chromosome 3. The encoded protein has been shown to be overexpressed in lung squamous cell carcinoma (PMID:18057535) and regulated by p53 (PMID:19602589). [provided by RefSeq, Nov 2011]."
ENSG00000174307,PHLDA3,2.18884,2.09969e-9,0.00000607372,255.409,protein_coding,17.5311,79.7317,1.69081,4.40895,5.21655,TIH1,pleckstrin homology like domain family A member 3,"Enables phosphatidylinositol phosphate binding activity and phosphatidylinositol-3,4-bisphosphate binding activity. Involved in intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator; negative regulation of protein kinase B signaling; and positive regulation of apoptotic process. Located in plasma membrane. [provided by Alliance of Genome Resources, Apr 2022]"
ENSG00000115129,TP53I3,2.43839,2.48718e-9,0.00000607372,248.033,protein_coding,9.07664,50.3849,1.53433,2.06997,5.21655,PIG3,tumor protein p53 inducible protein 3,"The protein encoded by this gene is similar to oxidoreductases, which are enzymes involved in cellular responses to oxidative stresses and irradiation. This gene is induced by the tumor suppressor p53 and is thought to be involved in p53-mediated cell death. It contains a p53 consensus binding site in its promoter region and a downstream pentanucleotide microsatellite sequence. P53 has been shown to transcriptionally activate this gene by interacting with the downstream pentanucleotide microsatellite sequence. The microsatellite is polymorphic, with a varying number of pentanucleotide repeats directly correlated with the extent of transcriptional activation by p53. It has been suggested that the microsatellite polymorphism may be associated with differential susceptibility to cancer. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, May 2011]."
ENSG00000026103,FAS,2.26963,2.61003e-9,0.00000607372,245.921,protein_coding,9.78067,48.0407,1.20812,2.85022,5.21655,ALPS1A;APO-1;APT1;CD95;FAS1;FASTM;TNFRSF6,Fas cell surface death receptor,"The protein encoded by this gene is a member of the TNF-receptor superfamily. This receptor contains a death domain. It has been shown to play a central role in the physiological regulation of programmed cell death, and has been implicated in the pathogenesis of various malignancies and diseases of the immune system. The interaction of this receptor with its ligand allows the formation of a death-inducing signaling complex that includes Fas-associated death domain protein (FADD), caspase 8, and caspase 10. The autoproteolytic processing of the caspases in the complex triggers a downstream caspase cascade, and leads to apoptosis. This receptor has been also shown to activate NF-kappaB, MAPK3/ERK1, and MAPK8/JNK, and is found to be involved in transducing the proliferating signals in normal diploid fibroblast and T cells. Several alternatively spliced transcript variants have been described, some of which are candidates for nonsense-mediated mRNA decay (NMD). The isoforms lacking the transmembrane domain may negatively regulate the apoptosis mediated by the full length isoform. [provided by RefSeq, Mar 2011]."
ENSG00000212724,KRTAP2-3,2.44515,3.20737e-9,0.00000607372,237.372,protein_coding,6.42572,35.5707,0.542337,4.58037,5.21655,KAP2.3;KAP2.4;KRTAP2-4;KRTAP2.3;KRTAP2.4,keratin associated protein 2-3,"Predicted to be located in cytosol. [provided by Alliance of Genome Resources, Apr 2022]"
ENSG00000164938,TP53INP1,2.38221,3.42398e-9,0.00000607372,234.392,protein_coding,16.5616,86.0619,1.86516,10.7587,5.21655,SIP;TP53DINP1;TP53INP1A;TP53INP1B;Teap;p53DINP1,tumor protein p53 inducible nuclear protein 1,"Predicted to enable antioxidant activity. Involved in autophagic cell death; positive regulation of autophagy; and positive regulation of transcription, DNA-templated. Located in autophagosome; cytosol; and nucleus. [provided by Alliance of Genome Resources, Apr 2022]"
ENSG00000128510,CPA4,2.94406,7.87545e-9,0.0000124178,212.123,protein_coding,7.78004,61.1927,0.900916,14.0546,4.90595,CPA3,carboxypeptidase A4,"This gene is a member of the carboxypeptidase A/B subfamily, and it is located in a cluster with three other family members on chromosome 7. Carboxypeptidases are zinc-containing exopeptidases that catalyze the release of carboxy-terminal amino acids, and are synthesized as zymogens that are activated by proteolytic cleavage. This gene could be involved in the histone hyperacetylation pathway. It is imprinted and may be a strong candidate gene for prostate cancer aggressiveness. [provided by RefSeq, Jul 2008]."
ENSG00000135679,MDM2,2.62373,1.70077e-8,0.0000241356,184.373,protein_coding,68.5737,425.924,16.0597,67.0415,4.61734,ACTFS;HDMX;LSKB;hdm2,MDM2 proto-oncogene,"This gene encodes a nuclear-localized E3 ubiquitin ligase. The encoded protein can promote tumor formation by targeting tumor suppressor proteins, such as p53, for proteasomal degradation. This gene is itself transcriptionally-regulated by p53. Overexpression or amplification of this locus is detected in a variety of different cancers. There is a pseudogene for this gene on chromosome 2. Alternative splicing results in a multitude of transcript variants, many of which may be expressed only in tumor cells. [provided by RefSeq, Jun 2013]."
ENSG00000173535,TNFRSF10C,2.92398,2.30054e-8,0.0000293969,145.191,protein_coding,0.559327,4.35282,0.0617368,0.299263,4.5317,CD263;DCR1;DCR1-TNFR;LIT;TRAIL-R3;TRAILR3;TRID,TNF receptor superfamily member 10c,"The protein encoded by this gene is a member of the TNF-receptor superfamily. This receptor contains an extracellular TRAIL-binding domain and a transmembrane domain, but no cytoplasmic death domain. This receptor is not capable of inducing apoptosis, and is thought to function as an antagonistic receptor that protects cells from TRAIL-induced apoptosis. This gene was found to be a p53-regulated DNA damage-inducible gene. The expression of this gene was detected in many normal tissues but not in most cancer cell lines, which may explain the specific sensitivity of cancer cells to the apoptosis-inducing activity of TRAIL. [provided by RefSeq, Jul 2008]."
ENSG00000196562,SULF2,3.22299,2.48582e-8,0.0000293969,172.651,protein_coding,1.63169,18.1981,0.914855,1.62587,4.5317,HSULF-2,sulfatase 2,"Heparan sulfate proteoglycans (HSPGs) act as coreceptors for numerous heparin-binding growth factors and cytokines and are involved in cell signaling. Heparan sulfate 6-O-endosulfatases, such as SULF2, selectively remove 6-O-sulfate groups from heparan sulfate. This activity modulates the effects of heparan sulfate by altering binding sites for signaling molecules (Dai et al., 2005 [PubMed 16192265]).[supplied by OMIM, Mar 2008]."
ENSG00000184254,ALDH1A3,1.88464,3.59717e-8,0.000033252,154.246,protein_coding,70.9331,263.726,8.7574,34.8653,4.47818,ALDH1A6;ALDH6;MCOP8;RALDH3,aldehyde dehydrogenase 1 family member A3,"This gene encodes an aldehyde dehydrogenase enzyme that uses retinal as a substrate. Mutations in this gene have been associated with microphthalmia, isolated 8, and expression changes have also been detected in tumor cells. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jun 2014]."
ENSG00000237512,UNC5B-AS1,2.62858,3.74711e-8,0.000033252,159.364,lncRNA,3.7676,25.4978,1.47074,2.69444,4.47818,TP53LC05;UASR1,UNC5B antisense RNA 1,
ENSG00000099617,EFNA2,-1.84785,3.93497e-8,0.000033252,151.83,protein_coding,22.4231,6.10706,1.61184,0.757249,4.47818,ELF-1;EPLG6;HEK7-L;LERK-6;LERK6,ephrin A2,"This gene encodes a member of the ephrin family. The protein is composed of a signal sequence, a receptor-binding region, a spacer region, and a hydrophobic region. The EPH and EPH-related receptors comprise the largest subfamily of receptor protein-tyrosine kinases and have been implicated in mediating developmental events, particularly in the nervous system. Based on their structures and sequence relationships, ephrins are divided into the ephrin-A (EFNA) class, which are anchored to the membrane by a glycosylphosphatidylinositol linkage, and the ephrin-B (EFNB) class, which are transmembrane proteins. Posttranslational modifications determine whether this protein localizes to the nucleus or the cytoplasm. [provided by RefSeq, Jul 2008]."
ENSG00000107796,ACTA2,2.27179,4.38755e-8,0.000033252,149.849,protein_coding,5.36393,27.7315,1.38033,3.74209,4.47818,ACTSA;SMDYS,"actin alpha 2, smooth muscle","This gene encodes one of six different actin proteins. Actins are highly conserved proteins that are involved in cell motility, structure, integrity, and intercellular signaling. The encoded protein is a smooth muscle actin that is involved in vascular contractility and blood pressure homeostasis. Mutations in this gene cause a variety of vascular diseases, such as thoracic aortic disease, coronary artery disease, stroke, and Moyamoya disease, as well as multisystemic smooth muscle dysfunction syndrome. [provided by RefSeq, Sep 2017]."
ENSG00000080546,SESN1,1.8571,4.40694e-8,0.000033252,148.778,protein_coding,8.68812,32.7327,1.60448,1.62377,4.47818,PA26;SEST1,sestrin 1,"This gene encodes a member of the sestrin family. Sestrins are induced by the p53 tumor suppressor protein and play a role in the cellular response to DNA damage and oxidative stress. The encoded protein mediates p53 inhibition of cell growth by activating AMP-activated protein kinase, which results in the inhibition of the mammalian target of rapamycin protein. The encoded protein also plays a critical role in antioxidant defense by regenerating overoxidized peroxiredoxins, and the expression of this gene is a potential marker for exposure to radiation. Alternatively spliced transcript variants encoding multiple isoforms have been observed for this gene. [provided by RefSeq, Dec 2010]."
ENSG00000155066,PROM2,2.54539,4.41825e-8,0.000033252,149.432,protein_coding,2.23554,13.2848,0.354229,2.20699,4.47818,PROML2,prominin 2,"This gene encodes a member of the prominin family of pentaspan membrane glycoproteins. The encoded protein localizes to basal epithelial cells and may be involved in the organization of plasma membrane microdomains. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Oct 2009]."
ENSG00000117472,TSPAN1,1.96733,4.77605e-8,0.000033252,146.902,protein_coding,4.943,18.9871,0.301318,2.47993,4.47818,NET1;TM4C;TM4SF,tetraspanin 1,"The protein encoded by this gene is a member of the transmembrane 4 superfamily, also known as the tetraspanin family. Most of these members are cell-surface proteins that are characterized by the presence of four hydrophobic domains. The proteins mediate signal transduction events that play a role in the regulation of cell development, activation, growth and motility. [provided by RefSeq, Jul 2008]."
ENSG00000172927,MYEOV,1.7556,4.80752e-8,0.000033252,146.391,protein_coding,30.4518,104.313,4.12933,9.57939,4.47818,OCIM,myeloma overexpressed,
ENSG00000251095,ENSG00000251095,3.31469,4.94866e-8,0.000033252,151.487,lncRNA,1.39191,16.6928,0.837312,2.13851,4.47818,,uncharacterized LOC105377329,
ENSG00000186480,INSIG1,-1.60361,5.15499e-8,0.000033252,144.55,protein_coding,160.668,52.8142,9.09034,5.90793,4.47818,CL6,insulin induced gene 1,"This gene encodes an endoplasmic reticulum membrane protein that regulates cholesterol metabolism, lipogenesis, and glucose homeostasis. The encoded protein has six transmembrane helices which contain an effector protein binding site. It binds the sterol-sensing domains of sterol regulatory element-binding protein (SREBP) cleavage-activating protein (SCAP) and 3-hydroxy-3-methylglutaryl-coenzyme A reductase (HMG-CoA reductase), and is essential for the sterol-mediated trafficking of these two proteins. It promotes the endoplasmic reticulum retention of SCAP and the ubiquitin-mediated degradation of HMG-CoA reductase. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Oct 2016]."
