NAME,TERM,ES,NES,NOM_P_VAL,FDR_Q_VAL,FWER_P_VAL,TAG_%,GENE_%,LEAD_GENES,LEAD_GENES_IDS
prerank,E2F Targets,-0.8006835824531884,-3.1415094619897896,0.001,0.001,0.001,128/200,6.40%,BARD1;PLK4;MCM6;BRCA2;TCF19;WEE1;DEPDC1;CHEK1;MCM5;BRCA1;MCM4;ATAD2;UNG;GINS1;TUBB;CENPE;MCM7;TACC3;HELLS;MCM2;H2AX;KIF18B;ASF1B;PSIP1;NASP;AURKA;LBR;DCLRE1B;SPC25;ANP32E;SMC3;CDC20;HMGB3;RAD21;PLK1;LMNB1;KIF22;CDKN1B;SMC4;SUV39H1;CIT;RACGAP1;TMPO;MCM3;MYBL2;CDC25A;USP1;BUB1B;EZH2;MSH2;KIF4A;MKI67;SPAG5;H2AZ1;CDCA8;MMS22L;DLGAP5;MXD3;ESPL1;POLD3;KIF2C;HMMR;DCK;RFC1;E2F8;DONSON;DIAPH3;DEK;POLA2;SLBP;ZW10;DNMT1;RAD51AP1;NCAPD2;LIG1;ORC6;PRIM2;HMGB2;CDCA3;GINS3;SPC24;CSE1L;PSMC3IP;POLE;TIMELESS;KPNA2;UBR7;RPA2;NUDT21;SMC1A;CCP110;DSCC1;SMC6;TRA2B;DUT;CCNB2;SRSF2;NUP107;MELK;TRIP13;NUP153;AURKB;TUBG1;PDS5B;RFC2;RPA3;RFC3;TIPIN;RBBP7;CDKN2C;CTCF;CDKN3;BIRC5;TOP2A;ILF3;GINS4;NAP1L1;RRM2;STMN1;SHMT1;MAD2L1;TK1;STAG1;EED;RPA1;CKS2;UBE2T;RNASEH2A,ENSG00000138376;ENSG00000142731;ENSG00000076003;ENSG00000139618;ENSG00000137310;ENSG00000166483;ENSG00000024526;ENSG00000149554;ENSG00000100297;ENSG00000012048;ENSG00000104738;ENSG00000156802;ENSG00000076248;ENSG00000101003;ENSG00000196230;ENSG00000138778;ENSG00000166508;ENSG00000013810;ENSG00000119969;ENSG00000073111;ENSG00000188486;ENSG00000186185;ENSG00000105011;ENSG00000164985;ENSG00000132780;ENSG00000087586;ENSG00000143815;ENSG00000118655;ENSG00000152253;ENSG00000143401;ENSG00000108055;ENSG00000117399;ENSG00000029993;ENSG00000164754;ENSG00000166851;ENSG00000113368;ENSG00000079616;ENSG00000111276;ENSG00000113810;ENSG00000101945;ENSG00000122966;ENSG00000161800;ENSG00000120802;ENSG00000112118;ENSG00000101057;ENSG00000164045;ENSG00000162607;ENSG00000156970;ENSG00000106462;ENSG00000095002;ENSG00000090889;ENSG00000148773;ENSG00000076382;ENSG00000164032;ENSG00000134690;ENSG00000146263;ENSG00000126787;ENSG00000213347;ENSG00000135476;ENSG00000077514;ENSG00000142945;ENSG00000072571;ENSG00000156136;ENSG00000035928;ENSG00000129173;ENSG00000159147;ENSG00000139734;ENSG00000124795;ENSG00000014138;ENSG00000163950;ENSG00000086827;ENSG00000130816;ENSG00000111247;ENSG00000010292;ENSG00000105486;ENSG00000091651;ENSG00000146143;ENSG00000164104;ENSG00000111665;ENSG00000181938;ENSG00000161888;ENSG00000124207;ENSG00000131470;ENSG00000177084;ENSG00000111602;ENSG00000182481;ENSG00000012963;ENSG00000117748;ENSG00000167005;ENSG00000072501;ENSG00000103540;ENSG00000136982;ENSG00000163029;ENSG00000136527;ENSG00000128951;ENSG00000157456;ENSG00000161547;ENSG00000111581;ENSG00000165304;ENSG00000071539;ENSG00000124789;ENSG00000178999;ENSG00000131462;ENSG00000083642;ENSG00000049541;ENSG00000106399;ENSG00000133119;ENSG00000075131;ENSG00000102054;ENSG00000123080;ENSG00000102974;ENSG00000100526;ENSG00000089685;ENSG00000131747;ENSG00000129351;ENSG00000147536;ENSG00000187109;ENSG00000171848;ENSG00000117632;ENSG00000176974;ENSG00000164109;ENSG00000167900;ENSG00000118007;ENSG00000074266;ENSG00000132383;ENSG00000123975;ENSG00000077152;ENSG00000104889
prerank,P53 Pathway,0.7248604335937986,2.9906832080824763,0.001,0.001,0.001,94/179,11.83%,CDKN1A;PHLDA3;FAS;BTG2;MDM2;SERPINB5;SESN1;RPS27L;PLK2;EPS8L2;FDXR;ZMAT3;BAX;PLK3;DDB2;AEN;CYFIP2;TGFA;DRAM1;NDRG1;TOB1;PPM1D;BLCAP;EPHA2;DGKA;TSC22D1;COQ8A;TAP1;HSPA4L;NINJ1;GADD45A;MXD4;SFN;AK1;PVT1;TRIAP1;CD82;PROCR;TM7SF3;NOTCH1;DDIT4;IER5;TRAF4;POLH;XPC;FAM162A;MKNK2;KLK8;PITPNC1;RRAD;PIDD1;ITGB4;ISCU;ANKRA2;RNF19B;IP6K2;PDGFA;SAT1;BTG1;FUCA1;RGS16;PLXNB2;HRAS;RALGDS;ATF3;BAK1;S100A4;CCNG1;UPP1;PRMT2;HBEGF;PERP;EI24;LIF;RPL36;SDC1;PTPRE;BAIAP2;WRAP73;S100A10;HEXIM1;FOXO3;PRKAB1;JAG2;CCNK;RPS12;OSGIN1;MXD1;TAX1BP3;RAP2B;SEC61A1;IFI30;DEF6;FBXW7,ENSG00000124762;ENSG00000174307;ENSG00000026103;ENSG00000159388;ENSG00000135679;ENSG00000206075;ENSG00000080546;ENSG00000185088;ENSG00000145632;ENSG00000177106;ENSG00000161513;ENSG00000172667;ENSG00000087088;ENSG00000173846;ENSG00000134574;ENSG00000181026;ENSG00000055163;ENSG00000163235;ENSG00000136048;ENSG00000104419;ENSG00000141232;ENSG00000170836;ENSG00000166619;ENSG00000142627;ENSG00000065357;ENSG00000102804;ENSG00000163050;ENSG00000168394;ENSG00000164070;ENSG00000131669;ENSG00000116717;ENSG00000123933;ENSG00000175793;ENSG00000106992;ENSG00000249859;ENSG00000170855;ENSG00000085117;ENSG00000101000;ENSG00000064115;ENSG00000148400;ENSG00000168209;ENSG00000162783;ENSG00000076604;ENSG00000170734;ENSG00000154767;ENSG00000114023;ENSG00000099875;ENSG00000129455;ENSG00000154217;ENSG00000166592;ENSG00000177595;ENSG00000132470;ENSG00000136003;ENSG00000164331;ENSG00000116514;ENSG00000068745;ENSG00000197461;ENSG00000130066;ENSG00000133639;ENSG00000179163;ENSG00000143333;ENSG00000196576;ENSG00000174775;ENSG00000160271;ENSG00000162772;ENSG00000030110;ENSG00000196154;ENSG00000113328;ENSG00000183696;ENSG00000160310;ENSG00000113070;ENSG00000112378;ENSG00000149547;ENSG00000128342;ENSG00000130255;ENSG00000115884;ENSG00000132334;ENSG00000175866;ENSG00000116213;ENSG00000197747;ENSG00000186834;ENSG00000118689;ENSG00000111725;ENSG00000184916;ENSG00000090061;ENSG00000112306;ENSG00000140961;ENSG00000059728;ENSG00000213977;ENSG00000181467;ENSG00000058262;ENSG00000216490;ENSG00000023892;ENSG00000109670
prerank,G2M Checkpoint,-0.7579623543804,-2.966626013786196,0.001,0.001,0.001,107/195,6.55%,BARD1;PLK4;MCM6;BRCA2;CHAF1A;E2F1;CHEK1;MCM5;CDC6;KIF20B;EXO1;CENPE;KIF23;INCENP;TACC3;MCM2;H2AX;CCNF;NASP;NSD2;STIL;AURKA;LBR;CDC20;BUB1;HMGB3;RAD21;KIF15;PLK1;CCNA2;LMNB1;KIF22;CDKN1B;SMC4;SUV39H1;RACGAP1;TMPO;KNL1;TTK;MCM3;E2F2;MYBL2;CASP8AP2;CDC25A;EZH2;SMC2;KIF4A;MKI67;CENPF;PRC1;H2AZ1;ESPL1;DBF4;FBXO5;TROAP;KIF2C;HMMR;KIF11;CDC45;POLA2;RAD54L;CBX1;SQLE;ORC6;KMT5A;PRIM2;CDC7;NUP50;PBK;TRAIP;GINS2;POLE;KPNA2;RPA2;SMC1A;TPX2;TRA2B;CCNB2;SRSF2;RBL1;NDC80;MARCKS;AURKB;POLQ;PDS5B;AMD1;MTF2;NUSAP1;CDKN2C;CTCF;CDKN3;BIRC5;KPNB1;HSPA8;TOP2A;ILF3;NEK2;FANCC;SRSF10;STMN1;MAD2L1;SLC38A1;SAP30;STAG1;SLC7A1;CKS2;H2AZ2,ENSG00000138376;ENSG00000142731;ENSG00000076003;ENSG00000139618;ENSG00000167670;ENSG00000101412;ENSG00000149554;ENSG00000100297;ENSG00000094804;ENSG00000138182;ENSG00000174371;ENSG00000138778;ENSG00000137807;ENSG00000149503;ENSG00000013810;ENSG00000073111;ENSG00000188486;ENSG00000162063;ENSG00000132780;ENSG00000109685;ENSG00000123473;ENSG00000087586;ENSG00000143815;ENSG00000117399;ENSG00000169679;ENSG00000029993;ENSG00000164754;ENSG00000163808;ENSG00000166851;ENSG00000145386;ENSG00000113368;ENSG00000079616;ENSG00000111276;ENSG00000113810;ENSG00000101945;ENSG00000161800;ENSG00000120802;ENSG00000137812;ENSG00000112742;ENSG00000112118;ENSG00000007968;ENSG00000101057;ENSG00000118412;ENSG00000164045;ENSG00000106462;ENSG00000136824;ENSG00000090889;ENSG00000148773;ENSG00000117724;ENSG00000198901;ENSG00000164032;ENSG00000135476;ENSG00000006634;ENSG00000112029;ENSG00000135451;ENSG00000142945;ENSG00000072571;ENSG00000138160;ENSG00000093009;ENSG00000014138;ENSG00000085999;ENSG00000108468;ENSG00000104549;ENSG00000091651;ENSG00000183955;ENSG00000146143;ENSG00000097046;ENSG00000093000;ENSG00000168078;ENSG00000183763;ENSG00000131153;ENSG00000177084;ENSG00000182481;ENSG00000117748;ENSG00000072501;ENSG00000088325;ENSG00000136527;ENSG00000157456;ENSG00000161547;ENSG00000080839;ENSG00000080986;ENSG00000277443;ENSG00000178999;ENSG00000051341;ENSG00000083642;ENSG00000123505;ENSG00000143033;ENSG00000137804;ENSG00000123080;ENSG00000102974;ENSG00000100526;ENSG00000089685;ENSG00000108424;ENSG00000109971;ENSG00000131747;ENSG00000129351;ENSG00000117650;ENSG00000158169;ENSG00000188529;ENSG00000117632;ENSG00000164109;ENSG00000111371;ENSG00000164105;ENSG00000118007;ENSG00000139514;ENSG00000123975;ENSG00000105968
prerank,Mitotic Spindle,-0.5727048937725694,-2.230059298083564,0.001,0.001,0.001,73/196,15.63%,BRCA2;SASS6;KIF20B;CENPE;KIF23;INCENP;ANLN;AURKA;SMC3;BUB1;KIF15;PLK1;LMNB1;KIF22;SMC4;RACGAP1;TTK;KIF4A;CENPF;PRC1;DLGAP5;ESPL1;FBXO5;KIF2C;KIF11;RFC1;CNTRL;KNTC1;CDC42EP4;CENPJ;SMC1A;TPX2;TUBGCP3;CCNB2;TUBGCP5;NDC80;MARCKS;TUBA4A;SUN2;NUSAP1;BIRC5;TOP2A;ECT2;NEK2;PIF1;TUBD1;CKAP5;EPB41L2;LLGL1;GEMIN4;CEP57;ALMS1;CDK5RAP2;CEP131;CDK1;ARHGEF11;FGD4;RAPGEF5;PCNT;CCDC88A;FSCN1;PPP4R2;NIN;ARHGAP5;MYH10;TLK1;ABL1;KATNA1;NET1;STAU1;ROCK1;MID1IP1;CEP192,ENSG00000139618;ENSG00000156876;ENSG00000138182;ENSG00000138778;ENSG00000137807;ENSG00000149503;ENSG00000011426;ENSG00000087586;ENSG00000108055;ENSG00000169679;ENSG00000163808;ENSG00000166851;ENSG00000113368;ENSG00000079616;ENSG00000113810;ENSG00000161800;ENSG00000112742;ENSG00000090889;ENSG00000117724;ENSG00000198901;ENSG00000126787;ENSG00000135476;ENSG00000112029;ENSG00000142945;ENSG00000138160;ENSG00000035928;ENSG00000119397;ENSG00000184445;ENSG00000179604;ENSG00000151849;ENSG00000072501;ENSG00000088325;ENSG00000126216;ENSG00000157456;ENSG00000275835;ENSG00000080986;ENSG00000277443;ENSG00000127824;ENSG00000100242;ENSG00000137804;ENSG00000089685;ENSG00000131747;ENSG00000114346;ENSG00000117650;ENSG00000140451;ENSG00000108423;ENSG00000175216;ENSG00000079819;ENSG00000131899;ENSG00000179409;ENSG00000166037;ENSG00000116127;ENSG00000136861;ENSG00000141577;ENSG00000170312;ENSG00000132694;ENSG00000139132;ENSG00000136237;ENSG00000160299;ENSG00000115355;ENSG00000075618;ENSG00000163605;ENSG00000100503;ENSG00000100852;ENSG00000133026;ENSG00000198586;ENSG00000097007;ENSG00000186625;ENSG00000173848;ENSG00000124214;ENSG00000067900;ENSG00000165175;ENSG00000101639
prerank,TNFA Signaling VIA NFKB,0.4886840929175262,1.9798256685958164,0.001,0.001,0.001,43/160,10.32%,CDKN1A;BTG2;PLK2;DRAM1;LAMB3;TSC22D1;TAP1;NINJ1;GADD45A;SERPINE1;PLAU;DUSP5;DUSP4;SDC4;CCND1;IER5;SMAD3;RNF19B;FOSL1;MAP2K3;MYC;SAT1;BTG1;HES1;F3;ATF3;PHLDA2;KDM6B;HBEGF;NR4A2;TNFAIP2;CFLAR;CLCF1;LIF;PTPRE;TRIB1;PLAUR;BIRC3;SQSTM1;TNIP1;ABCA1;SLC16A6;MXD1,ENSG00000124762;ENSG00000159388;ENSG00000145632;ENSG00000136048;ENSG00000196878;ENSG00000102804;ENSG00000168394;ENSG00000131669;ENSG00000116717;ENSG00000106366;ENSG00000122861;ENSG00000138166;ENSG00000120875;ENSG00000124145;ENSG00000110092;ENSG00000162783;ENSG00000166949;ENSG00000116514;ENSG00000175592;ENSG00000034152;ENSG00000136997;ENSG00000130066;ENSG00000133639;ENSG00000114315;ENSG00000117525;ENSG00000162772;ENSG00000181649;ENSG00000132510;ENSG00000113070;ENSG00000153234;ENSG00000185215;ENSG00000003402;ENSG00000175505;ENSG00000128342;ENSG00000132334;ENSG00000173334;ENSG00000011422;ENSG00000023445;ENSG00000161011;ENSG00000145901;ENSG00000165029;ENSG00000108932;ENSG00000059728
prerank,Spermatogenesis,-0.6026683505026382,-1.9650789946397789,0.001,0.001,0.001,21/59,12.00%,TOPBP1;AURKA;BUB1;NCAPH;TTK;EZH2;GMCL1;DBF4;KIF2C;RFC4;CCNB2;CDKN3;NEK2;PARP2;CAMK4;CSNK2A2;CDK1;HSPA2;COIL;TSN;STRBP,ENSG00000163781;ENSG00000087586;ENSG00000169679;ENSG00000121152;ENSG00000112742;ENSG00000106462;ENSG00000087338;ENSG00000006634;ENSG00000142945;ENSG00000163918;ENSG00000157456;ENSG00000100526;ENSG00000117650;ENSG00000129484;ENSG00000152495;ENSG00000070770;ENSG00000170312;ENSG00000126803;ENSG00000121058;ENSG00000211460;ENSG00000165209
prerank,Apoptosis,0.477260244641839,1.8734437432714783,0.001,0.001,0.002,33/126,9.47%,CDKN1A;FAS;BTG2;FDXR;IGFBP6;BAX;BIK;BCL2L1;TAP1;GADD45A;PMAIP1;DAP;CCND1;CLU;ANXA1;KRT18;IFITM3;TIMP1;LMNA;SAT1;GPX1;EMP1;SLC20A1;ATF3;GSN;ANKH;PPP2R5B;CFLAR;BCAP31;BIRC3;SQSTM1;SATB1;PDCD4,ENSG00000124762;ENSG00000026103;ENSG00000159388;ENSG00000161513;ENSG00000167779;ENSG00000087088;ENSG00000100290;ENSG00000171552;ENSG00000168394;ENSG00000116717;ENSG00000141682;ENSG00000112977;ENSG00000110092;ENSG00000120885;ENSG00000135046;ENSG00000111057;ENSG00000142089;ENSG00000102265;ENSG00000160789;ENSG00000130066;ENSG00000233276;ENSG00000134531;ENSG00000144136;ENSG00000162772;ENSG00000148180;ENSG00000154122;ENSG00000068971;ENSG00000003402;ENSG00000185825;ENSG00000023445;ENSG00000161011;ENSG00000182568;ENSG00000150593
prerank,Coagulation,0.49237974363655584,1.780086432167296,0.001,0.00436634,0.012,16/73,5.69%,GDA;SERPINE1;PLAU;CAPN2;CLU;SERPINA1;ANXA1;KLK8;BMP1;TIMP1;ISCU;DUSP14;WDR1;F3;GSN;F12,ENSG00000119125;ENSG00000106366;ENSG00000122861;ENSG00000162909;ENSG00000120885;ENSG00000197249;ENSG00000135046;ENSG00000129455;ENSG00000168487;ENSG00000102265;ENSG00000136003;ENSG00000276023;ENSG00000071127;ENSG00000117525;ENSG00000148180;ENSG00000131187
prerank,Hypoxia,0.4371203366670972,1.778894966233531,0.001,0.00349307,0.012,61/153,18.81%,CDKN1A;SLC2A1;NDRG1;SERPINE1;SDC4;DDIT4;GBE1;IDS;FAM162A;MT2A;GAA;ADORA2B;STC2;HOXB9;AK4;ANXA2;BTG1;PGF;F3;P4HA2;AMPD3;ATF3;S100A4;PGM1;GAPDH;PRDX5;SRPX;PLAUR;FOXO3;ALDOA;ANGPTL4;XPNPEP1;HS3ST1;AKAP12;B3GALT6;PLIN2;ADM;MT1E;KLHL24;PGK1;NOCT;ENO1;GLRX;FOSL2;MXI1;PPP1R15A;BHLHE40;PDGFB;MIF;MAFF;CITED2;ISG20;PNRC1;GPI;CCN1;GPC1;NR3C1;ERRFI1;HK1;GRHPR;RBPJ,ENSG00000124762;ENSG00000117394;ENSG00000104419;ENSG00000106366;ENSG00000124145;ENSG00000168209;ENSG00000114480;ENSG00000010404;ENSG00000114023;ENSG00000125148;ENSG00000171298;ENSG00000170425;ENSG00000113739;ENSG00000170689;ENSG00000162433;ENSG00000182718;ENSG00000133639;ENSG00000119630;ENSG00000117525;ENSG00000072682;ENSG00000133805;ENSG00000162772;ENSG00000196154;ENSG00000079739;ENSG00000111640;ENSG00000126432;ENSG00000101955;ENSG00000011422;ENSG00000118689;ENSG00000149925;ENSG00000167772;ENSG00000108039;ENSG00000002587;ENSG00000131016;ENSG00000176022;ENSG00000147872;ENSG00000148926;ENSG00000169715;ENSG00000114796;ENSG00000102144;ENSG00000151014;ENSG00000074800;ENSG00000173221;ENSG00000075426;ENSG00000119950;ENSG00000087074;ENSG00000134107;ENSG00000100311;ENSG00000240972;ENSG00000185022;ENSG00000164442;ENSG00000172183;ENSG00000146278;ENSG00000105220;ENSG00000142871;ENSG00000063660;ENSG00000113580;ENSG00000116285;ENSG00000156515;ENSG00000137106;ENSG00000168214
prerank,Epithelial Mesenchymal Transition,0.44499791434486186,1.7244981747712425,0.001,0.00460892,0.019,42/118,17.74%,FAS;ACTA2;NT5E;LAMA3;GADD45A;SERPINE1;SDC4;BMP1;TIMP1;LAMC1;LGALS1;LAMC2;DKK1;SAT1;FUCA1;VCAN;FSTL3;CAPG;CD59;TPM2;COL12A1;SERPINE2;SDC1;PLAUR;APLP1;IL32;COL16A1;TGFB1;PVR;FBLN5;ECM1;IGFBP2;CD44;FLNA;COL7A1;SNTB1;LOXL1;ITGA2;SLC6A8;PFN2;CCN1;GPC1,ENSG00000026103;ENSG00000107796;ENSG00000135318;ENSG00000053747;ENSG00000116717;ENSG00000106366;ENSG00000124145;ENSG00000168487;ENSG00000102265;ENSG00000135862;ENSG00000100097;ENSG00000058085;ENSG00000107984;ENSG00000130066;ENSG00000179163;ENSG00000038427;ENSG00000070404;ENSG00000042493;ENSG00000085063;ENSG00000198467;ENSG00000111799;ENSG00000135919;ENSG00000115884;ENSG00000011422;ENSG00000105290;ENSG00000008517;ENSG00000084636;ENSG00000105329;ENSG00000073008;ENSG00000140092;ENSG00000143369;ENSG00000115457;ENSG00000026508;ENSG00000196924;ENSG00000114270;ENSG00000172164;ENSG00000129038;ENSG00000164171;ENSG00000130821;ENSG00000070087;ENSG00000142871;ENSG00000063660
