Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,drug,coll
prerank,HALLMARK_E2F_TARGETS,-0.7337123735223688,-3.0365836478286314,0.001,0.001,0.001,122/200,12.52%,BRCA2;BARD1;BRCA1;PLK4;ASF1B;HMMR;CENPE;SPC24;KIF18B;HELLS;DEPDC1;RAD51AP1;ATAD2;POLD3;CDC25A;MCM5;SPC25;DEK;TCF19;MCM4;MMS22L;GINS1;DIAPH3;MKI67;KIF4A;ESPL1;MCM7;PSMC3IP;CDCA3;WEE1;LMNB1;HMGB2;TACC3;MXD3;BUB1B;POLA2;SMC1A;DLGAP5;PSIP1;MYBL2;CDCA8;ORC6;CIT;E2F8;LBR;CDC20;BIRC5;NASP;SMC4;SUV39H1;MCM2;AURKA;AURKB;DSCC1;KIF2C;CHEK1;TOP2A;RFC2;PLK1;MCM6;USP1;DCK;RAD21;RFC1;RACGAP1;H2AX;TMPO;KIF22;GINS3;TUBB;RFC3;CDKN2C;SMC3;PDS5B;MAD2L1;MCM3;DCLRE1B;POLE;MELK;UBE2T;UNG;GINS4;DUT;SPAG5;DONSON;HMGB3;RRM2;H2AZ1;CCNB2;TIMELESS;EZH2;RPA2;SMC6;DNMT1;PRIM2;CKS2;ANP32E;MSH2;NUP153;CDKN1B;SLBP;TRIP13;TIPIN;UBR7;KPNA2;UBE2S;CTCF;POLD1;RPA3;CCP110;NAP1L1;CDK1;RNASEH2A;CDKN3;STMN1;CENPM;NOP56;NUP107;LIG1;TK1;IPO7;ZW10,5FU,H
prerank,HALLMARK_G2M_CHECKPOINT,-0.7287474369218875,-3.0295021275833665,0.001,0.001,0.001,106/195,12.06%,BRCA2;CHAF1A;E2F1;KNL1;BARD1;KIF15;PLK4;GINS2;HMMR;CENPE;E2F2;NDC80;CENPF;STIL;CDC25A;KIF20B;TRAIP;MCM5;CDC6;CDC7;EXO1;RBL1;KIF11;POLQ;MKI67;TTK;KIF4A;CCNA2;ESPL1;KIF23;CCNF;LMNB1;CDC45;INCENP;TACC3;PBK;PRC1;DBF4;FBXO5;SMC2;POLA2;SMC1A;MYBL2;ORC6;LBR;CDC20;BIRC5;NASP;SMC4;SUV39H1;BUB1;MCM2;CASP8AP2;AURKA;AURKB;KIF2C;CHEK1;MARCKS;TOP2A;PLK1;MCM6;RAD54L;RAD21;RACGAP1;H2AX;TMPO;KIF22;TROAP;CDKN2C;NSD2;PDS5B;TPX2;MAD2L1;MCM3;POLE;NEK2;MTF2;CENPA;HMGB3;H2AZ1;CCNB2;NUSAP1;EZH2;RPA2;PRIM2;CKS2;CDKN1B;KPNA2;UBE2S;RPS6KA5;CTCF;SAP30;NUP50;SMARCC1;FANCC;CDK1;MEIS2;CDKN3;STMN1;SLC12A2;KPNB1;CBX1;KMT5A;SLC7A1;AMD1;DTYMK,5FU,H
prerank,HALLMARK_P53_PATHWAY,0.6197155724852744,2.82519074120641,0.001,0.001,0.001,99/179,18.80%,CDKN1A;MDM2;RPS27L;FAS;PHLDA3;PLK2;BTG2;SERPINB5;ZMAT3;CYFIP2;SESN1;RRAD;DGKA;PLK3;EPS8L2;DRAM1;GADD45A;DDB2;TRIAP1;PVT1;BAX;TGFA;KLK8;PROCR;NINJ1;EPHA2;ANKRA2;AEN;COQ8A;PPM1D;FDXR;AK1;NDRG1;TAP1;FAM162A;HSPA4L;TSC22D1;BLCAP;NOTCH1;HBEGF;ITGB4;MXD4;PIDD1;ISCU;ATF3;POLH;RNF19B;RGS16;DDIT4;CD82;PITPNC1;PTPRE;PLXNB2;FUCA1;IER5;MXD1;TOB1;WRAP73;IP6K2;TCN2;TRAF4;MKNK2;LIF;CCNG1;CDKN2B;HINT1;PDGFA;TM7SF3;SAT1;PPP1R15A;RAP2B;CCNK;STEAP3;S100A10;APP;ZNF365;HEXIM1;ABHD4;TAX1BP3;TPD52L1;JAG2;BAK1;PERP;SFN;RPL36;MAPKAPK3;RHBDF2;RPS12;IFI30;S100A4;STOM;PRKAB1;UPP1;CGRRF1;SDC1;HRAS;LDHB;DEF6;RALGDS,5FU,H
prerank,HALLMARK_MITOTIC_SPINDLE,-0.5711110050916614,-2.356962541333764,0.001,0.001,0.001,75/195,16.84%,BRCA2;KIF15;CENPE;NDC80;CENPF;KIF20B;SASS6;KIF11;KNTC1;TTK;KIF4A;ESPL1;KIF23;LMNB1;INCENP;PRC1;FBXO5;SMC1A;DLGAP5;PIF1;BIRC5;SMC4;BUB1;AURKA;KIF2C;MARCKS;TOP2A;ANLN;PLK1;CNTRL;FGD4;RFC1;RACGAP1;TUBGCP5;KIF22;TUBD1;SMC3;TPX2;NEK2;ALMS1;CCNB2;NUSAP1;CDK5RAP2;TUBA4A;ECT2;SUN2;PPP4R2;CCDC88A;TUBGCP3;PCNT;CDK1;MYH10;PALLD;NET1;RICTOR;RASA2;APC;CEP57;CEP192;ARHGAP5;BIN1;KIF3B;ROCK1;HOOK3;FARP1;EPB41L2;CKAP5;CDC42EP4;ARHGEF11;PKD2;SHROOM1;MYO9B;LLGL1;SAC3D1;KIF1B,5FU,H
prerank,HALLMARK_SPERMATOGENESIS,-0.608324938506483,-2.0834628419555634,0.001,0.001,0.001,28/57,18.67%,NCAPH;HSPA2;TTK;DBF4;TOPBP1;BUB1;AURKA;KIF2C;RFC4;CAMK4;GMCL1;NEK2;CCNB2;EZH2;PHF7;CDK1;CDKN3;PRKAR2A;SLC12A2;STRBP;ELOVL3;IFT88;PARP2;CSNK2A2;MLLT10;PHKG2;LPIN1;IP6K1,5FU,H
prerank,HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.39018095882467363,1.7281545596590802,0.001,0.02449931946334824,0.027,48/159,13.75%,CDKN1A;PLK2;BTG2;SERPINE1;DRAM1;GADD45A;LAMB3;PLAU;NINJ1;TAP1;SMAD3;TSC22D1;F3;HBEGF;ATF3;RNF19B;SDC4;ABCA1;CLCF1;DUSP5;PTPRE;BIRC3;IER5;MXD1;FOSB;HES1;DUSP4;SLC16A6;LIF;MYC;PHLDA2;PLAUR;FOSL1;SAT1;PPP1R15A;RELB;CCND1;CCN1;TRIB1;CFLAR;NR4A2;PNRC1;JAG1;YRDC;TNFAIP2;KDM6B;FOSL2;MAFF,5FU,H
prerank,HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.37089742710264056,1.6976699173684433,0.001,0.023916002333268523,0.04,105/199,30.94%,BAX;MAOB;ISCU;FXN;ACADVL;CYB5A;ATP6V1F;ATP6V0E1;UQCR10;COX6A1;COX11;NDUFB2;NDUFA4;COX6C;SLC25A20;IDH3A;NDUFS4;ATP6V0C;COX7C;ATP5PB;MRPS22;UQCRH;ATP6V1G1;OPA1;NDUFA1;IDH3G;SDHB;TIMM9;COX8A;HADHB;NDUFA5;NDUFC1;NDUFA8;MDH2;COX7A2;POLR2F;MGST3;ECH1;UQCRB;COX5A;HSD17B10;ATP5F1C;LDHB;NDUFA9;ISCA1;VDAC1;BDH2;PDHA1;ATP6V1D;ALAS1;GPI;GRPEL1;VDAC2;ATP5F1B;TIMM17A;MRPL34;COX10;NDUFB3;ATP5PF;PDHX;LDHA;ATP5MG;DLD;NDUFB8;NDUFA3;GOT2;ACO2;COX7B;OXA1L;MRPS15;SUPV3L1;HADHA;MPC1;UQCR11;MDH1;ATP5MC1;NDUFB4;CYCS;COX4I1;COX5B;MRPL15;RETSAT;ATP5PO;OAT;SUCLA2;MRPS30;NDUFAB1;ATP5F1A;IDH3B;MTX2;SLC25A5;ATP5F1E;NDUFB6;PHYH;UQCRQ;NDUFA6;SDHC;TOMM70;PDHB;ATP5MF;ETFA;NDUFC2;COX6B1;CYB5R3;NDUFS8,5FU,H
prerank,HALLMARK_HYPOXIA,0.37156041272642554,1.6635279276276749,0.001,0.02274936807310908,0.051,57/153,20.49%,CDKN1A;SERPINE1;SLC2A1;NDRG1;ADORA2B;FAM162A;PGF;GBE1;STC2;F3;ATF3;MT2A;IDS;SDC4;DDIT4;MT1E;ANGPTL4;ANXA2;CCN2;GLRX;NOCT;SRPX;PGM1;GAA;AK4;PLAUR;AMPD3;PPP1R15A;P4HA2;CCN1;PNRC1;AKAP12;ADM;PLIN2;KLHL24;FOSL2;B3GALT6;MAFF;GAPDH;XPNPEP1;HS3ST1;ISG20;ALDOA;S100A4;PGK1;CA12;ENO1;HK2;PDGFB;HK1;PFKP;GRHPR;CITED2;MYH9;GPI;BTG1;ERRFI1,5FU,H
prerank,HALLMARK_ESTROGEN_RESPONSE_EARLY,0.34923927054864634,1.5784993358323092,0.001,0.03779895002916586,0.103,52/167,13.76%,FHL2;SEMA3B;KRT15;SLC2A1;NADSYN1;PMAIP1;KDM4B;CALB2;RHOD;DEPTOR;SYBU;DHRS3;STC2;PTGES;SLC1A1;ELF3;SCNN1A;MYOF;RAB17;KRT8;ANXA9;MLPH;FRK;THSD4;KRT18;KRT19;PLAAT3;KLK10;TOB1;HES1;ASB13;KRT13;SLC37A1;MYC;P2RY2;CYP26B1;SLC22A5;GREB1;RRP12;ESRP2;CCND1;TJP3;ABLIM1;PODXL;FLNB;SLC27A2;WWC1;HR;KAZN;ALDH3B1;TSKU;MAST4,5FU,H
prerank,HALLMARK_APICAL_JUNCTION,0.34373457364680515,1.5134349435112135,0.003401360544217687,0.05249854170717481,0.162,45/140,19.16%,NECTIN4;LAMA3;COL17A1;LAMB3;CDH15;CALB2;ICAM5;COL16A1;VCAN;ITGA3;ITGB4;PCDH1;CDH3;FLNC;LAMC2;BMP1;CNTN1;IRS1;NLGN3;CDH1;CLDN15;RAC2;MDK;SHC1;GRB7;THBS3;MAPK11;MAPK13;SPEG;PARD6G;LIMA1;NECTIN1;CLDN4;RHOF;ATP1A3;PIK3R3;PARVA;CRB3;MYL12B;CD99;PTEN;HRAS;MPZL2;MYH9;NLGN2,5FU,H
