plate,well,plane,depth_um,compartment,cell_line,treatment,pearson_r,p_value,n_features
PB000137,D12,1,5,cells,HCT116,DMSO,0.9777271881281893,0.0,687
PB000137,D12,3,15,cells,HCT116,DMSO,0.9784802568187345,0.0,687
PB000137,D12,5,25,cells,HCT116,DMSO,0.9785697848708225,0.0,687
PB000137,D12,7,35,cells,HCT116,DMSO,0.981286152172303,0.0,687
PB000137,D12,9,45,cells,HCT116,DMSO,0.9830053290598708,0.0,687
PB000137,D12,11,55,cells,HCT116,DMSO,0.9827010293048993,0.0,687
PB000137,F06,1,5,cells,HCT116,DMSO,0.9655765947753994,0.0,687
PB000137,F06,3,15,cells,HCT116,DMSO,0.9716186577269191,0.0,687
PB000137,F06,5,25,cells,HCT116,DMSO,0.9792110572698947,0.0,687
PB000137,F06,7,35,cells,HCT116,DMSO,0.982531453798358,0.0,687
PB000137,F06,9,45,cells,HCT116,DMSO,0.9823408268681096,0.0,687
PB000137,F06,11,55,cells,HCT116,DMSO,0.9832325860790437,0.0,687
PB000139,C03,1,5,cells,HCT116,binimetinib,0.9605193031144483,0.0,687
PB000139,C03,3,15,cells,HCT116,binimetinib,0.9306242619563426,3.0210329219312135e-301,687
PB000139,C03,5,25,cells,HCT116,binimetinib,0.9526349216982053,0.0,687
PB000139,C03,7,35,cells,HCT116,binimetinib,0.9675087385858602,0.0,687
PB000139,C03,9,45,cells,HCT116,binimetinib,0.973631670890853,0.0,687
PB000139,C03,11,55,cells,HCT116,binimetinib,0.9780945965471692,0.0,687
PB000139,C12,1,5,cells,HT29,SN-38,0.9593472782699125,0.0,687
PB000139,C12,3,15,cells,HT29,SN-38,0.9767011212989729,0.0,687
PB000139,C12,5,25,cells,HT29,SN-38,0.9794980978066341,0.0,687
PB000139,C12,7,35,cells,HT29,SN-38,0.9728150395376082,0.0,687
PB000139,C12,9,45,cells,HT29,SN-38,0.9679119740498554,0.0,687
PB000139,C12,11,55,cells,HT29,SN-38,0.9637924905935389,0.0,687
PB000139,C14,1,5,cells,HT29,binimetinib,0.9754181804898654,0.0,687
PB000139,C14,3,15,cells,HT29,binimetinib,0.9751553367448864,0.0,687
PB000139,C14,5,25,cells,HT29,binimetinib,0.9626958791404677,0.0,687
PB000139,C14,7,35,cells,HT29,binimetinib,0.9460720878320567,0.0,687
PB000139,C23,1,5,cells,HCT116,SN-38,0.9639901786722791,0.0,687
PB000139,C23,3,15,cells,HCT116,SN-38,0.9712069606446999,0.0,687
PB000139,C23,5,25,cells,HCT116,SN-38,0.9754570264699457,0.0,687
PB000139,C23,7,35,cells,HCT116,SN-38,0.965185329403575,0.0,687
PB000139,C23,9,45,cells,HCT116,SN-38,0.9705935172351242,0.0,687
PB000139,C23,11,55,cells,HCT116,SN-38,0.9816673056207503,0.0,687
PB000139,D06,1,5,cells,HT29,SN-38,0.9660560915515524,0.0,687
PB000139,D06,3,15,cells,HT29,SN-38,0.9834418633482715,0.0,687
PB000139,D06,5,25,cells,HT29,SN-38,0.9739287241445523,0.0,687
PB000139,D06,7,35,cells,HT29,SN-38,0.9829856212311051,0.0,687
PB000139,D06,9,45,cells,HT29,SN-38,0.9785185787597952,0.0,687
PB000139,D06,11,55,cells,HT29,SN-38,0.9687246082042185,0.0,687
PB000139,D11,1,5,cells,HCT116,binimetinib,0.9669419578721427,0.0,687
PB000139,D11,3,15,cells,HCT116,binimetinib,0.9703297330391761,0.0,687
PB000139,D11,5,25,cells,HCT116,binimetinib,0.9556589539736122,0.0,687
PB000139,D11,7,35,cells,HCT116,binimetinib,0.9427913077782765,0.0,687
PB000139,D11,9,45,cells,HCT116,binimetinib,0.9783897610421365,0.0,687
PB000139,D11,11,55,cells,HCT116,binimetinib,0.9733545327953295,0.0,687
PB000139,G08,1,5,cells,HCT116,abemaciclib,0.9797169059751624,0.0,687
PB000139,G08,3,15,cells,HCT116,abemaciclib,0.9790322616573391,0.0,687
PB000139,G08,5,25,cells,HCT116,abemaciclib,0.9869759215560088,0.0,687
PB000139,G08,7,35,cells,HCT116,abemaciclib,0.9793116341386199,0.0,687
PB000139,G08,9,45,cells,HCT116,abemaciclib,0.9798667694947544,0.0,687
PB000139,G08,11,55,cells,HCT116,abemaciclib,0.9899780298534222,0.0,687
PB000139,J06,1,5,cells,HCT116,SN-38,0.9838803766818465,0.0,687
PB000139,J06,3,15,cells,HCT116,SN-38,0.9740556005994292,0.0,687
PB000139,J06,5,25,cells,HCT116,SN-38,0.9787203780995652,0.0,687
PB000139,J06,7,35,cells,HCT116,SN-38,0.9769227022601638,0.0,687
PB000139,J06,9,45,cells,HCT116,SN-38,0.9689627788135662,0.0,687
PB000139,J06,11,55,cells,HCT116,SN-38,0.9822026531497171,0.0,687
PB000139,J15,1,5,cells,HT29,abemaciclib,0.9748431933599908,0.0,687
PB000139,J15,3,15,cells,HT29,abemaciclib,0.9818132091916781,0.0,687
PB000139,J15,5,25,cells,HT29,abemaciclib,0.989458429500658,0.0,687
PB000139,J15,7,35,cells,HT29,abemaciclib,0.9866252900842892,0.0,687
PB000139,J15,9,45,cells,HT29,abemaciclib,0.985231646308405,0.0,687
PB000139,J15,11,55,cells,HT29,abemaciclib,0.9748852097616488,0.0,687
PB000140,B14,1,5,cells,HT29,abemaciclib,0.9698528075919264,0.0,687
PB000140,B14,3,15,cells,HT29,abemaciclib,0.981771871655026,0.0,687
PB000140,B14,5,25,cells,HT29,abemaciclib,0.9847909818078996,0.0,687
PB000140,B14,7,35,cells,HT29,abemaciclib,0.980696698810867,0.0,687
PB000140,B14,9,45,cells,HT29,abemaciclib,0.9878480836891879,0.0,687
PB000140,B14,11,55,cells,HT29,abemaciclib,0.9826293292605249,0.0,687
PB000140,C23,1,5,cells,HCT116,SN-38,0.9747123324821926,0.0,687
PB000140,C23,3,15,cells,HCT116,SN-38,0.9742656366859177,0.0,687
PB000140,C23,5,25,cells,HCT116,SN-38,0.9829756572350615,0.0,687
PB000140,C23,7,35,cells,HCT116,SN-38,0.9616044338941975,0.0,687
PB000140,C23,9,45,cells,HCT116,SN-38,0.9646956487858198,0.0,687
PB000140,C23,11,55,cells,HCT116,SN-38,0.9545533859923517,0.0,687
PB000140,D22,1,5,cells,HT29,binimetinib,0.9569171327150441,0.0,687
PB000140,D22,3,15,cells,HT29,binimetinib,0.977394268400167,0.0,687
PB000140,D22,5,25,cells,HT29,binimetinib,0.9777807294364196,0.0,687
PB000140,D22,7,35,cells,HT29,binimetinib,0.9592269405411532,0.0,687
PB000140,D22,9,45,cells,HT29,binimetinib,0.9486922705659838,0.0,687
PB000140,G05,1,5,cells,HCT116,binimetinib,0.9557912725436033,0.0,687
PB000140,G05,3,15,cells,HCT116,binimetinib,0.9782167615597768,0.0,687
