plate,kind,well,z,cell_line,treatment,binary_iou,mean_instance_iou,matched_iou@0.5,precision@0.5,recall@0.5,f1@0.5,TP,FN,FP,n_expert,n_pred,depth_um
PB000137,cell,D12,1,HCT116,DMSO,0.7986391664894747,0.4991045272621907,0.7588490438655002,0.5166666666666667,0.5081967213114754,0.5123966942148761,31,30,29,61,60,5
PB000137,cell,D12,11,HCT116,DMSO,0.5898722166702225,0.28776734677665305,0.7296845441768303,0.2562814070351759,0.2318181818181818,0.24343675417661098,51,169,148,220,199,55
PB000137,cell,D12,3,HCT116,DMSO,0.87038061577466,0.3328699518658767,0.7426652779850689,0.264,0.25384615384615383,0.25882352941176473,33,97,92,130,125,15
PB000137,cell,D12,5,HCT116,DMSO,0.8212284385463753,0.34306875112492113,0.7780069280598291,0.32903225806451614,0.281767955801105,0.3035714285714286,51,130,104,181,155,25
PB000137,cell,D12,7,HCT116,DMSO,0.7867153890253509,0.33999435026308866,0.7522036672126846,0.3142857142857143,0.29464285714285715,0.304147465437788,66,158,144,224,210,35
PB000137,cell,D12,9,HCT116,DMSO,0.6945932803570639,0.3004384914875449,0.7054502380546334,0.24378109452736318,0.21973094170403587,0.23113207547169812,49,174,152,223,201,45
PB000137,cell,F06,1,HCT116,DMSO,0.5493589815869293,0.5140590106230409,0.7206291703262943,0.5333333333333333,0.5333333333333333,0.5333333333333333,8,7,7,15,15,5
PB000137,cell,F06,11,HCT116,DMSO,0.2962194786549287,0.30182718781424583,0.6791910892373638,0.26,0.2549019607843137,0.25742574257425743,13,38,37,51,50,55
PB000137,cell,F06,3,HCT116,DMSO,0.7377088179319095,0.4414181291129907,0.7279932759974147,0.3880597014925373,0.3880597014925373,0.3880597014925373,26,41,41,67,67,15
PB000137,cell,F06,5,HCT116,DMSO,0.6704710546104071,0.32094325953021974,0.7376361835468563,0.275,0.25190839694656486,0.26294820717131473,33,98,87,131,120,25
PB000137,cell,F06,7,HCT116,DMSO,0.5931873843671653,0.3193310240426269,0.7155275695309687,0.30097087378640774,0.24603174603174602,0.2707423580786026,31,95,72,126,103,35
PB000137,cell,F06,9,HCT116,DMSO,0.48195809302875064,0.3472929665522572,0.722140038384305,0.3068181818181818,0.28421052631578947,0.29508196721311475,27,68,61,95,88,45
PB000137,nuclei,D12,1,HCT116,DMSO,0.7918665018541409,0.7301698670817338,0.8834467070696803,0.8615384615384616,0.8115942028985508,0.835820895522388,56,13,9,69,65,5
PB000137,nuclei,D12,11,HCT116,DMSO,0.5601461296409966,0.5267379691717751,0.7805925603150989,0.6853448275862069,0.6115384615384616,0.6463414634146342,159,101,73,260,232,55
PB000137,nuclei,D12,3,HCT116,DMSO,0.8096701925240911,0.7429243083370293,0.8592176130192356,0.8676470588235294,0.8309859154929577,0.8489208633093526,118,24,18,142,136,15
PB000137,nuclei,D12,5,HCT116,DMSO,0.8379511569329933,0.8153327638041612,0.856168832064107,0.9371069182389937,0.9371069182389937,0.9371069182389937,149,10,10,159,159,25
PB000137,nuclei,D12,7,HCT116,DMSO,0.7576786855597452,0.7268895935151005,0.8247408093275954,0.874439461883408,0.8628318584070797,0.8685968819599109,195,31,28,226,223,35
PB000137,nuclei,D12,9,HCT116,DMSO,0.6416999981246869,0.6007330830784947,0.8078450178593279,0.7911111111111111,0.717741935483871,0.7526427061310782,178,70,47,248,225,45
PB000137,nuclei,F06,1,HCT116,DMSO,0.4922728114010735,0.42385089001070353,0.8089434460471876,0.8695652173913043,0.5128205128205128,0.6451612903225806,20,19,3,39,23,5
PB000137,nuclei,F06,11,HCT116,DMSO,0.24549567710433184,0.24197718656092346,0.7282813095287682,0.6875,0.29411764705882354,0.4119850187265917,55,132,25,187,80,55
PB000137,nuclei,F06,3,HCT116,DMSO,0.6901445909742538,0.6632296271243393,0.84658131230203,0.8554216867469879,0.7634408602150538,0.8068181818181818,71,22,12,93,83,15
PB000137,nuclei,F06,5,HCT116,DMSO,0.6967435348028088,0.6483068271279933,0.7724669196712702,0.8549618320610687,0.8,0.8265682656826568,112,28,19,140,131,25
PB000137,nuclei,F06,7,HCT116,DMSO,0.5439563381438,0.5228488230929611,0.723916932046888,0.796875,0.6623376623376623,0.7234042553191489,102,52,26,154,128,35
PB000137,nuclei,F06,9,HCT116,DMSO,0.4461656642056092,0.4404265363280539,0.7395949819137553,0.7967479674796748,0.5632183908045977,0.6599326599326599,98,76,25,174,123,45
PB000139,cell,C03,1,HCT116,binimetinib,0.4439880074870385,0.32957894903414925,0.675645991332777,0.42857142857142855,0.4,0.4137931034482759,6,9,8,15,14,5
PB000139,cell,C03,11,HCT116,binimetinib,0.11984173064103391,0.08758450572097143,,0.0,0.0,,0,8,3,8,3,55
PB000139,cell,C03,3,HCT116,binimetinib,0.3404506878550745,0.20357653680481494,0.6920475968578864,0.16666666666666666,0.15,0.15789473684210525,3,17,15,20,18,15
PB000139,cell,C03,5,HCT116,binimetinib,0.3059491487658549,0.20731087790262293,0.5600059902748675,0.14285714285714285,0.13043478260869565,0.13636363636363635,3,20,18,23,21,25
PB000139,cell,C03,7,HCT116,binimetinib,0.2871207261842284,0.1768361318076793,0.5961847222238253,0.13043478260869565,0.125,0.1276595744680851,3,21,20,24,23,35
PB000139,cell,C03,9,HCT116,binimetinib,0.20360262008733623,0.16260580177630576,0.5989690721649484,0.1111111111111111,0.09090909090909091,0.09999999999999999,1,10,8,11,9,45
PB000139,cell,C12,1,HT29,SN-38,0.7836114137420279,0.5480140329687855,0.7551545744070538,0.6153846153846154,0.6153846153846154,0.6153846153846154,8,5,5,13,13,5
PB000139,cell,C12,11,HT29,SN-38,0.23355046578412833,0.1838099139879831,0.587475340209255,0.4,0.16666666666666666,0.23529411764705882,2,10,3,12,5,55
PB000139,cell,C12,3,HT29,SN-38,0.7183526020735324,0.4726151704076364,0.7358169996912954,0.48148148148148145,0.48148148148148145,0.48148148148148145,13,14,14,27,27,15
PB000139,cell,C12,5,HT29,SN-38,0.5240843421401431,0.38729758892502125,0.6747857679094862,0.36,0.36,0.36,9,16,16,25,25,25
PB000139,cell,C12,7,HT29,SN-38,0.4098938862585472,0.29665883483872485,0.5923786694283548,0.32142857142857145,0.2903225806451613,0.3050847457627119,9,22,19,31,28,35
PB000139,cell,C12,9,HT29,SN-38,0.33811649972094115,0.21283868227415784,0.5690993614003121,0.16666666666666666,0.11764705882352941,0.13793103448275862,2,15,10,17,12,45
PB000139,cell,C14,1,HT29,binimetinib,0.579159076181976,0.24209043332363836,0.6924899443529889,0.13043478260869565,0.13043478260869565,0.13043478260869565,3,20,20,23,23,5
