well,z,channel,focus_laplacian_var,focus_normalized_var
B02,0,CONC,1344.6912841796875,44.73873956704851
B02,0,HOECHST,895.2328491210938,14.767259203099123
B02,0,MITO,25760.1796875,3656.259307020156
B02,0,PHAandWGA,4015.752685546875,366.238000985742
B02,0,SYTO,1875.5614013671875,140.50225445146316
B02,1,CONC,1402.52490234375,51.84230136296503
B02,1,HOECHST,927.4165649414062,17.237332729974472
B02,1,MITO,25956.4609375,3940.825195373533
B02,1,PHAandWGA,4175.2578125,410.80063214197867
B02,1,SYTO,1979.742431640625,161.2628095463743
B02,2,CONC,1466.58203125,60.47610100016872
B02,2,HOECHST,958.8739624023438,20.40123224815101
B02,2,MITO,26758.326171875,4325.402027707748
B02,2,PHAandWGA,4460.388671875,464.5333824065661
B02,2,SYTO,2095.979248046875,187.2738684302093
B02,3,CONC,1543.862060546875,69.43579040546753
B02,3,HOECHST,1001.2060546875,23.71987588556946
B02,3,MITO,27845.671875,4691.510399365604
B02,3,PHAandWGA,4768.21484375,518.2129766971345
B02,3,SYTO,2244.3955078125,212.5311607859734
B02,4,CONC,1615.328369140625,76.61495852276207
B02,4,HOECHST,1032.5054931640625,26.411270517074698
B02,4,MITO,28769.328125,5003.869241064373
B02,4,PHAandWGA,5102.7861328125,562.8172711864572
B02,4,SYTO,2339.78515625,230.97906296794963
B02,5,CONC,1664.163818359375,80.41928906139627
B02,5,HOECHST,1067.261962890625,27.881376676292057
B02,5,MITO,29598.173828125,5199.697990420686
B02,5,PHAandWGA,5232.587890625,583.6797195100231
B02,5,SYTO,2427.55224609375,240.36196522321228
B02,6,CONC,1692.99365234375,82.27853430631566
B02,6,HOECHST,1079.2353515625,28.28647654051225
B02,6,MITO,30422.59375,5308.647023941451
B02,6,PHAandWGA,5386.1015625,595.6965067875434
B02,6,SYTO,2455.8623046875,240.03593805969396
B02,7,CONC,1730.46875,82.06192252960182
B02,7,HOECHST,1082.670654296875,27.78072037134862
B02,7,MITO,30925.47265625,5329.915896739233
B02,7,PHAandWGA,5354.119140625,590.5818257766902
B02,7,SYTO,2487.9609375,236.14086004885505
B02,8,CONC,1746.0467529296875,80.67004800118504
B02,8,HOECHST,1089.353271484375,26.999285138315283
B02,8,MITO,31344.54296875,5272.944014760381
B02,8,PHAandWGA,5359.9970703125,581.2427970606657
B02,8,SYTO,2498.17138671875,228.86220117068814
B02,9,CONC,1766.64404296875,78.827507850684
B02,9,HOECHST,1095.5198974609375,26.149031398345716
B02,9,MITO,31467.87890625,5172.845246919526
B02,9,PHAandWGA,5338.50390625,564.4470479811861
B02,9,SYTO,2499.7529296875,218.7986204267923
B02,10,CONC,1785.83984375,76.16085985411793
B02,10,HOECHST,1100.264404296875,25.099259672017894
B02,10,MITO,32089.720703125,5051.525443234483
B02,10,PHAandWGA,5341.7109375,543.459402205314
B02,10,SYTO,2486.9423828125,209.2030643295876
B02,11,CONC,1784.1729736328125,73.73534574387415
B02,11,HOECHST,1097.833251953125,23.995017415693898
B02,11,MITO,32055.3359375,4889.781523203617
B02,11,PHAandWGA,5336.146484375,520.3486474318474
B02,11,SYTO,2511.2080078125,199.57241871200642
B02,12,CONC,1798.1990966796875,70.6233806415037
B02,12,HOECHST,1105.820556640625,22.792719663976264
B02,12,MITO,32379.3125,4725.398994345089
B02,12,PHAandWGA,5335.0791015625,494.82776772448847
B02,12,SYTO,2527.2333984375,188.70123998007182
B02,13,CONC,1813.14404296875,67.59463261420892
B02,13,HOECHST,1109.34423828125,21.62437805900872
B02,13,MITO,32720.015625,4497.7189563073425
B02,13,PHAandWGA,5383.12060546875,469.1457408032383
B02,13,SYTO,2575.046875,177.34250482076868
B02,14,CONC,1840.4241943359375,64.22325607419643
B02,14,HOECHST,1116.46875,20.475974186090436
B02,14,MITO,33421.0390625,4287.537328167147
B02,14,PHAandWGA,5409.4765625,441.1981775366849
B02,14,SYTO,2580.053955078125,166.29624579718507
B02,15,CONC,1870.856689453125,60.881108573724255
B02,15,HOECHST,1131.9346923828125,19.309518717297212
B02,15,MITO,33760.703125,4019.259329291908
B02,15,PHAandWGA,5493.9150390625,414.07308102826096
B02,15,SYTO,2629.670654296875,154.9701661642746
B04,0,CONC,8295.0546875,106.78319893411356
B04,0,HOECHST,4651.06494140625,65.1291824250224
B04,0,MITO,107248.5,1599.2507635076918
B04,0,PHAandWGA,37971.1875,660.0432340631573
B04,0,SYTO,24669.478515625,499.8517073786827
B04,1,CONC,8651.6142578125,115.30736268120435
B04,1,HOECHST,4825.115234375,70.61609943021027
B04,1,MITO,107735.0859375,1670.9029094277423
B04,1,PHAandWGA,38762.296875,697.2603317868492
B04,1,SYTO,25428.4921875,535.0299294938029
B04,2,CONC,8986.9140625,122.46399260359036
B04,2,HOECHST,4973.61669921875,75.1649728442491
B04,2,MITO,110045.671875,1748.2838972307973
B04,2,PHAandWGA,40091.5,734.9014847386193
B04,2,SYTO,26896.01953125,567.772769057613
B04,3,CONC,9342.0830078125,127.52206535018496
B04,3,HOECHST,5189.78125,78.86726302366773
B04,3,MITO,113914.7890625,1833.459573437416
B04,3,PHAandWGA,41487.69921875,765.4428933116253
B04,3,SYTO,28071.8984375,589.7542873781929
B04,4,CONC,9692.021484375,131.66503608199142
B04,4,HOECHST,5344.85498046875,81.70281097048567
B04,4,MITO,117633.3046875,1904.8995123620032
B04,4,PHAandWGA,43009.9765625,790.8936672631521
B04,4,SYTO,29645.7421875,606.5928457495312
B04,5,CONC,9988.181640625,133.93438496110306
B04,5,HOECHST,5498.81396484375,83.40488026862269
B04,5,MITO,119951.015625,1943.0024300603695
B04,5,PHAandWGA,45024.20703125,806.1385508320461
B04,5,SYTO,30783.3671875,613.0445671007478
B04,6,CONC,10363.6640625,133.42710184148865
B04,6,HOECHST,5688.8017578125,83.99534018977543
B04,6,MITO,123485.875,1952.062112917555
B04,6,PHAandWGA,45905.140625,808.8247012214512
B04,6,SYTO,31696.43359375,612.949174867708
B04,7,CONC,10592.814453125,131.7681987472015
B04,7,HOECHST,5842.26806640625,83.84641118146592
B04,7,MITO,125041.40625,1940.9229788139828
B04,7,PHAandWGA,47128.4375,805.5445890968683
B04,7,SYTO,32928.6640625,604.9277058092678
B04,8,CONC,10896.3125,129.79291135282133
B04,8,HOECHST,6020.0703125,83.56240764868818
B04,8,MITO,127447.8125,1934.089167857249
B04,8,PHAandWGA,49335.03125,800.8701509784398
B04,8,SYTO,34047.3828125,592.2452744374359
B04,9,CONC,11173.8134765625,126.83058195117886
B04,9,HOECHST,6156.2958984375,82.41686091921413
B04,9,MITO,132115.703125,1907.7020745584662
B04,9,PHAandWGA,50535.5703125,789.8922009671883
B04,9,SYTO,35491.7734375,577.0663449356723
B04,10,CONC,11433.431640625,123.31579141118937
B04,10,HOECHST,6323.75,80.99593159225014
B04,10,MITO,135289.1875,1878.9574737598266
B04,10,PHAandWGA,52276.6875,769.4925210940592
B04,10,SYTO,36172.1015625,557.6342877957289
B04,11,CONC,11727.306640625,119.90503585533625
B04,11,HOECHST,6507.3095703125,79.45000272888603
B04,11,MITO,136384.09375,1836.4497658758462
B04,11,PHAandWGA,53469.40234375,748.9221460053725
B04,11,SYTO,37237.6796875,537.7568304023745
B04,12,CONC,11943.1591796875,116.68931770910706
B04,12,HOECHST,6657.4453125,77.86136044387001
B04,12,MITO,139833.359375,1798.3174811779236
B04,12,PHAandWGA,53686.8125,732.2154838888627
B04,12,SYTO,38075.875,519.9031845523899
B04,13,CONC,12188.9296875,113.61673514411072
B04,13,HOECHST,6814.30615234375,76.35042044620994
B04,13,MITO,140415.890625,1756.6454053030056
B04,13,PHAandWGA,55156.9140625,715.8228033807625
B04,13,SYTO,38538.5546875,503.96824752580113
B04,14,CONC,12431.392578125,110.72822823562724
B04,14,HOECHST,6925.990234375,74.76736160377905
B04,14,MITO,142817.90625,1715.1152453128898
B04,14,PHAandWGA,56078.4453125,699.1718746547672
B04,14,SYTO,39201.0390625,489.2850225555104
B04,15,CONC,12713.2861328125,107.66166248200533
B04,15,HOECHST,7093.04931640625,73.15829513848223
B04,15,MITO,144302.53125,1664.979861335083
B04,15,PHAandWGA,57474.37890625,678.1088360729934
B04,15,SYTO,39551.19921875,470.46652171393754
B05,0,CONC,11340.6259765625,122.51345520605115
B05,0,HOECHST,6437.1181640625,92.59283155779367
B05,0,MITO,126342.6171875,1642.0525057931363
B05,0,PHAandWGA,47393.0390625,637.3603298985583
B05,0,SYTO,31412.97265625,505.1599529825811
B05,1,CONC,12108.0224609375,144.01923705283278
B05,1,HOECHST,6841.93505859375,108.98330348716057
B05,1,MITO,130838.4453125,1848.3834987272105
B05,1,PHAandWGA,49782.6640625,715.3808121017078
B05,1,SYTO,33663.75,582.7162012333355
B05,2,CONC,12939.478515625,160.51659577790423
B05,2,HOECHST,7328.353515625,121.84475711355658
B05,2,MITO,138066.09375,1976.2666664418562
B05,2,PHAandWGA,52477.09765625,782.4180976146207
B05,2,SYTO,36249.078125,646.9785204823862
B05,3,CONC,13719.515625,168.07772214530556
B05,3,HOECHST,7759.8876953125,129.8211468575596
B05,3,MITO,143548.65625,1996.766785957849
B05,3,PHAandWGA,54964.640625,821.3214190903165
B05,3,SYTO,38725.53125,682.3737170541079
B05,4,CONC,14440.49609375,166.78952268069438
B05,4,HOECHST,8185.99951171875,132.11355206863203
B05,4,MITO,149468.921875,1970.9521098384378
B05,4,PHAandWGA,58137.0546875,831.0509522770112
B05,4,SYTO,41804.7890625,686.6962215402812
B05,5,CONC,15109.3212890625,160.90950903652788
B05,5,HOECHST,8546.0859375,128.55498396448561
B05,5,MITO,155128.34375,1891.9918458740033
B05,5,PHAandWGA,59919.83203125,820.110753133833
B05,5,SYTO,43899.765625,666.8757474162358
B05,6,CONC,15544.849609375,152.59435558811018
B05,6,HOECHST,8823.326171875,123.18472364420107
B05,6,MITO,158720.0625,1820.8340057644232
B05,6,PHAandWGA,61856.390625,796.6664826426226
B05,6,SYTO,45795.46875,635.9340309898025
B05,7,CONC,15985.5859375,142.54833106298616
B05,7,HOECHST,9027.36328125,116.26718522044936
B05,7,MITO,162996.75,1728.1373014363542
B05,7,PHAandWGA,64182.1171875,760.371455900222
B05,7,SYTO,46606.0703125,597.4561479270005
B05,8,CONC,16254.56640625,131.50178162851262
B05,8,HOECHST,9178.8623046875,109.29316588332647
B05,8,MITO,164884.34375,1633.1682971886346
B05,8,PHAandWGA,65776.5234375,719.8363475180815
B05,8,SYTO,48797.625,554.5405294793588
B05,9,CONC,16531.056640625,121.8878496509869
