site_id,n_nuclei,n_cells
B02_s1,5,1
B04_s1,47,60
B05_s1,157,164
B06_s1,61,44
B08_s1,99,118
B09_s1,94,107
B10_s1,236,236
B11_s1,135,113
B12_s1,275,254
B13_s1,164,157
B14_s1,79,76
B15_s1,65,75
B16_s1,119,124
B17_s1,30,26
B18_s1,262,249
B19_s1,52,41
B20_s1,218,233
B21_s1,201,198
B22_s1,101,114
B23_s1,144,168
C02_s1,95,105
C04_s1,15,4
C05_s1,268,271
C06_s1,205,211
C07_s1,137,172
C08_s1,172,162
C09_s1,93,98
C10_s1,32,29
C11_s1,282,260
C12_s1,183,154
C13_s1,275,262
C14_s1,276,253
C15_s1,189,204
C16_s1,139,134
C17_s1,142,132
C19_s1,60,51
C20_s1,66,74
C21_s1,61,78
C22_s1,159,186
C23_s1,149,169
D02_s1,121,134
D03_s1,198,194
D05_s1,151,183
D06_s1,194,172
D07_s1,147,141
D08_s1,185,218
D09_s1,223,207
D10_s1,238,239
D11_s1,265,234
D12_s1,300,266
D13_s1,236,219
D14_s1,245,231
D15_s1,178,201
D16_s1,184,213
D17_s1,239,212
D18_s1,187,170
D19_s1,190,200
D20_s1,177,196
D21_s1,203,185
D22_s1,3,0
D23_s1,96,86
E02_s1,113,112
E03_s1,6,1
E04_s1,145,172
E05_s1,199,214
E06_s1,181,196
E07_s1,160,174
E08_s1,172,175
E10_s1,172,184
E12_s1,78,71
E13_s1,264,224
E14_s1,198,220
E15_s1,216,198
E16_s1,144,174
E17_s1,182,197
E18_s1,110,97
E19_s1,146,176
E20_s1,159,153
E21_s1,218,226
E22_s1,132,137
E23_s1,70,78
F02_s1,114,134
F03_s1,61,63
F04_s1,193,195
F05_s1,144,141
F06_s1,207,215
F07_s1,92,76
F08_s1,259,239
F09_s1,222,225
F10_s1,207,202
F11_s1,71,74
F12_s1,45,63
F13_s1,275,245
F14_s1,230,240
F15_s1,161,139
F16_s1,167,199
F17_s1,164,161
F19_s1,168,224
F20_s1,240,245
F21_s1,264,253
F22_s1,24,51
F23_s1,183,207
G02_s1,163,186
G03_s1,15,2
G05_s1,223,214
G06_s1,167,185
G07_s1,134,164
G08_s1,295,281
G09_s1,36,51
G10_s1,152,163
G11_s1,151,170
G12_s1,244,223
G13_s1,180,196
G14_s1,54,61
G15_s1,138,137
G16_s1,153,143
G17_s1,40,52
G18_s1,205,198
G19_s1,147,157
G20_s1,187,208
G21_s1,35,39
G22_s1,117,115
G23_s1,209,206
H02_s1,81,74
H03_s1,74,74
H04_s1,41,33
H05_s1,195,206
H06_s1,25,24
H07_s1,231,215
H08_s1,98,93
H09_s1,50,47
H10_s1,161,169
H11_s1,48,49
H12_s1,264,240
H13_s1,165,155
H14_s1,158,181
H15_s1,202,217
H16_s1,147,150
H17_s1,233,240
H18_s1,211,207
H19_s1,191,209
H20_s1,265,257
H21_s1,237,244
H22_s1,140,140
H23_s1,155,166
I02_s1,205,212
I03_s1,178,174
I04_s1,131,154
I05_s1,193,192
I06_s1,98,88
I07_s1,139,163
I08_s1,45,50
I09_s1,157,187
I10_s1,168,179
I11_s1,74,69
I12_s1,188,187
I13_s1,34,38
I14_s1,169,171
I15_s1,185,187
I16_s1,123,132
I17_s1,151,174
I18_s1,47,53
I19_s1,129,154
I20_s1,180,208
I21_s1,181,187
I22_s1,78,63
I23_s1,157,142
J02_s1,129,143
J03_s1,274,238
J04_s1,39,62
J05_s1,42,57
J07_s1,38,35
J08_s1,216,216
J09_s1,145,139
J10_s1,56,76
J11_s1,279,254
J12_s1,166,150
J13_s1,200,187
J14_s1,264,259
J15_s1,248,232
J16_s1,162,170
J17_s1,121,126
J18_s1,37,44
J19_s1,189,210
J20_s1,184,198
J21_s1,235,223
J22_s1,63,49
J23_s1,280,272
K02_s1,31,23
K03_s1,25,39
K05_s1,107,123
K06_s1,197,215
K07_s1,298,273
K08_s1,178,182
K09_s1,189,207
K10_s1,230,195
K11_s1,203,210
K12_s1,265,252
K13_s1,69,68
K14_s1,182,187
K15_s1,229,253
K16_s1,200,201
K17_s1,214,199
K18_s1,232,239
K19_s1,58,59
K20_s1,241,229
K21_s1,159,197
K22_s1,164,159
L02_s1,2,2
L03_s1,16,16
L04_s1,144,166
L05_s1,149,188
L06_s1,13,3
L07_s1,175,182
L08_s1,218,211
L09_s1,201,189
L10_s1,192,186
L11_s1,223,230
L12_s1,265,264
L13_s1,81,80
L14_s1,87,62
L15_s1,161,158
L16_s1,102,94
L17_s1,173,188
L18_s1,264,263
L19_s1,250,256
L20_s1,181,210
L21_s1,120,148
L22_s1,114,130
M02_s1,52,52
M03_s1,46,45
M05_s1,189,195
M06_s1,157,151
M07_s1,191,214
M08_s1,42,57
M09_s1,179,181
M10_s1,183,162
M11_s1,295,274
M12_s1,273,257
M14_s1,267,255
M15_s1,118,131
M16_s1,196,217
M17_s1,152,171
M18_s1,198,226
M19_s1,158,180
M20_s1,131,150
M21_s1,219,223
M22_s1,117,152
M23_s1,237,250
