well,n_z_slices,n_unique_cells,n_total_detections,avg_detections_per_cell,min_detections,max_detections,median_detections,expected_z_span_slices,track_length_distribution
B08_s1,16,238,855,3.592436974789916,1,9,3.0,3.0,"{'1_slices': 48, '2_slices': 41, '3_slices': 42, '4_slices': 34, '5_slices': 24, '6_slices': 18, '7_slices': 16, '8_slices': 12, '9_slices': 3}"
B22_s1,16,290,1059,3.6517241379310343,1,14,3.0,3.0,"{'1_slices': 69, '2_slices': 51, '3_slices': 47, '4_slices': 33, '5_slices': 26, '6_slices': 20, '7_slices': 15, '8_slices': 14, '9_slices': 7, '10_slices': 6, '11_slices': 1, '12_slices': 0, '13_slices': 0, '14_slices': 1}"
C05_s1,16,766,2780,3.629242819843342,1,14,3.0,3.0,"{'1_slices': 162, '2_slices': 159, '3_slices': 116, '4_slices': 97, '5_slices': 76, '6_slices': 52, '7_slices': 38, '8_slices': 27, '9_slices': 18, '10_slices': 11, '11_slices': 5, '12_slices': 3, '13_slices': 1, '14_slices': 1}"
D12_s1,16,816,2914,3.571078431372549,1,14,3.0,3.0,"{'1_slices': 200, '2_slices': 181, '3_slices': 110, '4_slices': 86, '5_slices': 66, '6_slices': 49, '7_slices': 48, '8_slices': 22, '9_slices': 26, '10_slices': 10, '11_slices': 11, '12_slices': 5, '13_slices': 1, '14_slices': 1}"
E16_s1,16,452,1619,3.581858407079646,1,10,3.0,3.0,"{'1_slices': 99, '2_slices': 80, '3_slices': 74, '4_slices': 53, '5_slices': 49, '6_slices': 46, '7_slices': 21, '8_slices': 15, '9_slices': 12, '10_slices': 3}"
F06_s1,16,457,1683,3.6827133479212253,1,12,3.0,3.0,"{'1_slices': 101, '2_slices': 70, '3_slices': 81, '4_slices': 60, '5_slices': 44, '6_slices': 40, '7_slices': 23, '8_slices': 18, '9_slices': 10, '10_slices': 7, '11_slices': 2, '12_slices': 1}"
F20_s1,16,621,2363,3.8051529790660226,1,12,3.0,3.0,"{'1_slices': 125, '2_slices': 105, '3_slices': 106, '4_slices': 76, '5_slices': 64, '6_slices': 48, '7_slices': 40, '8_slices': 26, '9_slices': 14, '10_slices': 8, '11_slices': 4, '12_slices': 5}"
G02_s1,16,373,1489,3.991957104557641,1,11,4.0,3.0,"{'1_slices': 75, '2_slices': 46, '3_slices': 57, '4_slices': 49, '5_slices': 47, '6_slices': 36, '7_slices': 27, '8_slices': 18, '9_slices': 11, '10_slices': 5, '11_slices': 2}"
G13_s1,16,477,1741,3.649895178197065,1,14,3.0,3.0,"{'1_slices': 114, '2_slices': 93, '3_slices': 61, '4_slices': 64, '5_slices': 41, '6_slices': 31, '7_slices': 24, '8_slices': 26, '9_slices': 8, '10_slices': 7, '11_slices': 6, '12_slices': 0, '13_slices': 1, '14_slices': 1}"
H10_s1,16,401,1569,3.9127182044887783,1,13,3.0,3.0,"{'1_slices': 88, '2_slices': 72, '3_slices': 60, '4_slices': 43, '5_slices': 40, '6_slices': 30, '7_slices': 19, '8_slices': 11, '9_slices': 14, '10_slices': 12, '11_slices': 7, '12_slices': 4, '13_slices': 1}"
