well,z,channel,focus_laplacian_var,focus_normalized_var
B02,0,CONC,4201.623046875,67.02705600166992
B02,0,HOECHST,3116.22900390625,64.48796671740064
B02,0,MITO,63464.78125,2046.9357109528648
B02,0,PHAandWGA,23153.953125,721.154839577684
B02,0,SYTO,11857.056640625,409.84151948881583
B02,1,CONC,4366.2802734375,74.32315823851458
B02,1,HOECHST,3262.60302734375,71.68764389441004
B02,1,MITO,64406.74609375,2170.1913566798207
B02,1,PHAandWGA,23856.73828125,775.8418773837641
B02,1,SYTO,12717.8740234375,448.71318347527847
B02,2,CONC,4576.8232421875,82.34149325671343
B02,2,HOECHST,3396.613037109375,79.31259853987422
B02,2,MITO,66357.484375,2325.7172230943997
B02,2,PHAandWGA,24948.5,835.7351462615862
B02,2,SYTO,13840.94140625,493.49390355993813
B02,3,CONC,4774.2060546875,90.31001702871131
B02,3,HOECHST,3554.720947265625,87.16428385339171
B02,3,MITO,68687.6484375,2465.0614655932345
B02,3,PHAandWGA,26069.38671875,895.8722290965133
B02,3,SYTO,15318.591796875,537.4464983190237
B02,4,CONC,4961.65478515625,96.50696037035007
B02,4,HOECHST,3725.891845703125,93.47423009554586
B02,4,MITO,70246.6796875,2570.0537733682663
B02,4,PHAandWGA,26959.666015625,943.8332209513853
B02,4,SYTO,16482.576171875,569.866048915456
B02,5,CONC,5127.40771484375,101.02825474701373
B02,5,HOECHST,3855.26806640625,97.80262282381581
B02,5,MITO,73127.2109375,2652.102226895629
B02,5,PHAandWGA,28385.330078125,981.8163848266445
B02,5,SYTO,17462.61328125,590.8417345773681
B02,6,CONC,5289.3935546875,104.00890007428627
B02,6,HOECHST,3980.910400390625,100.43151698652103
B02,6,MITO,75071.78125,2711.3058281164585
B02,6,PHAandWGA,29284.11328125,1010.2826494350219
B02,6,SYTO,18401.05859375,601.3843541228522
B02,7,CONC,5479.8759765625,105.9253601315857
B02,7,HOECHST,4107.099609375,102.33295482172869
B02,7,MITO,76566.6015625,2741.4273907190727
B02,7,PHAandWGA,30161.5078125,1027.3005476513126
B02,7,SYTO,19050.095703125,607.2675012711412
B02,8,CONC,5617.501953125,106.8310301892443
B02,8,HOECHST,4241.72412109375,103.42029800652395
B02,8,MITO,78359.0234375,2734.4638952817213
B02,8,PHAandWGA,31635.74609375,1038.115982277736
B02,8,SYTO,19763.310546875,607.1997158564789
B02,9,CONC,5733.419921875,106.83112927291681
B02,9,HOECHST,4332.73193359375,104.02415124415849
B02,9,MITO,80922.3359375,2733.4983168044255
B02,9,PHAandWGA,32516.755859375,1037.9215846190443
B02,9,SYTO,20224.412109375,602.6149997570286
B02,10,CONC,5868.4873046875,106.28451287177903
B02,10,HOECHST,4458.8564453125,104.22041922196225
B02,10,MITO,81282.9765625,2689.9453717920683
B02,10,PHAandWGA,33467.015625,1034.739033672296
B02,10,SYTO,20707.5546875,592.9402970600559
B02,11,CONC,6000.4716796875,105.2933426961865
B02,11,HOECHST,4569.1181640625,103.6184432869973
B02,11,MITO,82934.78125,2658.820463914241
B02,11,PHAandWGA,34378.3359375,1024.503451050676
B02,11,SYTO,21051.931640625,583.0252140762626
B02,12,CONC,6131.376953125,104.13368105085588
B02,12,HOECHST,4678.6640625,102.80763662942952
B02,12,MITO,84810.7265625,2605.7134079296343
B02,12,PHAandWGA,34956.5625,1010.7562500775168
B02,12,SYTO,21451.232421875,572.6586798493872
B02,13,CONC,6245.068359375,102.58093553249009
B02,13,HOECHST,4788.2646484375,101.64956836821081
B02,13,MITO,86669.0390625,2564.4509637145343
B02,13,PHAandWGA,35903.09765625,995.2419527036045
B02,13,SYTO,21696.0859375,557.9959542973004
B02,14,CONC,6376.2880859375,100.92995660722625
B02,14,HOECHST,4902.671875,100.19431068369533
B02,14,MITO,87286.703125,2505.2233001313202
B02,14,PHAandWGA,36247.203125,979.7301126504005
B02,14,SYTO,22042.1015625,543.5262331637043
B02,15,CONC,6475.15576171875,98.40611689154872
B02,15,HOECHST,4991.94189453125,97.98662774904498
B02,15,MITO,89483.265625,2443.486144932364
B02,15,PHAandWGA,36950.00390625,959.5007193405642
B02,15,SYTO,22482.6796875,527.22620560281
B03,0,CONC,4663.0732421875,83.37691968842671
B03,0,HOECHST,1873.59716796875,27.016741097197762
B03,0,MITO,70386.09375,2221.392113878532
B03,0,PHAandWGA,23567.041015625,690.8478383833509
B03,0,SYTO,9791.6357421875,347.7139843439125
B03,1,CONC,4950.603515625,98.36987566560973
B03,1,HOECHST,1962.05517578125,32.31261207476192
B03,1,MITO,72247.0,2481.6548292996013
B03,1,PHAandWGA,24938.73046875,774.4067173629758
B03,1,SYTO,10773.119140625,406.33623425769804
B03,2,CONC,5266.31640625,114.07328212331431
B03,2,HOECHST,2079.4599609375,38.444337768990884
B03,2,MITO,76775.6484375,2782.259230439087
B03,2,PHAandWGA,25910.87890625,865.0967366330873
B03,2,SYTO,12005.876953125,470.4273020257667
B03,3,CONC,5556.7158203125,124.78685204969251
B03,3,HOECHST,2196.912841796875,43.37936659464446
B03,3,MITO,79312.1796875,2953.324563704616
B03,3,PHAandWGA,27412.2265625,936.2321868984592
B03,3,SYTO,13183.0966796875,517.8494872569453
B03,4,CONC,5774.6875,129.71195854642025
B03,4,HOECHST,2281.428466796875,46.1950104233094
B03,4,MITO,83092.8125,3061.83337482992
B03,4,PHAandWGA,29005.37890625,974.1682889340041
B03,4,SYTO,13956.541015625,537.0327772308653
B03,5,CONC,5972.423828125,130.5721387899413
B03,5,HOECHST,2368.46044921875,47.84732050412067
B03,5,MITO,85249.71875,3081.298975169875
B03,5,PHAandWGA,30296.91015625,980.5436037647469
B03,5,SYTO,14428.0966796875,539.4963825389165
B03,6,CONC,6115.0478515625,129.50482464126225
B03,6,HOECHST,2444.6630859375,48.83528830855356
B03,6,MITO,86337.5703125,3061.122715619877
B03,6,PHAandWGA,31226.10546875,973.2999129096781
B03,6,SYTO,14875.380859375,536.3924638276965
B03,7,CONC,6235.6279296875,127.55237325240756
B03,7,HOECHST,2509.070556640625,48.74515926365792
B03,7,MITO,88334.4140625,3047.1159429422864
B03,7,PHAandWGA,31930.54296875,961.8772718202531
B03,7,SYTO,14837.06640625,520.4250429326996
B03,8,CONC,6338.3583984375,125.12907451395832
B03,8,HOECHST,2560.3583984375,48.35870776927273
B03,8,MITO,89533.03125,3004.8903913225627
B03,8,PHAandWGA,32722.12890625,944.7723345534048
B03,8,SYTO,15082.390625,507.7972918615952
B03,9,CONC,6456.154296875,122.08735935578162
B03,9,HOECHST,2621.37890625,47.9671273855608
B03,9,MITO,91171.9296875,2952.0954377838675
B03,9,PHAandWGA,33361.71875,923.6657392912304
B03,9,SYTO,15176.796875,491.8172133779574
B03,10,CONC,6599.1728515625,118.58339004644971
B03,10,HOECHST,2664.875244140625,47.190534351131376
B03,10,MITO,93153.9375,2898.079104394104
B03,10,PHAandWGA,34391.12890625,899.1920393377741
B03,10,SYTO,15198.021484375,473.38836347575943
B03,11,CONC,6693.4345703125,114.95530605887639
B03,11,HOECHST,2724.560302734375,46.34690317169461
B03,11,MITO,94473.5625,2813.399902473021
B03,11,PHAandWGA,34573.2890625,876.4748384522566
B03,11,SYTO,15460.029296875,458.6484340269345
B03,12,CONC,6821.5771484375,111.21877201365541
B03,12,HOECHST,2773.47216796875,45.03704092667877
B03,12,MITO,96697.859375,2728.5750368840445
B03,12,PHAandWGA,35250.9296875,848.7871969657812
B03,12,SYTO,15585.55859375,440.01839547360873
B03,13,CONC,6926.7177734375,107.1879154511624
B03,13,HOECHST,2805.9326171875,43.60787954110086
B03,13,MITO,97362.90625,2631.099662836736
B03,13,PHAandWGA,35787.1328125,819.8533991044358
B03,13,SYTO,15759.9111328125,421.822534279194
B03,14,CONC,6996.865234375,103.23784342587075
B03,14,HOECHST,2845.97216796875,42.309863564207895
B03,14,MITO,99293.296875,2528.479204781218
B03,14,PHAandWGA,36264.3515625,790.8498844719765
B03,14,SYTO,15901.576171875,403.2435214297501
B03,15,CONC,7080.326171875,99.14780205096194
B03,15,HOECHST,2885.875,40.93747767002856
B03,15,MITO,99709.1953125,2416.4291375117814
B03,15,PHAandWGA,36947.828125,756.8985642518318
B03,15,SYTO,16081.927734375,385.1237082175934
B04,0,CONC,9896.400390625,83.6152050735016
B04,0,HOECHST,5780.435546875,72.26304801809928
B04,0,MITO,108768.140625,1341.2989801037254
B04,0,PHAandWGA,43119.015625,560.5028184708804
B04,0,SYTO,28042.25,416.4501664459908
B04,1,CONC,10526.01171875,102.84064461078546
B04,1,HOECHST,6121.986328125,87.20756493703779
B04,1,MITO,112274.546875,1575.3492570048925
B04,1,PHAandWGA,45135.19921875,637.0198724997911
B04,1,SYTO,29652.197265625,487.24399364074907
B04,2,CONC,11254.8515625,127.73719041753922
B04,2,HOECHST,6547.484375,106.35114999210751
B04,2,MITO,118039.5859375,1853.5220062726978
B04,2,PHAandWGA,47280.1484375,745.5722196902041
B04,2,SYTO,31858.939453125,587.2590697897568
B04,3,CONC,12094.140625,147.706641312743
B04,3,HOECHST,7013.59375,122.7260023403507
B04,3,MITO,123109.5625,2025.6806868088286
B04,3,PHAandWGA,49575.6171875,841.6103672390382
B04,3,SYTO,34121.265625,673.3135150285033
B04,4,CONC,12824.404296875,155.31430390511625
B04,4,HOECHST,7380.15380859375,129.0758365246713
B04,4,MITO,129813.6796875,2056.1851262085356
B04,4,PHAandWGA,52851.30859375,896.0534009713131
B04,4,SYTO,36771.25,718.9002882343253
B04,5,CONC,13448.48046875,156.02796623332648
B04,5,HOECHST,7767.7587890625,131.07481887452562
B04,5,MITO,134053.8125,2029.5108542738142
B04,5,PHAandWGA,54773.7265625,918.0626707584554
B04,5,SYTO,38877.0234375,733.2643816078375
B04,6,CONC,13905.59375,151.83024991643072
B04,6,HOECHST,8075.7060546875,130.63046174851277
B04,6,MITO,139111.125,1973.2006022118887
B04,6,PHAandWGA,57571.875,909.0728429924849
B04,6,SYTO,40961.015625,720.4406076809838
B04,7,CONC,14395.787109375,144.00348777321483
B04,7,HOECHST,8405.3203125,126.33105921759321
B04,7,MITO,142934.109375,1870.8154809194332
B04,7,PHAandWGA,59378.3515625,881.7317085082493
B04,7,SYTO,42660.2421875,690.5436720719094
B04,8,CONC,14826.1015625,135.46707381171635
B04,8,HOECHST,8662.2705078125,119.96662100443652
B04,8,MITO,146014.046875,1758.119730112761
B04,8,PHAandWGA,61540.3671875,840.0129691425639
B04,8,SYTO,45183.3046875,648.9972347944856
B04,9,CONC,15172.67578125,126.45854723869311
B04,9,HOECHST,8920.4658203125,113.20353448379285
B04,9,MITO,149283.0625,1642.1432608854482
B04,9,PHAandWGA,64364.6875,795.9493774682214
B04,9,SYTO,46833.64453125,607.3677235909608
B04,10,CONC,15460.12890625,118.44418068179715
B04,10,HOECHST,9115.1259765625,107.0473193559761
B04,10,MITO,153481.75,1566.6238888071798
B04,10,PHAandWGA,65896.984375,757.1221280105636
B04,10,SYTO,48169.0625,568.6783338327056
B04,11,CONC,15735.61328125,110.38542139339478
B04,11,HOECHST,9263.619140625,100.6963207520745
B04,11,MITO,155083.25,1494.3180962202352
B04,11,PHAandWGA,66818.625,715.2408502841455
B04,11,SYTO,49051.1875,531.2691820046634
B04,12,CONC,15930.669921875,102.8713729298312
B04,12,HOECHST,9469.369140625,94.91560966240945
B04,12,MITO,157315.125,1416.6274264047859
B04,12,PHAandWGA,69222.8046875,673.0370830895903
B04,12,SYTO,50826.59375,493.0097601473146
B04,13,CONC,16053.63671875,96.39250511509037
B04,13,HOECHST,9661.234375,89.6101970540756
B04,13,MITO,160458.46875,1351.403650306513
B04,13,PHAandWGA,69591.625,634.8646879120649
B04,13,SYTO,51893.0078125,457.71868353996194
B04,14,CONC,16313.2158203125,90.6547237487018
B04,14,HOECHST,9795.9775390625,84.70558260095486
B04,14,MITO,161179.375,1286.2962039733163
B04,14,PHAandWGA,71445.8359375,601.7590096648217
B04,14,SYTO,52614.54296875,428.98897507554494
B04,15,CONC,16483.615234375,85.77109437713086
B04,15,HOECHST,9939.4267578125,80.7905338814643
B04,15,MITO,164198.84375,1238.7987142977613
B04,15,PHAandWGA,71342.171875,571.4029167537776
B04,15,SYTO,53317.91015625,402.03123308602653
B05,0,CONC,5882.18701171875,127.88584955477036
B05,0,HOECHST,3430.26806640625,93.3808725701529
B05,0,MITO,68460.8984375,2856.10047722556
B05,0,PHAandWGA,22876.02734375,936.7611163458232
B05,0,SYTO,13703.08984375,585.388206946424
B05,1,CONC,6196.99365234375,145.0532332384573
B05,1,HOECHST,3611.363037109375,106.0934351223728
