site_id,n_nuclei,n_cells
B02_s1,36,2
B03_s1,69,73
B04_s1,144,150
B05_s1,77,86
B06_s1,52,61
B07_s1,80,73
B08_s1,138,159
B09_s1,248,227
B10_s1,118,106
B11_s1,142,125
B12_s1,243,242
B13_s1,11,1
B14_s1,77,76
B15_s1,205,180
B16_s1,102,100
B17_s1,60,80
B18_s1,89,88
B19_s1,195,179
B20_s1,63,54
B22_s1,54,48
C02_s1,58,66
C03_s1,17,12
C04_s1,42,48
C05_s1,74,65
C07_s1,185,192
C08_s1,120,125
C09_s1,90,86
C10_s1,170,186
C11_s1,31,47
C12_s1,46,45
C13_s1,123,100
C14_s1,30,38
C16_s1,45,59
C17_s1,64,68
C18_s1,150,137
C19_s1,209,198
C20_s1,111,92
C21_s1,131,120
C22_s1,31,34
C23_s1,32,49
D02_s1,159,178
D04_s1,226,207
D06_s1,63,64
D07_s1,18,28
D08_s1,36,33
D09_s1,62,65
D10_s1,97,93
D11_s1,28,25
D12_s1,201,192
D13_s1,217,198
D14_s1,35,34
D15_s1,141,120
D17_s1,47,54
D19_s1,26,41
D20_s1,74,53
D21_s1,77,83
E04_s1,172,194
E05_s1,193,192
E06_s1,198,182
E07_s1,274,247
E08_s1,35,40
E09_s1,167,156
E10_s1,31,18
E11_s1,109,105
E12_s1,240,216
E13_s1,215,189
E15_s1,200,175
E16_s1,150,141
E17_s1,143,129
E18_s1,187,177
E19_s1,53,53
E20_s1,117,99
E21_s1,11,12
E22_s1,30,29
E23_s1,171,161
F02_s1,67,71
F03_s1,169,160
F05_s1,156,159
F06_s1,82,88
F07_s1,69,67
F09_s1,214,217
F10_s1,237,219
F11_s1,288,270
F12_s1,273,264
F13_s1,102,99
F14_s1,106,99
F15_s1,55,65
F16_s1,92,88
F17_s1,75,66
F18_s1,144,134
F19_s1,41,55
F20_s1,200,179
F21_s1,124,118
F22_s1,202,179
F23_s1,170,165
G02_s1,110,116
G03_s1,216,211
G04_s1,107,110
G05_s1,8,3
G06_s1,209,194
G07_s1,163,183
G08_s1,141,136
G09_s1,94,99
G10_s1,13,2
G11_s1,39,60
G12_s1,180,169
G13_s1,91,83
G14_s1,203,180
G15_s1,103,95
G16_s1,37,36
G17_s1,78,73
G18_s1,34,32
G19_s1,89,83
G20_s1,99,81
G21_s1,115,110
G22_s1,38,36
G23_s1,171,167
H02_s1,18,1
H03_s1,138,156
H04_s1,32,40
H05_s1,252,224
H06_s1,130,171
H07_s1,255,247
H08_s1,240,217
H09_s1,150,141
H10_s1,256,248
H11_s1,116,120
H12_s1,253,252
H13_s1,130,117
H14_s1,136,132
H16_s1,156,147
H17_s1,170,151
H18_s1,155,133
H19_s1,117,114
H21_s1,136,127
H22_s1,199,181
H23_s1,34,12
I02_s1,9,1
I05_s1,140,123
I06_s1,173,200
I07_s1,94,80
I11_s1,146,160
I12_s1,172,202
I14_s1,146,134
I16_s1,106,85
I17_s1,153,135
I18_s1,167,157
I22_s1,152,125
I23_s1,81,85
J03_s1,147,138
J05_s1,143,150
J06_s1,72,74
J07_s1,248,249
J08_s1,160,197
J09_s1,190,187
J10_s1,67,66
J11_s1,35,21
J12_s1,163,166
J13_s1,197,185
J14_s1,86,83
J15_s1,74,59
J16_s1,99,94
J17_s1,59,64
J18_s1,175,163
J19_s1,61,46
J20_s1,81,75
J21_s1,119,131
J22_s1,32,55
J23_s1,137,118
K02_s1,69,119
K03_s1,239,255
K04_s1,78,82
K05_s1,160,202
K07_s1,59,57
K08_s1,65,75
K09_s1,177,200
K10_s1,213,228
K11_s1,48,58
K12_s1,228,225
K13_s1,98,87
K14_s1,189,172
K15_s1,55,58
K16_s1,88,83
K17_s1,131,127
K18_s1,49,58
K19_s1,53,51
K20_s1,81,81
K21_s1,54,60
K22_s1,42,56
K23_s1,149,128
L03_s1,172,161
L06_s1,111,106
L07_s1,117,109
L08_s1,58,62
L09_s1,51,42
L10_s1,202,209
L12_s1,152,146
L13_s1,39,50
L14_s1,70,76
L15_s1,50,72
L16_s1,65,52
L17_s1,78,70
L18_s1,114,108
L19_s1,33,7
L21_s1,169,154
L23_s1,27,23
M02_s1,158,179
M04_s1,143,139
M05_s1,134,134
M06_s1,181,188
M07_s1,208,215
M08_s1,43,67
M09_s1,176,172
M10_s1,110,112
M11_s1,143,153
M12_s1,250,236
M13_s1,205,175
M14_s1,195,181
M15_s1,100,99
M16_s1,74,78
M17_s1,102,91
M18_s1,95,78
M20_s1,52,49
M21_s1,84,78
M22_s1,41,23
M23_s1,176,158
N02_s1,93,102
N03_s1,96,105
N04_s1,47,64
N05_s1,121,135
N06_s1,62,58
N07_s1,80,88
N08_s1,186,189
N09_s1,184,164
N10_s1,198,204
N11_s1,231,220
N12_s1,100,91
N13_s1,214,186
N14_s1,117,105
N15_s1,43,65
N16_s1,173,165
N17_s1,149,130
N18_s1,71,70
N19_s1,138,135
N21_s1,186,167
N23_s1,161,152
O02_s1,48,75
O03_s1,12,4
O04_s1,33,53
O05_s1,116,142
O07_s1,80,90
O09_s1,84,71
O11_s1,227,221
O12_s1,126,132
O13_s1,98,88
O14_s1,104,98
O15_s1,105,97
O16_s1,46,22
O18_s1,128,108
O19_s1,95,94
O20_s1,101,102
O21_s1,48,37
O22_s1,163,157
O23_s1,61,58
