well,n_z_slices,n_unique_cells,n_total_detections,avg_detections_per_cell,min_detections,max_detections,median_detections,expected_z_span_slices,track_length_distribution
B04_s1,16,372,1423,3.825268817204301,1,14,3.0,3.0,"{'1_slices': 68, '2_slices': 69, '3_slices': 60, '4_slices': 57, '5_slices': 37, '6_slices': 22, '7_slices': 27, '8_slices': 12, '9_slices': 8, '10_slices': 5, '11_slices': 4, '12_slices': 0, '13_slices': 1, '14_slices': 2}"
B15_s1,16,453,1671,3.6887417218543046,1,15,3.0,3.0,"{'1_slices': 86, '2_slices': 116, '3_slices': 73, '4_slices': 49, '5_slices': 34, '6_slices': 25, '7_slices': 18, '8_slices': 20, '9_slices': 15, '10_slices': 5, '11_slices': 4, '12_slices': 3, '13_slices': 4, '14_slices': 0, '15_slices': 1}"
C10_s1,16,421,1593,3.7838479809976246,1,12,3.0,3.0,"{'1_slices': 78, '2_slices': 75, '3_slices': 70, '4_slices': 63, '5_slices': 40, '6_slices': 32, '7_slices': 28, '8_slices': 15, '9_slices': 12, '10_slices': 4, '11_slices': 1, '12_slices': 3}"
C21_s1,16,267,1234,4.621722846441948,1,15,4.0,3.0,"{'1_slices': 46, '2_slices': 35, '3_slices': 38, '4_slices': 34, '5_slices': 26, '6_slices': 19, '7_slices': 17, '8_slices': 16, '9_slices': 14, '10_slices': 8, '11_slices': 7, '12_slices': 3, '13_slices': 1, '14_slices': 0, '15_slices': 3}"
E13_s1,16,466,1917,4.113733905579399,1,14,3.0,3.0,"{'1_slices': 93, '2_slices': 95, '3_slices': 54, '4_slices': 57, '5_slices': 42, '6_slices': 34, '7_slices': 32, '8_slices': 11, '9_slices': 14, '10_slices': 11, '11_slices': 6, '12_slices': 9, '13_slices': 4, '14_slices': 4}"
G03_s1,16,542,2000,3.690036900369004,1,13,3.0,3.0,"{'1_slices': 122, '2_slices': 106, '3_slices': 85, '4_slices': 61, '5_slices': 38, '6_slices': 39, '7_slices': 36, '8_slices': 27, '9_slices': 11, '10_slices': 13, '11_slices': 3, '12_slices': 0, '13_slices': 1}"
G14_s1,16,453,1998,4.410596026490066,1,15,3.0,3.0,"{'1_slices': 93, '2_slices': 71, '3_slices': 64, '4_slices': 50, '5_slices': 45, '6_slices': 29, '7_slices': 16, '8_slices': 28, '9_slices': 13, '10_slices': 16, '11_slices': 7, '12_slices': 4, '13_slices': 6, '14_slices': 9, '15_slices': 2}"
H12_s1,16,636,2300,3.6163522012578615,1,13,3.0,3.0,"{'1_slices': 151, '2_slices': 134, '3_slices': 88, '4_slices': 74, '5_slices': 49, '6_slices': 52, '7_slices': 26, '8_slices': 24, '9_slices': 12, '10_slices': 11, '11_slices': 9, '12_slices': 5, '13_slices': 1}"
H23_s1,16,13,18,1.3846153846153846,1,2,1.0,3.0,"{'1_slices': 8, '2_slices': 5}"
I06_s1,16,445,1732,3.892134831460674,1,12,3.0,3.0,"{'1_slices': 94, '2_slices': 69, '3_slices': 68, '4_slices': 54, '5_slices': 50, '6_slices': 45, '7_slices': 18, '8_slices': 15, '9_slices': 15, '10_slices': 10, '11_slices': 5, '12_slices': 2}"
I17_s1,16,363,1495,4.118457300275482,1,15,3.0,3.0,"{'1_slices': 90, '2_slices': 67, '3_slices': 37, '4_slices': 47, '5_slices': 18, '6_slices': 24, '7_slices': 20, '8_slices': 16, '9_slices': 10, '10_slices': 11, '11_slices': 13, '12_slices': 5, '13_slices': 4, '14_slices': 0, '15_slices': 1}"
K03_s1,16,627,2240,3.5725677830940987,1,15,3.0,3.0,"{'1_slices': 128, '2_slices': 158, '3_slices': 93, '4_slices': 64, '5_slices': 54, '6_slices': 46, '7_slices': 33, '8_slices': 17, '9_slices': 15, '10_slices': 9, '11_slices': 3, '12_slices': 4, '13_slices': 1, '14_slices': 1, '15_slices': 1}"
K09_s1,16,467,1574,3.3704496788008567,1,14,3.0,3.0,"{'1_slices': 121, '2_slices': 97, '3_slices': 89, '4_slices': 40, '5_slices': 37, '6_slices': 27, '7_slices': 18, '8_slices': 13, '9_slices': 10, '10_slices': 6, '11_slices': 5, '12_slices': 3, '13_slices': 0, '14_slices': 1}"
K14_s1,16,421,1822,4.327790973871734,1,14,3.0,3.0,"{'1_slices': 80, '2_slices': 75, '3_slices': 63, '4_slices': 43, '5_slices': 32, '6_slices': 32, '7_slices': 24, '8_slices': 18, '9_slices': 19, '10_slices': 10, '11_slices': 11, '12_slices': 8, '13_slices': 5, '14_slices': 1}"
K20_s1,16,128,439,3.4296875,1,10,3.0,3.0,"{'1_slices': 32, '2_slices': 16, '3_slices': 18, '4_slices': 22, '5_slices': 20, '6_slices': 13, '7_slices': 4, '8_slices': 1, '9_slices': 1, '10_slices': 1}"
N05_s1,16,346,1220,3.5260115606936417,1,12,3.0,3.0,"{'1_slices': 73, '2_slices': 78, '3_slices': 42, '4_slices': 58, '5_slices': 30, '6_slices': 18, '7_slices': 26, '8_slices': 7, '9_slices': 7, '10_slices': 4, '11_slices': 2, '12_slices': 1}"
N16_s1,16,380,1710,4.5,1,15,4.0,3.0,"{'1_slices': 75, '2_slices': 59, '3_slices': 47, '4_slices': 45, '5_slices': 40, '6_slices': 26, '7_slices': 17, '8_slices': 16, '9_slices': 16, '10_slices': 13, '11_slices': 8, '12_slices': 8, '13_slices': 7, '14_slices': 1, '15_slices': 2}"
O07_s1,16,150,441,2.94,1,7,3.0,3.0,"{'1_slices': 26, '2_slices': 41, '3_slices': 43, '4_slices': 15, '5_slices': 12, '6_slices': 7, '7_slices': 6}"
O11_s1,16,554,2118,3.8231046931407944,1,13,3.0,3.0,"{'1_slices': 110, '2_slices': 102, '3_slices': 98, '4_slices': 62, '5_slices': 49, '6_slices': 46, '7_slices': 27, '8_slices': 27, '9_slices': 14, '10_slices': 7, '11_slices': 6, '12_slices': 4, '13_slices': 2}"
O18_s1,16,307,1120,3.6482084690553744,1,15,3.0,3.0,"{'1_slices': 87, '2_slices': 48, '3_slices': 45, '4_slices': 30, '5_slices': 26, '6_slices': 22, '7_slices': 15, '8_slices': 11, '9_slices': 13, '10_slices': 4, '11_slices': 5, '12_slices': 0, '13_slices': 0, '14_slices': 0, '15_slices': 1}"
O22_s1,16,392,1676,4.275510204081633,1,13,3.0,3.0,"{'1_slices': 79, '2_slices': 67, '3_slices': 54, '4_slices': 28, '5_slices': 37, '6_slices': 41, '7_slices': 29, '8_slices': 22, '9_slices': 9, '10_slices': 10, '11_slices': 3, '12_slices': 4, '13_slices': 9}"
