site_id,n_nuclei,n_cells
B04_s1,132,126
B05_s1,121,109
B08_s1,118,100
B09_s1,120,95
B10_s1,155,130
B11_s1,182,166
B12_s1,188,154
B13_s1,191,168
B14_s1,192,174
B15_s1,31,30
B16_s1,36,28
B17_s1,23,28
B18_s1,96,91
B19_s1,84,81
B20_s1,147,130
B21_s1,16,0
B22_s1,120,110
B23_s1,209,179
C02_s1,102,95
C04_s1,187,172
C05_s1,38,1
C06_s1,75,79
C07_s1,89,87
C08_s1,97,85
C10_s1,59,52
C11_s1,165,142
C12_s1,187,175
C13_s1,119,113
C14_s1,155,149
C15_s1,166,158
C16_s1,171,148
C21_s1,116,104
C23_s1,96,91
D02_s1,90,80
D03_s1,120,113
D05_s1,90,85
D06_s1,91,81
D07_s1,161,142
D08_s1,106,115
D09_s1,154,149
D10_s1,140,137
D11_s1,186,164
D12_s1,197,170
D13_s1,209,188
D14_s1,177,153
D15_s1,144,119
D16_s1,132,125
D17_s1,113,102
D18_s1,50,53
D19_s1,117,110
D20_s1,118,109
D21_s1,9,1
D22_s1,14,2
D23_s1,1,0
E02_s1,102,110
E03_s1,17,1
E05_s1,92,84
E06_s1,177,156
E07_s1,162,149
E08_s1,126,128
E09_s1,68,52
E10_s1,143,134
E12_s1,54,53
E13_s1,222,208
E14_s1,135,130
E15_s1,98,84
E16_s1,105,104
E17_s1,166,158
E18_s1,172,163
E19_s1,70,68
E20_s1,129,105
E21_s1,122,99
E23_s1,33,31
F02_s1,188,172
F04_s1,124,117
F05_s1,109,99
F06_s1,169,160
F07_s1,71,67
F08_s1,105,97
F09_s1,144,139
F10_s1,179,173
F11_s1,111,98
F12_s1,72,70
F13_s1,209,181
F14_s1,92,78
F15_s1,108,93
F16_s1,145,127
F17_s1,103,81
F18_s1,28,17
F19_s1,192,175
F20_s1,161,152
F21_s1,94,102
F23_s1,85,76
G02_s1,19,0
G05_s1,132,122
G06_s1,173,151
G07_s1,206,191
G08_s1,200,170
G09_s1,52,60
G11_s1,156,144
G12_s1,194,165
G13_s1,173,168
G14_s1,41,48
G15_s1,174,165
G16_s1,109,75
G18_s1,135,132
G19_s1,182,170
G20_s1,157,146
G22_s1,163,149
H02_s1,153,143
H04_s1,71,62
H05_s1,144,127
H07_s1,112,105
H08_s1,27,5
H09_s1,41,38
H10_s1,146,125
H12_s1,153,146
H13_s1,78,81
H14_s1,190,181
H15_s1,149,140
H16_s1,96,96
H17_s1,83,78
H18_s1,158,147
H19_s1,159,145
H20_s1,172,166
H21_s1,30,10
H22_s1,134,103
H23_s1,169,153
I02_s1,113,123
I03_s1,83,96
I04_s1,88,75
I05_s1,118,105
I07_s1,137,125
I08_s1,80,70
I09_s1,162,142
I10_s1,55,49
I11_s1,69,68
I12_s1,164,156
I14_s1,148,132
I15_s1,146,143
I16_s1,93,87
I17_s1,102,103
I18_s1,63,64
I21_s1,80,77
I22_s1,14,1
J02_s1,115,115
J03_s1,40,18
J05_s1,23,38
J06_s1,150,129
J08_s1,118,116
J09_s1,96,88
J11_s1,119,120
J12_s1,158,145
J13_s1,47,51
J14_s1,168,149
J15_s1,74,71
J16_s1,110,100
J17_s1,152,132
J19_s1,192,175
J20_s1,144,126
J22_s1,45,46
J23_s1,41,25
K02_s1,59,54
K03_s1,13,1
K05_s1,143,138
K06_s1,83,79
K07_s1,95,87
K08_s1,125,124
K09_s1,76,76
K10_s1,124,109
K11_s1,175,152
K12_s1,97,91
K13_s1,66,67
K14_s1,116,114
K15_s1,158,150
K16_s1,157,147
K17_s1,185,173
K18_s1,181,161
K19_s1,35,36
K20_s1,127,111
K21_s1,153,144
K22_s1,0,0
L02_s1,184,165
L03_s1,129,108
L04_s1,132,127
L05_s1,145,122
L06_s1,133,116
L07_s1,138,138
L08_s1,114,102
L09_s1,107,100
L10_s1,98,94
L11_s1,152,139
L12_s1,156,134
L13_s1,40,40
L15_s1,62,46
L16_s1,82,84
L17_s1,125,97
L18_s1,140,147
L19_s1,137,129
L20_s1,159,141
L21_s1,90,81
L22_s1,175,147
L23_s1,54,54
M02_s1,50,77
M04_s1,46,19
M05_s1,132,145
M06_s1,117,90
M07_s1,120,113
M08_s1,38,41
M09_s1,117,88
M10_s1,84,76
M11_s1,167,147
M12_s1,91,85
M13_s1,30,30
M14_s1,172,160
M15_s1,165,152
M16_s1,147,139
M17_s1,115,95
M18_s1,179,164
M19_s1,40,42
M20_s1,72,69
M21_s1,91,82
M22_s1,160,147
M23_s1,148,103
N02_s1,134,142
N03_s1,46,26
N04_s1,196,171
N05_s1,177,159
N06_s1,78,53
N07_s1,130,108
N08_s1,112,117
N09_s1,112,73
N10_s1,172,159
N12_s1,174,154
N14_s1,134,128
N15_s1,169,147
N16_s1,152,136
N17_s1,51,49
N19_s1,67,72
N20_s1,62,28
N22_s1,94,86
N23_s1,80,74
O02_s1,37,46
O03_s1,21,20
O05_s1,87,92
O06_s1,2,1
O07_s1,149,129
O08_s1,165,148
O09_s1,166,158
O10_s1,186,170
O11_s1,161,157
O12_s1,114,93
O13_s1,113,105
O15_s1,165,159
O16_s1,130,129
O17_s1,27,44
O18_s1,90,109
O20_s1,146,142
O22_s1,2,1
O23_s1,150,131
