Drug1,Drug2,Similarity
5Z-7-,ABT-7,0.4319152191137236
5Z-7-,AMG23,0.4800958707671418
5Z-7-,AZD45,0.5626711238885044
5Z-7-,AZD77,0.7524174781469456
5Z-7-,AZD80,0.6606688459105297
5Z-7-,Adavo,0.7618351498159015
5Z-7-,Afati,0.770747382696791
5Z-7-,Alpel,0.5299905308354076
5Z-7-,BMS-7,0.6565238504834902
5Z-7-,Binim,0.8307460360497728
5Z-7-,Cobim,0.8879545257124102
5Z-7-,Crizo,0.6391445535921693
5Z-7-,Dabra,0.6689523187790679
5Z-7-,Doram,0.3455350741494953
5Z-7-,Encor,0.754720077001217
5Z-7-,Fluor,0.6556353367313681
5Z-7-,Gefit,0.5178887371947196
5Z-7-,Gemci,0.6635986919189033
5Z-7-,Linsi,0.42413901724069303
5Z-7-,MK-22,0.40892725211573233
5Z-7-,Navit,0.514872904421251
5Z-7-,Nutli,0.49870971423123106
5Z-7-,Olapa,0.44712194410896566
5Z-7-,Oxali,0.6530126780858501
5Z-7-,PD032,0.8664656726893687
5Z-7-,PI-10,0.6854315570956565
5Z-7-,Pacli,0.6208887132602557
5Z-7-,Palbo,0.5824586870773472
5Z-7-,Rabus,0.47797954774196916
5Z-7-,Regor,0.6340496991958013
5Z-7-,Ruxol,0.26351492817025346
5Z-7-,SB216,0.4391763306247624
5Z-7-,SB505,0.6306229124234033
5Z-7-,SN-38,0.7018662189941065
5Z-7-,Sapit,0.349591172368084
5Z-7-,Soraf,0.6497785729076838
5Z-7-,Tanes,0.7177674935537002
5Z-7-,Tasel,0.562797622123384
5Z-7-,Trame,0.8783151278966917
5Z-7-,Trici,0.28242759177364424
5Z-7-,Trifl,0.5514742880268135
5Z-7-,Vemur,0.24945404884762457
5Z-7-,Vinor,0.6154165623710801
5Z-7-,Vorin,0.6028186980557956
5Z-7-,abema,0.6750518194811481
ABT-7,AMG23,0.14863854887074568
ABT-7,AZD45,0.6208799995824852
ABT-7,AZD77,0.8077941218112591
ABT-7,AZD80,0.570669479649685
ABT-7,Adavo,0.7766075743766736
ABT-7,Afati,0.6620521286794427
ABT-7,Alpel,0.7394394692654969
ABT-7,BMS-7,0.4154995995691011
ABT-7,Binim,0.6151170986324196
ABT-7,Cobim,0.6486292118865876
