Files	well_id	z_plane	channel	cell_line
detection_example_dataset/Well-B02-z0-HOECHST.ome.tiff	B02	0	HOECHST	HCT-116
detection_example_dataset/Well-B02-z0-SYTO.ome.tiff	B02	0	SYTO	HCT-116
detection_example_dataset/Well-B02-z1-HOECHST.ome.tiff	B02	1	HOECHST	HCT-116
detection_example_dataset/Well-B02-z1-SYTO.ome.tiff	B02	1	SYTO	HCT-116
detection_example_dataset/Well-B02-z10-HOECHST.ome.tiff	B02	10	HOECHST	HCT-116
detection_example_dataset/Well-B02-z10-SYTO.ome.tiff	B02	10	SYTO	HCT-116
detection_example_dataset/Well-B02-z11-HOECHST.ome.tiff	B02	11	HOECHST	HCT-116
detection_example_dataset/Well-B02-z11-SYTO.ome.tiff	B02	11	SYTO	HCT-116
detection_example_dataset/Well-B02-z12-HOECHST.ome.tiff	B02	12	HOECHST	HCT-116
detection_example_dataset/Well-B02-z12-SYTO.ome.tiff	B02	12	SYTO	HCT-116
detection_example_dataset/Well-B02-z13-HOECHST.ome.tiff	B02	13	HOECHST	HCT-116
detection_example_dataset/Well-B02-z13-SYTO.ome.tiff	B02	13	SYTO	HCT-116
detection_example_dataset/Well-B02-z14-HOECHST.ome.tiff	B02	14	HOECHST	HCT-116
detection_example_dataset/Well-B02-z14-SYTO.ome.tiff	B02	14	SYTO	HCT-116
detection_example_dataset/Well-B02-z15-HOECHST.ome.tiff	B02	15	HOECHST	HCT-116
detection_example_dataset/Well-B02-z15-SYTO.ome.tiff	B02	15	SYTO	HCT-116
detection_example_dataset/Well-B02-z16-HOECHST.ome.tiff	B02	16	HOECHST	HCT-116
detection_example_dataset/Well-B02-z16-SYTO.ome.tiff	B02	16	SYTO	HCT-116
detection_example_dataset/Well-B02-z17-HOECHST.ome.tiff	B02	17	HOECHST	HCT-116
detection_example_dataset/Well-B02-z17-SYTO.ome.tiff	B02	17	SYTO	HCT-116
detection_example_dataset/Well-B02-z18-HOECHST.ome.tiff	B02	18	HOECHST	HCT-116
detection_example_dataset/Well-B02-z18-SYTO.ome.tiff	B02	18	SYTO	HCT-116
detection_example_dataset/Well-B02-z19-HOECHST.ome.tiff	B02	19	HOECHST	HCT-116
detection_example_dataset/Well-B02-z19-SYTO.ome.tiff	B02	19	SYTO	HCT-116
detection_example_dataset/Well-B02-z2-HOECHST.ome.tiff	B02	2	HOECHST	HCT-116
detection_example_dataset/Well-B02-z2-SYTO.ome.tiff	B02	2	SYTO	HCT-116
detection_example_dataset/Well-B02-z20-HOECHST.ome.tiff	B02	20	HOECHST	HCT-116
detection_example_dataset/Well-B02-z20-SYTO.ome.tiff	B02	20	SYTO	HCT-116
detection_example_dataset/Well-B02-z21-HOECHST.ome.tiff	B02	21	HOECHST	HCT-116
detection_example_dataset/Well-B02-z21-SYTO.ome.tiff	B02	21	SYTO	HCT-116
detection_example_dataset/Well-B02-z22-HOECHST.ome.tiff	B02	22	HOECHST	HCT-116
detection_example_dataset/Well-B02-z22-SYTO.ome.tiff	B02	22	SYTO	HCT-116
detection_example_dataset/Well-B02-z23-HOECHST.ome.tiff	B02	23	HOECHST	HCT-116
detection_example_dataset/Well-B02-z23-SYTO.ome.tiff	B02	23	SYTO	HCT-116
detection_example_dataset/Well-B02-z24-HOECHST.ome.tiff	B02	24	HOECHST	HCT-116
detection_example_dataset/Well-B02-z24-SYTO.ome.tiff	B02	24	SYTO	HCT-116
detection_example_dataset/Well-B02-z25-HOECHST.ome.tiff	B02	25	HOECHST	HCT-116
detection_example_dataset/Well-B02-z25-SYTO.ome.tiff	B02	25	SYTO	HCT-116
detection_example_dataset/Well-B02-z26-HOECHST.ome.tiff	B02	26	HOECHST	HCT-116
detection_example_dataset/Well-B02-z26-SYTO.ome.tiff	B02	26	SYTO	HCT-116
detection_example_dataset/Well-B02-z27-HOECHST.ome.tiff	B02	27	HOECHST	HCT-116
detection_example_dataset/Well-B02-z27-SYTO.ome.tiff	B02	27	SYTO	HCT-116
detection_example_dataset/Well-B02-z28-HOECHST.ome.tiff	B02	28	HOECHST	HCT-116
detection_example_dataset/Well-B02-z28-SYTO.ome.tiff	B02	28	SYTO	HCT-116
