Files	experiment	experiment_description	data_type	condition	used_by	download_tier	size_bytes	sha256
processed_profiles/exp1_main/grit_data_2D_HCT116.parquet	exp1_main	3D spheroid Cell Painting, 52 compounds, z-slice sampling	Grit scores	HCT116, 2D	Fig 3c-h, Fig 4, Fig 5, Fig 6e	required	8440664	57fe16d07d424c471dff8b78a2e62bc29f999f45f3ff5cec0a5020f3846fa101
processed_profiles/exp1_main/grit_data_2D_HT29.parquet	exp1_main	3D spheroid Cell Painting, 52 compounds, z-slice sampling	Grit scores	HT29, 2D	Fig 3c-h, Fig 4, Fig 5, Fig 6e	required	8913603	68e955b6f845d3c0c918140ee954d7b5fd3fc259d0cc9c64e9a6d5e755c0c745
processed_profiles/exp1_main/grit_data_MIP_HCT116.parquet	exp1_main	3D spheroid Cell Painting, 52 compounds, z-slice sampling	Grit scores	HCT116, MIP	Fig 3c-h, Fig 4, Fig 5, Fig 6e	required	3609103	60099b6a355c6b7f25db71f1b99b0ccffb5a56adf58fb37c24fe38fe7babbf15
processed_profiles/exp1_main/grit_data_MIP_HT29.parquet	exp1_main	3D spheroid Cell Painting, 52 compounds, z-slice sampling	Grit scores	HT29, MIP	Fig 3c-h, Fig 4, Fig 5, Fig 6e	required	3536942	939c3d762d09afbf6e9dac9bddf01b546d67fca95e0817d20d9455dd77c15db1
processed_profiles/exp1_main/grit_data_aggregates_HCT116.parquet	exp1_main	3D spheroid Cell Painting, 52 compounds, z-slice sampling	Grit scores	HCT116, aggregates	Fig 3c-h, Fig 4, Fig 5, Fig 6e	required	4136089	62fe1af8681c44b6396678afcaa3a2a2b9db0c5baf90f5c86447eb4092e3bcaa
processed_profiles/exp1_main/grit_data_aggregates_HT29.parquet	exp1_main	3D spheroid Cell Painting, 52 compounds, z-slice sampling	Grit scores	HT29, aggregates	Fig 3c-h, Fig 4, Fig 5, Fig 6e	required	4226629	30355bea1a55a0327d121dc9365d7b47cee36756bfea26beee8326b6d81cf4fe
processed_profiles/exp1_main/normalized_data_merged_HCT116.csv	exp1_main	3D spheroid Cell Painting, 52 compounds, z-slice sampling	Normalised per-slice profiles	HCT116; per-plate and per-plate-and-slice	Fig 2g	normalized	305863934	351b2695ab5f689c6137ff75015ceed5d70d6967c242672917795498546bff55
processed_profiles/exp1_main/selected_data_2D_HCT116.parquet	exp1_main	3D spheroid Cell Painting, 52 compounds, z-slice sampling	Feature-selected profiles	HCT116, 2D	grit-score input; Suppl Fig 3, Suppl Fig 5	required	10403303	bd36224d3837ebcfc80e0ec34402874d37485030e8aaf0788d19893b8903de70
processed_profiles/exp1_main/selected_data_2D_HT29.parquet	exp1_main	3D spheroid Cell Painting, 52 compounds, z-slice sampling	Feature-selected profiles	HT29, 2D	grit-score input; Suppl Fig 3, Suppl Fig 5	required	10945773	f0c5052caaed583769d6ff57ce6025c084c71ef5033e45d9c13f4e2da579e6b1
processed_profiles/exp1_main/selected_data_MIP_HCT116.parquet	exp1_main	3D spheroid Cell Painting, 52 compounds, z-slice sampling	Feature-selected profiles	HCT116, MIP	grit-score input; Suppl Fig 3, Suppl Fig 5	required	3648953	8c5d0af2d127f93d0483979421aeaee57a49b6ccf51e76f0fa4cd7879d026b20
processed_profiles/exp1_main/selected_data_MIP_HT29.parquet	exp1_main	3D spheroid Cell Painting, 52 compounds, z-slice sampling	Feature-selected profiles	HT29, MIP	grit-score input; Suppl Fig 3, Suppl Fig 5	required	3514588	e4bdec19dd3ff6bb93f42b661d78642156ae073f91a416d6af5048f010379316
processed_profiles/exp1_main/selected_data_aggregates_HCT116.parquet	exp1_main	3D spheroid Cell Painting, 52 compounds, z-slice sampling	Feature-selected profiles	HCT116, aggregates	grit-score input; Suppl Fig 3, Suppl Fig 5	required	5023734	db2bd86886091a43b24ae919c9ca673eef73e32658577ea46caac9bf41e291aa
processed_profiles/exp1_main/selected_data_aggregates_HT29.parquet	exp1_main	3D spheroid Cell Painting, 52 compounds, z-slice sampling	Feature-selected profiles	HT29, aggregates	grit-score input; Suppl Fig 3, Suppl Fig 5	required	5071183	2003d9a18852ca0bfb6ee80e2ee66ed8d78a92b24cea5e83c46c81d990ebc5ee
processed_profiles/exp1_main/slices/selected_section1_12planes.parquet	exp1_main	3D spheroid Cell Painting, 52 compounds, z-slice sampling	Feature-selected profiles, z-subsampled	section1_12planes	Suppl Fig 3a	required	4941377	5a10066e41c96da9ae63604306c46e85b1493b0f29dc8e268d204b814e64c460
processed_profiles/exp1_main/slices/selected_section1_sparse3.parquet	exp1_main	3D spheroid Cell Painting, 52 compounds, z-slice sampling	Feature-selected profiles, z-subsampled	section1_sparse3	Suppl Fig 3a	required	5958470	9ccfa489cc0d1081c3e901d4bf571a8116530287c42201e87ceb56a002f5c8e6
processed_profiles/exp1_main/slices/selected_section1_sparse6.parquet	exp1_main	3D spheroid Cell Painting, 52 compounds, z-slice sampling	Feature-selected profiles, z-subsampled	section1_sparse6	Suppl Fig 3a	required	4957959	06cfb9ece98c1d512c0a8f5e45cf057f1f9f0e13bab8b4422ff4b06e38905583
processed_profiles/exp1_main/slices/selected_section1_sparse9.parquet	exp1_main	3D spheroid Cell Painting, 52 compounds, z-slice sampling	Feature-selected profiles, z-subsampled	section1_sparse9	Suppl Fig 3a	required	5409115	20882ac7e75967701b0fa294db16d1c9e0d81cc8c299a5690e4a66ca9366e43f
