NAME,TERM,ES,NES,NOM_P_VAL,FDR_Q_VAL,FWER_P_VAL,TAG_%,GENE_%,LEAD_GENES,LEAD_GENES_IDS
prerank,P53 Pathway,0.6771909472003621,2.8274655642731967,0.001,0.001,0.001,61/179,7.71%,CDKN1A;SESN1;BTG2;FDXR;PHLDA3;RPS27L;DDB2;PLK3;FAS;DRAM1;MDM2;EPS8L2;BAX;DGKA;MXD4;PLK2;SERPINB5;AEN;SFN;IER5;CYFIP2;FUCA1;GADD45A;PROCR;PIDD1;XPC;DDIT4;TGFA;KLK8;TRIAP1;RRP8;SAT1;IP6K2;TRAF4;ZMAT3;LIF;NDRG1;TOB1;POLH;ISCU;AK1;ABCC5;NINJ1;SPHK1;RAD51C;COQ8A;FAM162A;PVT1;IER3;PPM1D;HSPA4L;ITGB4;VAMP8;HINT1;ANKRA2;OSGIN1;BLCAP;CCNG1;S100A4;TSC22D1;EPHA2,ENSG00000124762;ENSG00000080546;ENSG00000159388;ENSG00000161513;ENSG00000174307;ENSG00000185088;ENSG00000134574;ENSG00000173846;ENSG00000026103;ENSG00000136048;ENSG00000135679;ENSG00000177106;ENSG00000087088;ENSG00000065357;ENSG00000123933;ENSG00000145632;ENSG00000206075;ENSG00000181026;ENSG00000175793;ENSG00000162783;ENSG00000055163;ENSG00000179163;ENSG00000116717;ENSG00000101000;ENSG00000177595;ENSG00000154767;ENSG00000168209;ENSG00000163235;ENSG00000129455;ENSG00000170855;ENSG00000132275;ENSG00000130066;ENSG00000068745;ENSG00000076604;ENSG00000172667;ENSG00000128342;ENSG00000104419;ENSG00000141232;ENSG00000170734;ENSG00000136003;ENSG00000106992;ENSG00000114770;ENSG00000131669;ENSG00000176170;ENSG00000108384;ENSG00000163050;ENSG00000114023;ENSG00000249859;ENSG00000137331;ENSG00000170836;ENSG00000164070;ENSG00000132470;ENSG00000118640;ENSG00000169567;ENSG00000164331;ENSG00000140961;ENSG00000166619;ENSG00000113328;ENSG00000196154;ENSG00000102804;ENSG00000142627
prerank,G2M Checkpoint,-0.5727237851285346,-2.4527169717166117,0.001,0.001,0.001,79/195,14.45%,SLC7A1;SLC38A1;SFPQ;LMNB1;KIF15;CENPE;KNL1;MAP3K20;BRCA2;MARCKS;TMPO;CDKN1B;SLC7A5;BARD1;SMC2;PURA;STAG1;SQLE;SYNCRIP;MKI67;CASP8AP2;MCM6;MCM5;KPNB1;NUP50;CCNF;HNRNPU;HNRNPD;CENPF;PDS5B;CTCF;KIF23;RAD21;SMC4;RBM14;INCENP;NSD2;SMC1A;SMARCC1;EZH2;TOP1;LBR;E2F2;UCK2;KIF20B;ARID4A;ILF3;CUL5;KIF11;HOXC10;SRSF1;PRP4K;STMN1;XPO1;SUV39H1;MCM3;CHAF1A;DBF4;MCM2;KMT5A;LIG3;PLK4;NCL;MYBL2;EXO1;CDC7;AMD1;E2F3;MEIS2;NOLC1;STIL;MAPK14;CBX1;KATNA1;RBL1;NDC80;GINS2;DKC1;ESPL1,ENSG00000139514;ENSG00000111371;ENSG00000116560;ENSG00000113368;ENSG00000163808;ENSG00000138778;ENSG00000137812;ENSG00000091436;ENSG00000139618;ENSG00000277443;ENSG00000120802;ENSG00000111276;ENSG00000103257;ENSG00000138376;ENSG00000136824;ENSG00000185129;ENSG00000118007;ENSG00000104549;ENSG00000135316;ENSG00000148773;ENSG00000118412;ENSG00000076003;ENSG00000100297;ENSG00000108424;ENSG00000093000;ENSG00000162063;ENSG00000153187;ENSG00000138668;ENSG00000117724;ENSG00000083642;ENSG00000102974;ENSG00000137807;ENSG00000164754;ENSG00000113810;ENSG00000239306;ENSG00000149503;ENSG00000109685;ENSG00000072501;ENSG00000173473;ENSG00000106462;ENSG00000198900;ENSG00000143815;ENSG00000007968;ENSG00000143179;ENSG00000138182;ENSG00000032219;ENSG00000129351;ENSG00000166266;ENSG00000138160;ENSG00000180818;ENSG00000136450;ENSG00000112739;ENSG00000117632;ENSG00000082898;ENSG00000101945;ENSG00000112118;ENSG00000167670;ENSG00000006634;ENSG00000073111;ENSG00000183955;ENSG00000005156;ENSG00000142731;ENSG00000115053;ENSG00000101057;ENSG00000174371;ENSG00000097046;ENSG00000123505;ENSG00000112242;ENSG00000134138;ENSG00000166197;ENSG00000123473;ENSG00000112062;ENSG00000108468;ENSG00000186625;ENSG00000080839;ENSG00000080986;ENSG00000131153;ENSG00000130826;ENSG00000135476
prerank,Mitotic Spindle,-0.4966959063066781,-2.138504069811261,0.001,0.001,0.001,81/195,21.48%,PALLD;SMC3;LMNB1;KIF15;CENPE;BRCA2;MARCKS;CDK5RAP2;SASS6;HOOK3;WASL;CENPF;WASF2;MID1IP1;STAU1;VCL;ARHGEF12;KIF23;ARHGEF11;EPB41L2;CLIP1;CKAP5;SMC4;ANLN;CD2AP;INCENP;MYH10;SMC1A;CLASP1;ARHGAP5;KIF20B;KIF1B;CCDC88A;KIF11;CDC42EP1;SOS1;RALBP1;SSH2;RFC1;MYH9;RAPGEF5;MAP1S;TLK1;BIN1;ARHGAP10;ROCK1;PPP4R2;KATNA1;PXN;NDC80;ITSN1;ALS2;FGD4;ESPL1;KIF3B;ARHGEF2;ABI1;PCNT;FSCN1;ARHGDIA;ARF6;ARHGAP29;NIN;RAPGEF6;RASA1;CDC42EP4;TRIO;CDC27;PRC1;FLNB;DLG1;KIF2C;EZR;PLEKHG2;FBXO5;SPTBN1;CNTRL;RANBP9;NUMA1;KIF3C;ACTN4,ENSG00000129116;ENSG00000108055;ENSG00000113368;ENSG00000163808;ENSG00000138778;ENSG00000139618;ENSG00000277443;ENSG00000136861;ENSG00000156876;ENSG00000168172;ENSG00000106299;ENSG00000117724;ENSG00000158195;ENSG00000165175;ENSG00000124214;ENSG00000035403;ENSG00000196914;ENSG00000137807;ENSG00000132694;ENSG00000079819;ENSG00000130779;ENSG00000175216;ENSG00000113810;ENSG00000011426;ENSG00000198087;ENSG00000149503;ENSG00000133026;ENSG00000072501;ENSG00000074054;ENSG00000100852;ENSG00000138182;ENSG00000054523;ENSG00000115355;ENSG00000138160;ENSG00000128283;ENSG00000115904;ENSG00000017797;ENSG00000141298;ENSG00000035928;ENSG00000100345;ENSG00000136237;ENSG00000130479;ENSG00000198586;ENSG00000136717;ENSG00000071205;ENSG00000067900;ENSG00000163605;ENSG00000186625;ENSG00000089159;ENSG00000080986;ENSG00000205726;ENSG00000003393;ENSG00000139132;ENSG00000135476;ENSG00000101350;ENSG00000116584;ENSG00000136754;ENSG00000160299;ENSG00000075618;ENSG00000141522;ENSG00000165527;ENSG00000137962;ENSG00000100503;ENSG00000158987;ENSG00000145715;ENSG00000179604;ENSG00000038382;ENSG00000004897;ENSG00000198901;ENSG00000136068;ENSG00000075711;ENSG00000142945;ENSG00000092820;ENSG00000090924;ENSG00000112029;ENSG00000115306;ENSG00000119397;ENSG00000010017;ENSG00000137497;ENSG00000084731;ENSG00000130402
prerank,Oxidative Phosphorylation,0.4924928583446229,2.0846205081635056,0.001,0.001,0.001,98/198,23.70%,BAX;ACADVL;RHOT2;ISCU;NDUFA1;ATP6V0E1;ATP6V1F;COX7C;COX4I1;UQCRH;NDUFB5;UQCRB;COX6B1;COX6A1;MDH1;TIMM9;PDHX;IDH3B;UQCRC2;NDUFA2;ATP5MC1;TIMM8B;NDUFB1;ECHS1;NDUFB8;CYB5A;IDH3G;SLC25A20;ATP6V1E1;MRPS12;FDX1;ATP5MG;ATP5F1E;UQCR11;HSD17B10;TIMM17A;IDH3A;NDUFA3;NDUFS4;COX7A2L;OAT;ATP6V1G1;NDUFB2;CYCS;TIMM10;SURF1;ATP6V0B;ATP5PD;MRPS11;PMPCA;COX7A2;ATP5MC3;ATP5PO;UQCRQ;ACAA1;COX7B;NDUFC2;MGST3;MTX2;ISCA1;UQCR10;PHYH;COX6C;NDUFA4;MRPS15;NDUFAB1;NDUFA7;COX5A;GPX4;SLC25A11;ATP5ME;SLC25A6;PDHB;COX8A;ETFB;SDHD;SDHC;CYC1;IDH2;ACAT1;ATP5PB;NDUFS3;MDH2;SDHB;ECH1;NDUFB3;ATP5F1C;GRPEL1;ATP5PF;ECI1;POLR2F;NDUFV2;MRPL34;NDUFS6;NDUFV1;COX11;ATP5MF;VDAC3,ENSG00000087088;ENSG00000072778;ENSG00000140983;ENSG00000136003;ENSG00000125356;ENSG00000113732;ENSG00000128524;ENSG00000127184;ENSG00000131143;ENSG00000173660;ENSG00000136521;ENSG00000156467;ENSG00000126267;ENSG00000111775;ENSG00000014641;ENSG00000100575;ENSG00000110435;ENSG00000101365;ENSG00000140740;ENSG00000131495;ENSG00000159199;ENSG00000150779;ENSG00000183648;ENSG00000127884;ENSG00000166136;ENSG00000166347;ENSG00000067829;ENSG00000178537;ENSG00000131100;ENSG00000128626;ENSG00000137714;ENSG00000167283;ENSG00000124172;ENSG00000127540;ENSG00000072506;ENSG00000134375;ENSG00000166411;ENSG00000170906;ENSG00000164258;ENSG00000115944;ENSG00000065154;ENSG00000136888;ENSG00000090266;ENSG00000172115;ENSG00000134809;ENSG00000148290;ENSG00000117410;ENSG00000167863;ENSG00000181991;ENSG00000165688;ENSG00000112695;ENSG00000154518;ENSG00000241837;ENSG00000164405;ENSG00000060971;ENSG00000131174;ENSG00000151366;ENSG00000143198;ENSG00000128654;ENSG00000135070;ENSG00000184076;ENSG00000107537;ENSG00000164919;ENSG00000189043;ENSG00000116898;ENSG00000004779;ENSG00000267855;ENSG00000178741;ENSG00000167468;ENSG00000108528;ENSG00000169020;ENSG00000169100;ENSG00000168291;ENSG00000176340;ENSG00000105379;ENSG00000204370;ENSG00000143252;ENSG00000179091;ENSG00000182054;ENSG00000075239;ENSG00000116459;ENSG00000213619;ENSG00000146701;ENSG00000117118;ENSG00000104823;ENSG00000119013;ENSG00000165629;ENSG00000109519;ENSG00000154723;ENSG00000167969;ENSG00000100142;ENSG00000178127;ENSG00000130312;ENSG00000145494;ENSG00000167792;ENSG00000166260;ENSG00000241468;ENSG00000078668
prerank,E2F Targets,-0.476203791704573,-2.0747081641418714,0.001,0.001,0.001,74/200,15.65%,SMC3;DIAPH3;USP1;LMNB1;ORC2;CENPE;BRCA2;MCM4;TMPO;BRCA1;CDKN1B;BARD1;ATAD2;STAG1;TCF19;SSRP1;SYNCRIP;MKI67;MCM6;HELLS;MCM5;NBN;RAD51AP1;HNRNPD;PDS5B;WEE1;CTCF;DONSON;KIF18B;PSIP1;RAD21;SMC6;SMC4;TUBB;SMC1A;EZH2;DEK;LBR;MSH2;PAICS;ILF3;SRSF1;CCP110;STMN1;POLD3;XPO1;SUV39H1;MCM3;ANP32E;UNG;MCM2;RFC1;PLK4;SPC25;MMS22L;MYBL2;IPO7;CBX5;UBR7;NOLC1;DCLRE1B;NUP205;GINS1;DNMT1;RBBP7;NUP153;ESPL1;PMS2;NUDT21;TRA2B;E2F8;RAD50;DDX39A;CIT,ENSG00000108055;ENSG00000139734;ENSG00000162607;ENSG00000113368;ENSG00000115942;ENSG00000138778;ENSG00000139618;ENSG00000104738;ENSG00000120802;ENSG00000012048;ENSG00000111276;ENSG00000138376;ENSG00000156802;ENSG00000118007;ENSG00000137310;ENSG00000149136;ENSG00000135316;ENSG00000148773;ENSG00000076003;ENSG00000119969;ENSG00000100297;ENSG00000104320;ENSG00000111247;ENSG00000138668;ENSG00000083642;ENSG00000166483;ENSG00000102974;ENSG00000159147;ENSG00000186185;ENSG00000164985;ENSG00000164754;ENSG00000163029;ENSG00000113810;ENSG00000196230;ENSG00000072501;ENSG00000106462;ENSG00000124795;ENSG00000143815;ENSG00000095002;ENSG00000128050;ENSG00000129351;ENSG00000136450;ENSG00000103540;ENSG00000117632;ENSG00000077514;ENSG00000082898;ENSG00000101945;ENSG00000112118;ENSG00000143401;ENSG00000076248;ENSG00000073111;ENSG00000035928;ENSG00000142731;ENSG00000152253;ENSG00000146263;ENSG00000101057;ENSG00000205339;ENSG00000094916;ENSG00000012963;ENSG00000166197;ENSG00000118655;ENSG00000155561;ENSG00000101003;ENSG00000130816;ENSG00000102054;ENSG00000124789;ENSG00000135476;ENSG00000122512;ENSG00000167005;ENSG00000136527;ENSG00000129173;ENSG00000113522;ENSG00000123136;ENSG00000122966
prerank,Apoptosis,0.46181345138641866,1.8645646209455085,0.001,0.00234913,0.008,21/125,7.34%,CDKN1A;BTG2;FDXR;FAS;BAX;BIK;GADD45A;BCL2L1;GPX1;SAT1;RHOT2;ANKH;IGFBP6;PMAIP1;SATB1;IER3;PRF1;TSPO;IL18;SOD1;ANXA1,ENSG00000124762;ENSG00000159388;ENSG00000161513;ENSG00000026103;ENSG00000087088;ENSG00000100290;ENSG00000116717;ENSG00000171552;ENSG00000233276;ENSG00000130066;ENSG00000140983;ENSG00000154122;ENSG00000167779;ENSG00000141682;ENSG00000182568;ENSG00000137331;ENSG00000180644;ENSG00000100300;ENSG00000150782;ENSG00000142168;ENSG00000135046
prerank,Apical Junction,-0.3705880382142667,-1.5385188699836663,0.00214133,0.0533988,0.174,38/136,17.42%,INSIG1;TJP1;TGFBI;MAP3K20;SORBS3;MMP9;PPP2R2C;WASL;PTPRC;ACTB;VCL;EPB41L2;ACTG1;CD276;SDC3;MYH10;SYK;MSN;GNAI2;B4GALT1;NF2;MYH9;SLC30A3;SIRPA;SGCE;NECTIN3;CTNNA1;SYMPK;MAPK14;FYB1;LAMC2;YWHAH;JUP;CAP1;FSCN1;CDK8;LIMA1;RASA1,ENSG00000186480;ENSG00000104067;ENSG00000120708;ENSG00000091436;ENSG00000120896;ENSG00000100985;ENSG00000074211;ENSG00000106299;ENSG00000081237;ENSG00000075624;ENSG00000035403;ENSG00000079819;ENSG00000184009;ENSG00000103855;ENSG00000162512;ENSG00000133026;ENSG00000165025;ENSG00000147065;ENSG00000114353;ENSG00000086062;ENSG00000186575;ENSG00000100345;ENSG00000115194;ENSG00000198053;ENSG00000127990;ENSG00000177707;ENSG00000044115;ENSG00000125755;ENSG00000112062;ENSG00000082074;ENSG00000058085;ENSG00000128245;ENSG00000173801;ENSG00000131236;ENSG00000075618;ENSG00000132964;ENSG00000050405;ENSG00000145715
prerank,DNA Repair,0.3660115996864984,1.508463480426064,0.00806452,0.0709142,0.267,53/149,24.40%,RRM2B;DDB2;XPC;GTF2B;NPR2;POLH;AK1;NELFE;POLL;MRPL40;ITPA;GUK1;POLR1D;BCAM;PNP;NME3;SNAPC4;POLR2K;ARL6IP1;NME1;POLD4;ERCC2;TAF9;TAF10;ERCC3;CCNO;CETN2;SAC3D1;SURF1;POLR1C;CSTF3;MPG;PCNA;ERCC5;TSG101;POLR2H;CLP1;GTF2H5;POLR2E;GPX4;SUPT4H1;NELFCD;TAF1C;RAE1;POLR2C;RBX1;VPS37B;POLR2F;EDF1;NCBP2;POLR2G;POLE4;UMPS,ENSG00000048392;ENSG00000134574;ENSG00000154767;ENSG00000137947;ENSG00000159899;ENSG00000170734;ENSG00000106992;ENSG00000204356;ENSG00000166169;ENSG00000185608;ENSG00000125877;ENSG00000143774;ENSG00000186184;ENSG00000187244;ENSG00000198805;ENSG00000103024;ENSG00000165684;ENSG00000147669;ENSG00000170540;ENSG00000239672;ENSG00000175482;ENSG00000104884;ENSG00000273841;ENSG00000166337;ENSG00000163161;ENSG00000152669;ENSG00000147400;ENSG00000168061;ENSG00000148290;ENSG00000171453;ENSG00000176102;ENSG00000103152;ENSG00000132646;ENSG00000134899;ENSG00000074319;ENSG00000163882;ENSG00000172409;ENSG00000272047;ENSG00000099817;ENSG00000167468;ENSG00000213246;ENSG00000101158;ENSG00000103168;ENSG00000101146;ENSG00000102978;ENSG00000100387;ENSG00000139722;ENSG00000100142;ENSG00000107223;ENSG00000114503;ENSG00000168002;ENSG00000115350;ENSG00000114491
prerank,Estrogen Response Early,0.3576390867234912,1.4813206958796692,0.00367647,0.0694167,0.315,30/166,8.63%,NADSYN1;SLC2A1;KRT13;SFN;FHL2;DHRS3;ELF3;SEMA3B;ASB13;KDM4B;TOB1;PMAIP1;MICB;TSKU;SLC1A1;SLC37A1;DYNLT3;SYBU;PLAAT3;AREG;SYNGR1;BAG1;RAB17;KRT15;RHOD;SULT2B1;FKBP4;KLK10;HR;KRT19,ENSG00000172890;ENSG00000117394;ENSG00000171401;ENSG00000175793;ENSG00000115641;ENSG00000162496;ENSG00000163435;ENSG00000012171;ENSG00000196372;ENSG00000127663;ENSG00000141232;ENSG00000141682;ENSG00000204516;ENSG00000182704;ENSG00000106688;ENSG00000160190;ENSG00000165169;ENSG00000147642;ENSG00000176485;ENSG00000109321;ENSG00000100321;ENSG00000107262;ENSG00000124839;ENSG00000171346;ENSG00000173156;ENSG00000088002;ENSG00000004478;ENSG00000129451;ENSG00000168453;ENSG00000171345
prerank,IL6 JAK STAT3 Signaling,-0.4217419376837569,-1.468147364278689,0.0262097,0.0777531,0.29,15/48,15.39%,PIM1;TNFRSF1A;CSF1;JUN;CBL;IL6ST;IL1B;IL1R1;IFNAR1;STAT1;LEPR;PTPN1;SOCS1;PTPN11;IFNGR2,ENSG00000137193;ENSG00000067182;ENSG00000184371;ENSG00000177606;ENSG00000110395;ENSG00000134352;ENSG00000125538;ENSG00000115594;ENSG00000142166;ENSG00000115415;ENSG00000116678;ENSG00000196396;ENSG00000185338;ENSG00000179295;ENSG00000159128
