EnsemblID,gene_name,logFC,PValue,FDR,F,gene_biotype,GroupA_NormCPM,GroupB_NormCPM,GroupA_stdv,GroupB_stdv,log10FDR,alias,mygene_name,summary
ENSG00000124762,CDKN1A,1.34644,0.00000182002,0.0252437,79.8256,protein_coding,89.4387,228.904,13.0339,32.0124,1.59785,CAP20;CDKN1;CIP1;MDA-6;P21;SDI1;WAF1;p21CIP1,cyclin dependent kinase inhibitor 1A,"This gene encodes a potent cyclin-dependent kinase inhibitor. The encoded protein binds to and inhibits the activity of cyclin-cyclin-dependent kinase2 or -cyclin-dependent kinase4 complexes, and thus functions as a regulator of cell cycle progression at G1. The expression of this gene is tightly controlled by the tumor suppressor protein p53, through which this protein mediates the p53-dependent cell cycle G1 phase arrest in response to a variety of stress stimuli. This protein can interact with proliferating cell nuclear antigen, a DNA polymerase accessory factor, and plays a regulatory role in S phase DNA replication and DNA damage repair. This protein was reported to be specifically cleaved by CASP3-like caspases, which thus leads to a dramatic activation of cyclin-dependent kinase2, and may be instrumental in the execution of apoptosis following caspase activation. Mice that lack this gene have the ability to regenerate damaged or missing tissue. Multiple alternatively spliced variants have been found for this gene. [provided by RefSeq, Sep 2015]."
ENSG00000184254,ALDH1A3,1.02459,0.00000513731,0.0356273,64.1044,protein_coding,73.1496,149.777,8.86838,10.0985,1.44822,ALDH1A6;ALDH6;MCOP8;RALDH3,aldehyde dehydrogenase 1 family member A3,"This gene encodes an aldehyde dehydrogenase enzyme that uses retinal as a substrate. Mutations in this gene have been associated with microphthalmia, isolated 8, and expression changes have also been detected in tumor cells. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jun 2014]."
ENSG00000237886,NALT1,1.77093,0.0000164328,0.0583971,48.6889,lncRNA,0.938761,3.07475,0.181253,0.471011,1.23361,LINC01573;MIR4674HG;NALT;TCONS_l2_00029132,NOTCH1 associated lncRNA in T cell acute lymphoblastic leukemia 1,
ENSG00000080546,SESN1,1.00911,0.0000168413,0.0583971,50.1201,protein_coding,8.95842,18.7686,1.63472,0.508415,1.23361,PA26;SEST1,sestrin 1,"This gene encodes a member of the sestrin family. Sestrins are induced by the p53 tumor suppressor protein and play a role in the cellular response to DNA damage and oxidative stress. The encoded protein mediates p53 inhibition of cell growth by activating AMP-activated protein kinase, which results in the inhibition of the mammalian target of rapamycin protein. The encoded protein also plays a critical role in antioxidant defense by regenerating overoxidized peroxiredoxins, and the expression of this gene is a potential marker for exposure to radiation. Alternatively spliced transcript variants encoding multiple isoforms have been observed for this gene. [provided by RefSeq, Dec 2010]."
ENSG00000115129,TP53I3,1.06463,0.0000310408,0.0754975,44.1347,protein_coding,9.36043,20.0165,1.56571,2.38241,1.12207,PIG3,tumor protein p53 inducible protein 3,"The protein encoded by this gene is similar to oxidoreductases, which are enzymes involved in cellular responses to oxidative stresses and irradiation. This gene is induced by the tumor suppressor p53 and is thought to be involved in p53-mediated cell death. It contains a p53 consensus binding site in its promoter region and a downstream pentanucleotide microsatellite sequence. P53 has been shown to transcriptionally activate this gene by interacting with the downstream pentanucleotide microsatellite sequence. The microsatellite is polymorphic, with a varying number of pentanucleotide repeats directly correlated with the extent of transcriptional activation by p53. It has been suggested that the microsatellite polymorphism may be associated with differential susceptibility to cancer. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, May 2011]."
ENSG00000202058,RN7SKP80,1.35531,0.000033219,0.0754975,43.3529,misc_RNA,2.00895,4.74318,0.536211,0.411321,1.12207,,RN7SK pseudogene 80,
ENSG00000174307,PHLDA3,0.858131,0.0000381026,0.0754975,42.042,protein_coding,18.084,32.6592,1.75471,2.87436,1.12207,TIH1,pleckstrin homology like domain family A member 3,"Enables phosphatidylinositol phosphate binding activity and phosphatidylinositol-3,4-bisphosphate binding activity. Involved in intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator; negative regulation of protein kinase B signaling; and positive regulation of apoptotic process. Located in plasma membrane. [provided by Alliance of Genome Resources, Apr 2022]"
ENSG00000107796,ACTA2,1.08379,0.0000510741,0.0885497,39.5005,protein_coding,5.53006,12.5163,1.41183,1.13272,1.05281,ACTSA;SMDYS,"actin alpha 2, smooth muscle","This gene encodes one of six different actin proteins. Actins are highly conserved proteins that are involved in cell motility, structure, integrity, and intercellular signaling. The encoded protein is a smooth muscle actin that is involved in vascular contractility and blood pressure homeostasis. Mutations in this gene cause a variety of vascular diseases, such as thoracic aortic disease, coronary artery disease, stroke, and Moyamoya disease, as well as multisystemic smooth muscle dysfunction syndrome. [provided by RefSeq, Sep 2017]."
ENSG00000251095,ENSG00000251095,1.78413,0.0000642607,0.0905988,38.1738,lncRNA,1.43434,5.90507,0.860827,0.922283,1.04288,,uncharacterized LOC105377329,
ENSG00000164938,TP53INP1,0.81952,0.000069232,0.0905988,36.834,protein_coding,17.0842,29.9877,1.93452,2.29858,1.04288,SIP;TP53DINP1;TP53INP1A;TP53INP1B;Teap;p53DINP1,tumor protein p53 inducible nuclear protein 1,"Predicted to enable antioxidant activity. Involved in autophagic cell death; positive regulation of autophagy; and positive regulation of transcription, DNA-templated. Located in autophagosome; cytosol; and nucleus. [provided by Alliance of Genome Resources, Apr 2022]"
