well,n_z_slices,n_unique_cells,n_total_detections,avg_detections_per_cell,min_detections,max_detections,median_detections,expected_z_span_slices,track_length_distribution
B08_s1,16,2,10,5.0,3,7,5.0,3.0,"{'1_slices': 0, '2_slices': 0, '3_slices': 1, '4_slices': 0, '5_slices': 0, '6_slices': 0, '7_slices': 1}"
B22_s1,16,700,2260,3.2285714285714286,1,13,3.0,3.0,"{'1_slices': 185, '2_slices': 158, '3_slices': 121, '4_slices': 77, '5_slices': 47, '6_slices': 40, '7_slices': 19, '8_slices': 27, '9_slices': 11, '10_slices': 4, '11_slices': 8, '12_slices': 2, '13_slices': 1}"
C05_s1,16,578,2073,3.586505190311419,1,13,3.0,3.0,"{'1_slices': 126, '2_slices': 133, '3_slices': 80, '4_slices': 60, '5_slices': 55, '6_slices': 43, '7_slices': 30, '8_slices': 27, '9_slices': 11, '10_slices': 5, '11_slices': 4, '12_slices': 3, '13_slices': 1}"
D12_s1,16,946,3224,3.4080338266384778,1,14,3.0,3.0,"{'1_slices': 245, '2_slices': 212, '3_slices': 134, '4_slices': 107, '5_slices': 81, '6_slices': 46, '7_slices': 36, '8_slices': 33, '9_slices': 22, '10_slices': 15, '11_slices': 9, '12_slices': 0, '13_slices': 3, '14_slices': 3}"
E16_s1,16,746,2688,3.603217158176944,1,13,3.0,3.0,"{'1_slices': 166, '2_slices': 180, '3_slices': 107, '4_slices': 78, '5_slices': 59, '6_slices': 41, '7_slices': 32, '8_slices': 31, '9_slices': 23, '10_slices': 17, '11_slices': 7, '12_slices': 3, '13_slices': 2}"
F06_s1,16,658,2260,3.4346504559270516,1,15,3.0,3.0,"{'1_slices': 147, '2_slices': 155, '3_slices': 101, '4_slices': 81, '5_slices': 58, '6_slices': 38, '7_slices': 29, '8_slices': 20, '9_slices': 12, '10_slices': 7, '11_slices': 7, '12_slices': 1, '13_slices': 1, '14_slices': 0, '15_slices': 1}"
F20_s1,16,795,2596,3.2654088050314467,1,14,2.0,3.0,"{'1_slices': 224, '2_slices': 178, '3_slices': 111, '4_slices': 77, '5_slices': 71, '6_slices': 50, '7_slices': 32, '8_slices': 18, '9_slices': 10, '10_slices': 13, '11_slices': 6, '12_slices': 2, '13_slices': 0, '14_slices': 3}"
G02_s1,16,644,2195,3.408385093167702,1,13,3.0,3.0,"{'1_slices': 151, '2_slices': 151, '3_slices': 95, '4_slices': 82, '5_slices': 42, '6_slices': 45, '7_slices': 35, '8_slices': 17, '9_slices': 8, '10_slices': 9, '11_slices': 4, '12_slices': 3, '13_slices': 2}"
G13_s1,16,715,2549,3.565034965034965,1,16,3.0,3.0,"{'1_slices': 153, '2_slices': 182, '3_slices': 104, '4_slices': 77, '5_slices': 57, '6_slices': 35, '7_slices': 36, '8_slices': 23, '9_slices': 24, '10_slices': 12, '11_slices': 6, '12_slices': 2, '13_slices': 3, '14_slices': 0, '15_slices': 0, '16_slices': 1}"
H10_s1,16,916,3191,3.4836244541484715,1,16,3.0,3.0,"{'1_slices': 223, '2_slices': 206, '3_slices': 164, '4_slices': 85, '5_slices': 65, '6_slices': 49, '7_slices': 34, '8_slices': 32, '9_slices': 23, '10_slices': 13, '11_slices': 8, '12_slices': 5, '13_slices': 2, '14_slices': 6, '15_slices': 0, '16_slices': 1}"
H17_s1,16,197,723,3.6700507614213196,1,10,3.0,3.0,"{'1_slices': 44, '2_slices': 38, '3_slices': 29, '4_slices': 20, '5_slices': 22, '6_slices': 14, '7_slices': 11, '8_slices': 8, '9_slices': 9, '10_slices': 2}"
I21_s1,16,457,1782,3.8993435448577682,1,13,3.0,3.0,"{'1_slices': 95, '2_slices': 80, '3_slices': 63, '4_slices': 58, '5_slices': 42, '6_slices': 37, '7_slices': 32, '8_slices': 19, '9_slices': 21, '10_slices': 5, '11_slices': 2, '12_slices': 2, '13_slices': 1}"
J03_s1,16,718,2471,3.4415041782729805,1,15,3.0,3.0,"{'1_slices': 188, '2_slices': 150, '3_slices': 87, '4_slices': 100, '5_slices': 62, '6_slices': 46, '7_slices': 29, '8_slices': 20, '9_slices': 14, '10_slices': 6, '11_slices': 8, '12_slices': 7, '13_slices': 0, '14_slices': 0, '15_slices': 1}"
J14_s1,16,765,2807,3.669281045751634,1,16,3.0,3.0,"{'1_slices': 169, '2_slices': 177, '3_slices': 106, '4_slices': 84, '5_slices': 69, '6_slices': 42, '7_slices': 34, '8_slices': 32, '9_slices': 20, '10_slices': 17, '11_slices': 4, '12_slices': 6, '13_slices': 1, '14_slices': 1, '15_slices': 2, '16_slices': 1}"
K11_s1,16,224,650,2.9017857142857144,1,10,2.0,3.0,"{'1_slices': 70, '2_slices': 55, '3_slices': 33, '4_slices': 22, '5_slices': 17, '6_slices': 8, '7_slices': 9, '8_slices': 5, '9_slices': 3, '10_slices': 2}"
L07_s1,16,757,2420,3.1968295904887714,1,14,2.0,3.0,"{'1_slices': 211, '2_slices': 173, '3_slices': 113, '4_slices': 87, '5_slices': 51, '6_slices': 40, '7_slices': 30, '8_slices': 25, '9_slices': 12, '10_slices': 6, '11_slices': 7, '12_slices': 1, '13_slices': 0, '14_slices': 1}"
L18_s1,16,695,2382,3.4273381294964027,1,16,3.0,3.0,"{'1_slices': 166, '2_slices': 178, '3_slices': 102, '4_slices': 70, '5_slices': 46, '6_slices': 45, '7_slices': 22, '8_slices': 25, '9_slices': 17, '10_slices': 12, '11_slices': 4, '12_slices': 4, '13_slices': 3, '14_slices': 0, '15_slices': 0, '16_slices': 1}"
M23_s1,16,841,3000,3.56718192627824,1,15,3.0,3.0,"{'1_slices': 189, '2_slices': 179, '3_slices': 141, '4_slices': 96, '5_slices': 72, '6_slices': 44, '7_slices': 43, '8_slices': 32, '9_slices': 21, '10_slices': 8, '11_slices': 7, '12_slices': 2, '13_slices': 4, '14_slices': 2, '15_slices': 1}"
