well,z,channel,focus_laplacian_var,focus_normalized_var
B02,0,CONC,6298.91943359375,97.72155701663415
B02,0,HOECHST,4119.47314453125,73.8068272951612
B02,0,MITO,71318.8828125,1587.0951462779797
B02,0,PHAandWGA,28181.0703125,627.795799612708
B02,0,SYTO,17887.0625,440.99240622292615
B02,1,CONC,6732.2548828125,116.29035511130836
B02,1,HOECHST,4336.74609375,86.43780889499642
B02,1,MITO,73216.7890625,1795.2975318051172
B02,1,PHAandWGA,29591.1796875,718.6705888380186
B02,1,SYTO,19969.89453125,521.7726747521513
B02,2,CONC,7274.52294921875,142.148795390037
B02,2,HOECHST,4644.064453125,105.04078710612563
B02,2,MITO,78028.03125,2093.1325874144995
B02,2,PHAandWGA,31740.388671875,843.2616063558814
B02,2,SYTO,21628.041015625,633.1254450432205
B02,3,CONC,7901.451171875,167.05791189539383
B02,3,HOECHST,5039.46875,126.41612810213974
B02,3,MITO,82808.25,2333.102998310053
B02,3,PHAandWGA,33839.5859375,963.7531498350264
B02,3,SYTO,23902.765625,750.3016053093216
B02,4,CONC,8409.2880859375,177.83727505884846
B02,4,HOECHST,5389.474609375,140.04652061629378
B02,4,MITO,86651.28125,2407.5640658105576
B02,4,PHAandWGA,36421.171875,1029.8047528147163
B02,4,SYTO,26476.60546875,805.1967289065586
B02,5,CONC,8847.93359375,180.11292332115343
B02,5,HOECHST,5680.34423828125,145.03012598612483
B02,5,MITO,90395.7109375,2423.1879255363488
B02,5,PHAandWGA,38114.49609375,1058.4777882873507
B02,5,SYTO,28690.1875,821.2949677482168
B02,6,CONC,9168.845703125,178.75623996568766
B02,6,HOECHST,5971.84326171875,146.9082177069453
B02,6,MITO,93558.40625,2421.616832627658
B02,6,PHAandWGA,40385.2734375,1066.1492599547757
B02,6,SYTO,30919.916015625,818.4299638017546
B02,7,CONC,9398.35546875,173.9385512166885
B02,7,HOECHST,6170.6337890625,143.73102626916568
B02,7,MITO,96258.8125,2357.300735404509
B02,7,PHAandWGA,41968.6875,1051.472309413937
B02,7,SYTO,32276.03125,794.5220950611467
B02,8,CONC,9609.33984375,166.95244938226
B02,8,HOECHST,6328.37109375,138.03866275551513
B02,8,MITO,98917.046875,2296.3255086386876
B02,8,PHAandWGA,43016.1328125,1025.0829895104835
B02,8,SYTO,33854.0390625,761.6478680443025
B02,9,CONC,9796.6640625,159.68043700930062
B02,9,HOECHST,6485.8359375,131.83520337102172
B02,9,MITO,100212.171875,2205.540839393476
B02,9,PHAandWGA,44967.3359375,994.3207939515343
B02,9,SYTO,35213.1171875,725.2072906837578
B02,10,CONC,9878.001953125,152.57521174246162
B02,10,HOECHST,6612.6240234375,126.01209034322386
B02,10,MITO,102691.8671875,2135.662815940028
B02,10,PHAandWGA,45787.52734375,960.0440174869815
B02,10,SYTO,35953.625,688.7539525735266
B02,11,CONC,10076.4501953125,145.42336616221985
B02,11,HOECHST,6735.779296875,120.5466570767199
B02,11,MITO,105117.171875,2056.851482112147
B02,11,PHAandWGA,47474.5546875,923.7742696956061
B02,11,SYTO,36099.73046875,651.8547574786401
B02,12,CONC,10137.2353515625,139.54255310680693
B02,12,HOECHST,6789.67578125,116.02809564273478
B02,12,MITO,104109.84375,1970.6509043799444
B02,12,PHAandWGA,47773.66015625,891.4519291145124
B02,12,SYTO,36585.703125,624.2670244172593
B02,13,CONC,10191.484375,134.00083038897668
B02,13,HOECHST,6894.974609375,111.91534373607311
B02,13,MITO,105913.359375,1915.3743926564498
B02,13,PHAandWGA,49008.26171875,863.7254143127092
B02,13,SYTO,36309.703125,595.2687394540241
B02,14,CONC,10260.822265625,129.1177233572282
B02,14,HOECHST,6934.81591796875,108.14350689714045
B02,14,MITO,106570.75,1855.4757300007948
B02,14,PHAandWGA,49653.44140625,838.3645278939232
B02,14,SYTO,37152.1875,574.0294849054891
B02,15,CONC,10314.6796875,124.66398574426232
B02,15,HOECHST,7058.8994140625,104.44082037235684
B02,15,MITO,107396.1171875,1791.9785140446359
B02,15,PHAandWGA,49649.484375,814.7683742446411
B02,15,SYTO,36987.6796875,552.312780777125
B03,0,CONC,4186.73583984375,60.453899472770686
B03,0,HOECHST,1692.595458984375,20.3668326425035
B03,0,MITO,48489.328125,1402.0906897398775
B03,0,PHAandWGA,14936.419921875,428.10745937092895
B03,0,SYTO,8148.7890625,243.78668227124834
B03,1,CONC,4360.9541015625,68.98285781349534
B03,1,HOECHST,1754.5987548828125,23.04097725430723
B03,1,MITO,49744.3046875,1509.873985871427
B03,1,PHAandWGA,15822.5966796875,478.9362473692628
B03,1,SYTO,8554.3916015625,272.1820806489895
B03,2,CONC,4558.9638671875,77.2074615833956
B03,2,HOECHST,1829.87890625,25.712884659717037
B03,2,MITO,51242.765625,1631.0770715527028
B03,2,PHAandWGA,16787.30078125,531.2122959221914
B03,2,SYTO,8939.166015625,299.91811561997514
B03,3,CONC,4733.8720703125,84.66197240002609
B03,3,HOECHST,1917.7215576171875,28.31511392102465
B03,3,MITO,52914.5546875,1745.4554887550482
B03,3,PHAandWGA,17603.7890625,579.1885002672764
B03,3,SYTO,9374.056640625,324.27128507424453
B03,4,CONC,4896.615234375,90.73302976613019
B03,4,HOECHST,1979.7015380859375,30.586752979594188
B03,4,MITO,54276.921875,1831.4008328444777
