well,z,channel,focus_laplacian_var,focus_normalized_var
B04,0,CONC,5452.31396484375,127.00544435028985
B04,0,HOECHST,3626.426513671875,102.7856840872022
B04,0,MITO,55872.71484375,1787.8208470951058
B04,0,PHAandWGA,25009.607421875,957.7074283243572
B04,0,SYTO,15453.37109375,615.7275443855556
B04,1,CONC,5829.884765625,156.72157676819904
B04,1,HOECHST,3842.938232421875,122.94734461255615
B04,1,MITO,57493.4140625,2040.6342881852242
B04,1,PHAandWGA,26220.40625,1123.0063644695226
B04,1,SYTO,16761.0625,746.8985339524719
B04,2,CONC,6370.10546875,197.4191985793064
B04,2,HOECHST,4176.51904296875,155.2868507268677
B04,2,MITO,60405.0703125,2389.26894531712
B04,2,PHAandWGA,27897.900390625,1342.7618485390228
B04,2,SYTO,18781.537109375,935.6984652604891
B04,3,CONC,6889.51171875,228.15896033816227
B04,3,HOECHST,4507.30224609375,183.77382153002483
B04,3,MITO,63564.4921875,2641.4463829851097
B04,3,PHAandWGA,29986.26953125,1516.8267493602261
B04,3,SYTO,20748.36328125,1074.1318517095865
B04,4,CONC,7249.54296875,240.57013163587132
B04,4,HOECHST,4768.99365234375,197.09806670300745
B04,4,MITO,66058.5546875,2781.2040038514538
B04,4,PHAandWGA,31625.66796875,1614.1160081569938
B04,4,SYTO,22563.587890625,1129.9931975509323
B04,5,CONC,7575.53564453125,243.7572016005029
B04,5,HOECHST,4986.93505859375,202.27013196478944
B04,5,MITO,68849.96875,2872.386629315214
B04,5,PHAandWGA,33610.0078125,1659.5188459792726
B04,5,SYTO,24055.083984375,1138.6254253408204
B04,6,CONC,7833.56005859375,243.63002722015293
B04,6,HOECHST,5183.341796875,204.38574341990093
B04,6,MITO,70893.046875,2915.431438980398
B04,6,PHAandWGA,34737.9921875,1675.042524319712
B04,6,SYTO,24963.4765625,1123.221667314644
B04,7,CONC,8038.2255859375,241.2616201424046
B04,7,HOECHST,5367.705078125,202.47696580839005
B04,7,MITO,72177.71875,2933.783340225987
B04,7,PHAandWGA,36231.2265625,1677.776401300095
B04,7,SYTO,26083.1796875,1099.8779098730954
B04,8,CONC,8187.2939453125,237.1856492653584
B04,8,HOECHST,5440.4482421875,198.76709752973636
B04,8,MITO,73796.59375,2949.9097988083095
B04,8,PHAandWGA,37235.34765625,1668.8789495359904
B04,8,SYTO,27342.91796875,1068.2848545238942
B04,9,CONC,8277.12109375,231.92192202104567
B04,9,HOECHST,5590.669921875,194.79596162280987
B04,9,MITO,74663.9296875,2938.641688814171
B04,9,PHAandWGA,38773.91015625,1641.0915022079084
B04,9,SYTO,27814.11328125,1031.9714566441608
B04,10,CONC,8410.2060546875,225.7730455684069
B04,10,HOECHST,5689.2841796875,190.89116662002903
B04,10,MITO,77290.4921875,2917.9030414579015
B04,10,PHAandWGA,39355.4453125,1600.0568069076403
B04,10,SYTO,28230.71875,997.6855509896642
B04,11,CONC,8488.111328125,218.84684700549295
B04,11,HOECHST,5773.1181640625,186.24064208780587
B04,11,MITO,77407.0390625,2857.0383777537736
B04,11,PHAandWGA,39374.31640625,1558.8091023826707
B04,11,SYTO,28256.349609375,960.6127105551221
B04,12,CONC,8543.572265625,211.21936779215983
B04,12,HOECHST,5816.525390625,180.1865900626978
B04,12,MITO,78355.703125,2814.904525163836
B04,12,PHAandWGA,39859.8671875,1522.6659692907272
B04,12,SYTO,28269.41015625,919.7648713724832
B04,13,CONC,8625.4091796875,204.4302567196527
B04,13,HOECHST,5897.14453125,174.7441278350058
B04,13,MITO,80653.09375,2765.095158249207
B04,13,PHAandWGA,40695.6015625,1486.6591503478417
B04,13,SYTO,28634.673828125,886.5022658855703
B04,14,CONC,8703.5517578125,197.5966638798869
B04,14,HOECHST,6007.23193359375,169.15408675846817
B04,14,MITO,81235.125,2691.440848860974
B04,14,PHAandWGA,41254.7421875,1449.8777412845805
B04,14,SYTO,28377.69921875,851.4001598958401
B04,15,CONC,8826.3603515625,190.77650346045883
B04,15,HOECHST,6085.99609375,162.92513248581673
B04,15,MITO,82108.8125,2617.6208316565603
B04,15,PHAandWGA,41597.2109375,1408.683769659311
B04,15,SYTO,29077.490234375,817.8554008214232
B05,0,CONC,4724.0888671875,140.51122227221936
B05,0,HOECHST,3342.99169921875,111.56866774579616
B05,0,MITO,54977.84375,2303.3693996574675
B05,0,PHAandWGA,22953.92578125,1109.2776186588046
B05,0,SYTO,14843.54296875,695.979584054889
B05,1,CONC,5058.3681640625,164.54535326671757
B05,1,HOECHST,3604.44775390625,132.33754547054676
B05,1,MITO,56331.6953125,2536.768648169288
B05,1,PHAandWGA,24537.43359375,1256.1644640553855
B05,1,SYTO,16553.044921875,813.7649121216022
B05,2,CONC,5340.93701171875,182.22724616252566
B05,2,HOECHST,3813.85595703125,149.39015813036175
