well,n_z_slices,n_unique_cells,n_total_detections,avg_detections_per_cell,min_detections,max_detections,median_detections,expected_z_span_slices,track_length_distribution
B08_s1,16,283,973,3.4381625441696113,1,13,2.0,3.0,"{'1_slices': 102, '2_slices': 43, '3_slices': 26, '4_slices': 24, '5_slices': 21, '6_slices': 18, '7_slices': 20, '8_slices': 16, '9_slices': 4, '10_slices': 7, '11_slices': 1, '12_slices': 0, '13_slices': 1}"
B22_s1,16,270,1038,3.8444444444444446,1,13,3.0,3.0,"{'1_slices': 69, '2_slices': 40, '3_slices': 45, '4_slices': 30, '5_slices': 26, '6_slices': 13, '7_slices': 10, '8_slices': 11, '9_slices': 8, '10_slices': 7, '11_slices': 7, '12_slices': 3, '13_slices': 1}"
C05_s1,16,3,5,1.6666666666666667,1,3,1.0,3.0,"{'1_slices': 2, '2_slices': 0, '3_slices': 1}"
D12_s1,16,401,1849,4.610972568578553,1,16,4.0,3.0,"{'1_slices': 55, '2_slices': 74, '3_slices': 54, '4_slices': 38, '5_slices': 46, '6_slices': 38, '7_slices': 26, '8_slices': 17, '9_slices': 19, '10_slices': 16, '11_slices': 6, '12_slices': 5, '13_slices': 3, '14_slices': 1, '15_slices': 2, '16_slices': 1}"
E16_s1,16,232,761,3.2801724137931036,1,11,2.0,3.0,"{'1_slices': 76, '2_slices': 43, '3_slices': 24, '4_slices': 25, '5_slices': 23, '6_slices': 12, '7_slices': 8, '8_slices': 9, '9_slices': 9, '10_slices': 2, '11_slices': 1}"
F06_s1,16,386,1619,4.194300518134715,1,16,3.0,3.0,"{'1_slices': 70, '2_slices': 69, '3_slices': 60, '4_slices': 48, '5_slices': 33, '6_slices': 35, '7_slices': 24, '8_slices': 10, '9_slices': 11, '10_slices': 3, '11_slices': 9, '12_slices': 7, '13_slices': 1, '14_slices': 2, '15_slices': 1, '16_slices': 3}"
F20_s1,16,343,1668,4.862973760932944,1,16,4.0,3.0,"{'1_slices': 55, '2_slices': 48, '3_slices': 53, '4_slices': 45, '5_slices': 30, '6_slices': 19, '7_slices': 25, '8_slices': 12, '9_slices': 12, '10_slices': 11, '11_slices': 9, '12_slices': 8, '13_slices': 4, '14_slices': 5, '15_slices': 4, '16_slices': 3}"
G02_s1,16,0,0,0.0,0,0,0.0,3.0,{}
G13_s1,16,390,1681,4.31025641025641,1,16,4.0,3.0,"{'1_slices': 75, '2_slices': 57, '3_slices': 62, '4_slices': 52, '5_slices': 34, '6_slices': 24, '7_slices': 25, '8_slices': 18, '9_slices': 13, '10_slices': 10, '11_slices': 6, '12_slices': 6, '13_slices': 5, '14_slices': 1, '15_slices': 1, '16_slices': 1}"
H10_s1,16,299,1250,4.1806020066889635,1,14,3.0,3.0,"{'1_slices': 59, '2_slices': 47, '3_slices': 45, '4_slices': 38, '5_slices': 25, '6_slices': 19, '7_slices': 21, '8_slices': 19, '9_slices': 9, '10_slices': 7, '11_slices': 3, '12_slices': 5, '13_slices': 0, '14_slices': 2}"
