,Metadata_PlateWell,Metadata_Site,Metadata_cell_line,ObjectNumber_cytoplasm,ObjectNumber_nuclei,AreaShape_Area_cytoplasm,Metadata_Barcode,Metadata_Well,z_um,total_per_spheroid
0,PB000137_I21,0,HCT116,23.0,25.0,60549,PB000137,I21,0,1320.0
1,PB000142_E16,0,HT29,20.0,23.0,78420,PB000142,E16,0,528.0
2,PB000137_H10,0,HCT116,17.0,20.0,55366,PB000137,H10,0,1161.0
3,PB000137_M23,0,HCT116,21.0,24.0,61478,PB000137,M23,0,1559.0
4,PB000139_O22,0,HT29,26.0,31.0,104719,PB000139,O22,0,911.0
5,PB000139_K09,0,HCT116,23.0,25.0,76003,PB000139,K09,0,1341.0
6,PB000140_I17,0,HT29,5.0,6.0,18045,PB000140,I17,0,903.0
7,PB000141_D12,0,HT29,5.0,5.0,24726,PB000141,D12,0,977.0
8,PB000137_L18,0,HCT116,36.0,44.0,118737,PB000137,L18,0,1787.0
9,PB000138_N04,0,HCT116,7.0,9.5,27956,PB000138,N04,0,141.0
10,PB000138_C05,0,HCT116,33.0,38.0,116846,PB000138,C05,0,1564.0
11,PB000139_O11,0,HCT116,16.0,17.0,51242,PB000139,O11,0,1527.0
12,PB000142_C05,0,HT29,10.0,12.5,37705,PB000142,C05,0,216.0
13,PB000141_J14,0,HT29,10.0,11.0,31353,PB000141,J14,0,889.0
14,PB000139_H12,0,HCT116,31.0,35.5,95623,PB000139,H12,0,1663.0
15,PB000138_B22,0,HCT116,44.0,45.0,99666,PB000138,B22,0,1588.0
16,PB000137_C05,0,HCT116,52.0,59.0,184818,PB000137,C05,0,1949.0
17,PB000142_L18,0,HT29,11.0,15.0,44972,PB000142,L18,0,743.0
18,PB000139_E13,0,HT29,12.0,12.0,56480,PB000139,E13,0,1102.0
19,PB000141_K11,0,HT29,20.0,21.5,78875,PB000141,K11,0,1102.0
20,PB000141_N15,0,HT29,7.0,9.0,33536,PB000141,N15,0,1083.0
21,PB000141_F06,0,HT29,9.0,11.5,40396,PB000141,F06,0,1068.0
22,PB000140_N05,0,HCT116,23.0,27.0,72185,PB000140,N05,0,1727.0
23,PB000138_L18,0,HCT116,50.0,59.0,149724,PB000138,L18,0,1728.0
24,PB000140_H23,0,HT29,15.0,20.5,69300,PB000140,H23,0,1092.0
25,PB000138_D12,0,HCT116,15.0,18.0,44446,PB000138,D12,0,1785.0
26,PB000140_N16,0,HT29,12.0,14.0,45861,PB000140,N16,0,986.0
27,PB000138_M23,0,HCT116,17.0,17.0,48918,PB000138,M23,0,1644.0
28,PB000142_M23,0,HT29,8.0,8.0,28337,PB000142,M23,0,678.0
29,PB000139_G14,0,HT29,22.0,23.0,76764,PB000139,G14,0,1127.0
30,PB000140_G14,0,HT29,21.0,22.5,76257,PB000140,G14,0,1316.0
31,PB000142_H17,0,HT29,17.0,22.333333333333332,75916,PB000142,H17,0,484.0
32,PB000137_L07,0,HCT116,40.0,44.0,123496,PB000137,L07,0,1401.0
33,PB000137_J03,0,HCT116,29.0,35.0,95880,PB000137,J03,0,1619.0
34,PB000141_G13,0,HT29,17.0,21.0,75754,PB000141,G13,0,1164.0
35,PB000138_J14,0,HCT116,23.0,25.0,68520,PB000138,J14,0,1641.0
36,PB000139_C10,0,HCT116,40.0,44.0,125011,PB000139,C10,0,1344.0
37,PB000137_E16,0,HCT116,47.0,49.0,126246,PB000137,E16,0,1422.0
38,PB000142_F06,0,HT29,14.0,15.0,55632,PB000142,F06,0,915.0
39,PB000137_H17,0,HCT116,13.0,15.5,37401,PB000137,H17,0,1431.0
40,PB000142_L07,0,HT29,24.0,25.0,93361,PB000142,L07,0,792.0
41,PB000137_K11,0,HCT116,20.0,20.0,61219,PB000137,K11,0,1401.0
42,PB000139_O18,0,HT29,15.0,16.0,54854,PB000139,O18,0,701.0
43,PB000137_B22,0,HCT116,20.0,25.0,69865,PB000137,B22,0,946.0
44,PB000140_B15,0,HT29,7.0,10.0,19681,PB000140,B15,0,596.0
45,PB000138_I21,0,HCT116,16.0,18.0,51362,PB000138,I21,0,1440.0
46,PB000141_O09,0,HT29,21.0,22.0,85465,PB000141,O09,0,1362.0
47,PB000140_B04,0,HCT116,36.0,39.0,117324,PB000140,B04,0,855.0
48,PB000137_N15,0,HCT116,16.0,18.0,48836,PB000137,N15,0,1383.0
49,PB000141_M23,0,HT29,14.0,15.0,47762,PB000141,M23,0,945.0
50,PB000138_J03,0,HCT116,33.0,34.0,108328,PB000138,J03,0,1666.0
51,PB000137_G13,0,HCT116,43.0,46.0,135970,PB000137,G13,0,1660.0
52,PB000138_G13,0,HCT116,20.0,22.0,54263,PB000138,G13,0,1541.0
53,PB000139_H23,0,HT29,12.0,15.0,44117,PB000139,H23,0,333.0
54,PB000139_N16,0,HT29,8.0,8.5,39706,PB000139,N16,0,930.0
55,PB000139_I17,0,HT29,22.0,23.0,76101,PB000139,I17,0,889.0
56,PB000141_H10,0,HT29,9.0,9.0,38062,PB000141,H10,0,634.0
57,PB000140_O07,0,HCT116,11.0,12.0,38273,PB000140,O07,0,1257.0
58,PB000139_G03,0,HCT116,20.0,22.0,60820,PB000139,G03,0,1422.0
59,PB000142_O09,0,HT29,7.0,8.0,28748,PB000142,O09,0,789.0
60,PB000142_D12,0,HT29,7.0,8.0,32046,PB000142,D12,0,1098.0
61,PB000140_K09,0,HCT116,35.0,40.0,94331,PB000140,K09,0,1513.0
62,PB000137_F06,0,HCT116,14.0,15.0,40834,PB000137,F06,0,1377.0
63,PB000141_I21,0,HT29,8.0,10.5,40495,PB000141,I21,0,955.0
64,PB000137_J14,0,HCT116,19.0,22.0,58130,PB000137,J14,0,1549.0
65,PB000137_O09,0,HCT116,26.0,28.0,64908,PB000137,O09,0,1928.0
66,PB000139_O07,0,HCT116,34.0,41.0,114332,PB000139,O07,0,1220.0
67,PB000138_F20,0,HCT116,15.0,16.0,41394,PB000138,F20,0,1585.0
68,PB000138_H17,0,HCT116,27.0,31.666666666666668,82773,PB000138,H17,0,522.0
69,PB000142_H10,0,HT29,7.0,7.0,28952,PB000142,H10,0,661.0
70,PB000137_D12,0,HCT116,32.0,35.0,93708,PB000137,D12,0,1813.0
71,PB000138_L07,0,HCT116,15.0,19.0,44215,PB000138,L07,0,1531.0
72,PB000138_F06,0,HCT116,11.0,12.0,32051,PB000138,F06,0,1383.0
73,PB000138_K11,0,HCT116,15.0,15.0,41169,PB000138,K11,0,447.0
74,PB000137_G02,0,HCT116,21.0,22.5,63376,PB000137,G02,0,1310.0
75,PB000139_B04,0,HCT116,16.0,17.0,51247,PB000139,B04,0,1173.0
76,PB000142_N15,0,HT29,15.0,18.0,55757,PB000142,N15,0,941.0
77,PB000141_L18,0,HT29,6.0,6.0,29334,PB000141,L18,0,1036.0
78,PB000139_K20,0,HT29,16.0,20.0,59895,PB000139,K20,0,524.0
79,PB000140_H12,0,HCT116,25.0,27.0,75654,PB000140,H12,0,1359.0
80,PB000138_H10,0,HCT116,18.0,21.0,52159,PB000138,H10,0,1739.0
81,PB000140_O22,0,HT29,12.0,17.0,48331,PB000140,O22,0,821.0
82,PB000138_N15,0,HCT116,34.0,38.0,106181,PB000138,N15,0,1713.0
83,PB000142_F20,0,HT29,14.0,18.0,49908,PB000142,F20,0,851.0
84,PB000139_C21,0,HT29,3.0,4.0,12841,PB000139,C21,0,542.0
85,PB000139_B15,0,HT29,4.0,4.0,16747,PB000139,B15,0,897.0
86,PB000141_H17,0,HT29,17.0,21.0,70310,PB000141,H17,0,1074.0
87,PB000142_K11,0,HT29,17.0,20.0,78624,PB000142,K11,0,970.0
88,PB000139_I06,0,HCT116,40.0,44.0,124376,PB000139,I06,0,1525.0
89,PB000140_E02,0,HCT116,26.0,30.0,82434,PB000140,E02,0,1830.0
90,PB000137_F20,0,HCT116,28.0,29.0,83064,PB000137,F20,0,1721.0
91,PB000142_G13,0,HT29,7.0,7.0,30739,PB000142,G13,0,898.0
92,PB000140_O18,0,HT29,23.0,28.5,96720,PB000140,O18,0,1011.0
93,PB000138_O09,0,HCT116,10.0,10.5,33575,PB000138,O09,0,558.0
94,PB000140_O11,0,HCT116,44.0,49.0,143768,PB000140,O11,0,1553.0
95,PB000138_E16,0,HCT116,8.0,10.0,27087,PB000138,E16,0,1514.0
96,PB000141_L07,0,HT29,21.0,24.0,69107,PB000141,L07,0,826.0
97,PB000140_E13,0,HT29,17.0,24.0,71302,PB000140,E13,0,1352.0
98,PB000142_N04,0,HT29,15.0,18.5,69776,PB000142,N04,0,1007.0
99,PB000141_C05,0,HT29,27.0,31.0,97658,PB000141,C05,0,1062.0
100,PB000140_G03,0,HCT116,24.0,28.0,81906,PB000140,G03,0,1262.0
101,PB000140_K20,0,HT29,17.0,22.0,65770,PB000140,K20,0,1061.0
102,PB000139_N05,0,HCT116,21.0,22.0,64974,PB000139,N05,0,975.0
103,PB000142_I21,0,HT29,23.0,28.0,81242,PB000142,I21,0,486.0
104,PB000142_B22,0,HT29,11.0,12.0,44844,PB000142,B22,0,609.0
105,PB000138_G02,0,HCT116,34.0,40.0,103643,PB000138,G02,0,1540.0
106,PB000142_J03,0,HT29,11.0,13.0,46277,PB000142,J03,0,254.0
107,PB000140_I06,0,HCT116,50.0,54.0,152998,PB000140,I06,0,1621.0
108,PB000140_C10,0,HCT116,17.0,20.0,55852,PB000140,C10,0,1394.0
109,PB000141_G02,0,HT29,24.0,31.0,94787,PB000141,G02,0,1022.0
110,PB000142_J14,0,HT29,15.0,20.0,52567,PB000142,J14,0,810.0
111,PB000141_E16,0,HT29,20.0,23.0,68986,PB000141,E16,0,961.0
112,PB000139_O18,1,HT29,34.0,45.0,133446,PB000139,O18,5,701.0
113,PB000139_I06,1,HCT116,68.0,77.0,203706,PB000139,I06,5,1525.0
114,PB000138_L18,1,HCT116,86.0,102.0,272945,PB000138,L18,5,1728.0
115,PB000138_C05,1,HCT116,61.0,68.5,193614,PB000138,C05,5,1564.0
116,PB000138_G13,1,HCT116,33.0,40.0,102625,PB000138,G13,5,1541.0
117,PB000140_K09,1,HCT116,65.0,77.0,179529,PB000140,K09,5,1513.0
118,PB000140_O18,1,HT29,35.0,39.0,138919,PB000140,O18,5,1011.0
119,PB000141_C05,1,HT29,45.0,53.0,173662,PB000141,C05,5,1062.0
120,PB000141_G02,1,HT29,37.0,44.0,154088,PB000141,G02,5,1022.0
121,PB000141_E16,1,HT29,41.0,48.0,141802,PB000141,E16,5,961.0
122,PB000139_I17,1,HT29,39.0,44.0,130614,PB000139,I17,5,889.0
123,PB000139_O07,1,HCT116,55.0,66.0,171947,PB000139,O07,5,1220.0
124,PB000141_L07,1,HT29,32.0,39.0,112347,PB000141,L07,5,826.0
125,PB000141_N15,1,HT29,18.0,23.0,78878,PB000141,N15,5,1083.0
126,PB000141_D12,1,HT29,15.0,19.0,65485,PB000141,D12,5,977.0
127,PB000138_H17,1,HCT116,42.0,51.0,119415,PB000138,H17,5,522.0
128,PB000140_I17,1,HT29,16.0,19.0,55974,PB000140,I17,5,903.0
129,PB000138_F06,1,HCT116,19.0,22.5,56328,PB000138,F06,5,1383.0
130,PB000137_J14,1,HCT116,26.0,28.0,80111,PB000137,J14,5,1549.0
131,PB000142_I21,1,HT29,30.0,36.0,102174,PB000142,I21,5,486.0
132,PB000137_M23,1,HCT116,38.0,39.0,114812,PB000137,M23,5,1559.0
133,PB000137_L18,1,HCT116,69.0,79.0,226520,PB000137,L18,5,1787.0
134,PB000137_F06,1,HCT116,32.0,34.0,88208,PB000137,F06,5,1377.0
135,PB000139_B15,1,HT29,13.0,16.0,46515,PB000139,B15,5,897.0
136,PB000137_O09,1,HCT116,44.0,59.5,140681,PB000137,O09,5,1928.0
137,PB000137_K11,1,HCT116,32.0,41.0,108064,PB000137,K11,5,1401.0
138,PB000142_E16,1,HT29,30.0,38.0,116971,PB000142,E16,5,528.0
139,PB000142_L18,1,HT29,21.0,27.5,77233,PB000142,L18,5,743.0
140,PB000140_H12,1,HCT116,41.0,46.0,122613,PB000140,H12,5,1359.0
141,PB000139_K09,1,HCT116,43.0,50.0,137537,PB000139,K09,5,1341.0
142,PB000142_O09,1,HT29,12.0,13.0,45615,PB000142,O09,5,789.0
143,PB000141_G13,1,HT29,38.0,42.0,140181,PB000141,G13,5,1164.0
144,PB000142_H17,1,HT29,22.0,28.5,91985,PB000142,H17,5,484.0
145,PB000142_N04,1,HT29,41.0,46.5,144559,PB000142,N04,5,1007.0
146,PB000137_L07,1,HCT116,67.0,74.0,198650,PB000137,L07,5,1401.0
147,PB000138_D12,1,HCT116,32.0,37.0,100410,PB000138,D12,5,1785.0
148,PB000142_F06,1,HT29,27.0,34.0,104925,PB000142,F06,5,915.0
149,PB000139_G14,1,HT29,33.0,39.0,123560,PB000139,G14,5,1127.0
150,PB000142_B22,1,HT29,22.0,28.0,83748,PB000142,B22,5,609.0
151,PB000139_C10,1,HCT116,53.0,60.0,169961,PB000139,C10,5,1344.0
152,PB000140_O07,1,HCT116,17.0,21.0,60353,PB000140,O07,5,1257.0
153,PB000137_I21,1,HCT116,47.0,53.0,117718,PB000137,I21,5,1320.0
154,PB000139_G03,1,HCT116,37.0,39.0,113724,PB000139,G03,5,1422.0
155,PB000142_L07,1,HT29,40.0,50.0,152956,PB000142,L07,5,792.0
156,PB000139_N05,1,HCT116,33.0,37.0,98763,PB000139,N05,5,975.0
157,PB000141_K11,1,HT29,32.0,38.0,132510,PB000141,K11,5,1102.0
158,PB000142_H10,1,HT29,18.0,20.0,69748,PB000142,H10,5,661.0
159,PB000138_E16,1,HCT116,26.0,26.0,74753,PB000138,E16,5,1514.0
160,PB000137_H10,1,HCT116,38.0,40.0,108611,PB000137,H10,5,1161.0
161,PB000138_N04,1,HCT116,9.0,9.5,39343,PB000138,N04,5,141.0
162,PB000138_F20,1,HCT116,30.0,33.0,88046,PB000138,F20,5,1585.0
163,PB000137_N15,1,HCT116,29.0,34.0,85309,PB000137,N15,5,1383.0
164,PB000140_E13,1,HT29,45.0,55.0,174870,PB000140,E13,5,1352.0
165,PB000142_J14,1,HT29,25.0,33.5,100606,PB000142,J14,5,810.0
166,PB000138_N15,1,HCT116,56.0,69.0,177232,PB000138,N15,5,1713.0
167,PB000139_O11,1,HCT116,28.0,31.0,88845,PB000139,O11,5,1527.0
168,PB000137_G13,1,HCT116,66.0,81.0,212929,PB000137,G13,5,1660.0
169,PB000140_H23,1,HT29,33.0,42.0,130734,PB000140,H23,5,1092.0
170,PB000140_O11,1,HCT116,75.0,82.0,260331,PB000140,O11,5,1553.0
171,PB000141_M23,1,HT29,29.0,37.0,102487,PB000141,M23,5,945.0
172,PB000141_I21,1,HT29,23.0,26.0,87222,PB000141,I21,5,955.0
173,PB000142_C05,1,HT29,11.0,17.0,40888,PB000142,C05,5,216.0
174,PB000138_O09,1,HCT116,20.0,24.0,61979,PB000138,O09,5,558.0
175,PB000142_N15,1,HT29,31.0,36.0,119852,PB000142,N15,5,941.0
176,PB000139_C21,1,HT29,13.0,13.0,48336,PB000139,C21,5,542.0
177,PB000138_H10,1,HCT116,46.0,53.0,132844,PB000138,H10,5,1739.0
178,PB000140_O22,1,HT29,25.0,31.5,91698,PB000140,O22,5,821.0
179,PB000142_M23,1,HT29,15.0,18.0,52918,PB000142,M23,5,678.0
180,PB000141_O09,1,HT29,39.0,48.5,156032,PB000141,O09,5,1362.0
181,PB000139_H23,1,HT29,15.0,19.5,54558,PB000139,H23,5,333.0
