Metadata_PlateWell,Metadata_Site,Metadata_cell_line,ObjectNumber_cytoplasm,ObjectNumber_nuclei,AreaShape_Area_cytoplasm,Metadata_Barcode,Metadata_Well,z_um
PB000137_L07,0,HCT116,40.0,44.0,123496,PB000137,L07,0
PB000140_B15,0,HT29,7.0,10.0,19681,PB000140,B15,0
PB000138_D12,0,HCT116,15.0,18.0,44446,PB000138,D12,0
PB000141_K11,0,HT29,20.0,21.5,78875,PB000141,K11,0
PB000142_F20,0,HT29,14.0,18.0,49908,PB000142,F20,0
PB000142_D12,0,HT29,7.0,8.0,32046,PB000142,D12,0
PB000141_G02,0,HT29,24.0,31.0,94787,PB000141,G02,0
PB000141_D12,0,HT29,5.0,5.0,24726,PB000141,D12,0
PB000138_N04,0,HCT116,7.0,9.5,27956,PB000138,N04,0
PB000139_N16,0,HT29,8.0,8.5,39706,PB000139,N16,0
PB000140_K09,0,HCT116,35.0,40.0,94331,PB000140,K09,0
PB000137_K11,0,HCT116,20.0,20.0,61219,PB000137,K11,0
PB000140_E13,0,HT29,17.0,24.0,71302,PB000140,E13,0
PB000138_G02,0,HCT116,34.0,40.0,103643,PB000138,G02,0
PB000140_G03,0,HCT116,24.0,28.0,81906,PB000140,G03,0
PB000138_F20,0,HCT116,15.0,16.0,41394,PB000138,F20,0
PB000139_B04,0,HCT116,16.0,17.0,51247,PB000139,B04,0
PB000142_I21,0,HT29,23.0,28.0,81242,PB000142,I21,0
PB000142_F06,0,HT29,14.0,15.0,55632,PB000142,F06,0
PB000138_L07,0,HCT116,15.0,19.0,44215,PB000138,L07,0
PB000138_H17,0,HCT116,27.0,31.666666666666668,82773,PB000138,H17,0
PB000139_H23,0,HT29,12.0,15.0,44117,PB000139,H23,0
PB000138_K11,0,HCT116,15.0,15.0,41169,PB000138,K11,0
PB000138_L18,0,HCT116,50.0,59.0,149724,PB000138,L18,0
PB000137_I21,0,HCT116,23.0,25.0,60549,PB000137,I21,0
PB000141_O09,0,HT29,21.0,22.0,85465,PB000141,O09,0
PB000139_G03,0,HCT116,20.0,22.0,60820,PB000139,G03,0
PB000137_F20,0,HCT116,28.0,29.0,83064,PB000137,F20,0
PB000138_N15,0,HCT116,34.0,38.0,106181,PB000138,N15,0
PB000140_H23,0,HT29,15.0,20.5,69300,PB000140,H23,0
PB000139_O07,0,HCT116,34.0,41.0,114332,PB000139,O07,0
PB000138_J14,0,HCT116,23.0,25.0,68520,PB000138,J14,0
PB000142_J14,0,HT29,15.0,20.0,52567,PB000142,J14,0
PB000137_G13,0,HCT116,43.0,46.0,135970,PB000137,G13,0
PB000139_C10,0,HCT116,40.0,44.0,125011,PB000139,C10,0
PB000141_F06,0,HT29,9.0,11.5,40396,PB000141,F06,0
PB000138_I21,0,HCT116,16.0,18.0,51362,PB000138,I21,0
PB000141_L07,0,HT29,21.0,24.0,69107,PB000141,L07,0
PB000138_O09,0,HCT116,10.0,10.5,33575,PB000138,O09,0
PB000142_N04,0,HT29,15.0,18.5,69776,PB000142,N04,0
PB000142_E16,0,HT29,20.0,23.0,78420,PB000142,E16,0
PB000138_C05,0,HCT116,33.0,38.0,116846,PB000138,C05,0
PB000139_B15,0,HT29,4.0,4.0,16747,PB000139,B15,0
PB000142_N15,0,HT29,15.0,18.0,55757,PB000142,N15,0
PB000140_B04,0,HCT116,36.0,39.0,117324,PB000140,B04,0
PB000137_L18,0,HCT116,36.0,44.0,118737,PB000137,L18,0
PB000141_I21,0,HT29,8.0,10.5,40495,PB000141,I21,0
PB000139_E13,0,HT29,12.0,12.0,56480,PB000139,E13,0
PB000140_O22,0,HT29,12.0,17.0,48331,PB000140,O22,0
PB000139_I17,0,HT29,22.0,23.0,76101,PB000139,I17,0
PB000140_O07,0,HCT116,11.0,12.0,38273,PB000140,O07,0
PB000138_B22,0,HCT116,44.0,45.0,99666,PB000138,B22,0
PB000137_H10,0,HCT116,17.0,20.0,55366,PB000137,H10,0
PB000137_N15,0,HCT116,16.0,18.0,48836,PB000137,N15,0
PB000140_O11,0,HCT116,44.0,49.0,143768,PB000140,O11,0
PB000137_H17,0,HCT116,13.0,15.5,37401,PB000137,H17,0
PB000138_J03,0,HCT116,33.0,34.0,108328,PB000138,J03,0
PB000142_O09,0,HT29,7.0,8.0,28748,PB000142,O09,0
PB000137_O09,0,HCT116,26.0,28.0,64908,PB000137,O09,0
PB000137_J14,0,HCT116,19.0,22.0,58130,PB000137,J14,0
PB000140_I06,0,HCT116,50.0,54.0,152998,PB000140,I06,0
PB000139_I06,0,HCT116,40.0,44.0,124376,PB000139,I06,0
PB000142_G13,0,HT29,7.0,7.0,30739,PB000142,G13,0
PB000142_L18,0,HT29,11.0,15.0,44972,PB000142,L18,0
PB000139_O18,0,HT29,15.0,16.0,54854,PB000139,O18,0
PB000142_J03,0,HT29,11.0,13.0,46277,PB000142,J03,0
PB000141_G13,0,HT29,17.0,21.0,75754,PB000141,G13,0
PB000137_G02,0,HCT116,21.0,22.5,63376,PB000137,G02,0
PB000140_I17,0,HT29,5.0,6.0,18045,PB000140,I17,0
PB000140_G14,0,HT29,21.0,22.5,76257,PB000140,G14,0
PB000138_H10,0,HCT116,18.0,21.0,52159,PB000138,H10,0
PB000139_H12,0,HCT116,31.0,35.5,95623,PB000139,H12,0
PB000141_H10,0,HT29,9.0,9.0,38062,PB000141,H10,0
PB000139_K09,0,HCT116,23.0,25.0,76003,PB000139,K09,0
PB000137_D12,0,HCT116,32.0,35.0,93708,PB000137,D12,0
PB000142_H17,0,HT29,17.0,22.333333333333332,75916,PB000142,H17,0
PB000138_F06,0,HCT116,11.0,12.0,32051,PB000138,F06,0
PB000140_K20,0,HT29,17.0,22.0,65770,PB000140,K20,0
PB000139_N05,0,HCT116,21.0,22.0,64974,PB000139,N05,0
PB000142_B22,0,HT29,11.0,12.0,44844,PB000142,B22,0
PB000141_M23,0,HT29,14.0,15.0,47762,PB000141,M23,0
PB000139_O11,0,HCT116,16.0,17.0,51242,PB000139,O11,0
PB000137_E16,0,HCT116,47.0,49.0,126246,PB000137,E16,0
PB000139_C21,0,HT29,3.0,4.0,12841,PB000139,C21,0
PB000137_B22,0,HCT116,20.0,25.0,69865,PB000137,B22,0
PB000140_N16,0,HT29,12.0,14.0,45861,PB000140,N16,0
PB000137_F06,0,HCT116,14.0,15.0,40834,PB000137,F06,0
PB000138_G13,0,HCT116,20.0,22.0,54263,PB000138,G13,0
PB000141_C05,0,HT29,27.0,31.0,97658,PB000141,C05,0
PB000141_N15,0,HT29,7.0,9.0,33536,PB000141,N15,0
PB000142_C05,0,HT29,10.0,12.5,37705,PB000142,C05,0
PB000139_G14,0,HT29,22.0,23.0,76764,PB000139,G14,0
PB000141_J14,0,HT29,10.0,11.0,31353,PB000141,J14,0
PB000142_K11,0,HT29,17.0,20.0,78624,PB000142,K11,0
PB000141_L18,0,HT29,6.0,6.0,29334,PB000141,L18,0
PB000140_N05,0,HCT116,23.0,27.0,72185,PB000140,N05,0
PB000139_K20,0,HT29,16.0,20.0,59895,PB000139,K20,0
PB000140_E02,0,HCT116,26.0,30.0,82434,PB000140,E02,0
PB000140_H12,0,HCT116,25.0,27.0,75654,PB000140,H12,0
PB000137_C05,0,HCT116,52.0,59.0,184818,PB000137,C05,0
PB000142_M23,0,HT29,8.0,8.0,28337,PB000142,M23,0
PB000141_H17,0,HT29,17.0,21.0,70310,PB000141,H17,0
PB000138_E16,0,HCT116,8.0,10.0,27087,PB000138,E16,0
PB000141_E16,0,HT29,20.0,23.0,68986,PB000141,E16,0
PB000138_M23,0,HCT116,17.0,17.0,48918,PB000138,M23,0
PB000142_L07,0,HT29,24.0,25.0,93361,PB000142,L07,0
PB000140_C10,0,HCT116,17.0,20.0,55852,PB000140,C10,0
PB000142_H10,0,HT29,7.0,7.0,28952,PB000142,H10,0
PB000137_J03,0,HCT116,29.0,35.0,95880,PB000137,J03,0
PB000139_O22,0,HT29,26.0,31.0,104719,PB000139,O22,0
PB000140_O18,0,HT29,23.0,28.5,96720,PB000140,O18,0
PB000137_M23,0,HCT116,21.0,24.0,61478,PB000137,M23,0
PB000139_B04,1,HCT116,29.0,33.0,88435,PB000139,B04,5
PB000141_K11,1,HT29,32.0,38.0,132510,PB000141,K11,5
PB000142_B22,1,HT29,22.0,28.0,83748,PB000142,B22,5
PB000142_N15,1,HT29,31.0,36.0,119852,PB000142,N15,5
PB000139_I06,1,HCT116,68.0,77.0,203706,PB000139,I06,5
PB000139_O11,1,HCT116,28.0,31.0,88845,PB000139,O11,5
PB000138_F20,1,HCT116,30.0,33.0,88046,PB000138,F20,5
PB000142_M23,1,HT29,15.0,18.0,52918,PB000142,M23,5
PB000140_O18,1,HT29,35.0,39.0,138919,PB000140,O18,5
PB000140_E02,1,HCT116,53.0,57.0,173091,PB000140,E02,5
PB000138_H17,1,HCT116,42.0,51.0,119415,PB000138,H17,5
PB000140_H23,1,HT29,33.0,42.0,130734,PB000140,H23,5
PB000141_I21,1,HT29,23.0,26.0,87222,PB000141,I21,5
PB000142_N04,1,HT29,41.0,46.5,144559,PB000142,N04,5
PB000141_C05,1,HT29,45.0,53.0,173662,PB000141,C05,5
PB000140_G14,1,HT29,28.0,32.0,103082,PB000140,G14,5
PB000138_N04,1,HCT116,9.0,9.5,39343,PB000138,N04,5
PB000139_E13,1,HT29,20.0,21.5,84457,PB000139,E13,5
PB000141_G02,1,HT29,37.0,44.0,154088,PB000141,G02,5
PB000141_F06,1,HT29,18.0,20.0,68845,PB000141,F06,5
PB000139_N05,1,HCT116,33.0,37.0,98763,PB000139,N05,5
PB000138_L18,1,HCT116,86.0,102.0,272945,PB000138,L18,5
PB000141_J14,1,HT29,17.0,20.0,53615,PB000141,J14,5
PB000137_F06,1,HCT116,32.0,34.0,88208,PB000137,F06,5
PB000140_O07,1,HCT116,17.0,21.0,60353,PB000140,O07,5
PB000139_H12,1,HCT116,50.0,56.0,158212,PB000139,H12,5
PB000140_N05,1,HCT116,43.0,48.0,153412,PB000140,N05,5
PB000138_N15,1,HCT116,56.0,69.0,177232,PB000138,N15,5
PB000137_C05,1,HCT116,86.0,101.5,296108,PB000137,C05,5
PB000142_O09,1,HT29,12.0,13.0,45615,PB000142,O09,5
PB000141_L18,1,HT29,20.0,25.0,81230,PB000141,L18,5
PB000138_O09,1,HCT116,20.0,24.0,61979,PB000138,O09,5
PB000137_D12,1,HCT116,55.0,63.0,184603,PB000137,D12,5
PB000142_F20,1,HT29,30.0,32.0,103641,PB000142,F20,5
PB000138_B22,1,HCT116,69.0,76.0,187734,PB000138,B22,5
PB000142_F06,1,HT29,27.0,34.0,104925,PB000142,F06,5
PB000137_G02,1,HCT116,47.0,54.5,121565,PB000137,G02,5
PB000138_M23,1,HCT116,31.0,40.0,97388,PB000138,M23,5
PB000140_C10,1,HCT116,23.0,27.0,78789,PB000140,C10,5
PB000137_G13,1,HCT116,66.0,81.0,212929,PB000137,G13,5
PB000140_K20,1,HT29,31.0,35.0,124847,PB000140,K20,5
PB000140_I06,1,HCT116,71.0,81.0,227437,PB000140,I06,5
PB000138_G13,1,HCT116,33.0,40.0,102625,PB000138,G13,5
PB000141_L07,1,HT29,32.0,39.0,112347,PB000141,L07,5
PB000141_E16,1,HT29,41.0,48.0,141802,PB000141,E16,5
PB000142_H17,1,HT29,22.0,28.5,91985,PB000142,H17,5
PB000138_C05,1,HCT116,61.0,68.5,193614,PB000138,C05,5
PB000140_B04,1,HCT116,45.0,51.0,148683,PB000140,B04,5
PB000138_D12,1,HCT116,32.0,37.0,100410,PB000138,D12,5
PB000139_B15,1,HT29,13.0,16.0,46515,PB000139,B15,5
PB000141_H17,1,HT29,30.0,37.0,118051,PB000141,H17,5
PB000140_B15,1,HT29,19.0,19.0,54952,PB000140,B15,5
PB000141_B22,1,HT29,5.0,7.0,13942,PB000141,B22,5
PB000138_F06,1,HCT116,19.0,22.5,56328,PB000138,F06,5
PB000139_H23,1,HT29,15.0,19.5,54558,PB000139,H23,5
PB000139_K09,1,HCT116,43.0,50.0,137537,PB000139,K09,5
PB000137_H17,1,HCT116,29.0,31.0,83992,PB000137,H17,5
PB000141_G13,1,HT29,38.0,42.0,140181,PB000141,G13,5
PB000142_L18,1,HT29,21.0,27.5,77233,PB000142,L18,5
PB000137_J03,1,HCT116,58.0,65.0,179601,PB000137,J03,5
PB000140_O11,1,HCT116,75.0,82.0,260331,PB000140,O11,5
PB000137_O09,1,HCT116,44.0,59.5,140681,PB000137,O09,5
PB000142_H10,1,HT29,18.0,20.0,69748,PB000142,H10,5
PB000139_G03,1,HCT116,37.0,39.0,113724,PB000139,G03,5
PB000139_G14,1,HT29,33.0,39.0,123560,PB000139,G14,5
PB000139_O22,1,HT29,35.0,46.0,151268,PB000139,O22,5
PB000137_J14,1,HCT116,26.0,28.0,80111,PB000137,J14,5
PB000140_H12,1,HCT116,41.0,46.0,122613,PB000140,H12,5
PB000137_M23,1,HCT116,38.0,39.0,114812,PB000137,M23,5
PB000142_E16,1,HT29,30.0,38.0,116971,PB000142,E16,5
PB000137_E16,1,HCT116,60.0,74.0,165587,PB000137,E16,5
PB000138_L07,1,HCT116,34.0,39.0,107956,PB000138,L07,5
PB000138_E16,1,HCT116,26.0,26.0,74753,PB000138,E16,5
PB000139_K20,1,HT29,24.0,34.0,81367,PB000139,K20,5
PB000141_O09,1,HT29,39.0,48.5,156032,PB000141,O09,5
PB000137_I21,1,HCT116,47.0,53.0,117718,PB000137,I21,5
PB000142_C05,1,HT29,11.0,17.0,40888,PB000142,C05,5
PB000138_H10,1,HCT116,46.0,53.0,132844,PB000138,H10,5
PB000139_C10,1,HCT116,53.0,60.0,169961,PB000139,C10,5
PB000142_I21,1,HT29,30.0,36.0,102174,PB000142,I21,5
PB000140_K09,1,HCT116,65.0,77.0,179529,PB000140,K09,5
PB000139_O18,1,HT29,34.0,45.0,133446,PB000139,O18,5
PB000138_J03,1,HCT116,62.0,76.0,206296,PB000138,J03,5
PB000138_J14,1,HCT116,44.0,51.0,130063,PB000138,J14,5
PB000139_O07,1,HCT116,55.0,66.0,171947,PB000139,O07,5
PB000141_H10,1,HT29,16.0,20.0,62061,PB000141,H10,5
PB000137_L18,1,HCT116,69.0,79.0,226520,PB000137,L18,5
PB000140_I17,1,HT29,16.0,19.0,55974,PB000140,I17,5
PB000140_G03,1,HCT116,42.0,48.0,145796,PB000140,G03,5
PB000141_N15,1,HT29,18.0,23.0,78878,PB000141,N15,5
PB000137_F20,1,HCT116,49.0,56.0,159162,PB000137,F20,5
PB000140_E13,1,HT29,45.0,55.0,174870,PB000140,E13,5
PB000139_N16,1,HT29,14.0,17.0,71584,PB000139,N16,5
PB000142_L07,1,HT29,40.0,50.0,152956,PB000142,L07,5
PB000140_N16,1,HT29,19.0,20.0,72462,PB000140,N16,5
PB000140_O22,1,HT29,25.0,31.5,91698,PB000140,O22,5
PB000137_K11,1,HCT116,32.0,41.0,108064,PB000137,K11,5
PB000138_G02,1,HCT116,65.0,72.0,194642,PB000138,G02,5
PB000139_C21,1,HT29,13.0,13.0,48336,PB000139,C21,5
PB000141_M23,1,HT29,29.0,37.0,102487,PB000141,M23,5
PB000142_J03,1,HT29,13.0,16.0,58730,PB000142,J03,5
PB000141_D12,1,HT29,15.0,19.0,65485,PB000141,D12,5
PB000142_K11,1,HT29,31.0,35.0,137577,PB000142,K11,5
PB000137_L07,1,HCT116,67.0,74.0,198650,PB000137,L07,5
PB000137_B22,1,HCT116,40.0,47.0,132828,PB000137,B22,5
PB000137_N15,1,HCT116,29.0,34.0,85309,PB000137,N15,5
PB000142_J14,1,HT29,25.0,33.5,100606,PB000142,J14,5
PB000142_G13,1,HT29,18.0,19.0,69251,PB000142,G13,5
PB000137_H10,1,HCT116,38.0,40.0,108611,PB000137,H10,5
PB000138_K11,1,HCT116,18.0,21.0,56496,PB000138,K11,5
PB000139_I17,1,HT29,39.0,44.0,130614,PB000139,I17,5
PB000142_D12,1,HT29,24.0,28.0,100438,PB000142,D12,5
PB000138_I21,1,HCT116,45.0,52.5,146821,PB000138,I21,5
PB000139_O07,2,HCT116,74.0,85.5,223252,PB000139,O07,10
PB000137_F06,2,HCT116,57.0,63.0,164634,PB000137,F06,10
