,barcode,well,cell_line,n_unique_cells,n_total_detections,avg_detections_per_cell,median_detections,expected_z_span_slices
0,PB000137,B08_s1,HCT116,238,855,3.592436974789916,3.0,3.0
1,PB000137,B22_s1,HCT116,290,1059,3.6517241379310335,3.0,3.0
2,PB000137,C05_s1,HCT116,766,2780,3.629242819843342,3.0,3.0
3,PB000137,D12_s1,HCT116,816,2914,3.571078431372549,3.0,3.0
4,PB000137,E16_s1,HCT116,452,1619,3.581858407079646,3.0,3.0
5,PB000137,F06_s1,HCT116,457,1683,3.682713347921225,3.0,3.0
6,PB000137,F20_s1,HCT116,621,2363,3.805152979066023,3.0,3.0
7,PB000137,G02_s1,HCT116,373,1489,3.991957104557641,4.0,3.0
8,PB000137,G13_s1,HCT116,477,1741,3.649895178197065,3.0,3.0
9,PB000137,H10_s1,HCT116,401,1569,3.9127182044887774,3.0,3.0
10,PB000137,H17_s1,HCT116,551,2215,4.019963702359346,3.0,3.0
11,PB000137,I21_s1,HCT116,470,1702,3.6212765957446806,3.0,3.0
12,PB000137,J03_s1,HCT116,724,2431,3.3577348066298343,3.0,3.0
13,PB000137,J14_s1,HCT116,732,2560,3.4972677595628414,3.0,3.0
14,PB000137,K11_s1,HCT116,438,1735,3.961187214611872,3.0,3.0
15,PB000137,L07_s1,HCT116,371,1445,3.894878706199461,4.0,3.0
16,PB000137,L18_s1,HCT116,782,2682,3.429667519181585,3.0,3.0
17,PB000137,M23_s1,HCT116,665,2502,3.762406015037594,3.0,3.0
18,PB000137,N15_s1,HCT116,473,1803,3.8118393234672303,3.0,3.0
19,PB000137,O09_s1,HCT116,950,3416,3.5957894736842104,3.0,3.0
20,PB000137,O20_s1,HCT116,639,2619,4.098591549295775,3.0,3.0
21,PB000138,B08_s1,HCT116,2,10,5.0,5.0,3.0
22,PB000138,B22_s1,HCT116,700,2260,3.2285714285714286,3.0,3.0
23,PB000138,C05_s1,HCT116,578,2073,3.586505190311419,3.0,3.0
24,PB000138,D12_s1,HCT116,946,3224,3.4080338266384778,3.0,3.0
25,PB000138,E16_s1,HCT116,746,2688,3.603217158176944,3.0,3.0
26,PB000138,F06_s1,HCT116,658,2260,3.434650455927052,3.0,3.0
27,PB000138,F20_s1,HCT116,795,2596,3.2654088050314467,2.0,3.0
28,PB000138,G02_s1,HCT116,644,2195,3.408385093167702,3.0,3.0
29,PB000138,G13_s1,HCT116,715,2549,3.565034965034965,3.0,3.0
30,PB000138,H10_s1,HCT116,916,3191,3.4836244541484715,3.0,3.0
31,PB000138,H17_s1,HCT116,197,723,3.67005076142132,3.0,3.0
32,PB000138,I21_s1,HCT116,457,1782,3.899343544857768,3.0,3.0
33,PB000138,J03_s1,HCT116,718,2471,3.4415041782729805,3.0,3.0
34,PB000138,J14_s1,HCT116,765,2807,3.669281045751634,3.0,3.0
35,PB000138,K11_s1,HCT116,224,650,2.9017857142857144,2.0,3.0
36,PB000138,L07_s1,HCT116,757,2420,3.196829590488772,2.0,3.0
37,PB000138,L18_s1,HCT116,695,2382,3.4273381294964027,3.0,3.0
38,PB000138,M23_s1,HCT116,841,3000,3.56718192627824,3.0,3.0
39,PB000138,N04_s1,HCT116,10,27,2.7,2.0,3.0
40,PB000138,N15_s1,HCT116,724,2419,3.341160220994475,3.0,3.0
41,PB000138,O09_s1,HCT116,173,731,4.22543352601156,4.0,3.0
42,PB000138,O20_s1,HCT116,327,1149,3.5137614678899083,3.0,3.0
43,PB000139,B04_s1,HCT116,372,1423,3.825268817204301,3.0,3.0
44,PB000139,B15_s1,HT29,453,1671,3.6887417218543046,3.0,3.0
