,Metadata_Site,Location_Center_X_cells,Location_Center_Y_cells
963,0,764.47205,310.65024
964,0,642.1111,319.84128
965,0,482.6639,346.85062
966,0,542.04614,380.40057
967,0,628.90216,387.62112
968,0,477.95636,399.92725
969,0,665.8937,427.6171
970,0,553.15686,432.32455
971,0,603.7148,433.43604
972,0,443.90176,447.75742
973,0,342.0294,450.06735
974,0,491.63193,468.1597
975,0,576.74805,487.46155
976,0,691.806,494.52795
977,0,517.45355,503.34094
978,0,614.8739,517.3502
979,0,547.8783,545.48193
980,0,679.20166,546.92566
981,0,486.4159,549.1383
982,0,599.12134,573.9397
983,0,512.0844,600.0073
984,0,559.88525,602.6262
985,0,639.44836,617.99207
986,0,379.26675,622.06995
987,0,247.33693,643.63257
988,0,427.9468,663.6753
989,0,501.20367,654.4102
990,0,610.277,691.4428
991,0,293.16653,678.08636
992,0,665.5505,688.1487
993,0,471.56973,701.8771
994,0,530.513,696.329
18538,1,436.6133,203.85385
18539,1,541.13654,226.47186
18540,1,645.18933,241.28076
18541,1,584.16656,276.08133
18542,1,526.86005,276.2334
18543,1,454.7857,278.1622
18544,1,681.6331,288.1623
18545,1,766.7021,307.06934
18546,1,621.374,327.50812
18547,1,465.70087,339.17947
18548,1,525.0788,333.9264
18549,1,417.14105,344.4773
18550,1,692.6419,364.25183
18551,1,565.6815,376.3313
18552,1,624.8593,388.6632
18553,1,422.74753,402.37943
18554,1,487.32452,408.92926
18555,1,658.73157,424.66953
18556,1,582.86914,429.57056
18557,1,709.2666,432.24384
18558,1,341.1938,450.8098
18559,1,397.28418,467.61615
18560,1,495.1567,466.03568
18561,1,695.63525,479.5492
18562,1,639.53986,476.88214
18563,1,575.8279,483.80652
18564,1,525.5996,510.3775
18565,1,454.65457,512.347
18566,1,391.57162,526.98645
18567,1,623.58124,524.06964
18568,1,234.99193,552.0833
18569,1,675.69446,546.44617
18570,1,334.69827,570.34595
18571,1,601.6457,563.2022
18572,1,425.27798,579.3079
18573,1,478.93,599.172
18574,1,567.0131,600.7387
18575,1,526.96344,609.4232
18576,1,211.28677,612.6116
18577,1,641.1523,620.6335
18578,1,382.8198,629.2493
18579,1,334.21774,641.4021
18580,1,428.4974,663.9331
18581,1,587.7586,653.94
18582,1,501.68387,651.49677
18583,1,277.80508,657.0897
18584,1,714.5719,669.6531
18585,1,658.0889,681.764
18586,1,537.6717,700.0448
18587,1,303.88235,713.3931
18588,1,469.05722,710.1373
18589,1,605.7981,718.2444
18590,1,710.0404,759.0964
18591,1,652.9581,769.34485
18592,1,360.2553,803.8676
48053,2,563.9167,146.93419
48054,2,694.2912,191.413
48055,2,603.5673,197.40208
48056,2,439.15204,208.7463
48057,2,548.606,217.95244
48058,2,796.0495,199.0655
48059,2,643.0405,232.52771
48060,2,857.5428,219.28897
48061,2,363.27887,238.36124
48062,2,702.66205,251.28232
48063,2,457.82047,268.39908
48064,2,591.31616,273.99445
48065,2,533.3145,275.7699
48066,2,501.7165,302.84647
48067,2,644.447,291.05896
48068,2,752.8316,286.17868
48069,2,387.3446,306.56104
48070,2,690.16266,309.74356
48071,2,560.7624,318.187
48072,2,854.06287,323.74484
48073,2,770.7059,341.71616
48074,2,462.0857,345.12595
48075,2,411.2977,350.85336
48076,2,603.88116,345.1909
48077,2,355.8313,348.9802
48078,2,504.5255,357.04605
48079,2,637.6964,361.50137
48080,2,698.6024,364.4109
48081,2,309.387,371.14066
48082,2,571.74756,369.67892
48083,2,421.93762,396.6569
48084,2,536.6133,397.14874
48085,2,757.47394,411.7539
48086,2,360.3137,396.9074
48087,2,473.2447,407.15353
48088,2,663.6175,417.57022
48089,2,617.3213,423.28906
48090,2,230.77444,426.46286
48091,2,706.49176,414.3901
48092,2,321.34845,444.49365
48093,2,575.3097,441.53146
48094,2,510.33,435.89938
48095,2,397.2889,443.38065
48096,2,716.09717,461.3202
48097,2,523.8362,473.03058
48098,2,449.179,478.25836
48099,2,650.5447,483.40155
48100,2,705.4534,525.0847
48101,2,397.88907,527.3298
48102,2,333.97623,527.5887
48103,2,257.53946,546.94867
48104,2,642.6827,544.6434
48105,2,482.00345,547.3903
48106,2,573.8616,561.6575
48107,2,363.9048,573.06274
48108,2,310.6367,587.9256
48109,2,431.0654,581.708
48110,2,697.20306,592.093
48111,2,622.6462,591.57587
48112,2,531.58966,603.6529
48113,2,471.74,608.0219
48114,2,387.04044,612.35297
48115,2,352.01877,639.69666
48116,2,189.44183,621.7966
48117,2,577.0344,628.0935
48118,2,653.51996,639.7815
48119,2,293.90228,652.0314
48120,2,595.80066,664.45734
48121,2,483.8194,649.81464
48122,2,714.535,665.31604
48123,2,546.00665,662.86176
48124,2,409.8346,666.9364
48125,2,648.451,694.7066
48126,2,751.46063,699.8714
48127,2,367.1631,706.35187
48128,2,464.83942,694.0769
48129,2,307.942,697.08435
48130,2,416.27603,737.3671
48131,2,592.5564,732.0464
48132,2,523.036,723.719
48133,2,467.17377,742.46606
48134,2,714.57477,761.9465
48135,2,318.24338,747.481
48136,2,647.25244,758.40625
48137,2,375.58963,773.6515
48138,2,493.36438,777.0354
48139,2,549.32306,784.8041
48140,2,316.6769,794.34766
48141,2,365.91214,817.2142
48142,2,339.77054,858.6237
92394,3,612.99786,111.65528
92395,3,502.89932,103.58883
92396,3,569.1136,132.48846
92397,3,783.4512,133.22015
92398,3,517.0832,153.8
92399,3,607.5928,189.68597
92400,3,693.21344,187.50334
92401,3,748.4211,169.65369
92402,3,550.0445,193.18825
92403,3,791.1618,199.59688
92404,3,440.457,207.13972
92405,3,856.2602,212.34978
92406,3,499.70325,211.97258
92407,3,661.7132,233.23154
92408,3,752.9523,235.10698
92409,3,359.5929,253.06693
92410,3,476.48975,255.31706
92411,3,700.684,260.3097
92412,3,617.5272,247.81207
92413,3,571.4407,262.43704
92414,3,424.12216,264.9208
92415,3,805.234,290.23453
92416,3,595.3059,292.74335
92417,3,651.58167,296.1541
92418,3,746.2707,289.44403
92419,3,505.31454,298.797
92420,3,385.2073,313.11682
92421,3,303.42087,312.8755
92422,3,444.36353,305.62
92423,3,857.71765,320.18237
92424,3,551.83923,328.92685
92425,3,764.916,340.89777
92426,3,682.352,340.70642
92427,3,352.1481,347.29245
92428,3,463.8023,338.93716
92429,3,599.9207,350.92218
92430,3,237.31912,372.42203
92431,3,710.8411,360.74173
92432,3,643.03876,358.93008
92433,3,812.3122,363.77206
92434,3,301.90326,372.7648
92435,3,393.86084,380.77008
92436,3,434.31638,382.45715
92437,3,509.2902,381.34567
92438,3,753.9253,388.3467
92439,3,348.2364,405.99597
92440,3,666.82434,409.00278
92441,3,543.2098,408.05267
92442,3,601.6992,405.0685
92443,3,715.99097,414.39413
92444,3,805.67584,425.4366
92445,3,253.94725,427.81723
92446,3,312.968,432.66855
92447,3,402.35114,436.40686
92448,3,188.63492,450.80716
92449,3,635.5718,453.7621
92450,3,590.1125,462.84937
92451,3,355.90216,471.63388
92452,3,295.62122,477.50937
92453,3,514.0534,464.3573
92454,3,669.07886,480.10663
92455,3,767.9424,483.73724
92456,3,239.68549,487.04755
92457,3,397.50436,493.01096
92458,3,559.0911,517.5156
92459,3,607.9595,510.61505
92460,3,707.9794,530.3782
92461,3,638.9302,529.1454
92462,3,420.9843,530.21967
92463,3,330.1682,527.20044
92464,3,275.1511,541.12195
92465,3,218.87956,553.3296
92466,3,528.7166,544.78174
92467,3,379.34885,551.7743
92468,3,466.5606,558.96985
92469,3,304.0531,588.9136
92470,3,513.74475,573.2248
92471,3,705.2323,586.3072
92472,3,385.84976,608.53766
92473,3,547.4663,601.57855
92474,3,250.99728,612.9033
92475,3,466.04288,611.7062
92476,3,176.37462,625.5523
92477,3,343.66364,625.57697
92478,3,750.40546,636.7423
92479,3,578.2605,630.77594
92480,3,641.2498,631.0706
92481,3,689.35895,645.8247
92482,3,309.35577,653.37714
92483,3,219.7923,657.71326
92484,3,532.1139,660.9893
92485,3,602.9177,669.6468
92486,3,414.77048,667.0978
92487,3,468.40662,663.5642
92488,3,372.24796,693.9538
92489,3,272.2298,699.80273
92490,3,639.99445,702.2091
92491,3,702.6741,701.3375
92492,3,217.03142,697.85754
92493,3,326.89972,703.1049
92494,3,472.0621,718.363
92495,3,524.1279,724.747
92496,3,419.6733,730.7606
92497,3,594.11786,735.23035
92498,3,778.5926,749.3331
92499,3,312.82526,750.3869
92500,3,381.6002,770.68634
92501,3,668.3608,764.30334
92502,3,727.2575,772.356
92503,3,612.72345,779.00995
92504,3,541.9516,785.1187
92505,3,495.3385,776.9839
92506,3,444.34674,783.0826
92507,3,314.457,796.5096
92508,3,347.10873,837.70435
150997,4,623.08295,89.40006
150998,4,506.91534,102.755
150999,4,568.83435,124.039734
151000,4,839.8455,114.109955
151001,4,785.938,135.18411
151002,4,427.9113,148.44023
151003,4,648.2215,154.8189
151004,4,744.00726,173.8256
151005,4,508.60135,161.58028
151006,4,572.26996,165.7105
151007,4,863.08105,179.14268
151008,4,545.4427,197.24979
151009,4,799.1665,202.1772
151010,4,595.40894,207.29231
151011,4,712.5347,223.22789
151012,4,496.2765,219.39514
151013,4,662.34937,223.09854
151014,4,852.82465,232.88326
151015,4,429.9675,249.717
151016,4,325.89532,246.51852
151017,4,621.5704,254.53793
151018,4,486.39075,263.6829
151019,4,560.6316,271.85016
151020,4,272.01376,262.5043
151021,4,767.2878,276.16714
151022,4,806.4039,271.3198
151023,4,948.0329,264.48322
151024,4,671.37244,277.29324
151025,4,222.06413,294.7397
151026,4,715.01514,292.68576
151027,4,865.8605,306.29144
151028,4,392.68552,307.78473
151029,4,293.64056,309.84332
151030,4,489.65802,309.42474
151031,4,626.27344,321.5673
151032,4,435.3338,332.9328
151033,4,540.004,327.88663
151034,4,336.2098,342.62723
151035,4,677.2985,346.77252
151036,4,765.7182,332.04343
151037,4,242.53178,357.2075
151038,4,720.701,349.38303
151039,4,823.14276,354.6354
151040,4,468.72333,365.20032
151041,4,396.21014,378.14343
151042,4,293.62616,373.99286
151043,4,510.8016,374.35437
151044,4,757.8251,390.20883
151045,4,864.4616,396.6299
151046,4,544.06165,390.98993
151047,4,634.6515,403.6886
151048,4,584.7972,403.01932
151049,4,341.7461,404.99377
151050,4,192.82588,406.8192
151051,4,711.7958,404.66077
151052,4,805.8912,424.42773
151053,4,483.96832,433.31073
151054,4,242.92813,425.74707
151055,4,286.63712,418.41895
151056,4,684.72015,455.83444
151057,4,542.163,453.55014
151058,4,635.8272,454.74228
151059,4,734.89166,470.1111
151060,4,185.60092,453.97464
151061,4,848.48413,479.40097
151062,4,280.37543,458.83307
151063,4,409.812,459.8496
151064,4,595.8392,470.375
151065,4,326.58762,470.74744
151066,4,789.71936,479.7848
151067,4,215.31924,481.30716
151068,4,459.01443,489.2928
151069,4,896.894,499.5156
151070,4,509.58548,506.2767
151071,4,562.6009,516.8625
151072,4,640.9628,512.54315
151073,4,175.16206,534.9854
151074,4,763.6411,536.3471
151075,4,416.69257,541.95404
151076,4,820.07996,533.80035
151077,4,367.8187,529.8686
151078,4,224.95958,532.61694
151079,4,688.40295,537.83746
151080,4,878.4195,534.77765
151081,4,312.99536,559.5872
151082,4,257.78314,571.77637
151083,4,479.01413,573.2164
151084,4,351.10614,573.4785
151085,4,733.07996,583.4376
151086,4,201.2514,595.5067
151087,4,603.0085,593.8499
151088,4,556.9671,599.0658
151089,4,414.56134,613.2631
151090,4,142.3463,618.8635
151091,4,254.95244,621.0358
151092,4,761.4516,627.975
151093,4,320.64587,619.0646
151094,4,621.1171,629.5321
151095,4,697.9163,643.6674
151096,4,300.76147,650.88586
151097,4,186.24599,655.8973
151098,4,568.5941,665.85065
151099,4,448.84216,656.1199
151100,4,637.7947,663.7295
151101,4,516.2148,661.5634
151102,4,362.547,667.5813
151103,4,779.0894,678.20105
151104,4,275.9922,702.49927
151105,4,222.09608,701.73364
151106,4,469.3981,699.1589
151107,4,700.86224,701.58594
151108,4,324.98477,713.3212
151109,4,631.2987,707.1053
151110,4,413.33334,700.5521
151111,4,524.4299,708.8383
151112,4,585.92175,726.83606
151113,4,743.5896,740.2825
151114,4,444.9915,745.49457
151115,4,543.53217,741.31464
151116,4,401.3918,748.2493
151117,4,789.665,758.9066
151118,4,490.56427,769.8742
151119,4,658.1969,747.9201
151120,4,274.56085,768.04
151121,4,349.65674,775.3177
151122,4,550.62524,787.207
151123,4,446.05368,801.9563
151124,4,726.1514,809.81415
151125,4,663.4115,802.3138
151126,4,306.3011,805.74725
151127,4,394.86542,820.0527
151128,4,608.0767,828.7814
151129,4,529.1704,839.7825
151130,4,337.18008,842.43243
218830,5,545.7093,26.38883
218831,5,490.194,58.522083
218832,5,584.53564,56.78298
218833,5,631.61163,76.476036
218834,5,526.0491,107.19389
218835,5,678.4141,111.51214
218836,5,836.35443,105.94142
218837,5,578.8833,119.532585
218838,5,775.10815,119.04887
218839,5,471.56067,117.40497
218840,5,421.9267,137.41495
218841,5,874.25354,146.017
218842,5,675.4966,166.46484
218843,5,733.3856,182.03905
218844,5,618.8043,177.72112
218845,5,500.97202,171.38025
218846,5,379.13406,197.93253
218847,5,546.9554,192.62811
218848,5,581.7899,223.79659
218849,5,788.772,214.74214
218850,5,492.43823,218.93553
218851,5,844.241,220.63873
218852,5,416.29706,230.71638
218853,5,665.19135,224.9679
218854,5,883.9004,241.70512
218855,5,326.5725,222.76703
218856,5,273.40378,260.7074
218857,5,724.1174,242.3443
218858,5,627.00464,253.14296
218859,5,366.7031,255.79062
218860,5,947.97076,265.50867
218861,5,773.2325,281.06824
218862,5,218.60333,285.41943
218863,5,820.4203,275.40378
218864,5,586.2825,281.74252
218865,5,507.25204,279.84464
218866,5,711.64294,289.2889
218867,5,345.9251,301.23917
218868,5,305.60156,312.0794
218869,5,996.22626,298.61414
218870,5,397.64645,303.8097
218871,5,873.11,311.44812
218872,5,631.2598,317.437
218873,5,436.30072,326.34634
218874,5,932.75574,340.409
218875,5,766.50555,328.33676
218876,5,575.35236,333.73682
218877,5,200.8,348.58746
218878,5,719.5141,336.11182
218879,5,654.60077,357.15894
218880,5,279.34518,361.1281
218881,5,499.25888,357.04062
218882,5,826.4044,357.18814
218883,5,374.70746,365.45923
218884,5,748.0648,367.8931
218885,5,874.711,391.3911
218886,5,558.02704,380.32138
218887,5,694.1531,388.08038
218888,5,784.44293,390.32797
218889,5,238.01483,401.6683
218890,5,525.6425,410.00845
218891,5,192.12305,410.15323
218892,5,623.62634,411.45712
218893,5,823.2884,418.9444
218894,5,488.5408,430.40204
218895,5,756.09296,429.7658
218896,5,310.9344,440.8552
218897,5,593.6763,461.71417
218898,5,253.84853,460.95627
218899,5,853.6262,466.832
218900,5,797.62427,470.05505
218901,5,416.94406,468.7432
218902,5,190.91466,475.92145
218903,5,728.0141,489.50027
218904,5,654.40015,489.89893
218905,5,901.8322,492.32156
218906,5,150.94162,509.91553
218907,5,333.30356,505.18704
218908,5,577.8343,519.08307
218909,5,221.93922,531.8005
218910,5,827.5672,538.58234
218911,5,392.71326,536.03754
218912,5,775.7678,533.02747
218913,5,685.55566,543.39105
218914,5,885.29987,536.4735
218915,5,175.36093,546.55383
218916,5,305.1808,558.4849
218917,5,482.9595,554.0954
218918,5,341.08798,570.19763
218919,5,252.38574,574.041
218920,5,139.64763,597.9688
218921,5,786.26196,584.4936
218922,5,209.97197,598.7372
218923,5,441.25287,591.9994
218924,5,611.73083,589.48065
218925,5,678.3161,598.21985
218926,5,836.5357,618.1777
218927,5,388.3514,602.00806
218928,5,491.87872,606.5089
218929,5,269.61124,626.71136
218930,5,562.6991,612.8504
218931,5,765.59204,641.43024
218932,5,344.28983,637.8333
218933,5,644.74615,646.7868
218934,5,177.54851,650.8599
218935,5,402.19568,652.64
218936,5,504.32416,660.2936
218937,5,447.57748,666.20087
218938,5,564.7838,675.8512
218939,5,300.5097,687.1024
218940,5,776.1347,696.4243
218941,5,138.97482,702.02716
218942,5,704.8446,711.9476
218943,5,487.15756,711.3548
218944,5,199.46478,731.57794
218945,5,253.2486,720.65894
218946,5,357.87424,712.8828
218947,5,399.0281,729.4571
218948,5,301.85843,734.96313
218949,5,535.001,737.07263
218950,5,443.87842,751.29156
218951,5,664.37115,748.6828
218952,5,580.3915,752.9942
218953,5,798.9518,758.68787
218954,5,348.51297,774.09546
218955,5,740.00494,776.3525
218956,5,262.78278,773.05255
218957,5,495.01443,802.65643
218958,5,396.12308,814.2549
218959,5,553.7469,803.9043
218960,5,666.3019,800.1611
218961,5,324.9315,819.2797
218962,5,444.5856,819.27155
218963,5,731.45056,824.4393
218964,5,279.43262,827.4326
218965,5,618.39044,844.3005
218966,5,680.27814,859.48584
218967,5,547.32623,862.8791
218968,5,376.1797,882.2744
218969,5,334.7928,887.40765
218970,5,507.7076,888.1655
218971,5,598.8849,898.67285
218972,5,441.85175,892.97314
315178,6,539.1626,24.687662
315179,6,431.8479,61.414097
315180,6,634.8852,28.843113
315181,6,493.95584,50.91613
315182,6,584.98645,53.077312
315183,6,664.8494,56.29438
315184,6,721.149,78.42612
315185,6,527.7046,106.65528
315186,6,668.05316,103.495735
315187,6,781.50903,108.88626
315188,6,572.20154,111.50385
315189,6,467.1864,124.40962
315190,6,835.83167,104.50164
315191,6,613.0,131.43248
315192,6,735.0725,134.2643
315193,6,372.9929,142.63895
315194,6,865.8531,135.8994
315195,6,893.20654,167.46881
315196,6,671.88947,162.2006
315197,6,836.42004,172.32631
315198,6,529.86957,179.29338
315199,6,466.83795,199.10933
315200,6,736.6751,185.83025
315201,6,615.1335,188.8197
315202,6,411.3852,176.8006
315203,6,278.31335,198.63843
315204,6,380.20392,215.04826
315205,6,915.57367,227.26556
315206,6,671.0463,221.35324
315207,6,834.5913,241.59543
315208,6,595.2662,235.03725
315209,6,778.8205,233.50122
315210,6,524.2129,244.45427
315211,6,732.5456,246.45444
315212,6,885.86426,241.79814
315213,6,275.47403,245.38638
315214,6,631.8905,251.93222
315215,6,484.1697,261.3153
315216,6,210.40942,268.38678
315217,6,341.19943,278.53357
315218,6,694.91473,274.3972
315219,6,575.5631,297.38443
315220,6,262.14395,288.17923
315221,6,910.9214,293.78778
315222,6,989.7192,293.88702
315223,6,801.12354,297.20398
315224,6,395.3453,296.01407
315225,6,752.4457,304.07242
315226,6,856.6941,305.5392
315227,6,302.92258,325.31937
315228,6,631.59845,309.62375
315229,6,206.77647,338.7879
315230,6,521.0836,332.23737
315231,6,928.5369,337.9233
315232,6,654.5868,354.2393
315233,6,715.2315,331.80502
315234,6,825.47766,347.0375
315235,6,341.4569,348.47693
315236,6,278.3648,356.12833
315237,6,387.29474,366.3487
315238,6,750.33374,370.35565
315239,6,883.0708,377.5592
315240,6,550.18634,376.83115
315241,6,787.4725,387.03696
315242,6,700.9191,382.67328
315243,6,594.7998,405.5682
315244,6,445.28915,399.4419
315245,6,201.91798,407.16873
315246,6,495.4791,419.20663
315247,6,834.6913,415.0766
315248,6,646.08514,409.26123
315249,6,255.99428,441.38275
315250,6,176.57445,443.22702
315251,6,746.59875,448.13907
315252,6,412.5406,459.7212
315253,6,869.42926,466.21127
315254,6,815.74133,470.84616
315255,6,718.5408,493.39993
315256,6,771.3371,480.62183
315257,6,143.42737,496.72025
315258,6,449.36575,499.6335
315259,6,194.8048,503.849
315260,6,336.65073,506.01086
315261,6,777.3102,532.5424
315262,6,856.3583,537.78314
315263,6,294.92508,533.62976
315264,6,604.2068,536.65424
315265,6,670.8667,539.5146
315266,6,177.82973,558.4539
315267,6,393.5792,550.42145
315268,6,85.33589,547.0691
315269,6,269.83667,567.2246
315270,6,337.43976,559.36035
315271,6,724.596,559.2728
315272,6,562.6069,564.5594
315273,6,621.34863,577.1368
315274,6,783.59534,577.61383
315275,6,140.66368,590.83887
315276,6,435.40073,588.8175
315277,6,220.28615,606.6157
315278,6,842.6387,610.28674
315279,6,374.9322,602.8336
315280,6,674.82654,594.9285
315281,6,98.3389,609.67883
315282,6,496.7133,612.1722
315283,6,754.05505,625.6767
315284,6,563.3428,611.1511
315285,6,711.8935,626.7663
315286,6,170.20557,647.55084
315287,6,449.0848,628.65594
315288,6,293.25894,633.69806
315289,6,630.8717,644.8968
315290,6,798.9261,649.45776
315291,6,355.97058,652.91315
315292,6,248.55519,669.7019
315293,6,677.0409,672.5843
315294,6,452.79974,676.56354
315295,6,547.08704,678.67816
315296,6,847.30664,688.605
315297,6,341.99344,693.6135
315298,6,612.44446,691.12775
315299,6,147.96107,711.88055
315300,6,784.3129,709.0757
315301,6,496.6796,723.3713
315302,6,716.54803,716.28326
315303,6,254.9228,720.35077
315304,6,211.30997,719.5192
315305,6,306.65768,743.86804
315306,6,400.98315,737.459
315307,6,560.8655,742.47437
315308,6,616.94617,737.232
315309,6,446.55457,755.7622
315310,6,759.042,769.10803
315311,6,677.8888,771.61163
315312,6,201.85756,774.2036
315313,6,253.28777,770.7146
315314,6,346.2886,789.3536
315315,6,551.65063,805.49243
315316,6,614.8592,793.2298
315317,6,499.61398,804.2062
315318,6,453.35544,810.1789
315319,6,388.85287,823.181
315320,6,264.33804,821.3901
315321,6,728.8441,822.6905
315322,6,177.36363,834.9782
315323,6,593.0648,845.0156
315324,6,665.03546,869.8487
315325,6,342.3585,870.52954
315326,6,434.06763,854.4479
315327,6,543.07086,865.7844
315328,6,385.05157,882.90936
315329,6,495.12265,889.3899
315330,6,594.934,907.7637
315331,6,440.26236,905.4107
396908,7,429.07675,44.262028
396909,7,554.9371,30.12678
396910,7,633.8467,21.63239
396911,7,684.30585,41.496574
396912,7,492.32156,51.473682
396913,7,753.865,61.56526
396914,7,598.7825,73.98228
396915,7,539.9882,86.72
396916,7,663.3872,99.19722
396917,7,501.2868,114.061226
396918,7,779.3779,108.53965
396919,7,453.07678,114.45242
396920,7,899.26227,109.07599
396921,7,819.3877,118.62021
396922,7,573.85333,125.05991
396923,7,732.93,119.242615
396924,7,369.1401,126.438354
396925,7,612.22034,120.71429
396926,7,837.65344,165.25064
396927,7,625.144,158.9808
396928,7,687.81,156.0
396929,7,307.1715,167.60515
396930,7,555.533,160.33748
396931,7,439.9883,153.88052
396932,7,899.9815,170.05504
396933,7,740.7731,168.83345
396934,7,485.72415,168.2323
396935,7,359.3299,177.67009
396936,7,778.3346,192.04369
396937,7,421.84915,199.12971
396938,7,656.4751,209.1722
396939,7,268.04318,200.99857
396940,7,566.16327,219.36562
396941,7,485.0817,211.61516
396942,7,224.18712,221.03578
396943,7,726.45404,230.13315
396944,7,922.058,240.09589
396945,7,848.6028,233.67566
396946,7,522.89233,240.89496
396947,7,293.96716,236.28406
396948,7,783.84503,241.84564
396949,7,456.20758,255.7426
396950,7,331.6843,267.2263
396951,7,206.77405,267.69366
396952,7,632.73474,260.70557
396953,7,690.528,264.31964
396954,7,170.32195,287.0418
396955,7,253.59818,277.62912
396956,7,570.6662,288.771
396957,7,979.71045,293.12152
396958,7,746.2105,283.71408
396959,7,803.9444,291.91574
396960,7,891.12714,300.3106
396961,7,697.62286,303.6962
396962,7,623.5379,322.9397
396963,7,297.5096,331.50656
396964,7,213.79979,340.2529
396965,7,444.0515,320.2708
396966,7,366.30862,333.95117
396967,7,144.06757,338.87634
396968,7,516.3127,338.5752
396969,7,921.27814,342.27435
396970,7,820.1611,339.09213
396971,7,404.38187,358.92413
396972,7,669.67346,373.87427
396973,7,784.82544,367.81674
396974,7,255.03331,373.24628
396975,7,713.3919,371.0457
396976,7,545.41547,377.25143
396977,7,830.1821,398.59042
396978,7,362.67972,395.47083
396979,7,132.11057,393.8783
396980,7,440.69815,397.12927
396981,7,927.2048,390.7971
396982,7,193.89067,403.91068
396983,7,639.2589,415.35312
396984,7,874.84265,411.63376
396985,7,771.3941,421.8705
396986,7,300.59897,419.6802
396987,7,247.68182,436.9884
396988,7,402.6859,442.2124
396989,7,599.79926,445.94794
396990,7,920.50616,438.43277
396991,7,174.93376,450.0147
396992,7,124.314125,462.6084
396993,7,819.73456,461.17355
396994,7,960.7998,472.4529
396995,7,868.6823,475.1826
396996,7,513.5833,483.6019
396997,7,774.25507,481.11896
396998,7,915.8453,488.9432
396999,7,704.8312,492.2532
397000,7,181.39935,500.7076
397001,7,326.8457,505.71542
397002,7,582.73,520.05225
397003,7,287.96515,521.764
397004,7,805.58215,518.9743
397005,7,746.5192,523.85095
397006,7,121.640915,538.7417
397007,7,169.67792,561.5396
397008,7,951.98846,540.2817
397009,7,677.23016,538.7183
397010,7,481.02002,535.2803
397011,7,888.8943,546.92145
397012,7,74.39746,549.1225
397013,7,340.52597,578.07196
397014,7,274.06207,569.1862
397015,7,838.7219,565.7885
397016,7,753.77203,563.90753
397017,7,543.047,570.54895
397018,7,496.65503,581.2375
397019,7,882.163,605.00867
397020,7,569.06213,609.72
397021,7,98.92534,608.93353
397022,7,832.96594,617.6198
397023,7,669.7359,629.0163
397024,7,763.9196,609.5506
397025,7,520.3355,624.988
397026,7,476.37064,627.87115
397027,7,374.99478,645.27783
397028,7,224.74556,628.05774
397029,7,145.76309,642.009
397030,7,286.62433,654.8686
397031,7,439.9363,651.01953
397032,7,731.7512,653.1485
397033,7,793.90405,655.4842
397034,7,598.462,663.3049
397035,7,889.7309,656.0952
397036,7,858.9161,696.3382
397037,7,552.50323,690.43
397038,7,499.82907,682.8562
397039,7,232.12381,679.7714
397040,7,191.22151,682.51184
397041,7,326.5816,712.03864
397042,7,149.98143,707.2377
397043,7,657.8026,709.475
397044,7,808.8588,718.4305
397045,7,735.32874,713.80054
397046,7,261.63345,720.68134
397047,7,212.68947,733.3954
397048,7,407.25992,742.27576
397049,7,502.69577,747.13574
397050,7,575.06537,746.9183
397051,7,771.55725,759.43207
397052,7,457.95822,763.30426
397053,7,284.6671,761.55945
397054,7,188.29698,768.34216
397055,7,678.12286,782.23004
397056,7,816.1438,789.18243
397057,7,555.1602,795.1002
397058,7,612.4662,794.38416
397059,7,17.439276,785.16406
397060,7,516.76697,792.9231
397061,7,235.08029,795.1883
397062,7,297.08365,798.46643
397063,7,450.1597,821.6773
397064,7,386.19238,818.7838
397065,7,749.2787,821.5732
397066,7,174.74478,834.7533
397067,7,660.99896,840.6096
397068,7,282.64197,831.29297
397069,7,588.5293,848.405
397070,7,249.43405,849.60754
397071,7,317.42807,857.2945
397072,7,529.14087,860.0662
397073,7,708.5408,872.10254
397074,7,436.0526,875.99133
397075,7,364.66333,888.22925
397076,7,277.45676,884.5122
397077,7,501.90585,905.60236
397078,7,646.6544,896.2951
397079,7,581.6833,903.41174
397080,7,453.23224,930.07367
397081,7,670.4821,938.4426
487329,8,423.84064,32.91189
487330,8,516.53284,32.957157
487331,8,571.57275,26.499687
487332,8,749.4923,58.579693
487333,8,696.60895,59.041504
487334,8,587.43054,79.28877
487335,8,378.98846,81.37058
487336,8,501.61777,101.13661
487337,8,656.7088,93.2355
487338,8,430.88986,101.91101
487339,8,823.2452,124.06961
487340,8,334.8753,110.333336
487341,8,770.4276,114.07136
487342,8,896.51044,112.31541
487343,8,690.0921,141.04904
487344,8,609.9239,121.70058
487345,8,378.5471,138.63559
487346,8,858.5158,156.36562
487347,8,556.19324,145.94193
487348,8,298.5432,164.83504
487349,8,610.2421,173.30186
487350,8,737.8641,163.70589
487351,8,491.17343,165.2594
487352,8,902.72406,179.47581
487353,8,778.5709,187.91156
