,Metadata_name,Metadata_cmpdname,Metadata_cmpd_conc,Metadata_conc_step,Metadata_PlateWell,grit,data_type,cell_line
17,dmso,dmso,0.1,1.0,B22_PB000137,-0.003406147234921539,MIP,HCT116
32,fenb,fenb,2.5,1.0,C19_PB000137,2.0311878655615834,MIP,HCT116
54,etop,etop,2.5,1.0,D23_PB000137,5.549371535248812,MIP,HCT116
66,dmso,dmso,0.1,1.0,E16_PB000137,0.02281076502008372,MIP,HCT116
78,dmso,dmso,0.1,1.0,F06_PB000137,-0.10145111510153475,MIP,HCT116
91,dmso,dmso,0.1,1.0,F20_PB000137,0.06083874490027294,MIP,HCT116
93,dmso,dmso,0.1,1.0,G02_PB000137,-0.10540932782879009,MIP,HCT116
101,dmso,dmso,0.1,1.0,G13_PB000137,-0.02723289794538502,MIP,HCT116
119,dmso,dmso,0.1,1.0,H10_PB000137,0.1440158576902163,MIP,HCT116
126,dmso,dmso,0.1,1.0,H17_PB000137,0.11169277301043565,MIP,HCT116
137,fenb,fenb,2.5,1.0,I06_PB000137,3.157408180150823,MIP,HCT116
151,dmso,dmso,0.1,1.0,I21_PB000137,0.04297182803683814,MIP,HCT116
178,dmso,dmso,0.1,1.0,K11_PB000137,0.00034976807120135935,MIP,HCT116
188,stau,stau,0.1,1.0,K22_PB000137,1.9274476690144065,MIP,HCT116
193,dmso,dmso,0.1,1.0,L07_PB000137,0.08462256047168516,MIP,HCT116
204,dmso,dmso,0.1,1.0,L18_PB000137,0.04041439012871963,MIP,HCT116
209,etop,etop,2.5,1.0,M02_PB000137,2.7850323487245614,MIP,HCT116
228,dmso,dmso,0.1,1.0,M23_PB000137,0.04576982579424718,MIP,HCT116
238,dmso,dmso,0.1,1.0,N15_PB000137,-0.13461106303959136,MIP,HCT116
263,abema,abemaciclib (LY2835219),3.0,3.0,B03_PB000139,4.465506698395158,MIP,HCT116
264,dmso,dmso,0.1,1.0,B04_PB000139,0.05000522240546212,MIP,HCT116
270,Binim,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",10.0,4.0,C03_PB000139,5.504010575590943,MIP,HCT116
272,Binim,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",1.0,2.0,C05_PB000139,6.1346178682327075,MIP,HCT116
276,dmso,dmso,0.1,1.0,C10_PB000139,-0.03275136759657717,MIP,HCT116
278,SN-38,SN-38,0.1,2.0,C12_PB000139,5.604413096393083,MIP,HCT116
281,SN-38,SN-38,0.03,1.0,D06_PB000139,5.574608553429263,MIP,HCT116
283,SN-38,SN-38,0.3,3.0,D08_PB000139,5.186797119093328,MIP,HCT116
284,abema,abemaciclib (LY2835219),10.0,4.0,D09_PB000139,4.035931211808689,MIP,HCT116
286,Binim,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",10.0,4.0,D11_PB000139,5.513858274235851,MIP,HCT116
293,SN-38,SN-38,0.1,2.0,E10_PB000139,5.419269677473503,MIP,HCT116
294,abema,abemaciclib (LY2835219),1.0,2.0,E11_PB000139,4.80095975624522,MIP,HCT116
