Metadata_pert_name,corr,Metadata_name,Metadata_conc_step,cell_line,kind
5Z-7-_1.0,0.7060362797420102,5Z-7-,1.0,HCT116,replicate
ABT-7_1.0,-0.08597789586451135,ABT-7,1.0,HCT116,replicate
AMG23_1.0,0.6277916104015653,AMG23,1.0,HCT116,replicate
AZD45_1.0,0.09850075924940122,AZD45,1.0,HCT116,replicate
AZD77_1.0,0.14591635396962999,AZD77,1.0,HCT116,replicate
AZD80_1.0,0.10952708218783364,AZD80,1.0,HCT116,replicate
Adavo_1.0,0.15822826605701057,Adavo,1.0,HCT116,replicate
Afati_1.0,0.034071688603360364,Afati,1.0,HCT116,replicate
Alpel_1.0,0.1624793552559326,Alpel,1.0,HCT116,replicate
BMS-7_1.0,0.0940184856579437,BMS-7,1.0,HCT116,replicate
Binim_1.0,0.7969295954795668,Binim,1.0,HCT116,replicate
Borte_1.0,-0.05809847965486199,Borte,1.0,HCT116,replicate
Cobim_1.0,0.5551033424942551,Cobim,1.0,HCT116,replicate
Crizo_1.0,-0.017201045535903445,Crizo,1.0,HCT116,replicate
Dabra_1.0,0.11800269673072084,Dabra,1.0,HCT116,replicate
Doram_1.0,0.02829792129576235,Doram,1.0,HCT116,replicate
Encor_1.0,0.006053876104608906,Encor,1.0,HCT116,replicate
Fluor_1.0,0.11159241387381419,Fluor,1.0,HCT116,replicate
Gefit_1.0,-0.014727552245323659,Gefit,1.0,HCT116,replicate
Gemci_1.0,0.32483755096463385,Gemci,1.0,HCT116,replicate
LGK-9_1.0,0.008604803171342853,LGK-9,1.0,HCT116,replicate
Linsi_1.0,-0.017840422928549884,Linsi,1.0,HCT116,replicate
MK-22_1.0,0.1362981669643947,MK-22,1.0,HCT116,replicate
Migli_1.0,0.0746489165855364,Migli,1.0,HCT116,replicate
Navit_1.0,0.10068784001739754,Navit,1.0,HCT116,replicate
Nutli_1.0,0.002291634482424979,Nutli,1.0,HCT116,replicate
Olapa_1.0,0.04135587623948167,Olapa,1.0,HCT116,replicate
Oxali_1.0,-0.056852115119439356,Oxali,1.0,HCT116,replicate
PD032_1.0,0.35546381968048985,PD032,1.0,HCT116,replicate
PI-10_1.0,0.05131652282216843,PI-10,1.0,HCT116,replicate
Pacli_1.0,0.22398130950382258,Pacli,1.0,HCT116,replicate
Palbo_1.0,0.30601065684172113,Palbo,1.0,HCT116,replicate
Phenf_1.0,-0.059004942277454925,Phenf,1.0,HCT116,replicate
Rabus_1.0,-0.03602630081826272,Rabus,1.0,HCT116,replicate
Regor_1.0,-0.063106390047945,Regor,1.0,HCT116,replicate
Ruxol_1.0,0.0027470978902199086,Ruxol,1.0,HCT116,replicate
SB216_1.0,0.03759665402157848,SB216,1.0,HCT116,replicate
SB505_1.0,0.023901871446045615,SB505,1.0,HCT116,replicate
SN-38_1.0,0.6804113418080437,SN-38,1.0,HCT116,replicate
Sapit_1.0,0.14038711524348987,Sapit,1.0,HCT116,replicate
Soraf_1.0,0.016192124221563797,Soraf,1.0,HCT116,replicate
Tanes_1.0,-0.023735751107485197,Tanes,1.0,HCT116,replicate
Tasel_1.0,0.3633124914673849,Tasel,1.0,HCT116,replicate
Temoz_1.0,-0.0013988192056047545,Temoz,1.0,HCT116,replicate
Trame_1.0,0.062253508375755016,Trame,1.0,HCT116,replicate
Trici_1.0,0.06996846060415073,Trici,1.0,HCT116,replicate
