Metadata_pert_name,corr,Metadata_name,Metadata_conc_step,cell_line,kind
5Z-7-_1.0,0.7790076256531491,5Z-7-,1.0,HCT116,replicate
ABT-7_1.0,0.32396218887599537,ABT-7,1.0,HCT116,replicate
AMG23_1.0,0.7398590262368048,AMG23,1.0,HCT116,replicate
AZD45_1.0,0.230994463348377,AZD45,1.0,HCT116,replicate
AZD77_1.0,-0.020063408586258352,AZD77,1.0,HCT116,replicate
AZD80_1.0,0.47946583948512966,AZD80,1.0,HCT116,replicate
Adavo_1.0,0.26767745832404644,Adavo,1.0,HCT116,replicate
Afati_1.0,0.5961549602858598,Afati,1.0,HCT116,replicate
Alpel_1.0,0.13614873917764894,Alpel,1.0,HCT116,replicate
BMS-7_1.0,0.5653692262185546,BMS-7,1.0,HCT116,replicate
Binim_1.0,0.6870080862604417,Binim,1.0,HCT116,replicate
Borte_1.0,-0.011790617008436794,Borte,1.0,HCT116,replicate
Cobim_1.0,0.4949331416364118,Cobim,1.0,HCT116,replicate
Crizo_1.0,-0.12225090540194875,Crizo,1.0,HCT116,replicate
Dabra_1.0,0.5210944190633449,Dabra,1.0,HCT116,replicate
Doram_1.0,0.21750033557860887,Doram,1.0,HCT116,replicate
Encor_1.0,0.1320292953839532,Encor,1.0,HCT116,replicate
Fluor_1.0,0.40957143596954887,Fluor,1.0,HCT116,replicate
Gefit_1.0,0.09560179332487342,Gefit,1.0,HCT116,replicate
Gemci_1.0,0.7690523018295266,Gemci,1.0,HCT116,replicate
LGK-9_1.0,0.09254477233788506,LGK-9,1.0,HCT116,replicate
Linsi_1.0,0.05052448755403149,Linsi,1.0,HCT116,replicate
MK-22_1.0,0.278983058315528,MK-22,1.0,HCT116,replicate
Migli_1.0,0.012441093473355973,Migli,1.0,HCT116,replicate
Navit_1.0,0.32304781750523015,Navit,1.0,HCT116,replicate
Nutli_1.0,0.28899876789563905,Nutli,1.0,HCT116,replicate
Olapa_1.0,0.23860249452038562,Olapa,1.0,HCT116,replicate
Oxali_1.0,-0.002029368350262399,Oxali,1.0,HCT116,replicate
PD032_1.0,0.6945074804973403,PD032,1.0,HCT116,replicate
PI-10_1.0,0.0323400931021581,PI-10,1.0,HCT116,replicate
Pacli_1.0,0.051813425663506905,Pacli,1.0,HCT116,replicate
Palbo_1.0,0.6531134730261445,Palbo,1.0,HCT116,replicate
Phenf_1.0,0.05650581638955805,Phenf,1.0,HCT116,replicate
Rabus_1.0,0.15479139307247533,Rabus,1.0,HCT116,replicate
Regor_1.0,0.198284943047166,Regor,1.0,HCT116,replicate
Ruxol_1.0,0.2966456582948512,Ruxol,1.0,HCT116,replicate
SB216_1.0,0.05879637200548944,SB216,1.0,HCT116,replicate
SB505_1.0,0.1871671476868518,SB505,1.0,HCT116,replicate
SN-38_1.0,0.7562608187348041,SN-38,1.0,HCT116,replicate
Sapit_1.0,0.20956415669154177,Sapit,1.0,HCT116,replicate
Soraf_1.0,0.00651365336745586,Soraf,1.0,HCT116,replicate
Tanes_1.0,0.11686165934980562,Tanes,1.0,HCT116,replicate
Tasel_1.0,0.6064868537666018,Tasel,1.0,HCT116,replicate
Temoz_1.0,-0.006825023440444959,Temoz,1.0,HCT116,replicate
Trame_1.0,0.024717249825595252,Trame,1.0,HCT116,replicate
Trici_1.0,0.14309051970435982,Trici,1.0,HCT116,replicate
Trifl_1.0,0.06843358047733156,Trifl,1.0,HCT116,replicate
Velip_1.0,-0.013333836184160505,Velip,1.0,HCT116,replicate
Vemur_1.0,0.051206364736877924,Vemur,1.0,HCT116,replicate
Vinor_1.0,0.20690507229466307,Vinor,1.0,HCT116,replicate
Vorin_1.0,0.5251805593762231,Vorin,1.0,HCT116,replicate
abema_1.0,0.6447830483107103,abema,1.0,HCT116,replicate
5Z-7-_2.0,0.6839294866405876,5Z-7-,2.0,HCT116,replicate
ABT-7_2.0,0.12652894789968727,ABT-7,2.0,HCT116,replicate
AMG23_2.0,0.8589384977815732,AMG23,2.0,HCT116,replicate
AZD45_2.0,0.29906357800392896,AZD45,2.0,HCT116,replicate
AZD77_2.0,0.42160969098472084,AZD77,2.0,HCT116,replicate
AZD80_2.0,0.5626204018961782,AZD80,2.0,HCT116,replicate
Adavo_2.0,0.5416750467964356,Adavo,2.0,HCT116,replicate
Afati_2.0,0.3117275588169282,Afati,2.0,HCT116,replicate
Alpel_2.0,0.3276456549115055,Alpel,2.0,HCT116,replicate
BMS-7_2.0,0.5563051382979085,BMS-7,2.0,HCT116,replicate
Binim_2.0,0.723407742454814,Binim,2.0,HCT116,replicate
Borte_2.0,0.6633718144577565,Borte,2.0,HCT116,replicate
Cobim_2.0,0.7714905499652899,Cobim,2.0,HCT116,replicate
Crizo_2.0,0.4056009785063054,Crizo,2.0,HCT116,replicate
Dabra_2.0,0.4376898028875449,Dabra,2.0,HCT116,replicate
Doram_2.0,0.3237962787615224,Doram,2.0,HCT116,replicate
Encor_2.0,0.30851486323111693,Encor,2.0,HCT116,replicate
Fluor_2.0,0.2687908467746799,Fluor,2.0,HCT116,replicate
Gefit_2.0,0.30331469793374355,Gefit,2.0,HCT116,replicate
Gemci_2.0,0.7018098066875227,Gemci,2.0,HCT116,replicate
LGK-9_2.0,0.3770655467591018,LGK-9,2.0,HCT116,replicate
Linsi_2.0,-0.09734817938717187,Linsi,2.0,HCT116,replicate
MK-22_2.0,0.2855515504918159,MK-22,2.0,HCT116,replicate
Migli_2.0,0.5006059348763819,Migli,2.0,HCT116,replicate
Navit_2.0,0.0355424688838446,Navit,2.0,HCT116,replicate
Nutli_2.0,0.19495638489436737,Nutli,2.0,HCT116,replicate
Olapa_2.0,0.06448893770068609,Olapa,2.0,HCT116,replicate
Oxali_2.0,0.7068670158157877,Oxali,2.0,HCT116,replicate
PD032_2.0,0.615468324230541,PD032,2.0,HCT116,replicate
