umap1,umap2,kmeans_cluster,pathway
23.523691,20.06843,5,MAPK
21.456707,7.209849,1,PI3K/Akt/mTOR
10.929062,5.2945943,3,Apoptosis
22.770296,15.679912,5,PI3K/Akt/mTOR
21.159489,18.67754,2,MAPK
15.355779,8.212842,3,DNA Damage
24.703089,17.839209,5,PI3K/Akt/mTOR
22.318314,19.878174,2,MAPK
22.187677,14.165193,5,Protein Tyrosine Kinase
19.3041,17.636276,6,Cell Cycle
7.024313,13.248541,4,Cytoskeletal Signaling
18.169012,15.805183,6,MAPK
17.05771,15.65306,6,Protein Tyrosine Kinase
12.703654,8.718522,3,Protein Tyrosine Kinase
16.290665,16.393042,6,Cytoskeletal Signaling
23.027454,20.593946,2,MAPK
9.968611,14.781398,4,Protein Tyrosine Kinase
24.039352,15.782169,5,PI3K/Akt/mTOR
13.864846,14.386672,6,Protein Tyrosine Kinase
25.184362,19.023947,5,PI3K/Akt/mTOR
11.912561,13.091048,4,Cytoskeletal Signaling
11.695628,9.661448,3,DNA Damage
14.19837,16.815498,6,Protein Tyrosine Kinase
22.08713,7.234645,1,PI3K/Akt/mTOR
13.787345,8.230226,3,DNA Damage
15.00192,16.580524,6,Cytoskeletal Signaling
17.638182,14.52509,6,Cytoskeletal Signaling
10.838462,17.108202,4,MAPK
19.592392,7.3310766,1,DNA Damage
22.323128,20.902124,2,Cytoskeletal Signaling
9.225842,17.923645,4,Cell Cycle
19.80956,14.241752,6,Cytoskeletal Signaling
8.669418,18.678183,4,Protein Tyrosine Kinase
22.580824,13.217547,1,DNA Damage
12.369132,16.958776,4,Cell Cycle
23.614748,18.245607,5,PI3K/Akt/mTOR
13.897992,9.236433,3,DNA Damage
23.739067,16.911325,5,Protein Tyrosine Kinase
13.093222,9.135039,3,DNA Damage
23.395555,16.211744,5,Cell Cycle
10.295154,15.527389,4,Protein Tyrosine Kinase
26.161608,12.601143,5,DNA Damage
19.55456,16.053473,6,Cytoskeletal Signaling
14.805767,9.170379,3,DNA Damage
20.96147,18.218647,2,Cell Cycle
9.986081,17.92442,4,Cytoskeletal Signaling
17.133963,17.773836,6,Protein Tyrosine Kinase
8.901191,16.381083,4,Cell Cycle
24.827232,15.6120205,5,PI3K/Akt/mTOR
16.904392,23.007217,0,PI3K/Akt/mTOR
22.923698,19.154821,5,MAPK
7.4270644,11.7451105,4,PI3K/Akt/mTOR
15.423839,17.58095,6,MAPK
18.783667,14.557601,6,Cytoskeletal Signaling
20.324522,19.846869,2,MAPK
24.495714,19.718443,5,MAPK
8.704266,17.63185,4,Protein Tyrosine Kinase
9.135492,15.491912,4,Protein Tyrosine Kinase
9.128411,17.078964,4,Protein Tyrosine Kinase
7.490288,14.73991,4,Protein Tyrosine Kinase
9.929588,15.390025,4,Protein Tyrosine Kinase
14.368739,15.090314,6,Cell Cycle
11.584001,10.843896,3,DNA Damage
26.452986,17.707237,5,PI3K/Akt/mTOR
9.750907,16.752083,4,Protein Tyrosine Kinase
15.5304985,19.624016,0,Protein Tyrosine Kinase
15.56559,14.744673,6,Cell Cycle
14.67759,8.683898,3,DNA Damage
27.59089,18.000973,5,Protein Tyrosine Kinase
8.125045,17.348244,4,Protein Tyrosine Kinase
11.802579,11.894836,4,Cytoskeletal Signaling
24.356384,18.83136,5,PI3K/Akt/mTOR
23.037783,17.459717,5,Cell Cycle
21.966644,12.210852,1,DNA Damage
14.833758,5.086592,3,Cell Cycle
25.201132,18.209288,5,PI3K/Akt/mTOR
24.307953,13.738438,5,MAPK
19.899069,22.893768,2,DNA Damage
17.238102,8.179469,1,Cell Cycle
16.150316,24.96889,0,MAPK
18.316736,21.758081,2,Cytoskeletal Signaling
19.621996,24.011307,2,MAPK
16.626509,8.380254,1,Cell Cycle
17.268892,24.663795,2,MAPK
11.693251,14.986207,4,DNA Damage
14.363577,11.369465,6,DNA Damage
22.498014,22.04075,2,Cytoskeletal Signaling
18.10406,23.866928,2,DNA Damage
12.781335,7.20854,3,Cell Cycle
12.19384,24.260532,0,MAPK
15.864871,24.193237,0,MAPK
8.796794,19.553844,4,MAPK
18.228289,25.450962,2,MAPK
11.179912,6.579064,3,Cell Cycle
18.588099,23.33174,2,DNA Damage
13.787832,3.1656213,3,Cell Cycle
8.652874,8.765355,3,Cell Cycle
10.330832,22.451025,0,PI3K/Akt/mTOR
27.931562,19.690456,5,PI3K/Akt/mTOR
26.379671,20.073538,5,PI3K/Akt/mTOR
23.843855,22.46879,2,MAPK
11.08854,22.550785,0,PI3K/Akt/mTOR
8.55249,10.718128,4,Cell Cycle
22.216661,24.318346,2,MAPK
7.44878,12.760561,4,Apoptosis
26.378899,18.93388,5,MAPK
19.689266,21.989565,2,Cytoskeletal Signaling
11.075321,23.32108,0,PI3K/Akt/mTOR
28.03572,18.869698,5,MAPK
24.750973,22.293577,2,MAPK
9.771432,20.757397,0,PI3K/Akt/mTOR
9.994951,11.160648,4,Apoptosis
28.612501,17.674122,5,Apoptosis
16.166151,4.4474177,3,Cytoskeletal Signaling
19.222301,24.850388,2,MAPK
12.554857,23.276453,0,MAPK
11.517268,14.206286,4,DNA Damage
10.613849,21.512112,0,PI3K/Akt/mTOR
12.875142,5.938495,3,Apoptosis
15.111509,24.835922,0,MAPK
10.327553,7.6512284,3,Cell Cycle
27.214954,18.963312,5,PI3K/Akt/mTOR
20.35406,24.7948,2,MAPK
18.595583,20.809637,2,DNA Damage
14.49777,24.007893,0,MAPK
14.405844,4.171765,3,Cell Cycle
21.257809,21.097067,2,DNA Damage
13.827377,23.697168,0,MAPK
19.66221,25.416489,2,MAPK
10.742149,13.067811,4,Cytoskeletal Signaling
20.338163,25.320395,2,PI3K/Akt/mTOR
18.929838,22.474669,2,Cytoskeletal Signaling
9.447875,9.712122,3,Cell Cycle
13.960064,3.8172858,3,Cell Cycle
26.119623,15.247601,5,MAPK
15.092528,4.1385274,3,Cell Cycle
22.718609,23.701607,2,MAPK
14.022129,6.813376,3,Apoptosis
13.388706,24.514349,0,PI3K/Akt/mTOR
12.419321,22.236523,0,MAPK
12.128597,7.0347238,3,Apoptosis
26.735367,20.616283,5,PI3K/Akt/mTOR
26.422234,16.044863,5,MAPK
10.151931,9.183259,3,Apoptosis
21.240137,23.906626,2,MAPK
22.504082,8.895636,1,MAPK
21.09267,6.434983,1,MAPK
15.876668,11.430863,6,DNA Damage
22.167349,8.705065,1,MAPK
20.3858,8.843928,1,Protein Tyrosine Kinase
18.741365,10.1043215,1,MAPK
20.220276,9.922131,1,Protein Tyrosine Kinase
22.712868,9.550018,1,MAPK
20.63473,9.433861,1,Protein Tyrosine Kinase
14.865166,7.4989667,3,DNA Damage
21.109238,9.729101,1,Cytoskeletal Signaling
17.096106,5.88594,1,DNA Damage
16.41971,22.0892,0,PI3K/Akt/mTOR
18.875525,6.22316,1,DNA Damage
23.102848,9.061412,1,Cytoskeletal Signaling
19.751303,6.399097,1,DNA Damage
22.733236,10.18432,1,MAPK
20.234608,10.843554,1,Cell Cycle
19.912743,12.095774,1,Cytoskeletal Signaling
9.587934,13.809444,4,Protein Tyrosine Kinase
21.489628,10.82862,1,MAPK
13.150324,17.909948,0,MAPK
23.597893,9.879095,1,MAPK
17.536545,11.99707,6,Protein Tyrosine Kinase
13.608233,12.640158,6,Protein Tyrosine Kinase
15.764534,7.107047,3,DNA Damage
27.706923,14.753616,5,Protein Tyrosine Kinase
18.815369,10.985019,1,Cell Cycle
18.701622,5.444301,1,DNA Damage
16.269726,20.655182,0,PI3K/Akt/mTOR
23.742807,10.980952,1,MAPK
17.61793,6.616903,1,Cell Cycle
25.650026,13.407238,5,PI3K/Akt/mTOR
21.142223,13.327816,1,MAPK
21.550663,19.912586,2,DNA Damage
21.023289,14.528422,6,MAPK
19.068205,19.338568,2,MAPK
10.335798,5.509173,3,Cell Cycle
13.431493,10.180441,3,Cytoskeletal Signaling
20.381657,18.604467,2,MAPK
8.302706,7.498229,3,Cell Cycle
12.963394,20.816751,0,MAPK
7.5910087,16.516182,4,DNA Damage
14.335265,10.438701,3,DNA Damage
17.05191,10.491671,1,Cytoskeletal Signaling
11.635646,20.662527,0,DNA Damage
20.603886,16.67298,6,MAPK
23.897264,21.396078,2,MAPK
20.863218,21.907324,2,Cytoskeletal Signaling
24.10918,20.486187,5,MAPK
7.958242,8.340314,3,Cell Cycle
9.085427,7.567472,3,Cell Cycle
12.741333,3.9225135,3,Cell Cycle
14.028534,21.2734,0,MAPK
