umap1,umap2,kmeans_cluster,pathway
14.52852,13.9884405,5,MAPK
-6.8242955,15.737092,1,DNA Damage
-4.3750215,9.140929,4,Apoptosis
-7.512772,15.517807,1,DNA Damage
16.590239,9.126847,5,MAPK
-2.8850806,12.146419,1,DNA Damage
21.93237,7.4150944,2,PI3K/Akt/mTOR
15.314899,12.458732,5,MAPK
12.420001,0.31708285,6,Cytoskeletal Signaling
16.474878,-1.1688474,6,Protein Tyrosine Kinase
22.726475,9.353373,2,Cell Cycle
2.996143,15.014303,3,Cell Cycle
14.051019,0.45643646,6,Protein Tyrosine Kinase
16.99515,8.494266,5,MAPK
14.291052,-0.7349431,6,Protein Tyrosine Kinase
-7.1961403,9.874494,4,Protein Tyrosine Kinase
10.719464,1.7220536,6,Cytoskeletal Signaling
-7.037684,7.6722994,4,DNA Damage
-5.203206,8.404991,4,Apoptosis
15.485356,13.244521,5,MAPK
-1.8771269,6.695009,4,Protein Tyrosine Kinase
-3.5231633,10.332256,4,Apoptosis
21.454634,8.53841,2,PI3K/Akt/mTOR
9.359583,8.582226,0,Protein Tyrosine Kinase
-1.8286405,9.432485,4,DNA Damage
20.79804,9.566151,2,PI3K/Akt/mTOR
0.761046,13.080453,3,Cytoskeletal Signaling
-4.8575892,11.5827465,1,DNA Damage
14.993173,2.0893588,6,Protein Tyrosine Kinase
5.6800237,18.30779,3,Cytoskeletal Signaling
-4.442799,13.127029,1,DNA Damage
-9.348042,9.241164,4,PI3K/Akt/mTOR
13.360366,9.358478,0,Cytoskeletal Signaling
-7.927276,14.139606,1,DNA Damage
19.428291,6.4842544,2,PI3K/Akt/mTOR
-8.47154,11.817742,1,DNA Damage
14.330095,11.531046,5,Cytoskeletal Signaling
1.1703345,13.716348,3,Protein Tyrosine Kinase
-4.476258,15.02601,1,DNA Damage
4.369641,17.862448,3,Cytoskeletal Signaling
15.280481,0.416871,6,Protein Tyrosine Kinase
-6.638971,12.358193,1,DNA Damage
10.508589,4.6931543,0,Cell Cycle
12.515847,13.771376,5,Cytoskeletal Signaling
22.163054,6.2781672,2,PI3K/Akt/mTOR
20.91047,6.476706,2,PI3K/Akt/mTOR
22.83204,3.6771128,2,Protein Tyrosine Kinase
-3.202173,13.153704,1,DNA Damage
11.672728,9.441425,0,PI3K/Akt/mTOR
-7.4371915,14.296931,1,DNA Damage
-4.653686,12.597702,1,DNA Damage
22.500666,8.635452,2,Cell Cycle
-1.2551423,6.953279,4,Protein Tyrosine Kinase
16.581997,12.3883095,5,Cytoskeletal Signaling
-2.881237,13.634058,1,DNA Damage
5.146768,17.757833,3,Cell Cycle
21.878782,5.378557,2,Protein Tyrosine Kinase
6.0188227,14.308797,3,Cytoskeletal Signaling
16.244566,1.1195955,6,Protein Tyrosine Kinase
15.476683,-0.07358325,6,Cell Cycle
12.136324,10.497493,0,PI3K/Akt/mTOR
9.506254,6.362001,0,Protein Tyrosine Kinase
14.291993,13.145006,5,MAPK
13.849623,7.061731,0,MAPK
1.915854,16.464033,3,Cytoskeletal Signaling
13.741536,12.266818,5,MAPK
15.763032,14.1073475,5,MAPK
