,Drug,yH2AX_foci_per_nucleus
0,Etoposide,16.089668615984404
1,Etoposide,17.116
2,Etoposide,15.986220472440944
3,Etoposide,20.48172757475083
4,Etoposide,12.805507745266782
5,Etoposide,9.663066954643629
6,Etoposide,7.157009345794393
7,Etoposide,19.534671532846716
20,Olaparib,4.637605042016807
19,Olaparib,1.9670975323149236
18,Olaparib,4.982843137254902
17,Olaparib,3.2857142857142856
16,Olaparib,5.743321718931475
15,Olaparib,5.025280898876405
13,Olaparib,4.6128318584070795
12,Olaparib,4.836734693877551
11,Olaparib,4.947151114781173
10,Olaparib,6.166666666666667
9,Olaparib,3.571597633136095
8,Olaparib,1.5859598853868195
14,Olaparib,5.022388059701493
29,5-FU,1.892753623188406
33,5-FU,1.2858880778588808
32,5-FU,1.8975770925110131
31,5-FU,0.3369098712446352
30,5-FU,2.859217877094972
28,5-FU,1.8854886475814412
23,5-FU,1.060063224446786
26,5-FU,1.076555023923445
25,5-FU,1.9833134684147795
24,5-FU,0.966728280961183
22,5-FU,2.46356783919598
21,5-FU,1.7445972495088409
27,5-FU,3.408366533864542
44,DMSO,0.6325581395348837
43,DMSO,1.271371769383698
42,DMSO,0.8693743139407245
41,DMSO,0.647673314339981
40,DMSO,0.4270428015564202
37,DMSO,1.672401927047488
38,DMSO,0.7203947368421053
36,DMSO,1.2816
35,DMSO,1.2954292084726868
34,DMSO,0.9717057396928052
45,DMSO,0.3107947805456702
39,DMSO,0.9772570640937285
46,DMSO,0.5853174603174603
