,Drug,n_nuclei
0,Etoposide,513
1,Etoposide,500
2,Etoposide,508
3,Etoposide,301
4,Etoposide,581
5,Etoposide,463
6,Etoposide,535
7,Etoposide,548
20,Olaparib,952
19,Olaparib,851
18,Olaparib,816
17,Olaparib,763
16,Olaparib,861
15,Olaparib,1068
13,Olaparib,904
12,Olaparib,882
11,Olaparib,1211
10,Olaparib,888
9,Olaparib,845
8,Olaparib,698
14,Olaparib,938
29,5-FU,690
33,5-FU,822
32,5-FU,908
31,5-FU,466
30,5-FU,895
28,5-FU,1013
23,5-FU,949
26,5-FU,1045
25,5-FU,839
24,5-FU,541
22,5-FU,796
21,5-FU,509
27,5-FU,1004
44,DMSO,860
43,DMSO,1006
42,DMSO,911
41,DMSO,1053
40,DMSO,1028
37,DMSO,1453
38,DMSO,1216
36,DMSO,1250
35,DMSO,897
34,DMSO,1237
45,DMSO,843
39,DMSO,1451
46,DMSO,1008
