,Drug,edu_fraction
0,Etoposide,0.0
1,Etoposide,0.0
2,Etoposide,0.0
3,Etoposide,0.0033222591362126247
4,Etoposide,0.0
5,Etoposide,0.0
6,Etoposide,0.0
7,Etoposide,0.0036496350364963502
20,Olaparib,0.15861344537815125
19,Olaparib,0.10928319623971798
18,Olaparib,0.1948529411764706
17,Olaparib,0.1402359108781127
16,Olaparib,0.1602787456445993
15,Olaparib,0.1947565543071161
13,Olaparib,0.2079646017699115
12,Olaparib,0.23696145124716553
11,Olaparib,0.18909991742361684
10,Olaparib,0.19144144144144143
9,Olaparib,0.16331360946745563
8,Olaparib,0.09312320916905444
14,Olaparib,0.15458422174840086
29,5-FU,0.09710144927536232
33,5-FU,0.07785888077858881
32,5-FU,0.034140969162995596
31,5-FU,0.055793991416309016
30,5-FU,0.1452513966480447
28,5-FU,0.07502467917077986
23,5-FU,0.04952581664910432
26,5-FU,0.07655502392344497
25,5-FU,0.14183551847437426
24,5-FU,0.059149722735674676
22,5-FU,0.1658291457286432
21,5-FU,0.04518664047151277
27,5-FU,0.14840637450199204
44,DMSO,0.30930232558139537
43,DMSO,0.3518886679920477
42,DMSO,0.34796926454445665
41,DMSO,0.3922127255460589
40,DMSO,0.21498054474708173
37,DMSO,0.4060564349621473
38,DMSO,0.3363486842105263
36,DMSO,0.2976
35,DMSO,0.4693422519509476
34,DMSO,0.3597413096200485
45,DMSO,0.29537366548042704
39,DMSO,0.36250861474844936
46,DMSO,0.314484126984127
