TERM,NES_Ola,FDR_Ola,NES_5FU,FDR_5FU,status
P53 Pathway,2.8274655642731967,0.001,2.9906832080824763,0.001,both
G2M Checkpoint,-2.452716971716612,0.001,-2.966626013786196,0.001,both
Mitotic Spindle,-2.138504069811261,0.001,-2.230059298083564,0.001,both
Oxidative Phosphorylation,2.0846205081635056,0.001,1.5631941624552383,0.0163334,both
E2F Targets,-2.0747081641418714,0.001,-3.1415094619897896,0.001,both
Apoptosis,1.8645646209455085,0.00234913,1.8734437432714783,0.001,both
Apical Junction,-1.5385188699836665,0.0533988,1.4586717710102788,0.0279894,both
DNA Repair,1.508463480426064,0.0709142,-1.107352661691759,0.359729,ola
Estrogen Response Early,1.4813206958796692,0.0694167,1.7063144197187057,0.00436634,both
IL6 JAK STAT3 Signaling,-1.468147364278689,0.0777531,-0.7426578482635007,0.997518,ola
Allograft Rejection,-1.4625385590148612,0.067808,-1.0251920676240134,0.537021,ola
UV Response DN,-1.4525518244712965,0.0628031,1.447818509226643,0.029005,both
Hedgehog Signaling,-1.4410949710544232,0.0613097,0.7345932807929443,0.966471,ola
MYC Targets V1,-1.3341435145820129,0.13863,-1.6766819045393084,0.00716716,fu
Glycolysis,1.3340545553831238,0.20966,1.1519565171042248,0.225303,ns
Adipogenesis,1.315978396645682,0.207268,1.2231987258338155,0.138957,ns
Coagulation,1.310113832977979,0.188738,1.780086432167296,0.00436634,fu
TGF Beta Signaling,-1.308526211477568,0.150986,1.1330906399000495,0.248119,ns
TNFA Signaling VIA NFKB,1.3081554714193304,0.170214,1.9798256685958164,0.001,fu
Heme Metabolism,-1.287293844138627,0.162842,1.3544863198107615,0.062002,fu
Unfolded Protein Response,-1.2861492493561069,0.150873,-1.2947843127799057,0.184207,ns
KRAS Signaling UP,1.2022958761334572,0.322594,1.5557235442764037,0.0154277,fu
KRAS Signaling DN,1.2019741929048702,0.293587,0.9429058156299124,0.671689,ns
Angiogenesis,-1.1991825206412432,0.270884,1.4885489658926991,0.0248749,fu
Complement,-1.1964360199364443,0.256137,0.8637990704919162,0.829941,ns
MTORC1 Signaling,-1.1859963270246563,0.257294,-1.6245719366994589,0.00926368,fu
Cholesterol Homeostasis,-1.1599977707062137,0.293764,-1.4126812286635544,0.0722985,fu
Androgen Response,-1.1494087004189042,0.297424,-1.1835245339979528,0.268065,ns
Estrogen Response Late,1.148699036745371,0.378723,-1.2784591800476324,0.170549,ns
Interferon Alpha Response,-1.1459928490093556,0.287744,-0.765812635543933,1.0,ns
Hypoxia,1.139357720692208,0.369649,1.778894966233531,0.00349307,fu
IL2 STAT5 Signaling,-1.1120976931773794,0.340646,1.2639356124077394,0.107946,ns
Bile Acid Metabolism,-1.1008390843518188,0.346329,-1.1136997312699284,0.369962,ns
Inflammatory Response,-1.096580219895955,0.338663,1.3373262008603246,0.0627555,fu
Reactive Oxygen Species Pathway,1.0955690135913505,0.445306,1.4608139660254955,0.0297154,fu
Epithelial Mesenchymal Transition,1.0801417510387907,0.453734,1.7244981747712425,0.00460892,fu
Interferon Gamma Response,-1.0781700715841862,0.360153,-0.8727646860573303,0.906865,ns
Xenobiotic Metabolism,1.062011712414794,0.470247,1.3377456234846152,0.0664048,fu
Peroxisome,1.0542115418255196,0.46093,-1.1493949146303593,0.314425,ns
Myogenesis,1.0246069248773353,0.509222,1.7170259770217473,0.00478218,fu
Spermatogenesis,-0.9964919366990344,0.537796,-1.9650789946397789,0.001,fu
UV Response UP,0.9511731659319352,0.673674,-1.2701413976542129,0.164552,ns
PI3K AKT MTOR Signaling,0.9242706182084512,0.713723,-0.9020146537243228,0.872167,ns
Fatty Acid Metabolism,0.8770491018363284,0.800297,-1.284089300375241,0.17991,ns
MYC Targets V2,-0.8584456558030249,0.889509,-1.233320267196795,0.20307,ns
Pancreas Beta Cells,-0.8069722699271532,0.954284,-0.5659335606745738,0.99841,ns
Apical Surface,0.7982233245838819,0.923447,-0.8093113335248915,1.0,ns
Protein Secretion,-0.7808785561134068,0.952354,0.9398633182533084,0.654253,ns
WNT Beta Catenin Signaling,-0.7602421797482631,0.937717,0.9562223004593003,0.659001,ns
Notch Signaling,0.5462832769607479,0.997319,1.0743997271671586,0.353012,ns
