panel,gene,lfc_ola,fdr_ola,lfc_fu,fdr_fu
p53 pathway (HALLMARK),CDKN1A,1.34644,0.0252437,3.49436,8.34875e-07
p53 pathway (HALLMARK),MDM2,0.732626,0.467455,2.62373,2.41356e-05
p53 pathway (HALLMARK),RPS27L,1.06031,0.101045,2.30634,4.12304e-05
p53 pathway (HALLMARK),FAS,0.863479,0.165606,2.26963,6.07372e-06
p53 pathway (HALLMARK),PHLDA3,0.858131,0.0754975,2.18884,6.07372e-06
p53 pathway (HALLMARK),PLK2,0.552575,0.717089,2.10735,4.80282e-05
p53 pathway (HALLMARK),BTG2,0.822653,0.336813,2.08164,6.3474e-05
p53 pathway (HALLMARK),SERPINB5,0.73805,0.717089,1.97958,6.3474e-05
p53 pathway (HALLMARK),ZMAT3,0.283348,0.730337,1.95696,0.000219314
p53 pathway (HALLMARK),CYFIP2,0.527823,0.717089,1.86882,0.000115638
p53 pathway (HALLMARK),SESN1,1.00911,0.0583971,1.8571,3.3252e-05
p53 pathway (HALLMARK),RRAD,0.0589885,0.964019,1.72176,0.00245937
p53 pathway (HALLMARK),DGKA,0.943573,0.379211,1.60647,0.000261468
p53 pathway (HALLMARK),PLK3,0.787981,0.623264,1.56662,0.000528047
p53 pathway (HALLMARK),TXNIP,-1.12693,0.717089,-1.46425,0.0545114
E2F targets (HALLMARK),CDKN1A,1.34644,0.0252437,3.49436,8.34875e-07
E2F targets (HALLMARK),BRCA2,-1.10714,0.717089,-2.79358,0.0020532
E2F targets (HALLMARK),BARD1,-0.406493,0.717089,-2.21557,6.06184e-05
E2F targets (HALLMARK),BRCA1,-0.727226,0.717089,-2.20437,0.000911678
E2F targets (HALLMARK),PLK4,-0.0360953,0.958881,-2.10528,0.000219314
E2F targets (HALLMARK),ASF1B,0.0529466,0.916448,-1.92335,0.000528047
E2F targets (HALLMARK),HMMR,0.00614472,0.991357,-1.89362,0.000821983
E2F targets (HALLMARK),CENPE,-0.630584,0.717089,-1.89088,0.000275573
E2F targets (HALLMARK),SPC24,-0.532666,0.717089,-1.85057,0.00397274
E2F targets (HALLMARK),KIF18B,-0.226446,0.735722,-1.84935,0.000537582
E2F targets (HALLMARK),HELLS,-0.407129,0.717089,-1.83664,0.000219314
E2F targets (HALLMARK),DEPDC1,-0.0917143,0.856457,-1.81501,0.000161023
E2F targets (HALLMARK),RAD51AP1,-0.609218,0.717089,-1.80688,0.0016632
E2F targets (HALLMARK),ATAD2,-0.273769,0.717089,-1.75463,0.000162644
E2F targets (HALLMARK),POLD3,-0.356702,0.717089,-1.73076,0.00115633
p53 apoptosis (REACTOME),TP53I3,1.06463,0.0754975,2.43839,6.07372e-06
p53 apoptosis (REACTOME),TP53INP1,0.81952,0.0905988,2.38221,6.07372e-06
p53 apoptosis (REACTOME),FAS,0.863479,0.165606,2.26963,6.07372e-06
p53 apoptosis (REACTOME),TNFRSF10B,0.695021,0.717089,1.50744,0.000857176
p53 apoptosis (REACTOME),TNFRSF10D,0.377145,0.717089,1.43575,0.000141714
p53 apoptosis (REACTOME),BIRC5,-0.0514318,0.934697,-1.31566,0.00384638
p53 apoptosis (REACTOME),TRIAP1,0.488507,0.717089,1.29792,0.000467423
p53 apoptosis (REACTOME),TP73,-0.240563,0.728919,-1.25664,0.00119675
p53 apoptosis (REACTOME),BAX,0.532689,0.572862,1.22766,0.000162644
p53 apoptosis (REACTOME),BBC3,0.583155,0.194769,1.13285,0.000282398
p53 apoptosis (REACTOME),PMAIP1,0.206109,0.730337,1.12357,0.00116668
p53 apoptosis (REACTOME),NDRG1,0.321209,0.717089,1.01884,0.000821983
p53 apoptosis (REACTOME),CASP2,-0.26579,0.717089,-0.882257,0.00189908
p53 apoptosis (REACTOME),PIDD1,0.474456,0.717089,0.85873,0.00425967
p53 apoptosis (REACTOME),CASP6,-0.0750323,0.882385,-0.724089,0.0509703
