,5-FU,AMG-232,Nutlin-3,SN-38,Abemaciclib,Trifluridine,Gemcitabine,Paclitaxel,BMS-754807,Bortezomib,Crizotinib,cell_line
5-FU,1.0,0.783,0.71,0.765,0.672,0.66,0.637,0.674,0.685,0.657,0.626,HCT116
AMG-232,0.783,1.0,0.878,0.867,0.748,0.773,0.738,0.576,0.659,0.769,0.59,HCT116
Nutlin-3,0.71,0.878,1.0,0.816,0.775,0.847,0.803,0.584,0.615,0.714,0.603,HCT116
SN-38,0.765,0.867,0.816,1.0,0.709,0.828,0.819,0.702,0.728,0.775,0.648,HCT116
Abemaciclib,0.672,0.748,0.775,0.709,1.0,0.705,0.772,0.638,0.641,0.575,0.741,HCT116
Trifluridine,0.66,0.773,0.847,0.828,0.705,1.0,0.854,0.683,0.66,0.821,0.622,HCT116
Gemcitabine,0.637,0.738,0.803,0.819,0.772,0.854,1.0,0.711,0.738,0.654,0.786,HCT116
Paclitaxel,0.674,0.576,0.584,0.702,0.638,0.683,0.711,1.0,0.788,0.621,0.684,HCT116
BMS-754807,0.685,0.659,0.615,0.728,0.641,0.66,0.738,0.788,1.0,0.646,0.743,HCT116
Bortezomib,0.657,0.769,0.714,0.775,0.575,0.821,0.654,0.621,0.646,1.0,0.481,HCT116
Crizotinib,0.626,0.59,0.603,0.648,0.741,0.622,0.786,0.684,0.743,0.481,1.0,HCT116
5-FU,1.0,0.045,0.376,0.39,0.457,0.52,0.303,0.429,0.411,0.58,0.535,HT29
AMG-232,0.045,1.0,-0.012,0.318,0.083,0.049,0.154,0.351,0.066,0.359,-0.08,HT29
Nutlin-3,0.376,-0.012,1.0,0.192,0.235,0.308,0.288,0.248,0.111,0.349,0.292,HT29
SN-38,0.39,0.318,0.192,1.0,0.649,0.668,0.821,0.629,0.268,0.705,0.493,HT29
Abemaciclib,0.457,0.083,0.235,0.649,1.0,0.663,0.765,0.356,-0.066,0.551,0.34,HT29
Trifluridine,0.52,0.049,0.308,0.668,0.663,1.0,0.759,0.286,0.165,0.591,0.596,HT29
Gemcitabine,0.303,0.154,0.288,0.821,0.765,0.759,1.0,0.456,0.071,0.62,0.421,HT29
Paclitaxel,0.429,0.351,0.248,0.629,0.356,0.286,0.456,1.0,0.518,0.656,0.381,HT29
BMS-754807,0.411,0.066,0.111,0.268,-0.066,0.165,0.071,0.518,1.0,0.391,0.403,HT29
Bortezomib,0.58,0.359,0.349,0.705,0.551,0.591,0.62,0.656,0.391,1.0,0.365,HT29
Crizotinib,0.535,-0.08,0.292,0.493,0.34,0.596,0.421,0.381,0.403,0.365,1.0,HT29
