,Metadata_Site,Location_Center_X_cells,Location_Center_Y_cells
7555,0,595.3217,343.9205
7556,0,479.5426,350.0206
7557,0,392.38596,374.5427
7558,0,579.7081,412.7398
7559,0,499.2351,424.51117
7560,0,640.8522,436.11002
7561,0,363.16306,443.58008
7562,0,400.0237,448.9074
7563,0,542.31934,481.13153
7564,0,455.8442,484.86325
7565,0,386.19748,525.8694
7566,0,561.2851,544.6208
7567,0,451.0911,539.2877
7568,0,513.27026,576.24286
7569,0,456.83865,594.89105
7570,0,380.16785,641.7972
7571,0,462.82373,636.7067
23186,1,628.50195,267.75272
23187,1,430.2987,275.4097
23188,1,483.1034,327.6855
23189,1,587.52014,314.5309
23190,1,400.48547,319.30603
23191,1,326.46503,345.05063
23192,1,383.51334,376.1828
23193,1,595.37286,372.09467
23194,1,673.37354,368.79956
23195,1,505.88763,423.6644
23196,1,287.52917,405.30093
23197,1,439.574,402.7157
23198,1,337.03363,439.1861
23199,1,701.5969,423.13986
23200,1,575.9221,427.64246
23201,1,641.94714,439.57043
23202,1,395.52225,449.92905
23203,1,443.7295,473.76852
23204,1,534.3784,491.08954
23205,1,611.86035,496.82303
23206,1,307.8808,511.03625
23207,1,381.48337,526.2042
23208,1,250.25876,538.44135
23209,1,493.29776,543.34375
23210,1,566.8338,551.3857
23211,1,610.4866,587.8445
23212,1,337.10254,589.9412
23213,1,440.62918,584.2607
23214,1,535.1,610.2588
23215,1,377.88174,646.4302
23216,1,463.4832,641.69226
46474,2,531.3956,197.93695
46475,2,589.4559,233.96175
46476,2,631.2905,258.2352
46477,2,430.89865,267.1801
46478,2,646.8281,302.56506
46479,2,359.76163,287.15924
46480,2,570.53644,295.5249
46481,2,489.27075,297.3573
46482,2,402.85867,326.23984
46483,2,678.93945,328.63348
46484,2,324.44342,345.29254
46485,2,556.5027,355.13846
46486,2,484.34976,360.8923
46487,2,375.31454,373.7038
46488,2,609.9197,375.54388
46489,2,665.5513,380.15268
46490,2,281.85352,400.7405
46491,2,426.66046,403.83255
46492,2,691.4098,426.7393
46493,2,349.04364,416.5043
46494,2,585.89246,426.21606
46495,2,502.6735,430.24796
46496,2,250.61519,459.95007
46497,2,424.18784,466.90488
46498,2,332.78296,464.73343
46499,2,615.5875,497.46875
46500,2,535.83685,496.104
46501,2,679.3447,490.71997
46502,2,471.35257,503.43732
46503,2,366.166,515.3783
46504,2,250.81786,536.4133
46505,2,445.47498,571.17114
46506,2,573.92633,541.11017
46507,2,502.6178,550.4925
46508,2,609.4897,582.8674
46509,2,361.3745,575.318
46510,2,541.23773,606.27264
46511,2,333.75085,616.5211
46512,2,405.82388,620.1613
46513,2,461.50937,654.991
46514,2,389.92084,670.0438
46515,2,324.9045,678.9324
46516,2,496.41766,706.95807
46517,2,426.86243,706.8406
77031,3,540.7559,155.17691
77032,3,596.875,190.18564
77033,3,527.9663,208.27296
77034,3,432.90222,224.86887
77035,3,629.7888,244.63127
77036,3,539.3282,255.53883
77037,3,485.36697,276.24603
77038,3,348.9067,282.45148
77039,3,419.45465,272.03528
77040,3,576.61115,291.49835
77041,3,636.8036,302.04282
77042,3,692.72974,332.13474
77043,3,540.0142,322.63278
77044,3,410.2888,321.3168
77045,3,326.39508,348.8184
77046,3,284.74054,344.20978
77047,3,476.9715,360.38416
77048,3,387.2073,362.75647
77049,3,610.35065,374.34152
77050,3,233.25711,377.98386
77051,3,681.11774,408.1749
77052,3,296.15442,419.8416
77053,3,558.4559,406.0617
77054,3,349.1824,415.41904
77055,3,410.4081,408.6018
77056,3,503.06668,417.54947
77057,3,448.83218,449.46863
77058,3,232.26744,440.0804
77059,3,607.39136,487.31866
77060,3,689.1214,488.25122
77061,3,511.44345,467.22867
77062,3,335.97452,478.80823
77063,3,254.06944,487.58994
77064,3,468.33136,500.63077
77065,3,547.92474,528.7874
77066,3,376.11597,519.71606
77067,3,296.09854,533.94507
77068,3,227.16211,533.72766
77069,3,430.35474,563.4809
77070,3,492.91287,551.08435
77071,3,629.2669,574.6303
77072,3,711.4039,553.3188
77073,3,355.42084,577.11676
77074,3,560.5125,592.3215
77075,3,265.9779,588.94305
77076,3,699.04205,602.4293
77077,3,219.23001,595.91266
77078,3,476.9976,585.0597
77079,3,310.74463,614.4969
77080,3,410.00592,633.95154
77081,3,501.08038,631.0159
77082,3,368.0636,631.35925
77083,3,652.08636,641.2501
77084,3,460.61368,658.13837
77085,3,606.6722,666.8596
