,cmpd_code,cmpdname,z,channel,mean_laplacian_var,std_laplacian_var,mean_normalized_var,std_normalized_var,n_wells
0,colo-040,SN-38,0,CONC,2650.7547560471753,784.7894371273845,81.38894263376366,30.043088143743855,26
5,colo-040,SN-38,1,CONC,2886.5499643179087,903.2594729431753,104.79463406036415,41.973989832070366,26
10,colo-040,SN-38,2,CONC,3125.5620774489184,1000.8235338339865,127.5996921697468,51.64188685863085,26
15,colo-040,SN-38,3,CONC,3335.8997427133413,1087.4362109872134,143.0893703025507,56.50129179246823,26
20,colo-040,SN-38,4,CONC,3479.705622746394,1138.8808234071996,149.48075978240368,55.215065802811516,26
25,colo-040,SN-38,5,CONC,3575.8385479266826,1165.4594715479277,150.70368646278052,52.56524801653631,26
30,colo-040,SN-38,6,CONC,3635.8373741736777,1171.1183022228026,148.9516124776713,49.42143048681962,26
35,colo-040,SN-38,7,CONC,3679.1295072115386,1172.8891938904164,145.37026716483496,45.96857847766335,26
40,colo-040,SN-38,8,CONC,3705.2858041616587,1171.8327979492826,141.4396449842118,43.435574250895414,26
45,colo-040,SN-38,9,CONC,3719.823768028846,1168.6102968331186,136.67509511038637,40.813134486568785,26
50,colo-040,SN-38,10,CONC,3728.421612079327,1161.8391089292556,131.70734515067414,38.70731418312371,26
55,colo-040,SN-38,11,CONC,3740.5274470402646,1158.435925372519,126.6460596033446,37.098714842104485,26
60,colo-040,SN-38,12,CONC,3760.290508563702,1159.623175478058,121.67522425319588,35.71364041005405,26
65,colo-040,SN-38,13,CONC,3784.418701171875,1157.5605810605468,116.63362338934664,34.308742349437416,26
70,colo-040,SN-38,14,CONC,3814.787635216346,1163.0676484242538,111.57892482518754,32.929375273075486,26
75,colo-040,SN-38,15,CONC,3858.0045729417066,1170.0787067508245,106.50882998425193,31.627736831420158,26
1,colo-040,SN-38,0,HOECHST,1497.461153470553,346.5569445014556,43.71751694734404,19.172495919321968,26
6,colo-040,SN-38,1,HOECHST,1628.271263709435,403.50112043223845,58.30805337187417,26.751819556341946,26
11,colo-040,SN-38,2,HOECHST,1777.3775611290564,464.64393436962126,75.0380267572058,36.31128856664507,26
16,colo-040,SN-38,3,HOECHST,1911.6047832782451,512.7788105057701,85.89727586923324,39.8308955416285,26
21,colo-040,SN-38,4,HOECHST,2001.6016235351562,542.0286570901807,90.64887567240157,40.054408217907785,26
26,colo-040,SN-38,5,HOECHST,2063.410376915565,567.625423646379,90.98787940825673,38.91898192018923,26
31,colo-040,SN-38,6,HOECHST,2101.272160456731,583.1767838709002,89.24145966615866,37.40492275666194,26
36,colo-040,SN-38,7,HOECHST,2127.4932626577524,599.6759004317679,86.2369139558129,35.13602014651433,26
41,colo-040,SN-38,8,HOECHST,2144.877164400541,604.206382417328,82.81882395438525,32.76018889852698,26
46,colo-040,SN-38,9,HOECHST,2146.13434776893,597.7297516477939,78.673392580537,29.882518527038012,26
51,colo-040,SN-38,10,HOECHST,2146.819575383113,591.3101442993515,74.76216186310677,27.802818036340533,26
56,colo-040,SN-38,11,HOECHST,2152.6233802208535,589.3691568109277,71.18738706690314,26.36087154619054,26
61,colo-040,SN-38,12,HOECHST,2161.6700580303486,590.1504506587173,67.79550946503164,24.966313301522057,26
66,colo-040,SN-38,13,HOECHST,2176.100332406851,585.8883908032067,64.52480775205055,23.679589050920907,26
71,colo-040,SN-38,14,HOECHST,2192.0179725060098,585.7530085736825,61.3260066554304,22.391765460631234,26
76,colo-040,SN-38,15,HOECHST,2218.212411733774,590.1834213851182,58.13036365745968,21.05804781534652,26
2,colo-040,SN-38,0,MITO,42272.00525841346,10404.672668172361,3391.765209400372,558.5514282705792,26
7,colo-040,SN-38,1,MITO,44347.82797475962,11028.461084334136,3913.1775589410254,619.4018434501927,26
12,colo-040,SN-38,2,MITO,47373.79221754808,11761.985218065767,4415.489621963376,684.0461901119079,26
17,colo-040,SN-38,3,MITO,49881.385216346156,12349.568414879195,4733.479846481079,719.9001383065724,26
22,colo-040,SN-38,4,MITO,51753.795823317305,12892.120333138117,4885.892924400318,711.2325506479865,26
27,colo-040,SN-38,5,MITO,53116.432542067305,13182.739979797701,4931.304976236674,674.5159391090432,26
