barcode,well,plane,depth_um,seg_type,cell_line,treatment,binary_iou,instance_iou,n_objects,depth_bin
PB000141,M23,1,5,cell,HT29,DMSO,0.7457395188625086,,29,0-20µm
PB000140,G08,9,45,nuclei,HCT116,abemaciclib,0.47598045512719867,,100,40-60µm
PB000141,M23,1,5,nuclei,HT29,DMSO,0.7319771191430895,,31,0-20µm
PB000140,J04,7,35,cell,HCT116,abemaciclib,0.5450870816460923,,41,20-40µm
PB000139,D11,7,35,nuclei,HCT116,binimetinib,0.35918373719710217,,17,20-40µm
PB000137,D12,3,15,nuclei,HCT116,DMSO,0.818625274924837,,142,0-20µm
PB000140,G05,3,15,nuclei,HCT116,binimetinib,0.46617412719107637,,26,0-20µm
PB000137,F06,3,15,cell,HCT116,DMSO,0.7154270431465033,,67,0-20µm
PB000139,C12,1,5,nuclei,HT29,SN-38,0.6144847294159671,,27,0-20µm
PB000140,H23,7,35,nuclei,HT29,DMSO,0.7236725748779269,,151,20-40µm
PB000139,D11,1,5,cell,HCT116,binimetinib,0.49048794077847646,,10,0-20µm
PB000140,D22,3,15,nuclei,HT29,binimetinib,0.26897567023090035,,33,0-20µm
PB000137,D12,11,55,nuclei,HCT116,DMSO,0.5699723996801458,,260,40-60µm
PB000140,G05,11,55,nuclei,HCT116,binimetinib,0.17844959152527157,,14,40-60µm
PB000137,F06,11,55,cell,HCT116,DMSO,0.27496377312024045,,51,40-60µm
PB000141,M23,9,45,nuclei,HT29,DMSO,0.5490320173256461,,97,40-60µm
PB000140,C23,9,45,cell,HCT116,SN-38,0.25337600037856156,,22,40-60µm
PB000141,G02,3,15,nuclei,HT29,DMSO,0.709546720688782,,70,0-20µm
PB000140,I13,1,5,cell,HT29,binimetinib,0.4269509628128167,,28,0-20µm
PB000140,D22,11,55,nuclei,HT29,binimetinib,0.08360950667550421,,10,40-60µm
PB000139,J15,1,5,cell,HT29,abemaciclib,0.6516493621837445,,16,0-20µm
PB000141,G02,1,5,cell,HT29,DMSO,0.7438011652776754,,42,0-20µm
PB000141,G02,11,55,nuclei,HT29,DMSO,0.3175058340506032,,45,40-60µm
PB000137,D12,9,45,nuclei,HCT116,DMSO,0.6386908988006054,,248,40-60µm
PB000140,G05,9,45,nuclei,HCT116,binimetinib,0.43575693712680014,,20,40-60µm
PB000137,F06,9,45,cell,HCT116,DMSO,0.46490108487555837,,95,40-60µm
PB000139,D06,7,35,nuclei,HT29,SN-38,0.3576568922650208,,31,20-40µm
PB000139,J15,9,45,cell,HT29,abemaciclib,0.3429593955195056,,17,40-60µm
PB000140,D22,9,45,nuclei,HT29,binimetinib,0.1687912087912088,,14,40-60µm
PB000141,M23,5,25,nuclei,HT29,DMSO,0.67430539725958,,80,20-40µm
PB000139,C03,7,35,cell,HCT116,binimetinib,0.27971095768251314,,24,20-40µm
PB000141,G02,9,45,nuclei,HT29,DMSO,0.5540560200597342,,83,40-60µm
PB000139,C12,5,25,nuclei,HT29,SN-38,0.5173621286924112,,58,20-40µm
PB000140,C23,3,15,nuclei,HCT116,SN-38,0.5503259180217588,,25,0-20µm
PB000140,G08,3,15,cell,HCT116,abemaciclib,0.6609088005653672,,25,0-20µm
PB000139,C23,7,35,nuclei,HCT116,SN-38,0.3228914394019164,,28,20-40µm
PB000140,G05,5,25,nuclei,HCT116,binimetinib,0.34257253660877574,,25,20-40µm
PB000140,I13,5,25,cell,HT29,binimetinib,0.3403409763359682,,63,20-40µm
PB000140,C23,11,55,nuclei,HCT116,SN-38,0.30828595717549545,,16,40-60µm
PB000140,J17,7,35,cell,HT29,SN-38,0.6323490210440038,,67,20-40µm
PB000139,J15,3,15,nuclei,HT29,abemaciclib,0.8038248358819136,,51,0-20µm
PB000140,B14,11,55,cell,HT29,abemaciclib,0.26683242898962556,,16,40-60µm
PB000139,J15,5,25,cell,HT29,abemaciclib,0.652597197926024,,45,20-40µm
PB000140,G08,11,55,cell,HCT116,abemaciclib,0.35658297731218663,,34,40-60µm
PB000139,C12,3,15,cell,HT29,SN-38,0.6733738022972088,,27,0-20µm
PB000140,J04,7,35,nuclei,HCT116,abemaciclib,0.4876128595061089,,53,20-40µm
PB000137,F06,3,15,nuclei,HCT116,DMSO,0.704418473999716,,93,0-20µm
PB000141,G02,5,25,cell,HT29,DMSO,0.5635700154117307,,72,20-40µm
PB000139,J15,11,55,nuclei,HT29,abemaciclib,0.2889626352015733,,13,40-60µm
