case,kind,compound,r
section1_z2,replicate,5Z-7-OXOZEAENOL,0.6462727365696598
section1_z2,replicate,ABT-737,0.1149272493626107
section1_z2,replicate,AMG232 (Navtemadlin),0.5522408889213285
section1_z2,replicate,AZD4547,0.30307826237343016
section1_z2,replicate,AZD7762,
section1_z2,replicate,AZD8055,0.4119549358654755
section1_z2,replicate,Adavosertib （MK-1775）,0.5812582200523664
section1_z2,replicate,Afatinib (BIBW2992),0.4733167161877934
section1_z2,replicate,Alpelisib (BYL719),0.1473830919570795
section1_z2,replicate,BMS-754807,0.4320801186209661
section1_z2,replicate,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",0.34538145532192666
section1_z2,replicate,Bortezomib (PS-341),0.5145826875905328
section1_z2,replicate,"Cobimetinib (GDC-0973, RG7420)",0.5612571281185328
section1_z2,replicate,Crizotinib (PF-02341066),0.7161987953639507
section1_z2,replicate,Dabrafenib (GSK2118436),0.13771079792452795
section1_z2,replicate,Doramapimod (BIRB 796),0.16203954585142114
section1_z2,replicate,Encorafenib (LGX818),0.30408314782966417
section1_z2,replicate,"Fluorouracil (5-Fluoracil, 5-FU)",0.31264918795674584
section1_z2,replicate,Gefitinib (ZD1839),0.22175861498404864
section1_z2,replicate,Gemcitabine,0.5254987079148626
section1_z2,replicate,LGK-974,-0.011038740582813376
section1_z2,replicate,Linsitinib (OSI-906),0.14408432070072485
section1_z2,replicate,MK-2206 2HCl,0.6723263202300124
section1_z2,replicate,Miglitol,-0.07412491176001997
section1_z2,replicate,Navitoclax (ABT-263),0.10371460674069494
section1_z2,replicate,Nutlin-3,0.5027990255166211
section1_z2,replicate,"Olaparib (AZD2281, Ku-0059436)",0.4965767066433342
section1_z2,replicate,Oxaliplatin,0.4636069331903766
section1_z2,replicate,PD0325901,
section1_z2,replicate,PI-103,0.07637402086097611
section1_z2,replicate,Paclitaxel,0.508624190347408
section1_z2,replicate,Palbociclib (PD-0332991) HCl,0.37608773203803725
section1_z2,replicate,Phenformin HCl,-0.05407277580823664
section1_z2,replicate,Rabusertib (LY2603618),0.10068619269657351
section1_z2,replicate,Regorafenib (BAY 73-4506),0.33618306202385156
section1_z2,replicate,Ruxolitinib (INCB018424),-0.0215210627211974
section1_z2,replicate,SB216763,0.10076037949313456
section1_z2,replicate,SB505124,0.2628654562549356
section1_z2,replicate,SN-38,0.42609698046491146
section1_z2,replicate,Sapitinib (AZD8931),-0.06606381226833259
section1_z2,replicate,Sorafenib,0.20737889834860376
section1_z2,replicate,Tanespimycin (17-AAG),0.5669068806315369
section1_z2,replicate,Taselisib (GDC 0032),0.21890756453860186
section1_z2,replicate,Temozolomide,0.18054397349249887
section1_z2,replicate,Trametinib (GSK1120212),0.48128515231976227
section1_z2,replicate,Triciribine,0.008991243951914238
section1_z2,replicate,Trifluridine,0.5330805041113427
section1_z2,replicate,Veliparib (ABT-888),0.16718332521315954
section1_z2,replicate,"Vemurafenib (PLX4032, RG7204)",0.08094835557986856
section1_z2,replicate,Vinorelbine Tartrate,0.6888660329447939
section1_z2,replicate,"Vorinostat (SAHA, MK0683)",0.5025868910985299
section1_z2,replicate,abemaciclib (LY2835219),0.359807126269564
section1_z2,null,,0.138485902415459
section1_z2,null,,-0.004922021425399177
section1_z2,null,,0.10142841029025743
section1_z2,null,,0.18952901181056508
section1_z2,null,,0.005573815959829906
section1_z2,null,,0.12349396119919653
section1_z2,null,,0.11038924663155725
section1_z2,null,,0.131992309247148
section1_z2,null,,0.25814093954450335
section1_z2,null,,0.1874424109616756
section1_z2,null,,0.0680085508928379
section1_z2,null,,0.11436447292766325
section1_z2,null,,-0.0657038679404244
section1_z2,null,,-0.08123578947147264
section1_z2,null,,0.18502972656064254
section1_z2,null,,0.1119617412693451
section1_z2,null,,-0.019332507988665735
section1_z2,null,,0.24698456008504155
section1_z2,null,,8.894896455202868e-05
section1_z2,null,,-0.03950947315832244
section1_z2,null,,0.040421471928707944
section1_z2,null,,0.20616691022902034
section1_z2,null,,0.07253316493750302
section1_z2,null,,0.14864417865639606
section1_z2,null,,0.022662708101072893
section1_z2,null,,0.10213982601613532
section1_z2,null,,0.04652093307737721
section1_z2,null,,0.1314188215412866
section1_z2,null,,0.2047850435584853
section1_z2,null,,0.040772524064658144
section1_z2,null,,0.14014428155554945
section1_z2,null,,0.04127882930712438
section1_z2,null,,-0.02658934730096217
section1_z2,null,,0.0745907977820905
section1_z2,null,,0.14957492693034943
section1_z2,null,,0.07779415215353577
section1_z2,null,,0.20688715260183976
section1_z2,null,,0.012542630617000382
section1_z2,null,,-0.015317696546055831
section1_z2,null,,0.041836526923
section1_z2,null,,-0.030694964611249084
section1_z2,null,,-0.07536042475718796
section1_z2,null,,0.20602071972756483
section1_z2,null,,0.23805994931910515
section1_z2,null,,0.181499074094236
section1_z2,null,,-0.004429765278728185
section1_z2,null,,0.14578133119261816
section1_z2,null,,0.06808546589716263
section1_z2,null,,0.15594291024106294
section1_z2,null,,0.08563079064602046
section1_z2,null,,0.07973225209139358
section1_z2,null,,-0.03880325868956251
section1_z2,null,,0.06517105617874398
section1_z2,null,,-0.0022654592976786413
section1_z2,null,,0.10910040878203137
section1_z2,null,,0.05925414096429607
section1_z2,null,,0.051239280424848245
section1_z2,null,,0.181453675486565
section1_z2,null,,0.13509057692728277
section1_z2,null,,0.28520658628566903
section1_z2,null,,0.268970400962762
