cond,z,wid,n_objects
20_40,0,PB100082_I16,9
20_40,0,PB100082_J13,6
20_40,0,PB100082_K16,11
20_40,0,PB100082_L11,13
20_40,0,PB100082_M14,10
20_40,0,PB100082_N09,16
20_40,0,PB100082_O12,34
20_40,0,PB100082_P09,17
20_40,0,PB100082_P15,15
20_40,0,PB100083_I10,23
20_40,0,PB100083_I16,13
20_40,0,PB100083_J13,21
20_40,0,PB100083_K16,41
20_40,0,PB100083_L11,30
20_40,0,PB100083_M14,8
20_40,0,PB100083_N09,10
20_40,0,PB100083_P09,15
20_40,0,PB100083_P15,12
20_40,1,PB100082_I16,33
20_40,1,PB100082_J13,8
20_40,1,PB100082_K16,26
20_40,1,PB100082_L11,25
20_40,1,PB100082_M14,16
20_40,1,PB100082_N09,26
20_40,1,PB100082_O12,37
20_40,1,PB100082_P09,28
20_40,1,PB100082_P15,33
20_40,1,PB100083_I10,37
20_40,1,PB100083_I16,32
20_40,1,PB100083_J13,44
20_40,1,PB100083_K16,55
20_40,1,PB100083_L11,48
20_40,1,PB100083_M14,23
20_40,1,PB100083_N09,22
20_40,1,PB100083_P09,33
20_40,1,PB100083_P15,27
20_40,2,PB100082_I16,52
20_40,2,PB100082_J13,12
20_40,2,PB100082_K16,45
20_40,2,PB100082_L11,50
20_40,2,PB100082_M14,32
20_40,2,PB100082_N09,46
20_40,2,PB100082_O12,54
20_40,2,PB100082_P09,46
20_40,2,PB100082_P15,56
20_40,2,PB100083_I10,70
20_40,2,PB100083_I16,62
20_40,2,PB100083_J13,82
20_40,2,PB100083_K16,75
20_40,2,PB100083_L11,65
20_40,2,PB100083_M14,37
20_40,2,PB100083_N09,29
20_40,2,PB100083_P09,79
20_40,2,PB100083_P15,32
20_40,3,PB100082_I16,76
20_40,3,PB100082_J13,19
20_40,3,PB100082_K16,79
20_40,3,PB100082_L11,71
20_40,3,PB100082_M14,59
20_40,3,PB100082_N09,82
20_40,3,PB100082_O12,72
20_40,3,PB100082_P09,77
20_40,3,PB100082_P15,79
20_40,3,PB100083_I10,108
20_40,3,PB100083_I16,99
20_40,3,PB100083_J13,114
20_40,3,PB100083_K16,97
20_40,3,PB100083_L11,103
20_40,3,PB100083_M14,62
20_40,3,PB100083_N09,48
20_40,3,PB100083_P09,110
20_40,3,PB100083_P15,56
20_40,4,PB100082_I16,106
20_40,4,PB100082_J13,17
20_40,4,PB100082_K16,100
20_40,4,PB100082_L11,95
20_40,4,PB100082_M14,86
20_40,4,PB100082_N09,101
20_40,4,PB100082_O12,88
20_40,4,PB100082_P09,101
20_40,4,PB100082_P15,97
20_40,4,PB100083_I10,124
20_40,4,PB100083_I16,136
20_40,4,PB100083_J13,124
20_40,4,PB100083_K16,115
20_40,4,PB100083_L11,123
20_40,4,PB100083_M14,84
20_40,4,PB100083_N09,79
20_40,4,PB100083_P09,128
20_40,4,PB100083_P15,99
20_40,5,PB100082_I16,126
20_40,5,PB100082_J13,21
20_40,5,PB100082_K16,116
20_40,5,PB100082_L11,103
20_40,5,PB100082_M14,114
20_40,5,PB100082_N09,110
20_40,5,PB100082_O12,104
20_40,5,PB100082_P09,122
20_40,5,PB100082_P15,119
20_40,5,PB100083_I10,129
20_40,5,PB100083_I16,178
20_40,5,PB100083_J13,145
20_40,5,PB100083_K16,124
20_40,5,PB100083_L11,138
20_40,5,PB100083_M14,113
20_40,5,PB100083_N09,113
20_40,5,PB100083_P09,146
20_40,5,PB100083_P15,117
20_40,6,PB100082_I16,131
20_40,6,PB100082_J13,18
20_40,6,PB100082_K16,111
20_40,6,PB100082_L11,113
20_40,6,PB100082_M14,134
20_40,6,PB100082_N09,128
20_40,6,PB100082_O12,100
20_40,6,PB100082_P09,148
20_40,6,PB100082_P15,128
20_40,6,PB100083_I10,140
20_40,6,PB100083_I16,182
20_40,6,PB100083_J13,165
20_40,6,PB100083_K16,137
20_40,6,PB100083_L11,148
20_40,6,PB100083_M14,143
20_40,6,PB100083_N09,132
20_40,6,PB100083_P09,135
20_40,6,PB100083_P15,149
20_40,7,PB100082_I16,158
20_40,7,PB100082_J13,17
20_40,7,PB100082_K16,109
20_40,7,PB100082_L11,125
20_40,7,PB100082_M14,139
20_40,7,PB100082_N09,124
20_40,7,PB100082_O12,107
20_40,7,PB100082_P09,171
20_40,7,PB100082_P15,150
20_40,7,PB100083_I10,141
20_40,7,PB100083_I16,182
20_40,7,PB100083_J13,179
20_40,7,PB100083_K16,143
20_40,7,PB100083_L11,174
20_40,7,PB100083_M14,155
20_40,7,PB100083_N09,147
20_40,7,PB100083_P09,152
20_40,7,PB100083_P15,164
20_40,8,PB100082_I16,159
20_40,8,PB100082_J13,13
20_40,8,PB100082_K16,134
20_40,8,PB100082_L11,127
20_40,8,PB100082_M14,143
20_40,8,PB100082_N09,129
20_40,8,PB100082_O12,120
20_40,8,PB100082_P09,182
20_40,8,PB100082_P15,141
20_40,8,PB100083_I10,136
20_40,8,PB100083_I16,169
20_40,8,PB100083_J13,164
20_40,8,PB100083_K16,147
20_40,8,PB100083_L11,172
20_40,8,PB100083_M14,163
20_40,8,PB100083_N09,151
20_40,8,PB100083_P09,136
20_40,8,PB100083_P15,171
20_40,9,PB100082_I16,162
20_40,9,PB100082_J13,12
20_40,9,PB100082_K16,134
20_40,9,PB100082_L11,136
20_40,9,PB100082_M14,144
20_40,9,PB100082_N09,128
20_40,9,PB100082_O12,133
20_40,9,PB100082_P09,175
20_40,9,PB100082_P15,170
20_40,9,PB100083_I10,141
20_40,9,PB100083_I16,175
20_40,9,PB100083_J13,168
20_40,9,PB100083_K16,152
20_40,9,PB100083_L11,165
20_40,9,PB100083_M14,152
20_40,9,PB100083_N09,152
20_40,9,PB100083_P09,136
20_40,9,PB100083_P15,163
20_40,10,PB100082_I16,148
20_40,10,PB100082_J13,7
20_40,10,PB100082_K16,137
20_40,10,PB100082_L11,136
20_40,10,PB100082_M14,160
20_40,10,PB100082_N09,121
20_40,10,PB100082_O12,108
20_40,10,PB100082_P09,187
20_40,10,PB100082_P15,173
20_40,10,PB100083_I10,120
20_40,10,PB100083_I16,168
20_40,10,PB100083_J13,162
20_40,10,PB100083_K16,141
20_40,10,PB100083_L11,154
20_40,10,PB100083_M14,135
20_40,10,PB100083_N09,149
20_40,10,PB100083_P09,131
20_40,10,PB100083_P15,179
20_40,11,PB100082_I16,162
20_40,11,PB100082_J13,7
20_40,11,PB100082_K16,143
20_40,11,PB100082_L11,133
20_40,11,PB100082_M14,162
20_40,11,PB100082_N09,116
20_40,11,PB100082_O12,101
20_40,11,PB100082_P09,181
20_40,11,PB100082_P15,161
20_40,11,PB100083_I10,117
20_40,11,PB100083_I16,160
20_40,11,PB100083_J13,165
20_40,11,PB100083_K16,144
20_40,11,PB100083_L11,151
20_40,11,PB100083_M14,151
20_40,11,PB100083_N09,146
20_40,11,PB100083_P09,125
20_40,11,PB100083_P15,192
