umap1,umap2,kmeans_cluster,pathway
50.089123,6.196156,5,MAPK
1.6206808,4.5537233,1,Cell Cycle
39.058277,0.21138702,4,PI3K/Akt/mTOR
49.505424,4.529625,5,MAPK
43.946682,14.388362,2,DNA Damage
49.251053,5.454172,5,MAPK
-0.5145538,3.8907697,1,Cell Cycle
46.3413,0.50174147,4,MAPK
45.260735,0.4460192,4,MAPK
2.534703,4.491477,1,Cell Cycle
0.21315145,4.211704,1,Cell Cycle
50.044724,4.7824554,5,MAPK
7.396547,6.1519637,1,DNA Damage
26.289665,6.3714647,3,DNA Damage
7.0011897,4.7674227,1,DNA Damage
24.284367,6.318398,3,DNA Damage
1.3781048,3.7503467,1,Cell Cycle
44.540382,-0.70904344,4,MAPK
49.046154,3.5186682,5,MAPK
0.029526945,3.1603541,1,Cell Cycle
24.839615,5.7495418,3,DNA Damage
4.043056,7.1859627,1,Cell Cycle
37.993256,9.128345,0,DNA Damage
0.24387754,3.4246511,1,Cell Cycle
44.044495,0.791755,4,MAPK
35.68558,5.3447056,0,PI3K/Akt/mTOR
6.4499536,5.5214515,1,DNA Damage
42.210083,0.76629734,4,PI3K/Akt/mTOR
43.302414,1.8060228,4,PI3K/Akt/mTOR
46.915813,3.5623488,5,MAPK
46.552593,1.5420823,4,MAPK
46.692356,11.421767,2,PI3K/Akt/mTOR
41.83688,9.903948,2,DNA Damage
48.25801,4.7608805,5,MAPK
42.63154,12.207481,2,PI3K/Akt/mTOR
42.078766,-0.1396729,4,MAPK
42.626133,0.88284683,4,MAPK
7.43359,5.3404703,1,DNA Damage
47.21854,1.6909403,4,MAPK
48.209984,2.4222586,5,PI3K/Akt/mTOR
45.239548,1.1532955,4,MAPK
-0.674518,4.780026,1,Cell Cycle
40.19563,9.366566,0,PI3K/Akt/mTOR
43.12418,0.06415495,4,MAPK
45.675056,0.11500394,4,MAPK
47.400608,2.6684127,5,MAPK
44.181282,1.8448932,4,MAPK
45.394604,1.7936759,4,MAPK
44.051514,0.07922169,4,MAPK
2.4069653,3.4743133,1,Cell Cycle
1.9678786,8.067745,1,Cell Cycle
40.952496,9.496859,2,DNA Damage
38.155876,2.9528255,0,PI3K/Akt/mTOR
1.294818,8.136518,1,Cell Cycle
-0.8357775,5.389019,1,Cell Cycle
47.710762,3.9918919,5,MAPK
5.65995,5.805858,1,Cell Cycle
45.308468,2.46754,4,MAPK
48.114704,3.23726,5,PI3K/Akt/mTOR
43.751476,7.9154353,5,PI3K/Akt/mTOR
37.681137,2.9756677,0,DNA Damage
48.78518,4.3446875,5,MAPK
39.390038,9.423534,0,DNA Damage
47.805065,4.962525,5,MAPK
48.739014,8.373338,5,MAPK
31.798115,6.2225094,3,Cell Cycle
0.036770277,7.019772,1,DNA Damage
49.39303,13.688606,2,PI3K/Akt/mTOR
45.946587,14.122505,2,Cytoskeletal Signaling
49.54447,12.734881,2,Protein Tyrosine Kinase
45.52229,15.367902,2,Protein Tyrosine Kinase
32.94962,5.6945357,0,Cell Cycle
29.307512,3.154189,3,Cell Cycle
45.618423,14.599437,2,MAPK
36.696964,7.4634366,0,Cytoskeletal Signaling
28.595568,5.267678,3,Cell Cycle
29.606695,4.2421155,3,Cell Cycle
35.36532,7.919061,0,Protein Tyrosine Kinase
33.833508,8.167585,0,Cytoskeletal Signaling
44.512806,6.870357,5,PI3K/Akt/mTOR
46.644814,13.744361,2,PI3K/Akt/mTOR
49.088352,13.178933,2,PI3K/Akt/mTOR
29.15668,5.833869,3,Cytoskeletal Signaling
42.920322,13.432216,2,Protein Tyrosine Kinase
44.582092,15.076906,2,Protein Tyrosine Kinase
34.21079,4.5922,0,MAPK
48.084534,7.0456567,5,MAPK
0.5241413,5.924146,1,DNA Damage
28.920794,4.83888,3,Cell Cycle
-0.3136123,7.4432473,1,PI3K/Akt/mTOR
48.08591,14.407965,2,MAPK
1.5140147,5.9764996,1,DNA Damage
37.244987,6.6192503,0,Cell Cycle
43.936306,3.948709,4,Protein Tyrosine Kinase
39.3539,3.9444478,0,PI3K/Akt/mTOR
-0.6117037,6.5981145,1,PI3K/Akt/mTOR
27.458925,3.4610102,3,Cell Cycle
48.157326,13.818068,2,PI3K/Akt/mTOR
0.04916242,5.129153,1,DNA Damage
43.409195,5.6784673,4,MAPK
0.5097761,6.4496455,1,DNA Damage
30.119286,5.136129,3,Cell Cycle
1.9079678,4.2287917,1,DNA Damage
41.657734,13.3996315,2,Protein Tyrosine Kinase
29.95067,3.5334675,3,Cell Cycle
39.26007,4.9413123,0,MAPK
48.239834,12.873887,2,Protein Tyrosine Kinase
36.335274,6.059017,0,MAPK
38.73668,5.7389135,0,MAPK
47.423107,7.4499025,5,MAPK
49.89422,12.165602,2,MAPK
37.76648,5.5364685,0,MAPK
45.934925,6.07269,5,MAPK
27.53779,4.5503774,3,Cytoskeletal Signaling
43.454998,7.2676206,5,Protein Tyrosine Kinase
44.352158,4.184073,4,Protein Tyrosine Kinase
48.825077,9.997046,2,Protein Tyrosine Kinase
48.60678,11.600597,2,Protein Tyrosine Kinase
1.2291015,6.5872946,1,DNA Damage
49.279655,11.91552,2,PI3K/Akt/mTOR
28.34423,4.2523675,3,Cell Cycle
36.62912,5.442934,0,Protein Tyrosine Kinase
45.306496,6.8510633,5,Protein Tyrosine Kinase
-0.2912813,5.8814692,1,DNA Damage
49.112007,11.095615,2,Protein Tyrosine Kinase
49.019608,10.769383,2,Protein Tyrosine Kinase
47.681744,10.616207,2,PI3K/Akt/mTOR
35.542793,8.621063,0,Cytoskeletal Signaling
28.854033,3.3570423,3,Cell Cycle
1.0289274,7.556179,1,DNA Damage
36.157314,4.57795,0,MAPK
3.2485085,3.1914515,1,Cell Cycle
36.473705,1.8379859,0,PI3K/Akt/mTOR
46.191406,15.13656,2,DNA Damage
49.863113,10.200828,2,MAPK
41.766216,11.127299,2,MAPK
40.348606,7.97777,0,MAPK
2.2446644,2.7331383,1,Cell Cycle
42.076553,1.7301416,4,MAPK
39.124622,2.9967918,0,MAPK
3.5198991,4.9294906,1,Cell Cycle
0.8569517,2.4253297,1,Cell Cycle
9.288059,6.0172243,1,DNA Damage
25.701248,7.386753,3,DNA Damage
5.2883086,4.718521,1,DNA Damage
22.851244,7.9669366,3,DNA Damage
2.9783275,4.0557294,1,Cell Cycle
42.02219,2.888944,4,MAPK
45.372204,3.8233387,4,MAPK
42.0752,4.9588995,4,MAPK
38.15497,8.026191,0,DNA Damage
3.11959,6.450897,1,Cell Cycle
41.60662,4.4873896,4,DNA Damage
1.74486,5.257297,1,Cell Cycle
45.831707,3.328731,4,MAPK
35.383137,1.8280561,0,PI3K/Akt/mTOR
7.835046,7.0729976,1,DNA Damage
41.001534,6.977226,0,PI3K/Akt/mTOR
48.408466,8.032169,5,MAPK
39.18835,7.3424544,0,MAPK
36.410446,2.8360972,0,PI3K/Akt/mTOR
4.7500243,3.16467,1,Cell Cycle
33.7405,3.273627,0,DNA Damage
41.60243,3.7296398,4,MAPK
34.491543,1.7447826,0,MAPK
41.523594,2.747023,4,MAPK
37.08537,4.37669,0,PI3K/Akt/mTOR
29.379206,1.8682201,3,Cytoskeletal Signaling
41.143883,1.4648212,4,MAPK
43.727623,4.933914,4,MAPK
5.6456356,3.5131986,1,DNA Damage
42.582035,6.429114,4,PI3K/Akt/mTOR
46.70704,4.7007227,5,MAPK
1.2618093,2.9954705,1,Cell Cycle
42.21381,6.1710167,4,PI3K/Akt/mTOR
40.023975,6.064107,0,MAPK
35.410316,3.9525192,0,MAPK
38.542797,6.728798,0,MAPK
27.652855,6.2147665,3,DNA Damage
42.47964,3.3757427,4,MAPK
2.5668519,8.444744,1,Cell Cycle
4.3085704,4.275097,1,Cell Cycle
40.543354,2.6561124,4,MAPK
43.75824,2.9231405,4,MAPK
31.076143,2.2858315,3,Cytoskeletal Signaling
45.023674,13.636315,2,PI3K/Akt/mTOR
4.114246,3.6388152,1,Cell Cycle
0.26721087,7.54195,1,Cell Cycle
49.364746,6.9401298,5,MAPK
4.51227,2.6440682,1,Cell Cycle
41.261646,5.8009615,4,PI3K/Akt/mTOR
44.40891,5.476729,5,MAPK
35.685825,2.5152228,0,PI3K/Akt/mTOR
46.292427,8.341264,5,MAPK
47.027412,14.546289,2,DNA Damage
49.623627,9.32691,5,PI3K/Akt/mTOR
45.704315,8.930508,5,MAPK
2.255488,6.400556,1,DNA Damage
42.576073,8.920182,2,PI3K/Akt/mTOR
35.302486,6.96809,0,Cytoskeletal Signaling
42.67368,10.456293,2,Protein Tyrosine Kinase
34.39576,3.8014576,0,Protein Tyrosine Kinase
31.70839,4.765624,3,Cell Cycle
47.44642,12.93095,2,Protein Tyrosine Kinase
34.122417,7.424624,0,Cytoskeletal Signaling
44.079815,13.828927,2,Protein Tyrosine Kinase
46.18701,10.8832245,2,Cell Cycle
47.719177,5.7745953,5,MAPK
36.483246,3.7563205,0,Protein Tyrosine Kinase
45.110706,10.03663,2,Protein Tyrosine Kinase
34.743073,4.808569,0,Cytoskeletal Signaling
47.620285,11.311599,2,PI3K/Akt/mTOR
34.051666,6.266513,0,Protein Tyrosine Kinase
33.848286,6.785029,0,Protein Tyrosine Kinase
41.362225,12.026536,2,Protein Tyrosine Kinase
46.092567,4.5983806,5,MAPK
-0.8296405,7.8430905,1,PI3K/Akt/mTOR
1.0251272,5.123047,1,DNA Damage
-0.02705692,8.102206,1,PI3K/Akt/mTOR
41.69496,7.574204,4,Protein Tyrosine Kinase
2.8761811,7.569775,1,DNA Damage
32.772705,6.518721,0,Cell Cycle
40.882473,4.712176,4,Protein Tyrosine Kinase
43.48096,11.743498,2,PI3K/Akt/mTOR
28.091833,3.0368886,3,Cell Cycle
43.844414,11.030144,2,PI3K/Akt/mTOR
0.44216317,5.0073714,1,DNA Damage
47.64485,9.673419,2,MAPK
40.069645,4.527203,0,Protein Tyrosine Kinase
0.7441671,4.1288977,1,DNA Damage
48.101795,9.00165,5,Protein Tyrosine Kinase
2.2456625,5.7909393,1,DNA Damage
44.97375,12.480593,2,Protein Tyrosine Kinase
29.965393,2.9235165,3,Cell Cycle
43.65983,9.532555,2,MAPK
39.598904,0.965411,4,PI3K/Akt/mTOR
44.90485,10.708155,2,Protein Tyrosine Kinase
45.21447,11.891756,2,MAPK
46.994503,5.7871614,5,MAPK
35.22657,6.237879,0,MAPK
43.057594,5.1466675,4,MAPK
40.655556,1.8556026,4,MAPK
25.640133,4.7118998,3,Cytoskeletal Signaling
42.497265,7.752835,5,Protein Tyrosine Kinase
46.1085,6.6399555,5,Protein Tyrosine Kinase
37.763,4.4595346,0,Protein Tyrosine Kinase
44.419968,12.328028,2,Protein Tyrosine Kinase
47.471523,8.749473,5,Protein Tyrosine Kinase
2.1044135,7.112035,1,DNA Damage
44.581375,8.727324,5,PI3K/Akt/mTOR
28.975822,2.6455967,3,Cell Cycle
32.093822,5.599607,3,Cell Cycle
36.62569,8.947658,0,Protein Tyrosine Kinase
45.971897,12.053788,2,PI3K/Akt/mTOR
45.18171,7.999526,5,Protein Tyrosine Kinase
46.363373,12.255465,2,Protein Tyrosine Kinase
44.24733,9.91087,2,Protein Tyrosine Kinase
44.66392,11.443895,2,PI3K/Akt/mTOR
0.90760994,7.167142,1,DNA Damage
49.458267,7.6776404,5,Protein Tyrosine Kinase
38.129192,1.724568,0,PI3K/Akt/mTOR
37.418293,10.021331,0,Cytoskeletal Signaling
46.257576,7.6547565,5,Cell Cycle
1.0028787,8.691311,1,DNA Damage
