umap1,umap2,kmeans_cluster,pathway
29.265635,24.571991,3,MAPK
-2.9396956,3.7724347,1,Cell Cycle
34.03231,11.148015,5,PI3K/Akt/mTOR
34.184723,27.839739,0,MAPK
29.097507,10.673076,5,DNA Damage
33.53509,27.701845,0,MAPK
-6.200367,6.958381,1,Cell Cycle
37.56147,27.01466,0,MAPK
35.8766,27.519459,0,MAPK
-2.327443,2.4034839,1,Cell Cycle
-5.2651134,6.3647633,1,Cell Cycle
32.60337,27.689898,3,MAPK
20.53836,19.261269,2,DNA Damage
22.348461,19.654938,2,DNA Damage
0.63290733,4.669577,1,DNA Damage
21.445097,19.779064,2,DNA Damage
-3.776363,3.5521266,1,Cell Cycle
37.217255,24.695572,0,MAPK
30.109589,25.298054,3,MAPK
-6.2254558,6.2168393,1,Cell Cycle
20.958586,19.486866,2,DNA Damage
-0.76755565,4.589592,1,Cell Cycle
30.207062,11.254959,5,DNA Damage
-5.588489,6.0269046,1,Cell Cycle
40.116318,20.47919,0,MAPK
38.725914,15.152487,4,PI3K/Akt/mTOR
39.40504,19.134048,4,PI3K/Akt/mTOR
38.053764,16.733522,4,PI3K/Akt/mTOR
36.634197,27.112738,0,MAPK
35.933598,26.089504,0,MAPK
28.368025,22.147665,3,PI3K/Akt/mTOR
-4.753692,3.7172399,1,Cell Cycle
31.014942,10.431553,5,DNA Damage
34.124443,27.067822,0,MAPK
31.606089,15.046252,5,PI3K/Akt/mTOR
39.3372,20.42397,0,MAPK
-3.3320138,2.446605,1,Cell Cycle
38.529064,20.476786,0,MAPK
1.3364269,5.558289,1,DNA Damage
34.289772,26.377005,0,MAPK
37.125515,19.089758,4,PI3K/Akt/mTOR
37.164185,27.666275,0,MAPK
-5.9774694,7.339019,1,Cell Cycle
35.884575,22.330269,0,PI3K/Akt/mTOR
38.089546,21.858126,0,MAPK
32.95819,26.69923,3,MAPK
35.35724,26.514263,0,MAPK
23.057318,20.38841,2,DNA Damage
38.20372,26.049105,0,MAPK
36.582207,26.252615,0,MAPK
37.17301,25.993624,0,MAPK
-1.7079262,2.7466574,1,Cell Cycle
31.544199,11.480898,5,DNA Damage
27.933838,21.824696,3,PI3K/Akt/mTOR
-0.24185082,5.584395,1,Cell Cycle
-5.494121,6.921428,1,Cell Cycle
32.147305,25.666317,3,MAPK
-6.9162855,5.4484353,1,Cell Cycle
37.984806,26.650305,0,MAPK
32.819584,22.276958,3,PI3K/Akt/mTOR
36.514626,21.401443,0,PI3K/Akt/mTOR
30.96275,14.568918,5,DNA Damage
32.78768,26.161167,3,MAPK
30.070566,10.587337,5,DNA Damage
32.009975,24.825304,3,MAPK
41.55922,22.09065,0,MAPK
-4.3887525,3.4458213,1,Cell Cycle
33.02386,12.186689,5,PI3K/Akt/mTOR
28.456383,9.992314,5,DNA Damage
31.118338,25.668634,3,MAPK
32.39845,23.097172,3,MAPK
39.53719,24.21058,0,MAPK
-5.840658,5.195426,1,Cell Cycle
41.322376,23.764978,0,MAPK
41.70188,22.658705,0,MAPK
-1.6689328,1.9600658,1,Cell Cycle
-5.44372,4.8018765,1,Cell Cycle
20.7364,18.870317,2,DNA Damage
21.680582,18.736307,2,DNA Damage
-0.34420604,3.929165,1,DNA Damage
21.166945,18.382439,2,DNA Damage
-3.1976826,3.06183,1,Cell Cycle
38.19145,24.010384,0,MAPK
40.09852,25.739153,0,MAPK
40.248093,23.833921,0,MAPK
29.163874,13.544579,5,DNA Damage
-3.7981055,5.7071524,1,Cell Cycle
-1.9871205,4.429514,1,Cell Cycle
31.775526,9.938182,5,DNA Damage
-4.655195,6.3526936,1,Cell Cycle
39.527504,25.489042,0,MAPK
34.699394,10.969455,5,PI3K/Akt/mTOR
20.078436,18.710121,2,DNA Damage
41.037693,16.463251,4,PI3K/Akt/mTOR
37.162277,15.194163,4,PI3K/Akt/mTOR
33.26288,25.49113,3,MAPK
37.996334,23.05349,0,MAPK
40.10218,16.351797,4,PI3K/Akt/mTOR
-4.376774,2.489895,1,Cell Cycle
32.294037,9.922509,5,DNA Damage
39.844875,23.852917,0,MAPK
40.479588,24.543417,0,MAPK
33.867012,13.045375,5,PI3K/Akt/mTOR
22.491817,14.16896,2,Cytoskeletal Signaling
40.83857,22.806898,0,MAPK
-3.8782015,2.7871213,1,Cell Cycle
37.047886,23.291098,0,MAPK
-3.120118,4.7076745,1,DNA Damage
33.412197,17.825195,4,PI3K/Akt/mTOR
35.49332,24.795004,0,MAPK
-6.4346414,5.627156,1,Cell Cycle
39.689064,22.706127,0,PI3K/Akt/mTOR
39.069885,22.920385,0,MAPK
40.883488,18.519142,4,MAPK
39.749725,22.03987,0,MAPK
40.596848,21.80975,0,DNA Damage
41.47337,20.012379,0,MAPK
39.791492,23.407703,0,MAPK
-0.64183325,2.7187128,1,Cell Cycle
-6.2853484,4.8536277,1,Cell Cycle
28.109539,19.8311,3,DNA Damage
38.647594,23.38055,0,MAPK
38.66716,24.851948,0,MAPK
33.171623,15.309806,4,PI3K/Akt/mTOR
-4.787614,3.204757,1,Cell Cycle
-4.702782,5.699389,1,Cell Cycle
31.036465,26.278599,3,MAPK
-6.316082,4.3358936,1,Cell Cycle
41.185867,21.065693,0,MAPK
38.646194,17.38901,4,PI3K/Akt/mTOR
31.182022,23.559757,3,MAPK
30.824762,16.258736,5,DNA Damage
39.884014,17.210777,4,PI3K/Akt/mTOR
32.359695,11.271452,5,DNA Damage
32.039696,23.332674,3,MAPK
27.544237,12.943597,5,DNA Damage
32.635124,24.031435,3,MAPK
30.406832,24.642767,3,MAPK
36.3053,11.529071,4,Cell Cycle
-2.9910648,8.853517,1,PI3K/Akt/mTOR
29.758375,12.795815,5,PI3K/Akt/mTOR
-2.4094152,8.38333,1,DNA Damage
29.432735,18.741985,3,PI3K/Akt/mTOR
28.213594,18.649843,3,Cytoskeletal Signaling
