umap1,umap2,kmeans_cluster,pathway
31.914768,22.522734,2,MAPK
-11.526776,15.073026,0,Cell Cycle
32.37918,9.439524,1,PI3K/Akt/mTOR
36.998123,19.3707,2,MAPK
27.610466,9.754915,1,DNA Damage
36.479424,20.239365,2,MAPK
-13.894515,11.669769,0,Cell Cycle
39.668465,19.534565,5,MAPK
38.42157,19.65504,5,MAPK
-9.882465,16.294912,0,Cell Cycle
-13.11872,13.273271,0,Cell Cycle
37.010624,20.143005,2,MAPK
21.554756,19.104866,4,DNA Damage
23.399363,19.304537,4,DNA Damage
-7.595453,14.695254,0,DNA Damage
21.243727,19.205374,4,DNA Damage
-11.000566,15.396456,0,Cell Cycle
39.12496,18.108988,5,MAPK
33.77642,20.76125,2,MAPK
-14.513758,12.802627,0,Cell Cycle
21.861341,19.494013,4,DNA Damage
-8.698376,13.633866,0,Cell Cycle
28.577084,9.967478,1,DNA Damage
-14.072143,12.253873,0,Cell Cycle
40.59937,16.082037,5,MAPK
37.765854,10.9359,3,PI3K/Akt/mTOR
39.585735,14.478991,5,PI3K/Akt/mTOR
37.448605,12.353144,3,PI3K/Akt/mTOR
38.98552,21.258663,5,MAPK
38.491375,20.486803,5,MAPK
31.122465,20.707867,2,PI3K/Akt/mTOR
-12.407254,15.641252,0,Cell Cycle
29.317528,9.131505,1,DNA Damage
37.348675,21.609776,2,MAPK
31.49385,12.963977,1,PI3K/Akt/mTOR
39.983833,15.9662285,5,MAPK
-11.064348,16.041601,0,Cell Cycle
39.27007,15.987598,5,MAPK
-6.8501787,14.330338,0,DNA Damage
36.972935,21.158268,2,MAPK
37.14003,15.107474,3,PI3K/Akt/mTOR
39.5797,20.565208,5,MAPK
-13.773028,12.32242,0,Cell Cycle
37.86067,18.261696,5,PI3K/Akt/mTOR
39.684494,17.408487,5,MAPK
36.11381,21.447657,2,MAPK
37.805794,20.822483,2,MAPK
24.427023,19.734583,4,DNA Damage
40.42308,19.309906,5,MAPK
39.132885,19.7635,5,MAPK
40.190933,20.829937,5,MAPK
-9.8983135,15.837728,0,Cell Cycle
29.947517,9.959562,1,DNA Damage
30.27889,20.035404,2,PI3K/Akt/mTOR
-9.155877,13.596593,0,Cell Cycle
-14.555096,11.916372,0,Cell Cycle
35.69318,22.380194,2,MAPK
-14.367711,13.572725,0,Cell Cycle
40.174267,20.065372,5,MAPK
35.37857,19.238165,2,PI3K/Akt/mTOR
37.956642,16.986677,5,PI3K/Akt/mTOR
30.63936,12.638408,1,DNA Damage
35.842968,21.007847,2,MAPK
28.551914,9.28548,1,DNA Damage
34.89746,21.02007,2,MAPK
43.294796,16.44984,5,MAPK
-11.93264,15.123279,0,Cell Cycle
31.89901,10.106697,1,PI3K/Akt/mTOR
26.930275,9.422721,1,DNA Damage
33.58847,23.301052,2,MAPK
34.450005,22.6088,2,MAPK
43.211155,18.745148,5,MAPK
-14.002876,13.121565,0,Cell Cycle
42.03072,17.129597,5,MAPK
42.329338,16.108452,5,MAPK
-9.774311,16.892437,0,Cell Cycle
-13.721245,14.187975,0,Cell Cycle
21.964756,18.855284,4,DNA Damage
22.063734,18.404825,4,DNA Damage
-8.635505,14.715834,0,DNA Damage
22.504654,18.919762,4,DNA Damage
-10.965728,16.529581,0,Cell Cycle
43.21733,19.63397,5,MAPK
41.411087,20.375021,5,MAPK
42.41429,19.624586,5,MAPK
28.472853,12.391832,1,DNA Damage
-12.088821,13.176035,0,Cell Cycle
-9.982382,14.496662,0,Cell Cycle
29.696123,8.162312,1,DNA Damage
-13.052417,12.062131,0,Cell Cycle
41.986427,20.470554,5,MAPK
32.443768,8.445962,1,PI3K/Akt/mTOR
20.88892,18.63904,4,DNA Damage
40.302704,11.623805,3,PI3K/Akt/mTOR
36.474537,11.398501,3,PI3K/Akt/mTOR
37.522797,23.658894,2,MAPK
42.796516,19.186146,5,MAPK
39.227203,11.603504,3,PI3K/Akt/mTOR
-12.426075,16.445768,0,Cell Cycle
30.358988,8.277477,1,DNA Damage
42.161263,18.253036,5,MAPK
42.068573,18.7303,5,MAPK
32.47472,10.784893,1,PI3K/Akt/mTOR
21.87594,14.463551,4,Cytoskeletal Signaling
42.806923,16.766735,5,MAPK
-11.835849,16.153954,0,Cell Cycle
42.50033,20.916494,5,MAPK
-11.10363,14.269845,0,DNA Damage
33.608047,15.210582,3,PI3K/Akt/mTOR
39.969193,22.763132,5,MAPK
-14.827173,13.101887,0,Cell Cycle
43.9128,18.239487,5,PI3K/Akt/mTOR
43.306515,17.819933,5,MAPK
41.17323,13.262716,5,MAPK
42.81741,17.444298,5,MAPK
41.306038,15.559038,5,DNA Damage
41.78739,14.109291,5,MAPK
42.930798,18.279022,5,MAPK
-8.623443,16.071617,0,Cell Cycle
