umap1,umap2,compound
8.3054495,-23.130516,etoposide
10.560216,-23.747458,etoposide
10.795341,-21.330425,etoposide
-10.150475,19.50189,etoposide
8.983575,-24.501482,etoposide
8.177747,-24.085678,etoposide
10.288743,-22.45157,etoposide
10.952559,-19.176023,etoposide
10.776807,-19.908108,etoposide
9.360912,-23.867191,etoposide
9.256886,-22.753807,etoposide
11.143068,-22.833872,etoposide
11.645704,-21.493052,etoposide
9.906089,-20.153559,etoposide
23.243538,19.98466,berberine chloride
23.265923,19.09554,berberine chloride
24.572483,14.916829,berberine chloride
22.512156,15.05399,berberine chloride
23.157015,13.289881,berberine chloride
3.8701,12.280867,fenbendazole
2.0872698,12.813198,fenbendazole
24.631607,18.90769,berberine chloride
25.028446,17.933496,berberine chloride
23.67434,18.185053,berberine chloride
22.713896,16.377077,berberine chloride
23.506388,14.5852375,berberine chloride
3.658748,13.364038,fenbendazole
1.6435312,11.744568,fenbendazole
24.336285,19.903788,berberine chloride
24.650751,17.080526,berberine chloride
23.722149,16.049917,berberine chloride
22.966314,17.269398,berberine chloride
23.942284,13.256392,berberine chloride
3.3967092,12.703199,fenbendazole
2.7829502,13.052884,fenbendazole
-15.195799,20.282537,DMSO
-11.324676,20.42486,DMSO
-15.566191,19.201029,DMSO
-17.409925,24.785368,DMSO
-16.46086,21.408432,DMSO
-13.916669,19.470036,DMSO
-15.824622,27.132793,DMSO
-13.782343,20.665197,DMSO
-13.490423,27.635149,DMSO
-16.378277,25.043678,DMSO
-8.423338,27.292246,DMSO
-12.479,22.016733,DMSO
-14.708328,21.514631,DMSO
-9.161287,26.059084,DMSO
-2.6359355,-13.018866,fluphenazine
0.67499614,-13.110105,fluphenazine
0.553549,-14.2363,fluphenazine
-12.711035,20.638731,DMSO
-16.622253,23.695559,DMSO
-16.719969,20.462788,DMSO
-15.920388,26.03193,DMSO
-14.836132,27.91419,DMSO
-12.223971,24.396532,DMSO
-1.1956336,-15.218298,fluphenazine
-0.28737706,-13.688703,fluphenazine
-0.287087,-14.902682,fluphenazine
-14.752573,25.529676,DMSO
-12.853593,23.317575,DMSO
-9.686689,27.34402,DMSO
-7.6416807,26.298588,DMSO
-2.323739,-15.086687,fluphenazine
-1.5373999,-14.408429,fluphenazine
-1.1950593,-13.448583,fluphenazine
-1.9692979,-12.496261,fluphenazine
-11.344399,26.2078,DMSO
-10.883991,24.336737,DMSO
-9.680023,22.239422,DMSO
-13.208896,26.560486,DMSO
-9.014237,25.288963,DMSO
-7.893258,25.154818,DMSO
