umap1,umap2,compound
0.93055093,28.974041,nocodazole
0.85838836,28.269571,nocodazole
7.951478,-11.959656,etoposide
7.502138,-13.150782,etoposide
8.495086,-13.120535,etoposide
8.810844,-12.347988,etoposide
6.5006676,-13.180788,etoposide
3.7269611,-1.0100621,berberine chloride
2.1390653,-1.1147282,berberine chloride
-1.2768174,3.355199,fenbendazole
3.7735612,-1.822726,berberine chloride
4.760561,-1.3204885,berberine chloride
1.1945925,-1.9665252,berberine chloride
1.4898089,-1.2594041,berberine chloride
1.8890052,30.240732,fenbendazole
-1.7013689,3.7891214,fenbendazole
24.79515,8.802098,DMSO
-9.491188,13.928924,DMSO
26.423328,9.043602,DMSO
28.948494,6.484121,DMSO
-9.37554,13.297406,DMSO
25.747145,8.096745,DMSO
24.04372,7.545751,DMSO
3.6005158,30.986485,fluphenazine
5.3589554,33.571064,fluphenazine
6.274888,32.545113,fluphenazine
7.9801307,30.462568,fluphenazine
8.222164,32.668785,fluphenazine
20.235256,3.8035493,DMSO
29.805227,2.2528198,DMSO
25.463655,2.5604398,DMSO
28.395304,1.8340442,DMSO
23.95191,3.553733,DMSO
21.313557,2.6985729,DMSO
24.169836,1.2863183,DMSO
2.6966765,31.631094,fluphenazine
3.8255265,33.146812,fluphenazine
6.5395017,31.107967,fluphenazine
8.3446245,31.73942,fluphenazine
21.685516,4.271554,DMSO
27.766376,0.74148947,DMSO
28.879063,4.0470457,DMSO
22.952106,2.4622557,DMSO
21.221756,5.8809466,DMSO
31.43987,3.127226,DMSO
20.077353,4.880907,DMSO
26.789707,4.783961,DMSO
25.445183,5.80275,DMSO
4.778099,32.603188,fluphenazine
9.082787,32.67611,fluphenazine
9.275905,31.483448,fluphenazine
33.08208,3.082048,DMSO
27.58382,3.1996458,DMSO
32.08006,4.2029076,DMSO
32.971905,4.565471,DMSO
33.679436,3.7874565,DMSO
25.048403,4.303535,DMSO
26.601837,1.7982388,DMSO
30.538338,4.524977,DMSO
23.295345,5.1121936,DMSO
