umap1,umap2,compound
14.16955,-1.4879845,nocodazole
15.159315,-1.3197162,nocodazole
16.732643,-1.2277551,nocodazole
-21.413486,17.25791,etoposide
-20.155985,19.236378,etoposide
17.393852,-1.3854171,nocodazole
-20.50643,18.457201,etoposide
12.32604,-1.9130123,nocodazole
13.087484,-1.7498115,nocodazole
-20.32961,17.007906,etoposide
-20.932444,16.523478,etoposide
-10.125845,2.6730034,berberine chloride
-9.345969,2.702597,berberine chloride
-5.3121805,23.609554,fenbendazole
-9.436538,3.392094,berberine chloride
10.120407,2.5044005,fenbendazole
-5.772126,23.13522,fenbendazole
9.629849,2.9745748,fenbendazole
29.71136,16.795338,DMSO
31.475859,17.577263,DMSO
34.27336,19.10533,DMSO
33.002556,19.76292,DMSO
26.100657,14.499574,DMSO
32.73276,17.743153,DMSO
24.701359,14.619807,DMSO
25.54501,15.52068,DMSO
26.989742,15.630655,DMSO
30.952948,16.572554,DMSO
30.591156,17.93619,DMSO
34.23853,21.292004,DMSO
5.4995217,-27.154398,fluphenazine
7.0160384,-27.93703,fluphenazine
34.996567,23.093262,DMSO
32.66473,26.252443,DMSO
31.627253,25.716337,DMSO
32.760704,24.774967,DMSO
38.675713,24.680761,DMSO
5.6311464,-30.359549,fluphenazine
5.1614704,-29.24874,fluphenazine
5.777311,-28.070448,fluphenazine
6.7298684,-27.00654,fluphenazine
38.022675,30.324831,DMSO
34.888653,26.729256,DMSO
33.471344,27.684988,DMSO
37.422863,26.171083,DMSO
39.19596,25.97058,DMSO
35.834595,28.84635,DMSO
36.59842,27.307543,DMSO
36.74725,29.5355,DMSO
6.3758144,-29.398096,fluphenazine
36.08681,24.171352,DMSO
37.938393,27.485151,DMSO
39.559734,27.55304,DMSO
38.483383,28.847776,DMSO
39.737263,28.94903,DMSO
