umap1,umap2,compound
-3.82423,12.402744,nocodazole
-3.7499244,12.498007,nocodazole
1.689307,-0.40983218,etoposide
3.0835378,0.07749835,etoposide
2.992037,-0.8097957,etoposide
2.318561,-0.44555762,etoposide
3.3106794,1.084979,etoposide
-0.24893552,5.4756026,berberine chloride
3.0730238,4.257236,berberine chloride
2.6105652,-0.9084035,fenbendazole
-0.6276626,5.7863426,berberine chloride
0.47052896,5.616232,berberine chloride
1.7931695,4.113811,berberine chloride
2.84633,4.646093,berberine chloride
-3.3992248,11.896104,fenbendazole
2.261266,0.92506415,fenbendazole
3.4226723,3.594573,DMSO
-2.4827466,12.040437,DMSO
3.6674964,3.2641973,DMSO
0.7840641,-0.08192375,DMSO
-1.97667,11.799634,DMSO
3.2714221,3.2893126,DMSO
2.8973753,3.2598698,DMSO
-3.6409898,12.039602,fluphenazine
-1.585259,11.341811,fluphenazine
-0.7051068,10.556144,fluphenazine
0.8352434,8.768805,fluphenazine
0.07122596,8.447513,fluphenazine
1.6975752,6.51692,DMSO
0.81917715,0.5555617,DMSO
-0.68217987,4.1923084,DMSO
0.4069182,1.3552883,DMSO
-0.16402869,3.9183235,DMSO
1.3168364,5.418755,DMSO
0.5274777,4.9810877,DMSO
-3.400007,12.34764,fluphenazine
-1.3799001,11.582694,fluphenazine
-0.29829335,10.028153,fluphenazine
0.11427962,9.071583,fluphenazine
0.48273048,7.1159325,DMSO
1.0859721,1.1863396,DMSO
0.4871632,0.24481808,DMSO
-0.050879434,4.7312336,DMSO
2.0896685,6.3745565,DMSO
1.994907,-1.4528248,DMSO
2.1504319,5.8168263,DMSO
0.42216998,2.2715094,DMSO
0.53603005,2.640327,DMSO
-1.17786,11.689601,fluphenazine
0.12542182,9.446814,fluphenazine
0.5751842,9.118661,fluphenazine
2.6157115,-1.9176924,DMSO
-0.042024348,1.517242,DMSO
1.6193419,-1.7396734,DMSO
2.1615553,-1.9113618,DMSO
2.943821,-1.6488643,DMSO
0.061895512,3.3088605,DMSO
-0.09088474,2.1786551,DMSO
1.2853409,-1.0587115,DMSO
0.51505095,3.9878871,DMSO
