,Metadata_cmpd_conc,Metadata_name,Metadata_cell_line,Metadata_Barcode,corr,null_corr,missing,Metadata_conc_num
0,0.000316388,berb,HT29,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,0.5019902007599601,0.2700702413989431,False,0.000316
3,0.000316388,etop,HT29,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,0.49896336815023523,0.05991543868192151,False,0.000316
6,0.000316388,fenb,HT29,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,0.4504300623604518,0.13337841891939972,False,0.000316
9,0.000316388,flup,HT29,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,0.42248226808449885,0.07911114567959343,False,0.000316
12,0.000316388,noco,HT29,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,0.5162553473233544,0.06907502818215616,False,0.000316
15,0.000316388,sorb,HT29,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,0.3425364092623815,0.3668254735176315,False,0.000316
18,0.001002506,berb,HT29,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,0.4972007551683115,0.4042513922034944,False,0.001
21,0.001002506,etop,HT29,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,0.3306413993405093,0.11530666609453077,False,0.001
24,0.001002506,fenb,HT29,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,0.4929644662804824,0.5060478910037632,False,0.001
27,0.001002506,flup,HT29,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,0.0,,True,0.001
30,0.001002506,noco,HT29,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,0.42135124697447623,0.3857664780633039,False,0.001
32,0.001002506,sorb,HT29,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,0.31337351819654746,-0.015178816137449314,False,0.001
50,0.003167009,sorb,HT29,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,0.3087130225140028,0.43529754098335693,False,0.00317
47,0.003167009,noco,HT29,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,0.4965595258151525,0.2912520093244165,False,0.00317
44,0.003167009,flup,HT29,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,0.4444452008760018,0.3315944617466309,False,0.00317
35,0.003167009,berb,HT29,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,0.47773531639215927,0.48438460208335954,False,0.00317
38,0.003167009,etop,HT29,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,0.5129699231588153,0.08031370894051248,False,0.00317
41,0.003167009,fenb,HT29,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,0.49747098019669744,0.10502341301909102,False,0.00317
53,0.010002279,berb,HT29,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,0.5671918221327451,0.18624026013744177,False,0.01
55,0.010002279,etop,HT29,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,0.4664984755120396,0.2438148028024727,False,0.01
58,0.010002279,fenb,HT29,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,0.5144679941305605,0.1847960284409591,False,0.01
61,0.010002279,flup,HT29,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,0.5112085469578114,0.04304728457675311,False,0.01
64,0.010002279,noco,HT29,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,0.5882065389884304,0.1831259712962413,False,0.01
67,0.010002279,sorb,HT29,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,0.46781612175197007,-0.08100548533340923,False,0.01
82,0.0316473,noco,HT29,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,0.47931131629803847,0.385544185446659,False,0.0316
79,0.0316473,flup,HT29,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,0.5648860612682549,0.17438026046392152,False,0.0316
85,0.0316473,sorb,HT29,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,0.35410830383100433,0.07396554901330088,False,0.0316
73,0.0316473,etop,HT29,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,0.4287590653523352,0.32883169843142224,False,0.0316
70,0.0316473,berb,HT29,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,0.5784801949128571,0.47478351449849465,False,0.0316
76,0.0316473,fenb,HT29,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,0.5239372718787758,0.1974736208590232,False,0.0316
159,0.1,noco,,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,0.0,,True,0.1
88,0.1,berb,HT29,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,0.585024255035429,0.2263821051087176,False,0.1
91,0.1,etop,HT29,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,0.47423838329530876,0.32026980470195976,False,0.1
94,0.1,fenb,HT29,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,0.5552352487239841,0.059636906838382076,False,0.1
96,0.1,flup,HT29,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,0.4103458894801315,0.2454123394266765,False,0.1
99,0.1,sorb,HT29,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,0.4889737387592368,0.4428512534353155,False,0.1
102,0.31428571,berb,HT29,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,0.5764620747191154,0.36649879036534316,False,0.314
104,0.31428571,etop,HT29,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,0.4976105825299352,0.285952704788216,False,0.314
106,0.31428571,fenb,HT29,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,0.48140399742696616,0.3291567875431547,False,0.314
109,0.31428571,flup,HT29,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,0.4547920932371601,0.4069268029030151,False,0.314
113,0.31428571,sorb,HT29,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,0.4806842643137196,0.18617854756354768,False,0.314
158,0.31428571,noco,,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,0.0,,True,0.314
157,1.0,noco,,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,0.0,,True,1
127,1.0,sorb,HT29,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,0.5092636603875523,0.22860941423395809,False,1
118,1.0,etop,HT29,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,0.5130304361663037,0.09941180943465022,False,1
116,1.0,berb,HT29,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,0.5527586387537083,0.2233613086429742,False,1
162,1.0,fenb,,CellPainting_20241220clearedspheroidsBOMI_20241220_151510,0.0,,True,1
