,Metadata_cmpd_conc,Metadata_name,Metadata_cell_line,Metadata_Barcode,corr,null_corr,missing
1,0.000316388,berb,HT29,CellPainting_20250127Cellpaintcleared3D_20250127_171120,0.0,,True
4,0.000316388,etop,HT29,CellPainting_20250127Cellpaintcleared3D_20250127_171120,0.12249903322420552,0.36187342218491625,False
7,0.000316388,fenb,HT29,CellPainting_20250127Cellpaintcleared3D_20250127_171120,0.43459877899347843,0.12238725227440372,False
10,0.000316388,flup,HT29,CellPainting_20250127Cellpaintcleared3D_20250127_171120,0.4586914442587058,0.5107726535460877,False
13,0.000316388,noco,HT29,CellPainting_20250127Cellpaintcleared3D_20250127_171120,0.0,,True
16,0.000316388,sorb,HT29,CellPainting_20250127Cellpaintcleared3D_20250127_171120,0.4161843743448863,0.17882189078235755,False
19,0.001002506,berb,HT29,CellPainting_20250127Cellpaintcleared3D_20250127_171120,0.5276918497248955,0.6628954674992864,False
22,0.001002506,etop,HT29,CellPainting_20250127Cellpaintcleared3D_20250127_171120,0.36211702439012017,0.22498660915423718,False
25,0.001002506,fenb,HT29,CellPainting_20250127Cellpaintcleared3D_20250127_171120,0.0,,True
28,0.001002506,flup,HT29,CellPainting_20250127Cellpaintcleared3D_20250127_171120,0.43156929417937295,0.20179253852769652,False
33,0.001002506,sorb,HT29,CellPainting_20250127Cellpaintcleared3D_20250127_171120,0.4965352378207696,0.35296448701747263,False
36,0.003167009,berb,HT29,CellPainting_20250127Cellpaintcleared3D_20250127_171120,0.5034930052592402,0.1495177156784414,False
39,0.003167009,etop,HT29,CellPainting_20250127Cellpaintcleared3D_20250127_171120,0.48874475033251485,0.19021078747620312,False
42,0.003167009,fenb,HT29,CellPainting_20250127Cellpaintcleared3D_20250127_171120,0.0,,True
45,0.003167009,flup,HT29,CellPainting_20250127Cellpaintcleared3D_20250127_171120,0.6235349915843037,0.2434914657403019,False
48,0.003167009,noco,HT29,CellPainting_20250127Cellpaintcleared3D_20250127_171120,0.4526062060078895,0.14989815413031327,False
51,0.003167009,sorb,HT29,CellPainting_20250127Cellpaintcleared3D_20250127_171120,0.504679820823817,0.47275231686901564,False
54,0.010002279,berb,HT29,CellPainting_20250127Cellpaintcleared3D_20250127_171120,0.0,,True
56,0.010002279,etop,HT29,CellPainting_20250127Cellpaintcleared3D_20250127_171120,0.22957462012370222,0.18539958434620152,False
59,0.010002279,fenb,HT29,CellPainting_20250127Cellpaintcleared3D_20250127_171120,0.5957097932357212,0.37305753652712315,False
