,Metadata_cmpd_conc,Metadata_name,Metadata_cell_line,Metadata_Barcode,corr,null_corr,missing
2,0.000316388,berb,HT29,CellPainting_CellPaint3DBomi_WI_for_Jordi_20250203_155142,0.0,,True
5,0.000316388,etop,HT29,CellPainting_CellPaint3DBomi_WI_for_Jordi_20250203_155142,0.4013981555319128,0.18964621600812848,False
8,0.000316388,fenb,HT29,CellPainting_CellPaint3DBomi_WI_for_Jordi_20250203_155142,0.0,,True
11,0.000316388,flup,HT29,CellPainting_CellPaint3DBomi_WI_for_Jordi_20250203_155142,0.0,,True
14,0.000316388,noco,HT29,CellPainting_CellPaint3DBomi_WI_for_Jordi_20250203_155142,0.0,,True
17,0.000316388,sorb,HT29,CellPainting_CellPaint3DBomi_WI_for_Jordi_20250203_155142,0.34910062605814074,0.20492941904486395,False
20,0.001002506,berb,HT29,CellPainting_CellPaint3DBomi_WI_for_Jordi_20250203_155142,0.0,,True
23,0.001002506,etop,HT29,CellPainting_CellPaint3DBomi_WI_for_Jordi_20250203_155142,0.0,,True
26,0.001002506,fenb,HT29,CellPainting_CellPaint3DBomi_WI_for_Jordi_20250203_155142,0.0,,True
29,0.001002506,flup,HT29,CellPainting_CellPaint3DBomi_WI_for_Jordi_20250203_155142,0.34200466661768725,0.25251097685500956,False
31,0.001002506,noco,HT29,CellPainting_CellPaint3DBomi_WI_for_Jordi_20250203_155142,0.0,,True
34,0.001002506,sorb,HT29,CellPainting_CellPaint3DBomi_WI_for_Jordi_20250203_155142,0.0,,True
37,0.003167009,berb,HT29,CellPainting_CellPaint3DBomi_WI_for_Jordi_20250203_155142,0.0,,True
40,0.003167009,etop,HT29,CellPainting_CellPaint3DBomi_WI_for_Jordi_20250203_155142,0.4444667274516134,0.28012160072893266,False
43,0.003167009,fenb,HT29,CellPainting_CellPaint3DBomi_WI_for_Jordi_20250203_155142,0.4832296185560303,0.24123489638961315,False
46,0.003167009,flup,HT29,CellPainting_CellPaint3DBomi_WI_for_Jordi_20250203_155142,0.40389530706487475,0.1827323390306166,False
49,0.003167009,noco,HT29,CellPainting_CellPaint3DBomi_WI_for_Jordi_20250203_155142,0.45801988427453555,0.05960043401314785,False
52,0.003167009,sorb,HT29,CellPainting_CellPaint3DBomi_WI_for_Jordi_20250203_155142,0.0,,True
57,0.010002279,etop,HT29,CellPainting_CellPaint3DBomi_WI_for_Jordi_20250203_155142,0.0,,True
60,0.010002279,fenb,HT29,CellPainting_CellPaint3DBomi_WI_for_Jordi_20250203_155142,0.0,,True
63,0.010002279,flup,HT29,CellPainting_CellPaint3DBomi_WI_for_Jordi_20250203_155142,0.20487048661170504,0.42108773894335316,False
66,0.010002279,noco,HT29,CellPainting_CellPaint3DBomi_WI_for_Jordi_20250203_155142,0.0,,True
