level_0,level_1,cosine,representation
0.1,0.1,-0.027365930328103718,2D
0.1,0.3,0.07217132645008895,2D
0.1,1.0,0.0954880189470463,2D
0.1,3.0,0.19113763384007856,2D
0.1,10.0,0.16000674535778522,2D
0.3,0.1,-0.07810782281443616,2D
0.3,0.3,0.05266749420170376,2D
0.3,1.0,0.11788195982411466,2D
0.3,3.0,0.3437201006633516,2D
0.3,10.0,0.22848057030845997,2D
1.0,0.1,0.3785776854042898,2D
1.0,0.3,0.623487167504211,2D
1.0,1.0,0.7091942304533052,2D
1.0,3.0,0.7862492986905668,2D
1.0,10.0,0.7329863629428753,2D
3.0,0.1,0.23288272084901362,2D
3.0,0.3,0.4552273429180266,2D
3.0,1.0,0.6158038078568893,2D
3.0,3.0,0.8856316740564124,2D
3.0,10.0,0.8154689124774216,2D
10.0,0.1,0.16825392801654182,2D
10.0,0.3,0.2907227237881966,2D
10.0,1.0,0.44123568832904597,2D
10.0,3.0,0.707641252785491,2D
10.0,10.0,0.7268130919692309,2D
0.3,0.3,0.6105787412300103,3D
0.3,1.0,0.18537192803836264,3D
0.3,3.0,0.5248225603445864,3D
0.3,10.0,-0.012030663126212855,3D
1.0,0.3,0.5670755632401777,3D
1.0,1.0,0.24963045984585855,3D
1.0,3.0,0.5770176094972762,3D
1.0,10.0,0.006899734374975827,3D
3.0,0.3,0.2972587972072706,3D
3.0,1.0,0.2630459105719255,3D
3.0,3.0,0.5537305430790652,3D
3.0,10.0,0.31215558616299444,3D
10.0,0.3,-0.06406922980591556,3D
10.0,1.0,0.08233202328923485,3D
10.0,3.0,0.3770900447254925,3D
10.0,10.0,0.4814105618992705,3D
