,Drug1,Drug2,sim_2D,sim_3D,pair_class
400,Fluor,Gemci,0.8012874594070478,0.6641410488789024,Antimetabolite x Antimetabolite
416,Fluor,Trifl,0.8199009697729062,0.6676484096089921,Antimetabolite x Antimetabolite
455,Gemci,Trifl,0.9407266225228856,0.8623743268165092,Antimetabolite x Antimetabolite
47,AMG23,Fluor,0.7455246094907112,0.7712482677894612,Antimetabolite x MDM2i / Topo I
49,AMG23,Gemci,0.6631381149134103,0.7746895153643147,Antimetabolite x MDM2i / Topo I
65,AMG23,Trifl,0.7815036216284893,0.7943793551012996,Antimetabolite x MDM2i / Topo I
402,Fluor,Nutli,0.8246980019917867,0.741011945984958,Antimetabolite x MDM2i / Topo I
411,Fluor,SN-38,0.7801850137338637,0.7391334829718019,Antimetabolite x MDM2i / Topo I
441,Gemci,Nutli,0.7285372680741115,0.7881390633824515,Antimetabolite x MDM2i / Topo I
450,Gemci,SN-38,0.8041330272334367,0.8155409566397451,Antimetabolite x MDM2i / Topo I
490,Nutli,Trifl,0.8321900265067272,0.8656729293222865,Antimetabolite x MDM2i / Topo I
598,SN-38,Trifl,0.7753388877024179,0.8066771250684079,Antimetabolite x MDM2i / Topo I
403,Fluor,Olapa,0.8856316740564117,0.3770900447254925,Antimetabolite x PARPi
442,Gemci,Olapa,0.7830462822739575,0.7092910823946044,Antimetabolite x PARPi
506,Olapa,Trifl,0.9029750913208574,0.7956665216924451,Antimetabolite x PARPi
8,5Z-7-,Binim,0.8307460360497728,0.86111399912359,MAPK x MAPK
9,5Z-7-,Cobim,0.8879545257124102,0.7634145912166626,MAPK x MAPK
11,5Z-7-,Dabra,0.6689523187790679,0.7650188802667142,MAPK x MAPK
12,5Z-7-,Encor,0.754720077001217,0.7649768658143974,MAPK x MAPK
20,5Z-7-,PD032,0.8664656726893687,0.7633386329937831,MAPK x MAPK
24,5Z-7-,Regor,0.6340496991958013,0.8094655766332866,MAPK x MAPK
27,5Z-7-,Soraf,0.6497785729076838,0.8671597055266083,MAPK x MAPK
30,5Z-7-,Trame,0.8783151278966917,0.7300691961018411,MAPK x MAPK
279,Binim,Cobim,0.9531525937071378,0.906006316124075,MAPK x MAPK
281,Binim,Dabra,0.9196814963163422,0.6697016642064888,MAPK x MAPK
282,Binim,Encor,0.8378023668256218,0.8933337567078729,MAPK x MAPK
290,Binim,PD032,0.9468674650902164,0.8839298325403302,MAPK x MAPK
294,Binim,Regor,0.8990154143655831,0.7115905245257095,MAPK x MAPK
297,Binim,Soraf,0.7890045305543776,0.81256326644631,MAPK x MAPK
300,Binim,Trame,0.963122342883108,0.8383326437406546,MAPK x MAPK
306,Cobim,Dabra,0.8522357556960759,0.5182780675339637,MAPK x MAPK
307,Cobim,Encor,0.8101194672691978,0.881316117860832,MAPK x MAPK
315,Cobim,PD032,0.9561955216577436,0.8483120921745966,MAPK x MAPK
319,Cobim,Regor,0.8473724909733735,0.5627056286880671,MAPK x MAPK
322,Cobim,Soraf,0.8133708784702015,0.6396370287760464,MAPK x MAPK
325,Cobim,Trame,0.9724161923595948,0.8386161373583135,MAPK x MAPK
354,Dabra,Encor,0.8547110537037262,0.7720447273487879,MAPK x MAPK
362,Dabra,PD032,0.8633224538729722,0.6888174773207285,MAPK x MAPK
366,Dabra,Regor,0.9150119310640564,0.8246237567511457,MAPK x MAPK
369,Dabra,Soraf,0.7877802451427987,0.7643284978070439,MAPK x MAPK
372,Dabra,Trame,0.7226326369360625,0.503401864122448,MAPK x MAPK
384,Encor,PD032,0.8011684074124196,0.834980089431798,MAPK x MAPK
388,Encor,Regor,0.8343797424385448,0.7793011237403413,MAPK x MAPK
391,Encor,Soraf,0.7515774605062274,0.7498874437871967,MAPK x MAPK
394,Encor,Trame,0.8177392009715925,0.8275876172056646,MAPK x MAPK
528,PD032,Regor,0.8902436847366495,0.8066668547474272,MAPK x MAPK
531,PD032,Soraf,0.6759376649188418,0.7370940681824301,MAPK x MAPK
534,PD032,Trame,0.9564565914295398,0.8633010861323528,MAPK x MAPK
577,Regor,Soraf,0.8693409925421551,0.7745759592063914,MAPK x MAPK
580,Regor,Trame,0.7914806338110238,0.5065992355113953,MAPK x MAPK
604,Soraf,Trame,0.7188693779253857,0.6352672620778476,MAPK x MAPK
0,5Z-7-,AMG23,0.4800958707671418,0.3265149900270253,Other
1,5Z-7-,AZD45,0.5626711238885044,0.6629638653724453,Other
