panel,gene,lfc_ola,fdr_ola,lfc_fu,fdr_fu
G2M checkpoint (HALLMARK),BRCA2,-1.10714,0.717089,-2.79358,0.0020532
G2M checkpoint (HALLMARK),CHAF1A,-0.798507,0.717089,-2.42891,0.00115116
G2M checkpoint (HALLMARK),E2F1,-0.526805,0.717089,-2.34021,0.00143664
G2M checkpoint (HALLMARK),KNL1,-0.860904,0.717089,-2.33084,0.000565148
G2M checkpoint (HALLMARK),BARD1,-0.406493,0.717089,-2.21557,6.06184e-05
G2M checkpoint (HALLMARK),KIF15,-0.532501,0.717089,-2.14748,0.000316136
G2M checkpoint (HALLMARK),PLK4,-0.0360953,0.958881,-2.10528,0.000219314
G2M checkpoint (HALLMARK),GINS2,-0.180559,0.730337,-1.90435,0.00159582
G2M checkpoint (HALLMARK),HMMR,0.00614472,0.991357,-1.89362,0.000821983
G2M checkpoint (HALLMARK),CENPE,-0.630584,0.717089,-1.89088,0.000275573
G2M checkpoint (HALLMARK),E2F2,-0.270087,0.717089,-1.829,0.000585238
G2M checkpoint (HALLMARK),NDC80,-0.69077,0.717089,-1.82479,0.0106132
G2M checkpoint (HALLMARK),CENPF,-0.573955,0.717089,-1.78451,0.000775484
G2M checkpoint (HALLMARK),STIL,-0.0729219,0.873047,-1.75155,0.000528047
G2M checkpoint (HALLMARK),CDC25A,-0.189355,0.787616,-1.72641,0.00100435
SASP (SAUL_SEN_MAYO),GDF15,1.63354,0.336813,2.74369,0.000512831
SASP (SAUL_SEN_MAYO),FAS,0.863479,0.165606,2.26963,6.07372e-06
SASP (SAUL_SEN_MAYO),IGFBP6,0.260489,0.717089,1.65545,0.000109795
SASP (SAUL_SEN_MAYO),CCL5,-1.00888,0.717089,-1.41364,0.0834162
SASP (SAUL_SEN_MAYO),LCP1,-1.1779,0.50161,-1.40499,0.00840976
SASP (SAUL_SEN_MAYO),IGF1,-0.846086,0.717089,-1.38968,0.0396444
SASP (SAUL_SEN_MAYO),SERPINE1,0.34905,0.723031,1.3896,0.00172496
SASP (SAUL_SEN_MAYO),PLAU,0.46321,0.717089,1.19265,0.000625632
SASP (SAUL_SEN_MAYO),SPP1,-1.05958,0.717089,-1.18002,0.0670223
SASP (SAUL_SEN_MAYO),ANG,-0.0942396,0.890314,-1.1552,0.00532072
SASP (SAUL_SEN_MAYO),DKK1,0.459892,0.717089,1.01121,0.00649111
SASP (SAUL_SEN_MAYO),IL32,0.14081,0.916642,1.00721,0.060168
SASP (SAUL_SEN_MAYO),MMP9,-0.746995,0.717089,-0.972451,0.0497111
SASP (SAUL_SEN_MAYO),PGF,0.31521,0.735722,0.971621,0.0131541
SASP (SAUL_SEN_MAYO),HMGB1,-0.266994,0.717089,-0.96661,0.00836795
