# Processed profile tables for the colopaint3D paper analysis.
# Generated by utils/download_data.py --write-manifest
path	size_bytes	sha256	tier
exp1_main/grit_data_2D_HCT116.parquet	8440664	57fe16d07d424c471dff8b78a2e62bc29f999f45f3ff5cec0a5020f3846fa101	required
exp1_main/grit_data_2D_HT29.parquet	8913603	68e955b6f845d3c0c918140ee954d7b5fd3fc259d0cc9c64e9a6d5e755c0c745	required
exp1_main/grit_data_MIP_HCT116.parquet	3609103	60099b6a355c6b7f25db71f1b99b0ccffb5a56adf58fb37c24fe38fe7babbf15	required
exp1_main/grit_data_MIP_HT29.parquet	3536942	939c3d762d09afbf6e9dac9bddf01b546d67fca95e0817d20d9455dd77c15db1	required
exp1_main/grit_data_aggregates_HCT116.parquet	4136089	62fe1af8681c44b6396678afcaa3a2a2b9db0c5baf90f5c86447eb4092e3bcaa	required
exp1_main/grit_data_aggregates_HT29.parquet	4226629	30355bea1a55a0327d121dc9365d7b47cee36756bfea26beee8326b6d81cf4fe	required
exp1_main/normalized_data_merged_HCT116.csv	305863934	351b2695ab5f689c6137ff75015ceed5d70d6967c242672917795498546bff55	normalized
exp1_main/selected_data_2D_HCT116.parquet	10403303	bd36224d3837ebcfc80e0ec34402874d37485030e8aaf0788d19893b8903de70	required
exp1_main/selected_data_2D_HT29.parquet	10945773	f0c5052caaed583769d6ff57ce6025c084c71ef5033e45d9c13f4e2da579e6b1	required
exp1_main/selected_data_MIP_HCT116.parquet	3648953	8c5d0af2d127f93d0483979421aeaee57a49b6ccf51e76f0fa4cd7879d026b20	required
exp1_main/selected_data_MIP_HT29.parquet	3514588	e4bdec19dd3ff6bb93f42b661d78642156ae073f91a416d6af5048f010379316	required
exp1_main/selected_data_aggregates_HCT116.parquet	5023734	db2bd86886091a43b24ae919c9ca673eef73e32658577ea46caac9bf41e291aa	required
exp1_main/selected_data_aggregates_HT29.parquet	5071183	2003d9a18852ca0bfb6ee80e2ee66ed8d78a92b24cea5e83c46c81d990ebc5ee	required
exp1_main/slices/selected_section1_12planes.parquet	4941377	5a10066e41c96da9ae63604306c46e85b1493b0f29dc8e268d204b814e64c460	required
exp1_main/slices/selected_section1_sparse3.parquet	5958470	9ccfa489cc0d1081c3e901d4bf571a8116530287c42201e87ceb56a002f5c8e6	required
exp1_main/slices/selected_section1_sparse6.parquet	4957959	06cfb9ece98c1d512c0a8f5e45cf057f1f9f0e13bab8b4422ff4b06e38905583	required
exp1_main/slices/selected_section1_sparse9.parquet	5409115	20882ac7e75967701b0fa294db16d1c9e0d81cc8c299a5690e4a66ca9366e43f	required
exp1_main/slices/selected_section1_z11.parquet	5569706	18e05c7ba0827bc951fc943770283eee053c9a593593423375620a70af5258ed	required
exp1_main/slices/selected_section1_z2.parquet	6798215	29c9ab3483e3471e92b7f94bf00d42fb2bf49ad230734aecb39308b2f544653b	required
exp1_main/slices/selected_section1_z7.parquet	5109729	6cb81a60912740c97cb4e6d787db1104c19edf03f86788dbf6326e009c1577b0	required
exp2_spheroid_size/sections/grit_section1_12planes.parquet	940801	70feb38d30408bcf5472ba99e58f82fcd365709e4a8884219c111f2854ea7683	required
exp2_spheroid_size/sections/grit_section2.parquet	854213	50dee183c96f5c41cd403c60bc624ff0b40b089c7430ad115197966d3a74557c	required
exp2_spheroid_size/sections/grit_section3.parquet	843359	e5e08f869d626014154864a0c52cde32542b23d693ec94c126558b46f09856b0	required
exp3_clearing_mag_z/sections/selected_10x.parquet	1298176	aa3deb9d4eddee746f0e1321b072a8c42bf35f84b45059dee3d41539e096b3b0	required
exp3_clearing_mag_z/sections/selected_20_40.parquet	1222444	0724972595801a07db42172b4b6953e563cd55f2dacd86d0fab08346592072fc	required
exp3_clearing_mag_z/sections/selected_40x.parquet	657314	46da87308f2ba38083d9aa48b4253be3b106d24f6b0014203e5c5d73a6c61719	required
exp3_clearing_mag_z/sections/selected_noclear.parquet	894127	478067fc1531392bafdddd021057505a51e62de99acbfb4155b055a468132ced	required
exp3_clearing_mag_z/sections/selected_nyquist_14planes.parquet	852960	e4c74e2aa2042d1266b971c97999259c1ddb8ad841ffb67d8444fa8a5b7500c3	required
exp3_clearing_mag_z/sections/selected_nyquist_all.parquet	701065	1455bce4dd730822bc718a02ba94013efab9101566ecfd79cda0becf43c2b993	required
exp4_objective/selected_data_HT29.parquet	3746025	5a258163fc94880b7430d671114ce7e40cc5f48cbdf1921c8f9fc8b3abc59745	required
exp5_edu/EdU_Image.csv	1025123	367a9712721f311fd09bccd5e2d98761147ce1d6c7ced1266ba0c4f3e5548c81	required
exp5_edu/EdU_nuclear_spots.csv	5948672	b2991bfa079b8562d54c59559f5a52fd07787eb00a54195733f66e0c07cc15b4	required
exp5_edu/EdU_nuclei.csv	90528170	ef1d4346a5b9bc8eb897503434e537580f2974f272355c9a47a5bd24cd13e2ec	required
exp5_edu/EdU_spots.csv	7461813	150a4849a65468df05891f65eb46658272da0a54b16aa6ae490fda12ad9e0272	required
